GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4951: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4952: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4953: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4984: Total - Income statistics in 2015 for private households by household size - 25% sample data,v_CA16_4987: Total - Income statistics in 2015 for one-person private households - 25% sample data,v_CA16_4990: Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,v_CA16_4993: Total - Income statistics in 2015 for economic families in private households - 25% sample data,v_CA16_4996: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,v_CA16_4999: Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6752: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6753: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_5002: Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,v_CA16_5006: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5007: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_2605: Official languages,v_CA16_2604: Official languages,v_CA16_2606: Official languages,v_CA16_2614: Non-official languages,v_CA16_2613: Non-official languages,v_CA16_2615: Non-official languages,v_CA16_5807: Bicycle
5350107.00,CT,Toronto,0.71899,5085,1880,1751,4320,2130,2195,1750,310,1440,1390,315,685,4325,2125,2195,315,305,530,220,2345,4720,2375,1625,3280,1660,70
5350108.00,CT,Toronto,0.73607,6013,2679,2475,5100,2560,2535,2475,880,1595,1510,410,665,5095,2560,2535,365,690,1260,570,2865,5545,2680,1730,3440,1705,135
5350109.00,CT,Toronto,0.62602,5496,2299,2203,4700,2325,2380,2200,480,1715,1545,580,640,4705,2325,2380,290,535,980,445,2470,4950,2480,1470,3110,1645,170
5350110.00,CT,Toronto,0.54554,3577,1557,1434,3165,1580,1585,1460,355,1105,1040,330,500,3165,1585,1580,185,335,615,275,1740,3415,1675,1080,2180,1100,60
5350111.00,CT,Toronto,0.45581,2507,968,902,2125,1025,1095,870,150,720,705,215,335,2125,1030,1095,135,125,225,95,1085,2210,1125,810,1675,865,25
5350112.00,CT,Toronto,0.50172,5295,2181,2035,4585,2250,2335,2070,475,1595,1480,400,735,4585,2250,2335,260,405,870,460,2395,4725,2330,1605,3380,1770,140
5350113.00,CT,Toronto,0.38225,2754,1197,1118,2320,1120,1200,1110,315,800,730,265,320,2320,1125,1200,115,265,510,245,1280,2610,1320,530,1190,665,130
5350114.00,CT,Toronto,0.62462,5349,2471,2369,4420,2010,2410,2395,945,1445,1280,455,525,4420,2010,2410,240,590,1455,865,2325,4895,2570,960,2205,1245,190
5350115.00,CT,Toronto,0.37543,4372,1670,1597,3415,1610,1810,1535,345,1195,1105,310,445,3415,1605,1810,305,250,645,395,1715,3645,1925,980,2090,1105,240
5350116.00,CT,Toronto,0.67913,4628,2044,1921,3545,1630,1915,1965,775,1195,1090,420,460,3545,1630,1915,155,465,1065,605,1930,4075,2140,670,1440,765,180
5350117.00,CT,Toronto,0.39107,2211,1165,1106,1930,880,1045,1120,470,650,580,265,215,1930,880,1045,90,285,665,380,1020,2165,1145,295,615,315,70
5350118.00,CT,Toronto,0.69384,4127,2183,1990,3655,1715,1940,1935,695,1245,1160,585,425,3655,1715,1940,130,355,950,595,1935,4115,2180,520,1105,580,100
5350119.00,CT,Toronto,0.8519,4630,2485,2310,4055,1820,2235,2350,1065,1280,1190,660,410,4060,1825,2235,100,465,1305,840,2055,4530,2475,640,1445,805,45
5350120.00,CT,Toronto,0.25722,1381,697,654,1115,525,595,655,285,375,365,165,155,1120,525,595,45,115,300,185,660,1325,665,115,275,160,30
5350121.00,CT,Toronto,0.29736,2659,1629,1448,2295,995,1295,1450,715,725,685,450,165,2290,995,1300,50,280,830,555,1075,2465,1395,260,625,360,10
5350122.00,CT,Toronto,0.53381,6220,3655,3443,5570,2335,3235,3450,1660,1790,1620,885,480,5570,2335,3235,200,645,2065,1420,2640,6175,3535,745,1965,1220,90
5350123.00,CT,Toronto,0.07501,2268,1494,1467,2115,1005,1110,1465,860,605,515,310,100,2115,1005,1110,85,520,1050,530,1070,2235,1160,470,1015,550,25
5350124.00,CT,Toronto,0.55675,5416,3470,3278,4850,2130,2720,3250,1875,1375,1265,805,330,4850,2130,2715,125,795,2135,1345,2305,5205,2900,720,1675,960,75
5350125.00,CT,Toronto,1.12047,4442,1618,1543,3580,1665,1910,1570,250,1315,1305,400,720,3580,1665,1910,160,115,330,215,2140,4510,2370,380,860,485,50
5350126.00,CT,Toronto,1.44927,4248,1746,1693,3355,1510,1845,1720,455,1270,1235,390,650,3355,1510,1840,170,220,575,350,2010,4325,2310,500,1115,615,60
5350127.00,CT,Toronto,0.74046,5450,2325,2236,4345,2010,2335,2205,665,1545,1485,445,800,4345,2010,2335,200,265,840,585,2515,5320,2805,655,1560,900,65
5350128.02,CT,Toronto,0.51869,8705,5052,4766,7545,3425,4130,4785,2435,2340,2155,1120,660,7550,3425,4130,290,1155,2890,1735,3805,8240,4440,1555,3540,1985,70
5350128.04,CT,Toronto,0.16199,4698,2994,2927,4195,1805,2395,2910,1735,1175,1050,570,270,4200,1805,2390,180,775,2015,1240,1960,4505,2545,810,1895,1085,30
5350128.05,CT,Toronto,0.18163,945,366,304,575,300,280,290,90,200,180,75,65,575,300,280,30,80,145,65,355,665,310,100,185,90,20
5350128.06,CT,Toronto,0.08584,4199,2601,2523,3860,1820,2040,2545,1380,1160,1000,510,290,3860,1820,2035,140,800,1740,940,1990,4150,2160,1150,2380,1230,45
5350129.00,CT,Toronto,0.92741,5770,2787,2622,4775,2165,2605,2615,955,1660,1555,620,645,4775,2165,2605,250,500,1235,735,2590,5680,3090,665,1725,1060,75
5350130.00,CT,Toronto,1.27901,3543,1365,1279,2860,1355,1505,1260,275,985,970,375,460,2860,1355,1505,125,145,390,245,1605,3340,1730,410,915,505,35
5350131.00,CT,Toronto,1.04439,5310,2505,2360,4640,2070,2565,2395,905,1490,1450,660,605,4635,2075,2565,145,340,1140,800,2415,5325,2910,745,1685,940,85
5350132.00,CT,Toronto,0.92464,5467,2155,2038,4350,1955,2395,1975,460,1515,1420,420,765,4350,1955,2395,205,290,805,510,2485,5280,2795,955,2195,1235,45
5350133.00,CT,Toronto,0.66745,7339,3629,3408,6260,2705,3555,3470,1460,2010,1895,620,875,6260,2710,3555,330,625,1785,1160,3215,7255,4040,1625,3720,2095,50
5350134.00,CT,Toronto,0.41704,2959,1076,1033,2280,1115,1165,1040,180,860,840,270,480,2280,1110,1165,85,105,245,135,1425,2860,1440,380,720,335,45
5350135.00,CT,Toronto,0.71622,6047,3316,3054,5225,2465,2760,3060,1415,1645,1570,630,685,5220,2465,2760,175,675,1635,955,2875,6040,3160,940,2125,1180,70
5350136.01,CT,Toronto,0.19196,6128,4023,3779,5685,2510,3175,3770,2070,1700,1495,795,355,5680,2510,3170,275,1030,2530,1500,2720,6065,3345,1265,2820,1555,50
5350136.02,CT,Toronto,0.21013,4983,3459,3198,4685,2095,2590,3210,1970,1235,1090,570,280,4685,2095,2590,180,945,2295,1345,2180,4840,2655,1035,2355,1325,35
5350137.00,CT,Toronto,0.91421,7077,3644,3509,6080,2760,3320,3510,1545,1965,1805,765,755,6080,2760,3320,250,765,1935,1170,3215,6985,3775,1010,2425,1410,90
5350138.00,CT,Toronto,0.96546,3103,1250,1181,2570,1170,1400,1190,335,850,830,290,425,2575,1170,1405,100,120,390,265,1395,3020,1630,285,650,365,15
5350139.01,CT,Toronto,0.7736,4167,1904,1824,3465,1595,1870,1820,665,1150,1130,400,575,3465,1595,1870,135,275,740,465,1940,4180,2240,595,1360,765,30
5350139.02,CT,Toronto,0.50952,2542,961,920,2120,985,1135,940,190,755,710,185,450,2120,985,1135,70,105,280,175,1255,2655,1400,245,550,300,20
5350140.00,CT,Toronto,0.57204,2408,826,791,1835,860,970,760,105,660,650,165,405,1830,865,970,70,30,160,130,1110,2300,1190,200,490,290,25
5350141.01,CT,Toronto,0.55041,4320,1685,1620,3375,1540,1830,1635,360,1275,1250,375,700,3375,1545,1835,155,165,445,285,2020,4270,2245,480,1245,770,30
5350141.02,CT,Toronto,0.68759,4477,1624,1561,3500,1715,1785,1585,250,1335,1310,345,775,3500,1710,1780,155,125,325,200,2265,4565,2300,485,1000,520,35
5350142.00,CT,Toronto,1.04392,5810,2313,2237,4410,2060,2355,2200,645,1550,1520,390,910,4405,2055,2350,180,270,770,500,2710,5610,2905,695,1485,800,20
5350150.00,CT,Toronto,1.10899,4201,1640,1586,3410,1615,1805,1610,385,1225,1180,390,650,3410,1610,1805,110,220,565,350,2000,4210,2215,510,1270,760,65
5350151.00,CT,Toronto,0.65559,3784,1577,1535,2870,1280,1585,1510,435,1080,1070,245,395,2870,1280,1590,395,175,470,290,1715,3680,1965,695,1685,995,60
5350152.00,CT,Toronto,0.85463,4545,1846,1764,3555,1675,1875,1740,410,1330,1290,410,625,3550,1675,1875,195,235,540,305,2115,4360,2240,670,1510,835,135
5350153.00,CT,Toronto,0.92761,4462,1783,1685,3765,1835,1930,1650,400,1260,1195,385,555,3760,1830,1930,215,275,605,330,2025,4120,2090,1180,2510,1330,55
5350154.00,CT,Toronto,2.15888,6157,2899,2818,5465,2540,2920,2850,1100,1745,1655,510,655,5465,2540,2925,425,580,1380,800,2800,5950,3150,1600,3575,1970,10
5350155.00,CT,Toronto,0.81296,3128,1316,1206,2415,1170,1245,1140,410,735,715,125,360,2415,1170,1240,215,295,505,215,1405,2840,1445,800,1710,910,0
5350156.01,CT,Toronto,0.60545,5688,2365,2273,4710,2245,2465,2315,780,1540,1485,350,580,4710,2245,2470,495,500,970,470,2620,5290,2670,1855,3700,1840,20
5350156.02,CT,Toronto,0.59201,2811,1124,1073,2385,1215,1165,1095,300,790,760,180,365,2380,1210,1170,180,240,420,180,1340,2655,1315,790,1660,865,0
5350157.00,CT,Toronto,0.48528,2635,1107,1016,2195,1030,1165,1015,260,755,740,175,330,2195,1030,1165,215,155,330,175,1165,2535,1370,675,1505,830,15
5350158.00,CT,Toronto,0.63989,2848,1346,1250,2560,1145,1420,1290,510,775,750,195,280,2560,1145,1415,215,305,695,395,1265,2740,1475,825,1830,1005,15
5350159.01,CT,Toronto,0.49247,3487,1386,1223,2885,1395,1490,1195,250,950,915,180,485,2890,1395,1495,200,160,385,220,1545,3070,1525,1225,2470,1250,10
5350159.02,CT,Toronto,0.57532,4723,1843,1709,3980,1980,2000,1700,395,1305,1280,345,685,3985,1980,2000,215,305,520,210,2080,4245,2160,1695,3435,1740,25
5350160.00,CT,Toronto,0.73445,3116,1246,1143,2495,1285,1210,1145,320,825,790,210,430,2490,1285,1210,115,270,475,205,1400,2700,1300,995,1985,990,15
5350161.00,CT,Toronto,0.81126,6839,2689,2537,5925,2830,3100,2535,510,2030,1925,490,1005,5925,2830,3095,380,405,910,505,3110,6345,3230,2120,4615,2495,55
5350162.00,CT,Toronto,0.57575,5119,2059,1952,4115,2000,2115,1915,540,1375,1305,365,620,4115,2000,2115,285,425,840,415,2190,4375,2190,1465,3020,1550,50
5350163.00,CT,Toronto,0.45422,4358,1882,1762,3800,1790,2015,1795,495,1305,1185,345,550,3800,1785,2010,260,420,880,460,1980,4150,2170,1150,2490,1340,125
5350164.00,CT,Toronto,0.62823,6258,2629,2515,5150,2445,2705,2485,650,1840,1730,540,755,5150,2445,2705,365,510,995,480,2835,5820,2990,1370,3010,1645,195
5350165.00,CT,Toronto,0.48493,4370,2031,1943,3600,1710,1890,1960,750,1205,1115,395,495,3605,1710,1890,165,470,1030,565,2050,4210,2160,675,1550,880,135
5350166.00,CT,Toronto,0.78603,4180,1691,1625,3380,1575,1800,1625,430,1195,1155,390,610,3380,1580,1800,125,235,640,405,1970,4150,2175,615,1465,850,35
5350167.01,CT,Toronto,0.13411,1879,1483,1312,1785,785,1000,1290,815,475,445,320,65,1785,785,1000,45,335,885,545,830,1835,1010,315,685,370,30
5350167.02,CT,Toronto,0.60145,5815,3143,2998,5085,2165,2920,2980,1345,1635,1455,590,450,5090,2170,2920,340,660,1825,1165,2490,5675,3180,1115,2540,1420,110
5350168.00,CT,Toronto,0.56552,5475,2665,2458,4775,2120,2655,2490,975,1515,1400,335,595,4775,2120,2655,395,550,1305,755,2430,5270,2840,1345,3060,1720,60
5350169.01,CT,Toronto,0.3781,3472,1457,1334,3010,1315,1695,1355,365,990,930,225,400,3015,1315,1695,240,265,645,385,1485,3295,1810,940,2285,1345,10
5350169.02,CT,Toronto,0.43778,7464,3318,3202,6410,2915,3495,3165,1115,2050,1925,540,870,6410,2915,3495,445,650,1495,850,3265,7070,3805,2225,4935,2710,40
5350170.00,CT,Toronto,1.01423,3321,1305,1201,2935,1415,1520,1215,245,970,915,235,495,2935,1410,1520,135,180,425,250,1555,3115,1565,1145,2420,1275,10
5350171.00,CT,Toronto,0.6081,4055,1613,1522,3130,1390,1740,1520,415,1100,1060,245,375,3130,1385,1740,400,235,575,345,1600,3555,1950,1040,2250,1215,10
5350172.00,CT,Toronto,1.21015,2522,1183,1128,2130,1010,1120,1130,445,680,650,110,275,2130,1005,1125,235,285,545,265,1220,2505,1280,545,1115,570,10
5350173.00,CT,Toronto,0.60145,3694,1528,1438,3030,1445,1580,1420,390,1025,945,140,395,3030,1450,1585,370,335,630,290,1815,3645,1830,885,1800,920,0
5350174.00,CT,Toronto,1.06328,7264,2751,2723,5645,2610,3035,2740,805,1935,1865,415,740,5645,2610,3035,635,535,1110,575,3105,6535,3435,1830,3870,2035,10
5350175.01,CT,Toronto,0.80126,6036,2551,2406,4940,2275,2670,2440,820,1620,1515,290,580,4940,2275,2665,560,600,1110,510,2745,5750,3000,1450,3090,1635,0
5350175.02,CT,Toronto,0.74248,7679,3813,3585,6235,2940,3295,3585,1575,2010,1865,465,590,6235,2940,3295,715,1100,1975,875,3565,7380,3820,1725,3585,1860,10
5350176.00,CT,Toronto,1.00471,4277,1697,1609,3425,1645,1780,1580,415,1160,1125,335,505,3430,1650,1780,225,300,585,285,1890,3935,2045,770,1710,940,20
5350180.00,CT,Toronto,0.6138,6556,2875,2765,5280,2460,2825,2765,940,1830,1710,475,715,5285,2460,2825,435,615,1285,675,2975,6170,3195,1455,3145,1695,35
5350181.01,CT,Toronto,0.57055,4313,1940,1858,3685,1750,1930,1865,575,1290,1220,440,565,3685,1750,1930,175,340,815,480,2005,4220,2210,590,1340,745,105
5350181.02,CT,Toronto,0.60182,3552,1664,1591,3005,1480,1525,1585,530,1055,980,330,400,3005,1480,1525,215,380,740,355,1710,3405,1700,565,1220,655,70
5350182.00,CT,Toronto,0.7605,5531,2297,2186,4400,2140,2260,2135,530,1605,1540,450,770,4400,2140,2260,255,325,710,390,2500,5100,2605,900,2005,1105,110
5350183.01,CT,Toronto,0.52409,2603,1048,1007,2230,1075,1155,1015,225,795,745,240,385,2230,1075,1155,110,175,355,180,1250,2540,1285,600,1220,615,65
5350183.02,CT,Toronto,0.42813,3938,1584,1522,3245,1545,1700,1575,395,1180,1145,370,610,3245,1545,1700,130,230,495,270,1930,3925,1995,620,1365,740,130
5350184.01,CT,Toronto,0.47406,5108,2346,2307,4175,1915,2260,2300,860,1440,1365,455,555,4175,1915,2260,285,485,1050,560,2295,4865,2575,1120,2485,1365,95
5350184.02,CT,Toronto,0.56201,3768,1694,1642,3180,1515,1670,1635,540,1095,1015,340,400,3180,1515,1670,225,385,775,395,1740,3565,1825,720,1540,820,50
5350185.01,CT,Toronto,0.49919,6810,3507,3394,5930,2800,3130,3390,1420,1965,1815,695,700,5930,2800,3130,360,865,1855,995,3190,6640,3450,1620,3515,1890,205
5350185.02,CT,Toronto,1.22887,4689,2305,2269,3950,1850,2100,2275,1015,1260,1160,445,435,3950,1850,2100,245,575,1260,685,2100,4365,2265,1000,2135,1135,90
5350186.00,CT,Toronto,1.91076,2416,949,913,1935,875,1055,895,240,655,635,170,360,1935,875,1055,100,85,305,215,1115,2385,1270,260,555,295,30
5350187.00,CT,Toronto,1.21045,3448,1424,1351,2915,1490,1420,1345,345,1005,980,275,525,2910,1490,1420,160,230,455,220,1790,3455,1670,755,1490,735,55
5350188.00,CT,Toronto,0.55199,2017,842,797,1645,750,895,810,235,570,545,170,290,1650,750,895,65,80,300,225,915,1940,1030,360,785,425,40
5350189.00,CT,Toronto,1.23951,5462,2226,2180,4535,2090,2445,2215,640,1570,1485,425,575,4540,2090,2445,435,430,960,530,2450,5210,2765,1045,2200,1155,25
5350190.01,CT,Toronto,0.40227,9127,3577,3507,7250,3635,3615,3505,945,2555,2360,535,1375,7250,3635,3615,365,910,1525,615,4500,8785,4285,3390,6760,3365,20
5350190.02,CT,Toronto,0.5813,4765,2102,2026,3835,1765,2070,2035,680,1350,1250,315,485,3835,1765,2070,405,445,925,485,2105,4465,2365,965,2110,1150,20
5350191.00,CT,Toronto,0.82303,4229,1853,1779,3670,1875,1790,1770,525,1245,1170,380,585,3670,1880,1795,180,445,780,340,2175,4200,2025,820,1725,905,40
5350192.00,CT,Toronto,0.92037,905,462,440,775,335,440,440,205,230,210,50,105,770,335,435,50,135,270,135,400,875,475,160,420,260,0
5350193.00,CT,Toronto,1.41592,3314,1070,1043,2580,1295,1285,1010,150,860,835,200,535,2580,1295,1285,65,130,245,120,1570,3110,1535,990,1980,985,10
5350194.01,CT,Toronto,0.2315,5498,1482,1463,3760,1945,1820,1505,200,1305,1245,130,965,3760,1940,1820,110,290,415,130,2770,5300,2535,2680,5210,2525,25
5350194.02,CT,Toronto,0.34635,6240,1934,1923,4180,2085,2095,1880,445,1435,1375,295,855,4180,2090,2095,175,345,615,270,2735,5370,2640,2300,4600,2295,10
5350194.03,CT,Toronto,0.25016,2933,1238,1229,2255,970,1285,1200,460,740,700,150,300,2250,970,1280,205,225,610,380,1195,2665,1465,895,2100,1205,0
5350194.04,CT,Toronto,2.29209,6437,2571,2508,5045,2345,2705,2540,810,1725,1680,405,950,5045,2350,2700,240,320,920,600,3020,6190,3170,2375,4785,2410,20
5350195.01,CT,Toronto,0.9462,4483,1656,1604,3510,1710,1800,1625,410,1215,1195,240,780,3510,1710,1800,160,215,475,260,2155,4410,2260,505,1175,665,60
5350195.02,CT,Toronto,0.37813,2317,920,894,1860,825,1030,925,270,650,645,180,375,1860,825,1035,85,75,300,230,1115,2380,1265,290,615,325,45
5350196.01,CT,Toronto,0.3774,1977,811,775,1555,685,870,750,200,550,540,205,270,1550,685,870,60,45,235,190,835,1870,1035,185,450,260,25
5350196.02,CT,Toronto,1.10548,5635,2376,2250,4505,2170,2330,2235,670,1570,1545,485,865,4500,2175,2330,185,295,750,455,2740,5540,2800,420,965,545,75
5350200.01,CT,Toronto,0.6408,5614,3143,3055,5020,2405,2620,3060,1405,1655,1535,705,360,5025,2400,2625,405,880,1720,845,2545,5350,2805,1405,2920,1520,70
5350200.02,CT,Toronto,0.14209,981,680,649,970,475,495,675,410,265,230,130,50,975,475,495,40,255,480,230,495,1025,530,170,350,180,15
5350201.00,CT,Toronto,0.75952,5371,2989,2776,4755,2295,2460,2795,1280,1515,1425,605,525,4755,2295,2465,275,775,1565,790,2495,5150,2650,1220,2650,1425,50
5350202.00,CT,Toronto,0.33589,1647,653,631,1345,655,690,630,135,490,470,125,250,1345,655,690,90,100,240,135,805,1615,815,230,540,315,25
5350203.00,CT,Toronto,0.58927,3160,1507,1431,2565,1215,1350,1390,535,860,800,310,320,2565,1210,1355,135,330,690,360,1380,2870,1485,515,1105,590,25
5350204.00,CT,Toronto,0.74088,4537,2310,2210,3820,1795,2020,2180,885,1300,1230,405,510,3815,1790,2025,260,490,1085,595,2190,4550,2365,575,1310,730,105
5350205.00,CT,Toronto,0.73372,149,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5350206.01,CT,Toronto,1.13878,4217,2151,2041,3590,1685,1905,2015,820,1200,1105,425,415,3590,1685,1910,245,580,1095,520,1910,4065,2155,720,1625,910,45
5350206.02,CT,Toronto,1.08513,5867,2994,2774,5135,2600,2530,2805,1050,1750,1590,590,600,5130,2600,2530,330,860,1490,625,2995,5810,2820,1050,2210,1160,65
5350207.00,CT,Toronto,0.67366,2605,1285,1181,2310,1195,1115,1190,425,770,630,235,235,2310,1195,1115,140,420,780,365,1295,2480,1185,530,1065,540,25
5350208.00,CT,Toronto,1.29403,4172,2062,1981,3550,1700,1850,2000,900,1105,1030,280,380,3550,1695,1855,335,535,1105,570,1985,4005,2025,905,1970,1060,25
5350209.00,CT,Toronto,0.69308,2718,1338,1252,2280,1070,1215,1240,560,685,630,185,245,2285,1065,1215,180,340,740,400,1210,2485,1275,510,1105,600,20
5350210.01,CT,Toronto,2.96012,3083,1008,971,2225,1125,1095,980,160,820,805,265,420,2225,1125,1095,90,100,230,125,1300,2565,1265,730,1450,725,20
5350210.02,CT,Toronto,0.94935,11390,9168,7016,10665,5010,5655,7010,3730,3280,3065,1895,650,10665,5010,5655,370,1890,4185,2295,5345,11225,5885,2525,5585,3060,85
5350211.00,CT,Toronto,3.27116,6350,2512,2447,5490,2720,2770,2450,595,1850,1805,535,850,5490,2715,2770,350,420,815,385,3055,6170,3120,1415,2865,1455,40
5350212.00,CT,Toronto,1.70654,5704,2220,2169,4775,2315,2460,2165,520,1650,1595,460,775,4775,2315,2460,285,350,740,390,2705,5570,2860,910,2020,1115,25
5350213.01,CT,Toronto,0.94226,2666,1021,990,2295,1135,1160,995,200,795,785,255,380,2290,1135,1155,115,150,290,140,1295,2570,1270,625,1330,705,15
5350213.02,CT,Toronto,7.04474,6045,3246,3134,5280,2545,2730,3110,1315,1795,1650,860,500,5280,2545,2730,230,765,1625,860,2745,5650,2905,1585,3495,1910,0
5350214.00,CT,Toronto,2.82378,5069,2466,2389,4490,2190,2300,2410,920,1490,1435,575,600,4490,2190,2295,220,535,1075,545,2460,4990,2525,1100,2475,1370,15
5350215.00,CT,Toronto,2.60049,6748,2991,2789,5710,2745,2970,2805,805,1995,1920,685,890,5710,2745,2965,290,460,1050,590,3135,6450,3315,1580,3270,1690,55
5350216.00,CT,Toronto,1.9993,5532,2238,2163,4540,2245,2295,2175,525,1655,1625,595,820,4545,2245,2300,180,275,610,335,2725,5415,2685,845,1730,890,50
5350217.00,CT,Toronto,1.33055,5692,2917,2756,4825,2340,2485,2740,1110,1630,1515,445,620,4825,2340,2485,395,740,1415,675,2705,5490,2785,1755,3500,1745,50
5350218.00,CT,Toronto,0.683,2652,1060,1025,2100,1005,1095,1000,195,800,785,265,430,2100,1000,1100,80,55,240,185,1315,2615,1295,285,650,365,30
5350219.00,CT,Toronto,1.36063,4427,1690,1644,3660,1725,1940,1660,380,1280,1255,335,690,3660,1725,1940,180,195,485,290,2095,4435,2345,790,1885,1105,50
5350220.00,CT,Toronto,1.32212,4177,1597,1584,3575,1755,1820,1630,385,1240,1215,340,635,3575,1750,1820,170,240,485,250,2085,4160,2070,1125,2245,1115,20
5350221.01,CT,Toronto,1.64542,6377,2751,2725,5535,2440,3095,2680,795,1885,1835,705,810,5535,2440,3095,275,260,915,655,2730,6105,3375,1105,2460,1355,20
5350221.02,CT,Toronto,0.80501,5202,2167,2064,4145,1995,2150,2060,665,1400,1330,375,615,4145,1995,2155,300,425,870,445,2290,4650,2355,1515,2975,1455,50
5350222.01,CT,Toronto,1.28483,6699,2626,2557,5625,2690,2940,2555,650,1905,1860,555,925,5630,2685,2940,305,355,850,500,3135,6445,3310,1935,4000,2060,0
5350222.02,CT,Toronto,1.2002,5141,1830,1782,3890,1845,2050,1785,365,1420,1385,305,675,3890,1840,2050,350,250,475,225,2315,4765,2450,1255,2650,1390,15
5350223.01,CT,Toronto,0.87242,1522,536,530,1265,610,655,525,75,450,450,125,265,1265,610,655,50,35,95,65,720,1475,750,365,740,370,10
5350223.02,CT,Toronto,0.87247,2136,793,771,1835,915,915,770,140,630,620,190,335,1830,920,915,85,80,185,105,1050,2090,1035,415,840,420,0
5350224.00,CT,Toronto,1.04417,1696,578,573,1400,680,720,560,65,500,495,140,305,1400,680,725,30,30,75,45,835,1680,840,360,700,340,0
5350225.01,CT,Toronto,0.93466,4981,2387,2316,4435,1985,2450,2320,795,1530,1470,595,525,4435,1985,2450,285,380,995,605,2195,4825,2630,1135,2595,1460,10
5350225.02,CT,Toronto,0.3048,9706,5006,4859,8300,3835,4460,4860,2180,2680,2505,1035,765,8300,3830,4465,540,1240,2695,1450,4250,9055,4805,2815,6040,3225,25
5350226.00,CT,Toronto,0.95333,3167,1262,1212,2495,1175,1320,1170,270,900,890,305,480,2495,1175,1325,80,130,300,170,1440,3015,1580,385,850,460,0
5350227.00,CT,Toronto,0.49184,1750,637,626,1530,720,800,640,95,540,535,170,320,1525,725,800,40,45,135,85,885,1840,950,205,460,255,0
5350228.00,CT,Toronto,0.883,3131,1418,1362,2670,1205,1460,1380,455,930,900,420,360,2670,1210,1460,115,155,510,355,1395,3045,1655,360,820,455,30
5350229.00,CT,Toronto,0.32031,1223,393,384,900,415,480,390,35,355,350,100,220,895,415,480,15,0,65,50,580,1235,655,80,230,145,0
5350230.01,CT,Toronto,1.50655,2537,1109,1082,2020,890,1130,1065,365,700,690,310,270,2025,890,1130,110,120,395,275,1025,2285,1255,495,1125,635,10
5350230.02,CT,Toronto,0.98584,6537,2775,2606,5550,2580,2965,2620,730,1900,1845,540,790,5545,2580,2965,450,385,910,525,2945,6205,3255,1990,4230,2235,10
5350231.00,CT,Toronto,3.02848,6461,2722,2566,5510,2665,2840,2565,700,1870,1805,610,910,5505,2665,2840,240,390,845,450,3100,6365,3265,1115,2360,1250,20
5350232.00,CT,Toronto,2.04605,3825,1348,1306,3175,1525,1650,1300,180,1125,1115,370,605,3175,1525,1650,85,55,210,155,1795,3710,1920,630,1365,735,0
5350233.00,CT,Toronto,2.0806,5530,2032,1982,4695,2280,2415,1995,310,1685,1660,450,880,4700,2285,2415,275,140,370,225,2725,5480,2760,1280,2650,1375,0
5350234.00,CT,Toronto,2.11718,4524,1645,1600,3660,1730,1930,1575,280,1295,1290,415,615,3665,1735,1930,235,140,325,180,2155,4400,2240,930,1995,1060,0
5350235.01,CT,Toronto,1.40707,2841,1009,997,2420,1195,1225,990,165,825,795,180,455,2420,1195,1225,140,125,240,110,1375,2760,1385,600,1220,620,10
5350235.02,CT,Toronto,1.07805,5277,2039,2010,4660,2200,2455,2035,475,1560,1540,415,720,4660,2200,2460,330,240,565,325,2450,5150,2695,1405,3135,1725,15
5350236.01,CT,Toronto,0.98685,6646,2560,2519,5625,2635,2995,2520,625,1895,1835,450,830,5625,2635,2995,465,370,845,480,3020,6380,3360,1875,3970,2095,15
5350236.02,CT,Toronto,4.07421,5946,2284,2256,5160,2430,2725,2270,520,1745,1710,510,870,5155,2435,2725,280,215,635,420,2735,5770,3035,1515,3310,1795,10
5350237.01,CT,Toronto,1.18532,6816,2468,2410,5370,2500,2870,2410,575,1840,1785,410,815,5370,2500,2870,515,405,750,345,3165,6595,3430,1935,4130,2195,0
5350237.02,CT,Toronto,0.95503,2986,1077,1061,2500,1215,1290,1075,190,885,870,225,490,2505,1215,1290,130,105,240,130,1475,2950,1475,785,1630,850,0
5350237.03,CT,Toronto,1.06898,5638,2626,2544,4905,2270,2635,2530,920,1610,1555,555,595,4905,2270,2635,325,355,1100,750,2530,5430,2905,1230,2745,1520,10
