GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4951: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4952: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4953: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4984: Total - Income statistics in 2015 for private households by household size - 25% sample data,v_CA16_4987: Total - Income statistics in 2015 for one-person private households - 25% sample data,v_CA16_4990: Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,v_CA16_4993: Total - Income statistics in 2015 for economic families in private households - 25% sample data,v_CA16_4996: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,v_CA16_4999: Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6752: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6753: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_5002: Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,v_CA16_5006: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5007: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_2605: Official languages,v_CA16_2604: Official languages,v_CA16_2606: Official languages,v_CA16_2614: Non-official languages,v_CA16_2613: Non-official languages,v_CA16_2615: Non-official languages,v_CA16_5807: Bicycle
5350022.00,CT,Toronto,0.55462,3883,1577,1504,3150,1515,1635,1500,355,1145,1140,285,650,3150,1515,1630,175,195,415,220,1965,4015,2050,265,620,355,85
5350023.00,CT,Toronto,0.68635,3208,1355,1286,2560,1205,1355,1290,405,890,880,340,420,2560,1210,1355,80,165,430,265,1450,3040,1590,195,410,215,55
5350024.00,CT,Toronto,0.70927,6887,3136,2963,5485,2605,2880,2960,980,1990,1900,670,870,5485,2605,2885,320,595,1235,645,3250,6785,3535,570,1140,570,215
5350025.00,CT,Toronto,0.52843,3456,1659,1610,2800,1335,1460,1595,615,985,935,345,405,2795,1335,1460,150,345,755,410,1655,3365,1710,315,750,435,105
5350026.00,CT,Toronto,0.77719,6486,2894,2695,5325,2600,2730,2695,840,1855,1735,560,775,5325,2595,2730,355,620,1255,635,3085,6205,3125,1120,2265,1145,250
5350027.00,CT,Toronto,0.48531,4390,1818,1724,3635,1820,1810,1740,465,1275,1205,435,505,3630,1825,1810,200,380,715,340,2060,3920,1855,820,1710,890,165
5350028.01,CT,Toronto,0.20716,1387,728,684,1150,580,570,680,280,395,385,165,160,1145,580,565,45,150,315,160,665,1340,675,170,340,170,50
5350028.02,CT,Toronto,0.46335,6198,3007,2836,5060,2405,2655,2825,1130,1695,1570,690,590,5060,2405,2655,200,630,1510,880,2595,5455,2855,945,2000,1055,240
5350029.00,CT,Toronto,0.68669,6987,3099,2962,5790,2880,2905,2950,1055,1890,1725,640,685,5790,2885,2910,330,810,1625,815,3050,6050,3000,1585,3190,1605,325
5350030.00,CT,Toronto,0.38708,4529,2319,2195,3830,1950,1885,2220,1040,1180,990,390,305,3830,1945,1880,235,815,1520,705,2215,4300,2080,1005,2145,1145,190
5350031.00,CT,Toronto,0.26375,6274,2864,2765,5215,2660,2560,2735,1100,1635,1480,390,630,5215,2655,2560,440,800,1465,665,2955,5715,2760,2050,4255,2210,110
5350032.00,CT,Toronto,0.4197,5363,2976,2641,3980,2440,1545,2685,1710,975,775,380,170,3980,2440,1545,175,1595,2280,690,2505,4135,1635,1030,1705,675,225
5350033.00,CT,Toronto,0.31957,5042,3010,2733,3925,2170,1755,2685,1625,1065,905,355,190,3925,2170,1760,310,1260,2045,785,2405,4330,1925,1210,2265,1055,115
5350034.01,CT,Toronto,0.12455,4554,2884,2268,3910,2090,1820,2345,1065,1275,915,485,215,3910,2090,1820,110,1055,1915,860,2185,4040,1850,1150,2205,1055,70
5350034.02,CT,Toronto,0.39824,5147,3409,3055,4560,2445,2110,3025,1680,1340,1000,535,200,4555,2450,2105,185,1375,2440,1065,2580,4795,2215,1145,2180,1035,95
5350035.00,CT,Toronto,0.66273,9876,6772,5707,9145,4260,4885,5715,2905,2815,2030,950,560,9145,4260,4885,300,2125,4700,2575,4505,9485,4975,3065,6685,3620,120
5350036.00,CT,Toronto,0.38343,5487,3641,3272,5180,2495,2690,3270,1795,1475,1165,610,255,5180,2495,2685,165,1270,2615,1340,2485,4985,2500,1415,3100,1685,210
5350037.00,CT,Toronto,0.45102,4494,2463,2116,4000,1980,2025,2120,945,1170,680,255,235,4005,1980,2020,135,1225,2375,1145,2025,3990,1970,1160,2480,1315,290
5350038.00,CT,Toronto,0.36616,3772,1820,1638,3285,1620,1665,1640,725,915,650,250,215,3285,1615,1665,135,885,1695,815,1520,2930,1415,905,2040,1130,275
5350039.00,CT,Toronto,0.31773,4192,1821,1709,3680,1740,1940,1705,625,1080,935,295,290,3675,1740,1935,330,620,1230,610,1620,3220,1595,1240,2590,1355,165
5350040.00,CT,Toronto,0.36873,4568,1961,1788,4015,2070,1940,1755,480,1275,1090,420,430,4015,2070,1940,180,695,1250,555,1850,3670,1820,1270,2510,1240,305
5350041.00,CT,Toronto,0.31712,3453,1588,1453,3090,1500,1590,1485,460,1030,820,330,285,3095,1505,1585,155,490,1065,575,1535,3060,1520,830,1805,975,310
5350042.00,CT,Toronto,0.48994,4570,2150,1965,4015,1935,2080,1955,640,1310,1050,440,405,4015,1935,2080,140,695,1430,735,2050,4120,2070,995,2065,1070,450
5350043.00,CT,Toronto,0.55392,3965,1863,1704,3365,1625,1735,1715,575,1140,965,425,385,3365,1625,1735,130,510,1130,620,1725,3410,1685,720,1580,865,315
5350044.00,CT,Toronto,0.49064,8825,5124,4629,7785,3775,4005,4590,2070,2520,1855,995,525,7785,3775,4005,185,1740,3645,1905,3950,8015,4060,1550,3295,1745,740
5350045.00,CT,Toronto,0.29514,3453,1567,1468,2890,1425,1465,1500,520,980,855,350,290,2895,1425,1465,165,400,865,470,1455,2925,1465,825,1775,950,290
5350046.00,CT,Toronto,0.42036,3281,1404,1330,2975,1465,1515,1340,335,1000,865,260,375,2975,1465,1510,195,420,790,365,1515,3010,1495,870,1880,1010,230
5350047.02,CT,Toronto,0.28694,3791,2083,1947,3250,1700,1545,1930,975,955,800,300,285,3245,1700,1545,175,790,1395,605,1835,3440,1605,950,1880,930,215
5350047.03,CT,Toronto,0.11809,703,376,361,675,360,315,370,150,220,200,100,80,675,355,320,15,115,205,90,405,770,365,150,285,135,85
5350047.04,CT,Toronto,0.27379,2846,1253,1180,2375,1110,1270,1195,355,840,780,275,350,2380,1110,1270,120,270,605,340,1385,2785,1400,420,1000,580,215
5350048.00,CT,Toronto,0.3349,3557,1660,1560,2915,1400,1515,1575,580,995,880,315,405,2915,1405,1515,130,480,930,445,1655,3365,1705,535,1140,605,265
5350049.00,CT,Toronto,0.46479,3663,1506,1426,2575,1220,1355,1390,485,905,835,320,350,2575,1215,1355,125,320,680,355,1475,3040,1565,375,785,410,230
5350050.01,CT,Toronto,1.46504,8746,4553,4336,7580,3410,4165,4340,1795,2550,2450,1130,980,7575,3415,4165,285,815,2030,1220,3955,8635,4680,1700,3835,2140,140
5350050.03,CT,Toronto,1.92412,1109,606,590,925,415,510,555,230,325,315,180,125,920,410,510,0,85,245,165,480,1045,560,200,425,225,10
5350050.04,CT,Toronto,0.77861,5008,2291,2212,4070,1860,2210,2205,815,1390,1320,410,565,4065,1855,2210,310,415,995,580,2305,4885,2580,800,1815,1015,105
5350051.00,CT,Toronto,0.69119,5399,2570,2313,4670,2265,2400,2385,875,1510,1385,570,605,4670,2270,2400,175,645,1350,705,2675,5415,2740,815,1670,860,325
5350052.00,CT,Toronto,0.50129,4077,1933,1839,3360,1555,1810,1820,645,1170,1065,410,470,3355,1550,1805,155,395,915,525,1795,3825,2030,575,1325,755,295
5350053.00,CT,Toronto,0.68317,5982,2840,2712,5195,2585,2610,2690,955,1735,1495,655,575,5195,2585,2605,200,835,1635,800,2705,5380,2670,1355,2955,1595,355
5350054.00,CT,Toronto,0.70239,5803,2975,2724,5240,2535,2700,2745,1055,1685,1425,605,515,5235,2535,2700,240,925,1840,920,2745,5525,2780,1385,2975,1585,420
5350055.00,CT,Toronto,0.27636,2763,1403,1320,2325,1090,1235,1305,555,745,580,295,200,2330,1095,1235,80,440,1000,560,1215,2530,1310,395,875,485,320
5350056.00,CT,Toronto,0.50948,4772,2170,2018,4370,2100,2270,2020,545,1470,1110,400,475,4370,2105,2265,155,730,1550,815,2230,4510,2290,985,2125,1145,495
5350057.00,CT,Toronto,0.26644,2311,1226,1108,2090,1055,1035,1080,410,670,495,265,130,2090,1055,1035,75,500,915,415,1110,2190,1075,405,860,460,210
5350058.00,CT,Toronto,0.38414,3980,2063,1888,3715,1755,1965,1935,725,1210,930,465,335,3715,1755,1965,100,710,1555,845,1830,3845,2005,675,1570,890,445
5350059.00,CT,Toronto,0.36663,3837,1621,1447,2940,1455,1485,1445,445,995,700,325,235,2945,1455,1490,85,635,1305,670,1525,3060,1530,610,1280,670,390
5350060.00,CT,Toronto,0.27159,2685,1669,1471,2540,1285,1255,1470,675,795,560,300,180,2535,1280,1255,70,630,1265,635,1360,2680,1320,460,1020,555,150
5350061.00,CT,Toronto,0.76722,1085,536,475,695,320,375,480,310,175,145,70,50,690,320,370,25,170,370,205,315,675,360,200,440,240,15
5350062.01,CT,Toronto,0.10685,5595,3852,3302,5045,2265,2775,3345,1745,1605,1325,735,355,5045,2270,2780,150,950,2335,1380,2420,5395,2970,1510,3390,1880,90
5350062.02,CT,Toronto,0.58534,9084,6837,5374,8635,4115,4520,5330,2660,2675,1835,990,395,8635,4115,4520,250,2230,4620,2390,4230,8855,4625,2725,5960,3230,105
5350063.03,CT,Toronto,0.09338,5104,3640,3405,4820,2515,2305,3355,2010,1350,1060,715,140,4820,2515,2305,110,1435,2620,1185,2560,4910,2350,1320,2595,1270,135
5350063.04,CT,Toronto,0.14093,3370,2409,2264,3015,1845,1170,2200,1490,705,495,355,55,3015,1845,1170,40,1220,1980,755,1830,3050,1215,670,1150,485,115
5350063.05,CT,Toronto,0.12992,4331,3429,2943,4320,2310,2015,2990,1805,1180,880,620,140,4315,2305,2015,85,1330,2460,1135,2360,4375,2020,1170,2345,1175,120
5350063.06,CT,Toronto,0.19221,5171,3761,3519,4985,3025,1960,3510,2185,1325,975,680,155,4985,3025,1960,75,1875,2950,1080,3100,5100,2005,1315,2310,990,130
5350064.00,CT,Toronto,0.19472,4311,2898,2683,3950,2380,1570,2665,1510,1155,890,625,140,3950,2385,1570,80,1290,2085,790,2450,4080,1630,1020,1840,825,175
5350065.01,CT,Toronto,0.08613,2483,1496,1394,2235,1245,990,1415,755,660,465,220,160,2235,1250,990,45,760,1210,455,1330,2390,1060,710,1455,750,70
5350065.02,CT,Toronto,0.14341,11821,5715,5481,9885,4920,4965,5480,2265,3220,2700,615,1170,9880,4920,4965,755,2000,3575,1580,5750,11375,5620,4025,8195,4170,230
5350066.00,CT,Toronto,0.32848,7608,4597,4425,6575,3725,2855,4415,2565,1850,1500,885,275,6580,3725,2855,235,2050,3370,1320,3880,6755,2880,1485,2835,1355,325
5350067.00,CT,Toronto,0.66344,1694,868,814,1475,820,660,795,260,540,495,275,150,1480,820,660,45,235,385,150,895,1680,785,200,380,180,125
5350068.00,CT,Toronto,0.43058,2367,1296,1203,2140,1175,970,1225,490,735,685,380,170,2135,1175,965,115,360,665,305,1240,2250,1010,335,680,340,260
5350069.00,CT,Toronto,0.87273,4923,2011,1894,4040,1980,2065,1915,495,1420,1350,465,655,4045,1975,2065,170,390,775,385,2285,4600,2310,805,1675,870,305
5350070.00,CT,Toronto,0.44642,3512,1774,1712,2905,1340,1565,1720,800,925,840,315,370,2910,1340,1570,115,405,970,570,1570,3320,1755,375,810,435,125
5350071.00,CT,Toronto,0.46398,3481,1521,1402,2780,1345,1430,1365,360,1010,975,320,450,2780,1350,1435,180,235,490,250,1655,3380,1720,380,865,485,185
5350072.01,CT,Toronto,0.40518,4586,1949,1864,3655,1675,1975,1830,595,1240,1195,325,470,3655,1675,1980,365,330,755,425,1990,4195,2205,795,1785,995,160
5350072.02,CT,Toronto,0.5369,3141,1320,1261,2630,1310,1320,1295,365,925,865,285,410,2630,1305,1320,125,310,555,245,1580,3105,1520,565,1050,490,145
5350073.00,CT,Toronto,0.35718,2605,1077,1007,2255,1165,1090,995,275,720,685,190,310,2255,1165,1090,150,265,495,230,1200,2320,1120,610,1130,520,80
5350074.00,CT,Toronto,0.3998,3848,1710,1598,3240,1560,1680,1575,470,1110,1000,295,435,3245,1560,1680,250,400,840,440,1745,3650,1905,760,1550,795,205
5350075.00,CT,Toronto,0.49858,4083,1839,1760,3350,1565,1780,1780,650,1130,1075,360,500,3345,1570,1780,175,330,815,485,1835,3775,1945,715,1490,775,125
5350076.00,CT,Toronto,0.45744,4415,1993,1937,3755,1705,2045,2000,690,1310,1260,410,570,3755,1710,2045,245,405,870,465,2065,4385,2320,570,1425,860,115
5350077.00,CT,Toronto,0.6104,4670,1968,1907,3555,1740,1815,1855,570,1290,1230,355,590,3555,1740,1810,255,420,765,345,2125,4335,2205,435,970,530,160
5350078.00,CT,Toronto,0.77495,6016,2980,2854,4980,2415,2560,2825,1120,1705,1640,595,665,4980,2420,2560,350,670,1305,635,2830,5850,3015,660,1395,740,135
5350079.00,CT,Toronto,1.01839,7327,2986,2887,5660,2615,3050,2925,860,2065,2020,605,1030,5665,2610,3055,365,420,1000,585,3250,7030,3785,600,1425,825,135
5350080.01,CT,Toronto,0.47192,3352,1496,1428,2810,1325,1490,1455,485,975,910,300,430,2810,1325,1485,155,295,680,385,1605,3310,1700,375,845,475,45
5350080.02,CT,Toronto,0.39054,4686,2073,2011,3835,1900,1935,1975,730,1245,1150,260,515,3835,1900,1940,295,595,1060,465,2200,4385,2185,1260,2590,1330,50
5350081.00,CT,Toronto,0.36798,2848,1140,1076,2305,1115,1185,1105,255,850,780,210,440,2300,1120,1190,125,220,435,220,1355,2700,1345,485,1000,510,75
5350082.00,CT,Toronto,0.3084,2766,1060,1027,2225,1055,1170,1055,250,800,735,245,375,2225,1055,1170,80,225,480,250,1235,2605,1370,525,1100,575,95
5350083.00,CT,Toronto,0.44642,4052,1908,1822,3425,1725,1695,1770,680,1090,1015,320,495,3420,1725,1695,150,500,875,375,1990,3840,1845,835,1695,860,125
5350084.00,CT,Toronto,0.40903,3810,1613,1498,2970,1400,1565,1490,455,1035,950,310,500,2970,1405,1565,125,290,685,395,1770,3630,1860,480,1125,640,120
5350085.00,CT,Toronto,0.49901,3994,2154,2078,3520,1775,1740,2090,1000,1090,960,430,365,3520,1780,1745,130,630,1285,660,1980,3880,1900,590,1160,565,135
5350086.00,CT,Toronto,1.1385,2661,965,921,2050,985,1065,905,145,760,705,260,370,2045,985,1065,70,115,300,180,1220,2500,1280,240,475,240,25
5350087.00,CT,Toronto,1.60971,5155,2652,2491,4560,2060,2495,2500,1030,1475,1420,730,540,4555,2060,2495,135,390,1185,795,2345,5170,2825,500,1205,710,135
5350088.00,CT,Toronto,0.22973,3249,1997,1821,2970,1395,1570,1825,870,955,865,520,180,2970,1395,1570,115,485,1095,615,1475,3115,1640,750,1690,940,40
