,City,GeoUID,Hour,PopulationCT,BicycleT,Area(sqKm),SumThBikes,BikesThDensity,BikesDensity,PopulationDensity,%Theft/sqKm,%PopulationBike
0,Ottawa,5050001.01,1.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
1,Ottawa,5050001.01,15.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
2,Ottawa,5050001.04,9.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
3,Ottawa,5050001.07,0.0,4193,15,0.97422,1,1.0264621953973436,15.396932930960153,4303.955985301061,0.06666666666666667,0.0035773908895778677
4,Ottawa,5050001.07,15.0,4193,15,0.97422,1,1.0264621953973436,15.396932930960153,4303.955985301061,0.06666666666666667,0.0035773908895778677
5,Ottawa,5050001.07,20.0,4193,15,0.97422,2,2.0529243907946872,15.396932930960153,4303.955985301061,0.13333333333333333,0.0035773908895778677
6,Ottawa,5050001.08,14.0,4632,0,4.60734,1,0.21704497605993917,0.0,1005.3523291096382,inf,0.0
7,Ottawa,5050001.08,23.0,4632,0,4.60734,1,0.21704497605993917,0.0,1005.3523291096382,inf,0.0
8,Ottawa,5050002.01,2.0,2885,35,2.71663,1,0.3681031277722767,12.883609472029685,1061.9775236230182,0.028571428571428574,0.012131715771230503
9,Ottawa,5050002.01,17.0,2885,35,2.71663,1,0.3681031277722767,12.883609472029685,1061.9775236230182,0.028571428571428574,0.012131715771230503
10,Ottawa,5050003.0,9.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
11,Ottawa,5050003.0,10.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
12,Ottawa,5050003.0,11.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
13,Ottawa,5050003.0,16.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
14,Ottawa,5050004.0,6.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
15,Ottawa,5050004.0,8.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
16,Ottawa,5050004.0,10.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
17,Ottawa,5050004.0,12.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
18,Ottawa,5050004.0,13.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
19,Ottawa,5050004.0,16.0,3824,55,1.94789,2,1.0267520239849273,28.2356806595855,1963.149869859181,0.03636363636363636,0.014382845188284518
20,Ottawa,5050004.0,17.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
21,Ottawa,5050004.0,21.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
22,Ottawa,5050006.0,12.0,4097,135,2.57261,1,0.3887102981019276,52.475890243760226,1592.5460913235975,0.007407407407407407,0.03295093971198438
23,Ottawa,5050011.01,13.0,6948,45,7.83925,1,0.12756322352265842,5.740345058519629,886.3092770354307,0.022222222222222223,0.006476683937823834
24,Ottawa,5050011.01,17.0,6948,45,7.83925,3,0.38268967056797526,5.740345058519629,886.3092770354307,0.06666666666666667,0.006476683937823834
25,Ottawa,5050011.01,23.0,6948,45,7.83925,1,0.12756322352265842,5.740345058519629,886.3092770354307,0.022222222222222223,0.006476683937823834
26,Ottawa,5050011.03,7.0,4009,45,1.38046,2,1.4487924315083378,32.5978297089376,2904.104428958463,0.04444444444444444,0.011224744325268148
27,Ottawa,5050011.03,18.0,4009,45,1.38046,1,0.7243962157541689,32.5978297089376,2904.104428958463,0.02222222222222222,0.011224744325268148
28,Ottawa,5050011.03,20.0,4009,45,1.38046,1,0.7243962157541689,32.5978297089376,2904.104428958463,0.02222222222222222,0.011224744325268148
29,Ottawa,5050011.03,23.0,4009,45,1.38046,1,0.7243962157541689,32.5978297089376,2904.104428958463,0.02222222222222222,0.011224744325268148
30,Ottawa,5050011.04,0.0,4607,110,2.03098,1,0.4923731400604634,54.16104540665098,2268.363056258555,0.00909090909090909,0.02387670935532885
31,Ottawa,5050011.04,7.0,4607,110,2.03098,1,0.4923731400604634,54.16104540665098,2268.363056258555,0.00909090909090909,0.02387670935532885
32,Ottawa,5050011.04,8.0,4607,110,2.03098,1,0.4923731400604634,54.16104540665098,2268.363056258555,0.00909090909090909,0.02387670935532885
33,Ottawa,5050011.04,19.0,4607,110,2.03098,1,0.4923731400604634,54.16104540665098,2268.363056258555,0.00909090909090909,0.02387670935532885
34,Ottawa,5050012.0,0.0,4367,50,1.52279,1,0.6566893662290926,32.83446831145463,2867.7624623224474,0.02,0.01144950767117014
35,Ottawa,5050012.0,6.0,4367,50,1.52279,2,1.3133787324581851,32.83446831145463,2867.7624623224474,0.04,0.01144950767117014
36,Ottawa,5050012.0,10.0,4367,50,1.52279,1,0.6566893662290926,32.83446831145463,2867.7624623224474,0.02,0.01144950767117014
37,Ottawa,5050012.0,11.0,4367,50,1.52279,1,0.6566893662290926,32.83446831145463,2867.7624623224474,0.02,0.01144950767117014
