GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle,v_CA16_5807: Bicycle.1,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Cost_of_Bike_in_2014-04-14,Cost_of_Bike_in_2014-04-21,Cost_of_Bike_in_2014-04-28,Cost_of_Bike_in_2014-05-05,Cost_of_Bike_in_2014-05-12,Density_Theft_Bikes_in_2014-04-14/Area,Density_Theft_Bikes_in_2014-04-21/Area,Density_Theft_Bikes_in_2014-04-28/Area,Density_Theft_Bikes_in_2014-05-05/Area,Density_Theft_Bikes_in_2014-05-12/Area
5350010.01,CT,Toronto,0.26263000000000003,5428.0,3281.0,3147.0,2020.0,5245.0,5245.0,1315.0,5240.0,4115.0,4730.0,4730.0,3925.0,225.0,225.0,85.6,3150.0,20670.2,5365.0,1350.0,1135.0,1135.0,2160.0,1810.0,3150.0,4865.0,4860.0,4865.0,4285.0,3150.0,65.0,40.0,75.0,190.0,195.0,230.0,215.0,210.0,63659.0,5365.0,635.0,610.0,11.4,700.0,0.0,789.87,0.0,80.0,1.6922836098101681,0.0,1.6922836098101681,0.0,1.6922836098101681
5350010.02,CT,Toronto,0.54735,7740.0,4628.0,4447.0,3165.0,7400.0,7400.0,2165.0,7395.0,5795.0,6830.0,6830.0,5425.0,370.0,370.0,84.8,4450.0,14144.7,7400.0,1710.0,1480.0,1480.0,3300.0,2770.0,4450.0,6830.0,6830.0,6830.0,5810.0,4450.0,130.0,75.0,170.0,295.0,265.0,275.0,265.0,275.0,53200.0,7400.0,1035.0,1040.0,14.1,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.4937796113460679,0.0,0.4937796113460679
5350011.0,CT,Toronto,0.9803700000000001,17549.0,15207.0,11891.0,9545.0,17415.0,17415.0,5235.0,17420.0,14175.0,16940.0,16935.0,14350.0,450.0,450.0,94.2,11890.0,17903.5,17420.0,3395.0,3185.0,3185.0,9935.0,8515.0,11890.0,16935.0,16940.0,16935.0,15035.0,11890.0,555.0,295.0,290.0,705.0,855.0,845.0,760.0,710.0,62924.0,17415.0,2560.0,2520.0,14.5,600.0,630.0,0.0,0.0,550.0,0.22667178944910826,0.22667178944910826,0.0,0.0,0.22667178944910826
5350012.01,CT,Toronto,0.41877,11658.0,7449.0,6881.0,5395.0,11630.0,11630.0,4340.0,11630.0,8600.0,10840.0,10840.0,8455.0,380.0,380.0,89.8,6880.0,27843.3,11630.0,2415.0,2060.0,2060.0,5830.0,4495.0,6880.0,10840.0,10840.0,10840.0,9050.0,6880.0,430.0,180.0,220.0,560.0,600.0,545.0,505.0,390.0,46814.0,11630.0,2520.0,2490.0,21.4,600.0,0.0,600.0,200.0,100.0,0.6284067500939469,0.0,0.6284067500939469,1.8852202502818405,0.6284067500939469
5350012.03,CT,Toronto,0.46643,8865.0,5997.0,5311.0,4030.0,8750.0,8745.0,3335.0,8745.0,6795.0,8275.0,8275.0,6785.0,140.0,140.0,91.6,5310.0,19003.2,8860.0,1920.0,1750.0,1750.0,4405.0,3420.0,5310.0,8405.0,8405.0,8405.0,7245.0,5310.0,225.0,95.0,115.0,325.0,370.0,405.0,390.0,380.0,57937.0,8865.0,1235.0,1320.0,14.9,0.0,1195.0,0.0,0.0,0.0,1.5313888778288582,1.5313888778288582,0.0,0.0,0.0
5350012.04,CT,Toronto,0.233,4899.0,3258.0,2956.0,2135.0,4920.0,4920.0,2065.0,4925.0,3755.0,4670.0,4670.0,3660.0,90.0,90.0,85.7,2955.0,21272.3,4875.0,1155.0,1040.0,1040.0,2240.0,1810.0,2955.0,4610.0,4615.0,4615.0,3865.0,2955.0,110.0,55.0,60.0,215.0,220.0,215.0,190.0,190.0,56811.0,4875.0,665.0,700.0,14.4,850.0,0.0,0.0,0.0,0.0,4.768717215069147,0.0,0.0,0.0,0.0
5350013.01,CT,Toronto,0.34314,6290.0,4499.0,4059.0,2910.0,6330.0,6330.0,2250.0,6325.0,4700.0,5985.0,5985.0,4655.0,40.0,40.0,85.1,4060.0,18332.8,6265.0,1400.0,1245.0,1245.0,3095.0,2665.0,4060.0,5980.0,5980.0,5980.0,4920.0,4060.0,150.0,65.0,120.0,235.0,255.0,255.0,200.0,225.0,57237.0,6270.0,965.0,910.0,14.5,3394.5,0.0,960.0,0.0,479.99,14.571312000932565,0.0,7.2856560004662825,0.0,7.2856560004662825
5350013.02,CT,Toronto,0.4179600000000001,8126.0,5270.0,4725.0,2960.0,8050.0,8050.0,3665.0,8045.0,5785.0,7535.0,7535.0,5400.0,65.0,65.0,79.4,4725.0,19449.5,8105.0,2080.0,1900.0,1900.0,3125.0,2670.0,4725.0,7540.0,7540.0,7540.0,5925.0,4725.0,190.0,80.0,115.0,285.0,285.0,290.0,265.0,240.0,64293.0,8110.0,1135.0,1045.0,12.9,0.0,300.0,0.0,0.0,400.0,0.0,3.6808822338538087,0.0,0.0,3.6808822338538087
5350014.0,CT,Toronto,0.47266,1242.0,975.0,691.0,375.0,1185.0,1185.0,430.0,1185.0,880.0,1115.0,1115.0,825.0,10.0,10.0,83.9,690.0,2628.0,1195.0,310.0,270.0,275.0,445.0,385.0,690.0,1120.0,1115.0,1115.0,825.0,690.0,55.0,10.0,15.0,25.0,25.0,20.0,30.0,20.0,70400.0,1195.0,210.0,185.0,15.5,200.0,0.0,0.0,0.0,800.0,21.156856937333387,21.156856937333387,0.0,0.0,42.313713874666774
5350015.0,CT,Toronto,0.28599,3663.0,2451.0,2226.0,1470.0,3650.0,3650.0,1240.0,3650.0,2635.0,3490.0,3490.0,2475.0,25.0,25.0,79.7,2225.0,12807.7,3595.0,890.0,775.0,775.0,1545.0,1345.0,2225.0,3400.0,3400.0,3400.0,2745.0,2230.0,65.0,40.0,60.0,135.0,125.0,140.0,140.0,140.0,67243.0,3595.0,485.0,465.0,12.9,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,13.986503024581275,0.0
5350016.0,CT,Toronto,0.65971,10101.0,6527.0,6180.0,4225.0,9715.0,9715.0,2970.0,9720.0,7680.0,9120.0,9120.0,7330.0,350.0,350.0,87.1,6180.0,15430.8,9715.0,2270.0,2035.0,2030.0,4440.0,3920.0,6180.0,9120.0,9120.0,9120.0,7805.0,6180.0,210.0,110.0,200.0,395.0,440.0,450.0,385.0,380.0,61440.0,9715.0,1515.0,1400.0,14.4,700.0,0.0,0.0,0.0,1050.0,0.4330907303425531,0.0,0.0,0.0,0.8661814606851062
5350017.0,CT,Toronto,1.37531,7906.0,5250.0,4663.0,3105.0,7875.0,7875.0,2765.0,7875.0,5445.0,7145.0,7145.0,4790.0,330.0,330.0,77.3,4660.0,5889.5,7875.0,1865.0,1395.0,1390.0,3250.0,2815.0,4665.0,7145.0,7140.0,7140.0,5470.0,4660.0,130.0,105.0,250.0,350.0,340.0,315.0,265.0,250.0,45084.0,7875.0,1670.0,1470.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350018.0,CT,Toronto,0.35178000000000004,2456.0,1319.0,1248.0,715.0,2390.0,2390.0,570.0,2390.0,1745.0,2080.0,2080.0,1510.0,135.0,135.0,79.3,1245.0,7081.9,2335.0,590.0,505.0,505.0,815.0,665.0,1245.0,2055.0,2055.0,2055.0,1670.0,1250.0,35.0,40.0,60.0,70.0,80.0,65.0,60.0,55.0,46464.0,2335.0,325.0,355.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350019.0,CT,Toronto,0.24894000000000002,3258.0,1410.0,1365.0,730.0,3080.0,3080.0,930.0,3075.0,2030.0,2670.0,2670.0,1670.0,120.0,120.0,70.0,1365.0,13089.6,3035.0,810.0,595.0,595.0,770.0,575.0,1365.0,2575.0,2580.0,2575.0,1805.0,1365.0,25.0,75.0,125.0,60.0,85.0,60.0,60.0,55.0,19264.0,3035.0,755.0,670.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350020.0,CT,Toronto,0.7386199999999999,2390.0,1028.0,1014.0,340.0,2420.0,2415.0,665.0,2420.0,1390.0,2005.0,2005.0,1275.0,35.0,35.0,64.2,1015.0,3236.3,2385.0,700.0,615.0,615.0,375.0,325.0,1010.0,1935.0,1935.0,1935.0,1415.0,1015.0,10.0,5.0,10.0,35.0,40.0,40.0,45.0,50.0,67968.0,2390.0,135.0,110.0,4.6,0.0,0.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,11.604652692086015
5350021.0,CT,Toronto,0.8680700000000001,5199.0,2830.0,2661.0,1460.0,5165.0,5165.0,1140.0,5165.0,3200.0,4425.0,4425.0,3005.0,180.0,180.0,70.7,2660.0,5977.9,5195.0,1350.0,1125.0,1125.0,1520.0,1330.0,2660.0,4490.0,4490.0,4490.0,3390.0,2660.0,75.0,55.0,130.0,175.0,145.0,145.0,130.0,120.0,39616.0,5195.0,700.0,615.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350022.0,CT,Toronto,0.55462,3883.0,1577.0,1504.0,415.0,4020.0,4015.0,590.0,4020.0,2220.0,3150.0,3150.0,2145.0,85.0,85.0,68.6,1505.0,6998.9,3865.0,1090.0,935.0,930.0,520.0,420.0,1505.0,3075.0,3075.0,3075.0,2380.0,1505.0,25.0,25.0,25.0,75.0,60.0,65.0,60.0,50.0,43200.0,3865.0,280.0,265.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350023.0,CT,Toronto,0.68635,3208.0,1355.0,1286.0,430.0,3045.0,3050.0,590.0,3045.0,1725.0,2565.0,2560.0,1670.0,55.0,55.0,67.8,1285.0,4673.7,3200.0,905.0,790.0,785.0,460.0,395.0,1290.0,2630.0,2635.0,2635.0,1980.0,1285.0,30.0,20.0,20.0,55.0,65.0,50.0,60.0,55.0,48896.0,3200.0,220.0,180.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350024.0,CT,Toronto,0.70927,6887.0,3136.0,2963.0,1235.0,6795.0,6790.0,1235.0,6795.0,4075.0,5480.0,5480.0,3880.0,215.0,215.0,68.9,2965.0,9713.7,6790.0,1890.0,1575.0,1575.0,1335.0,1095.0,2965.0,5485.0,5485.0,5480.0,4370.0,2965.0,55.0,45.0,75.0,170.0,145.0,145.0,135.0,130.0,39040.0,6790.0,675.0,580.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350025.0,CT,Toronto,0.5284300000000001,3456.0,1659.0,1610.0,755.0,3380.0,3375.0,640.0,3375.0,2195.0,2800.0,2800.0,1890.0,105.0,105.0,74.0,1610.0,6540.5,3405.0,940.0,755.0,760.0,835.0,680.0,1610.0,2845.0,2850.0,2845.0,2155.0,1610.0,20.0,45.0,95.0,105.0,95.0,70.0,60.0,70.0,30528.0,3405.0,565.0,510.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350026.0,CT,Toronto,0.7771899999999999,6486.0,2894.0,2695.0,1255.0,6470.0,6470.0,1840.0,6470.0,4170.0,5330.0,5325.0,3525.0,250.0,250.0,73.2,2695.0,8344.3,6470.0,1765.0,1390.0,1390.0,1400.0,995.0,2695.0,5325.0,5330.0,5325.0,3850.0,2695.0,80.0,70.0,135.0,170.0,135.0,155.0,150.0,130.0,27904.0,6470.0,1280.0,1160.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350027.0,CT,Toronto,0.48531,4390.0,1818.0,1724.0,715.0,4330.0,4330.0,1215.0,4330.0,2750.0,3635.0,3630.0,2290.0,165.0,165.0,70.3,1725.0,9046.0,4305.0,1170.0,925.0,925.0,930.0,615.0,1725.0,3600.0,3605.0,3600.0,2555.0,1725.0,40.0,30.0,60.0,115.0,95.0,95.0,70.0,80.0,27712.0,4305.0,825.0,750.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350028.01,CT,Toronto,0.20715999999999998,1387.0,728.0,684.0,315.0,1375.0,1370.0,300.0,1375.0,1005.0,1150.0,1150.0,950.0,50.0,50.0,79.8,680.0,6690.8,1350.0,375.0,325.0,325.0,375.0,315.0,685.0,1165.0,1165.0,1160.0,1010.0,685.0,15.0,5.0,15.0,35.0,40.0,45.0,40.0,40.0,57045.0,1355.0,120.0,105.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350028.02,CT,Toronto,0.46335,6198.0,3007.0,2836.0,1510.0,5900.0,5905.0,1665.0,5905.0,4040.0,5060.0,5060.0,3645.0,240.0,240.0,73.5,2835.0,13383.7,5965.0,1585.0,1350.0,1350.0,1715.0,1300.0,2835.0,5130.0,5130.0,5130.0,3985.0,2835.0,60.0,65.0,90.0,155.0,185.0,150.0,155.0,155.0,43072.0,5965.0,930.0,940.0,15.8,0.0,3000.0,0.0,0.0,0.0,0.0,0.89924822848099,0.0,0.0,0.0
5350029.0,CT,Toronto,0.6866899999999999,6987.0,3099.0,2962.0,1625.0,6770.0,6765.0,2415.0,6770.0,4250.0,5790.0,5790.0,3670.0,325.0,325.0,74.2,2965.0,10354.2,6870.0,1820.0,1445.0,1445.0,1770.0,1230.0,2965.0,5890.0,5890.0,5890.0,4205.0,2960.0,55.0,65.0,135.0,195.0,175.0,145.0,165.0,120.0,24896.0,6870.0,1545.0,1385.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350030.0,CT,Toronto,0.38708000000000004,4529.0,2319.0,2195.0,1520.0,4445.0,4440.0,1660.0,4440.0,2845.0,3830.0,3830.0,2460.0,190.0,190.0,81.5,2195.0,11893.4,4405.0,1030.0,770.0,775.0,1525.0,1180.0,2195.0,3850.0,3855.0,3850.0,2865.0,2195.0,105.0,95.0,85.0,175.0,185.0,130.0,115.0,110.0,33760.0,4410.0,1380.0,1180.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350031.0,CT,Toronto,0.26375,6274.0,2864.0,2765.0,1465.0,6235.0,6235.0,3350.0,6235.0,3710.0,5215.0,5215.0,2660.0,110.0,110.0,75.7,2765.0,24270.8,6265.0,1430.0,970.0,970.0,1685.0,1370.0,2765.0,5190.0,5190.0,5190.0,3105.0,2765.0,75.0,205.0,275.0,220.0,175.0,125.0,105.0,65.0,17984.0,6265.0,3135.0,2585.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350032.0,CT,Toronto,0.4197,5363.0,2976.0,2641.0,2280.0,4240.0,4245.0,1660.0,4245.0,2890.0,3985.0,3980.0,2260.0,225.0,225.0,79.3,2640.0,12781.2,4185.0,750.0,560.0,560.0,2275.0,1900.0,2640.0,3870.0,3875.0,3870.0,2435.0,2645.0,145.0,305.0,340.0,115.0,95.0,60.0,65.0,55.0,17317.0,4185.0,1935.0,1825.0,43.6,0.0,4000.0,465.0,375.0,0.0,0.0,1.0589574563841897,1.0589574563841897,1.0589574563841897,0.0
5350033.0,CT,Toronto,0.31956999999999997,5042.0,3010.0,2733.0,2045.0,4495.0,4495.0,1840.0,4495.0,2855.0,3925.0,3925.0,1890.0,115.0,115.0,79.8,2735.0,15780.9,4550.0,845.0,545.0,545.0,2310.0,1905.0,2735.0,4035.0,4035.0,4035.0,2370.0,2735.0,130.0,310.0,510.0,135.0,100.0,70.0,70.0,65.0,15115.0,4555.0,2445.0,2265.0,49.7,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2.7210477122111096
5350034.01,CT,Toronto,0.12455,4554.0,2884.0,2268.0,1915.0,4125.0,4125.0,1740.0,4125.0,2665.0,3910.0,3915.0,2595.0,70.0,70.0,87.3,2265.0,36578.3,3980.0,770.0,675.0,670.0,2145.0,1505.0,2270.0,3785.0,3785.0,3790.0,2865.0,2270.0,220.0,105.0,90.0,140.0,130.0,125.0,90.0,115.0,26848.0,3975.0,1125.0,1185.0,29.8,800.0,0.0,0.0,0.0,0.0,11.469862935137927,0.0,0.0,0.0,0.0
5350034.02,CT,Toronto,0.39824,5147.0,3409.0,3055.0,2440.0,4875.0,4880.0,1775.0,4880.0,3425.0,4560.0,4555.0,3030.0,95.0,95.0,86.8,3055.0,12922.4,4935.0,975.0,785.0,785.0,2595.0,2085.0,3055.0,4645.0,4645.0,4645.0,3595.0,3055.0,165.0,125.0,205.0,190.0,190.0,190.0,155.0,135.0,31664.0,4935.0,1465.0,1445.0,29.3,1050.0,500.0,300.0,935.0,450.0,5.286418134528769,2.6432090672643844,2.6432090672643844,5.286418134528769,5.286418134528769
5350035.0,CT,Toronto,0.66273,9876.0,6772.0,5707.0,4700.0,9845.0,9845.0,4165.0,9845.0,5970.0,9145.0,9145.0,5390.0,120.0,120.0,87.5,5705.0,14900.4,9835.0,1870.0,1530.0,1525.0,5135.0,3855.0,5710.0,9145.0,9145.0,9145.0,5895.0,5705.0,900.0,295.0,340.0,305.0,345.0,345.0,300.0,230.0,21280.0,9835.0,3780.0,3685.0,37.5,770.0,900.0,350.0,900.0,779.5,6.287125475935397,2.514850190374159,2.514850190374159,1.2574250951870796,13.831676047057874
5350036.0,CT,Toronto,0.38343,5487.0,3641.0,3272.0,2615.0,5515.0,5510.0,2340.0,5510.0,3550.0,5185.0,5180.0,3300.0,210.0,210.0,81.3,3275.0,14311.4,5460.0,1055.0,880.0,880.0,2925.0,2245.0,3275.0,5160.0,5160.0,5160.0,3630.0,3270.0,235.0,135.0,185.0,230.0,220.0,180.0,165.0,140.0,27936.0,5460.0,1675.0,1605.0,29.4,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,1.241922844301375
