,City,GeoUID,Hour,PopulationCT,BicycleT,Area(sqKm),SumThBikes,BikesThDensity,BikesDensity,PopulationDensity,%Theft/sqKm,%PopulationBike
0,Ottawa,5050001.01,12.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
1,Ottawa,5050001.01,20.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
2,Ottawa,5050001.01,22.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
3,Ottawa,5050001.04,12.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
4,Ottawa,5050001.04,13.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
5,Ottawa,5050001.04,18.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
6,Ottawa,5050001.05,11.0,5984,30,2.70025,2,0.7406721599851865,11.110082399777799,2216.091102675678,0.06666666666666667,0.005013368983957219
7,Ottawa,5050001.06,9.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
8,Ottawa,5050001.06,20.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
9,Ottawa,5050001.06,23.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
10,Ottawa,5050001.08,20.0,4632,0,4.60734,1,0.21704497605993917,0.0,1005.3523291096382,inf,0.0
11,Ottawa,5050002.01,16.0,2885,35,2.71663,1,0.3681031277722767,12.883609472029685,1061.9775236230182,0.028571428571428574,0.012131715771230503
12,Ottawa,5050002.02,20.0,3470,30,1.52026,1,0.6577822214621184,19.73346664386355,2282.5043084735507,0.03333333333333333,0.008645533141210375
13,Ottawa,5050003.0,8.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
14,Ottawa,5050004.0,2.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
15,Ottawa,5050004.0,6.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
16,Ottawa,5050004.0,9.0,3824,55,1.94789,2,1.0267520239849273,28.2356806595855,1963.149869859181,0.03636363636363636,0.014382845188284518
17,Ottawa,5050005.0,8.0,5876,130,2.2574400000000003,1,0.44297965837408737,57.58735558863136,2602.9484726061373,0.007692307692307692,0.022123893805309738
18,Ottawa,5050005.0,13.0,5876,130,2.2574400000000003,2,0.8859593167481747,57.58735558863136,2602.9484726061373,0.015384615384615384,0.022123893805309738
