,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
45,275,5350038.0,CT,Toronto,0.36616,3772,1820,1638,4,38656,2.5,17757,3605,1150,31.9,1395,38.7
46,165,5350039.0,CT,Toronto,0.31773,4192,1821,1709,4.4,38656,3.1,17790,4090,1485,36.3,1375,33.6
47,305,5350040.0,CT,Toronto,0.36873,4568,1961,1788,4,55744,2.6,21824,4545,840,18.5,1030,22.7
48,310,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,3.9,73643,2.7,27904,3425,510,14.9,605,17.7
49,450,5350042.0,CT,Toronto,0.48994,4570,2150,1965,3.9,61056,2.5,30062,4490,545,12.1,655,14.6
50,315,5350043.0,CT,Toronto,0.55392,3965,1863,1704,3.8,65792,2.4,34528,3765,490,13,570,15.1
51,740,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,3.8,56149,2.5,40499,8540,1230,14.4,1370,16
52,290,5350045.0,CT,Toronto,0.29514,3453,1567,1468,3.9,55488,2.6,29376,3235,465,14.4,485,15
53,230,5350046.0,CT,Toronto,0.42036,3281,1404,1330,3.9,48128,2.7,22315,3280,655,20,660,20.1
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,4.2,36480,2.8,19034,3780,1465,38.8,1325,35.1
