,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
184,10,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,4.1,55296,2.7,24576,3490,630,18.1,500,14.3
185,25,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,4.1,51552,2.6,27349,4720,640,13.6,530,11.2
186,15,5350160.0,CT,Toronto,0.73445,3116,1246,1143,3.9,42432,2.5,26560,3070,415,13.5,350,11.4
187,55,5350161.0,CT,Toronto,0.81126,6839,2689,2537,4,51157,2.6,25984,6840,990,14.5,845,12.4
188,50,5350162.0,CT,Toronto,0.57575,5119,2059,1952,3.9,55552,2.7,24056,4950,870,17.6,715,14.4
189,125,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,3.9,57152,2.6,24512,4335,705,16.3,625,14.4
190,195,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,3.8,54240,2.7,25579,6210,1000,16.1,890,14.3
191,135,5350165.0,CT,Toronto,0.48493,4370,2031,1943,3.8,55936,2.5,29376,4360,630,14.4,575,13.2
192,35,5350166.0,CT,Toronto,0.78603,4180,1691,1625,4,63232,2.6,27840,4130,475,11.5,445,10.8
193,30,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,3.4,68352,2.2,43104,1870,330,17.6,260,13.9
194,110,5350167.02,CT,Toronto,0.60145,5815,3143,2998,3.8,49818,2.5,29690,5730,1130,19.7,1045,18.2
195,60,5350168.0,CT,Toronto,0.56552,5475,2665,2458,3.8,47360,2.7,20621,5470,1330,24.3,1180,21.6
196,10,5350169.01,CT,Toronto,0.3781,3472,1457,1334,3.9,51840,2.7,26944,3430,565,16.5,510,14.9
197,40,5350169.02,CT,Toronto,0.43778,7464,3318,3202,3.9,54784,2.5,26816,7455,1385,18.6,1190,16
198,10,5350170.0,CT,Toronto,1.01423,3321,1305,1201,4.1,55680,2.6,25062,3320,460,13.9,405,12.2
199,10,5350171.0,CT,Toronto,0.6081,4055,1613,1522,4.1,38485,2.8,21760,3850,1140,29.6,880,22.9
200,10,5350172.0,CT,Toronto,1.21015,2522,1183,1128,3.8,40576,2.6,28192,2520,645,25.6,515,20.4
201,0,5350173.0,CT,Toronto,0.60145,3694,1528,1438,4.2,36800,2.8,19392,3690,1110,30.1,980,26.6
202,10,5350174.0,CT,Toronto,1.06328,7264,2751,2723,4,49536,2.8,29136,6935,1610,23.2,1270,18.3
203,0,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,4.2,40256,2.9,18792,5805,1835,31.6,1570,27
204,10,5350175.02,CT,Toronto,0.74248,7679,3813,3585,4,39501,2.8,20976,7635,2770,36.3,2335,30.6
205,20,5350176.0,CT,Toronto,1.00471,4277,1697,1609,4,54656,2.7,32576,4245,635,15,530,12.5
206,35,5350180.0,CT,Toronto,0.6138,6556,2875,2765,3.9,39808,2.6,24000,6365,1870,29.4,1545,24.3
207,105,5350181.01,CT,Toronto,0.57055,4313,1940,1858,3.7,62784,2.4,40619,4310,425,9.9,430,10
208,70,5350181.02,CT,Toronto,0.60182,3552,1664,1591,3.8,55104,2.5,21760,3540,765,21.6,630,17.8
209,110,5350182.0,CT,Toronto,0.7605,5531,2297,2186,3.8,68608,2.5,42027,5460,505,9.2,420,7.7
210,65,5350183.01,CT,Toronto,0.52409,2603,1048,1007,3.9,67840,2.6,41568,2595,290,11.2,215,8.3
211,130,5350183.02,CT,Toronto,0.42813,3938,1584,1522,3.9,71168,2.6,39168,3935,380,9.7,335,8.5
212,95,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,3.9,40320,2.5,24512,5090,1155,22.7,940,18.5
213,50,5350184.02,CT,Toronto,0.56201,3768,1694,1642,3.9,47360,2.5,31770,3760,670,17.8,580,15.4
214,205,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,3.7,45440,2.5,30208,6805,1680,24.7,1380,20.3
215,90,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,3.9,51520,2.4,36403,4525,880,19.4,720,15.9
216,30,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,4,87296,2.4,48000,2415,200,8.3,145,6
217,55,5350187.0,CT,Toronto,1.21045,3448,1424,1351,3.9,69717,2.4,36416,3450,355,10.3,270,7.8
218,40,5350188.0,CT,Toronto,0.55199,2017,842,797,3.9,75008,2.6,31552,2005,220,11,210,10.5
219,25,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,4,47168,2.6,29717,5290,1150,21.7,1000,18.9
220,20,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,3.9,43264,2.6,25216,9120,3230,35.4,2685,29.4
221,20,5350190.02,CT,Toronto,0.5813,4765,2102,2026,4,38272,2.6,23125,4765,1485,31.2,1320,27.7
222,40,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,3.8,57472,2.5,33301,4230,635,15,555,13.1
223,0,5350192.0,CT,Toronto,0.92037,905,462,440,3.8,36992,2.6,23360,900,225,25,210,23.3
224,10,5350193.0,CT,Toronto,1.41592,3314,1070,1043,4.3,57536,2.9,25440,3315,665,20.1,600,18.1
225,25,5350194.01,CT,Toronto,0.2315,5498,1482,1463,4.8,37504,2.9,19456,5495,3145,57.2,2580,47
226,10,5350194.02,CT,Toronto,0.34635,6240,1934,1923,4.6,36992,3,34432,5990,2830,47.2,2240,37.4
227,0,5350194.03,CT,Toronto,0.25016,2933,1238,1229,4.1,39296,2.6,19648,2930,1230,42,935,31.9
228,20,5350194.04,CT,Toronto,2.29209,6437,2571,2508,4.2,46208,2.5,39040,6425,2285,35.6,1835,28.6
229,60,5350195.01,CT,Toronto,0.9462,4483,1656,1604,3.9,73472,2.6,36096,4350,320,7.4,280,6.4
230,45,5350195.02,CT,Toronto,0.37813,2317,920,894,3.9,101120,2.6,51456,2315,135,5.8,95,4.1
231,25,5350196.01,CT,Toronto,0.3774,1977,811,775,3.9,75776,2.5,49792,1970,105,5.3,100,5.1
232,75,5350196.02,CT,Toronto,1.10548,5635,2376,2250,3.9,96256,2.5,47424,5585,380,6.8,355,6.4
233,70,5350200.01,CT,Toronto,0.6408,5614,3143,3055,3.8,42432,2.5,33984,5595,1540,27.5,1310,23.4
234,15,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,3.5,49792,2.3,33408,975,225,23.1,195,20
235,50,5350201.0,CT,Toronto,0.75952,5371,2989,2776,3.8,50816,2.4,26784,5320,1170,22,1025,19.3
236,25,5350202.0,CT,Toronto,0.33589,1647,653,631,3.9,67328,2.4,39232,1645,140,8.5,115,7
237,25,5350203.0,CT,Toronto,0.58927,3160,1507,1431,3.7,62421,2.5,36334,3115,410,13.2,380,12.2
238,105,5350204.0,CT,Toronto,0.74088,4537,2310,2210,3.8,57280,2.4,28736,4540,805,17.7,730,16.1
239,x,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,F,F,F,F,F,F,F,F,F
240,45,5350206.01,CT,Toronto,1.13878,4217,2151,2041,3.7,54656,2.5,36096,4210,640,15.2,535,12.7
241,65,5350206.02,CT,Toronto,1.08513,5867,2994,2774,3.7,51584,2.5,29845,5855,1135,19.4,985,16.8
242,25,5350207.0,CT,Toronto,0.67366,2605,1285,1181,3.8,49792,2.4,23488,2600,515,19.8,490,18.8
243,25,5350208.0,CT,Toronto,1.29403,4172,2062,1981,3.9,37312,2.7,19507,4150,1480,35.7,1220,29.4
244,20,5350209.0,CT,Toronto,0.69308,2718,1338,1252,3.8,52352,2.7,19840,2665,640,24,560,21
245,20,5350210.01,CT,Toronto,2.96012,3083,1008,971,3.8,73728,2.6,43200,2610,205,7.9,140,5.4
246,85,5350210.02,CT,Toronto,0.94935,11390,9168,7016,3.4,64000,2.3,58089,11380,1730,15.2,1485,13
247,40,5350211.0,CT,Toronto,3.27116,6350,2512,2447,4,69683,2.6,35456,6345,495,7.8,410,6.5
248,25,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,3.9,67200,2.7,36224,5685,490,8.6,440,7.7
249,15,5350213.01,CT,Toronto,0.94226,2666,1021,990,4,77568,2.6,39808,2660,180,6.8,145,5.5
250,0,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,3.5,65664,2.4,56934,5845,810,13.9,655,11.2
251,15,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,3.7,73728,2.4,54418,5070,480,9.5,385,7.6
252,55,5350215.0,CT,Toronto,2.60049,6748,2991,2789,3.8,70144,2.6,36864,6680,580,8.7,495,7.4
253,50,5350216.0,CT,Toronto,1.9993,5532,2238,2163,3.9,92416,2.3,47019,5445,380,7,320,5.9
254,50,5350217.0,CT,Toronto,1.33055,5692,2917,2756,3.7,43776,2.4,32032,5690,1600,28.1,1250,22
255,30,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,3.8,102144,2.6,63104,2650,100,3.8,95,3.6
256,50,5350219.0,CT,Toronto,1.36063,4427,1690,1644,4,76544,2.6,41190,4425,235,5.3,200,4.5
257,20,5350220.0,CT,Toronto,1.32212,4177,1597,1584,3.8,69120,2.6,37824,4075,390,9.6,305,7.5
258,20,5350221.01,CT,Toronto,1.64542,6377,2751,2725,3.9,74304,2.3,48427,6370,480,7.5,365,5.7
259,50,5350221.02,CT,Toronto,0.80501,5202,2167,2064,3.9,55680,2.6,35520,5010,1015,20.3,870,17.4
260,0,5350222.01,CT,Toronto,1.28483,6699,2626,2557,4,68693,2.7,43136,6695,715,10.7,620,9.3
261,15,5350222.02,CT,Toronto,1.2002,5141,1830,1782,4.1,38869,2.6,28544,4895,1095,22.4,895,18.3
262,10,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,3.9,75904,2.5,42112,1520,85,5.6,75,4.9
263,0,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,3.9,86272,2.3,38848,2120,130,6.1,120,5.7
264,0,5350224.0,CT,Toronto,1.04417,1696,578,573,3.9,92416,2.4,51200,1695,95,5.6,70,4.1
265,10,5350225.01,CT,Toronto,0.93466,4981,2387,2316,3.8,59776,2.4,47053,4980,680,13.7,555,11.1
266,25,5350225.02,CT,Toronto,0.3048,9706,5006,4859,3.7,44800,2.8,32128,9440,2635,27.9,2150,22.8
267,0,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,3.9,102144,2.6,51264,3165,140,4.4,130,4.1
268,0,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,4,123136,2.8,60288,1750,60,3.4,55,3.1
269,30,5350228.0,CT,Toronto,0.883,3131,1418,1362,3.9,75520,2.6,62208,3130,170,5.4,155,5
270,0,5350229.0,CT,Toronto,0.32031,1223,393,384,4.1,123904,2.8,49280,1125,45,4,40,3.6
271,10,5350230.01,CT,Toronto,1.50655,2537,1109,1082,3.9,81152,2.5,49920,2400,205,8.5,175,7.3
272,10,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,3.9,62272,2.6,37600,6335,850,13.4,615,9.7
273,20,5350231.0,CT,Toronto,3.02848,6461,2722,2566,4,72960,2.4,41779,6460,545,8.4,460,7.1
274,0,5350232.0,CT,Toronto,2.04605,3825,1348,1306,4,108544,2.6,66944,3825,170,4.4,150,3.9
275,0,5350233.0,CT,Toronto,2.0806,5530,2032,1982,3.9,69632,2.7,43968,5525,535,9.7,440,8
276,0,5350234.0,CT,Toronto,2.11718,4524,1645,1600,3.9,61568,3.1,40448,4515,490,10.9,380,8.4
277,10,5350235.01,CT,Toronto,1.40707,2841,1009,997,3.9,79104,2.6,41344,2840,165,5.8,130,4.6
278,15,5350235.02,CT,Toronto,1.07805,5277,2039,2010,3.9,67072,2.7,36480,5270,620,11.8,495,9.4
279,15,5350236.01,CT,Toronto,0.98685,6646,2560,2519,3.9,56576,2.8,35669,6455,1085,16.8,815,12.6
280,10,5350236.02,CT,Toronto,4.07421,5946,2284,2256,3.9,74069,2.6,43840,5895,525,8.9,380,6.4
281,0,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,4.3,43872,3,27307,6810,1815,26.7,1375,20.2
282,0,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,4,66688,2.8,33184,2980,320,10.7,220,7.4
283,10,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,3.8,59435,2.7,37152,5640,835,14.8,635,11.3
284,0,5350238.01,CT,Toronto,1.03807,3350,1259,1231,4,76288,2.5,45184,3345,210,6.3,140,4.2
285,10,5350238.02,CT,Toronto,0.98177,5244,2070,1953,4,53184,2.8,34688,5245,915,17.4,715,13.6
286,25,5350239.0,CT,Toronto,2.55782,6481,2511,2383,4.1,42112,2.8,33024,6475,1550,23.9,1235,19.1
287,10,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,3.9,82432,2.4,40448,3365,140,4.2,100,3
288,0,5350240.02,CT,Toronto,1.04495,6043,2621,2558,3.8,66304,2.5,37984,5635,770,13.7,550,9.8
289,10,5350241.0,CT,Toronto,1.0982,3231,1030,1003,4,72960,2.7,35712,2805,195,7,155,5.5
290,0,5350242.0,CT,Toronto,0.67084,1674,610,575,4.5,37376,3.1,21056,1675,515,30.7,385,23
291,10,5350243.01,CT,Toronto,0.31518,6658,2236,2142,4.8,46763,3.7,22229,6655,2435,36.6,1925,28.9
292,0,5350243.02,CT,Toronto,1.2154,3617,1342,1304,4.3,55936,3,31287,3610,570,15.8,465,12.9
293,10,5350244.01,CT,Toronto,1.45046,5677,2009,1945,4.2,57216,3,30144,5675,1065,18.8,805,14.2
294,10,5350244.02,CT,Toronto,1.46584,3779,1335,1274,4.4,41600,3.2,21600,3775,1130,29.9,890,23.6
295,25,5350245.0,CT,Toronto,1.42111,6934,2672,2567,4.2,48448,2.8,29120,6935,1375,19.8,1170,16.9
296,0,5350246.0,CT,Toronto,1.0727,3595,1317,1279,4.1,61099,2.8,21056,3425,555,16.2,470,13.7
297,10,5350247.01,CT,Toronto,17.35024,8727,2931,2748,4.5,53888,2.9,26880,8630,1395,16.2,1185,13.7
298,20,5350247.02,CT,Toronto,3.22582,7167,2537,2385,4.2,67072,2.8,30784,7165,885,12.4,780,10.9
299,0,5350248.02,CT,Toronto,1.23696,5671,1864,1784,4.8,42400,3.7,16576,5595,2070,37,1740,31.1
300,0,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,4.5,62080,2.9,24992,2615,330,12.6,265,10.1
301,30,5350248.04,CT,Toronto,1.51177,4771,1671,1496,4.4,57216,3.1,17643,4610,850,18.4,840,18.2
302,0,5350248.05,CT,Toronto,1.15519,4332,1413,1310,4.6,60288,3.1,17232,4175,790,18.9,770,18.4
303,0,5350249.01,CT,Toronto,0.82975,4650,1428,1341,4.5,71680,3.1,23552,4650,485,10.4,385,8.3
304,0,5350249.03,CT,Toronto,2.96801,5696,1704,1592,4.5,60032,3.3,26752,5690,960,16.9,710,12.5
305,15,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,4.6,56384,3,24704,3340,665,19.9,535,16
306,0,5350249.05,CT,Toronto,0.64364,5476,1584,1534,4.2,39680,3.2,18656,5430,1720,31.7,1320,24.3
307,0,5350250.01,CT,Toronto,1.40913,5432,1618,1545,4.5,47808,3.1,24789,5215,1045,20,875,16.8
308,15,5350250.02,CT,Toronto,1.99197,4928,1854,1735,4.3,50176,2.9,28075,4910,755,15.4,610,12.4
309,10,5350250.04,CT,Toronto,0.50556,6206,2057,1994,4.2,43648,3.1,26464,6205,1895,30.5,1510,24.3
310,10,5350250.05,CT,Toronto,0.70576,7607,2288,2270,4.4,48640,3.1,28352,7605,2320,30.5,1650,21.7
311,10,5350260.01,CT,Toronto,0.7288,6748,2431,2398,4.3,57216,2.8,30933,6740,1560,23.1,1155,17.1
312,10,5350260.04,CT,Toronto,0.1881,4147,1498,1480,4.3,39808,2.9,17920,4140,1850,44.7,1485,35.9
313,10,5350260.05,CT,Toronto,0.2543,4020,1369,1332,4.5,30144,2.9,19872,4015,2450,61,1980,49.3
314,0,5350260.06,CT,Toronto,0.95204,3348,1132,1116,4.4,46720,3,31872,3345,1040,31.1,865,25.9
315,20,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,4.2,62976,2.4,40422,3665,705,19.2,480,13.1
316,0,5350261.0,CT,Toronto,1.92395,5501,2284,2194,4.2,46720,2.9,18616,5180,1535,29.6,1220,23.6
317,0,5350262.01,CT,Toronto,0.67091,5736,2752,2728,3.8,48640,2.4,36544,5730,1225,21.4,960,16.8
318,20,5350262.02,CT,Toronto,2.16555,6273,2526,2490,4.1,46784,2.7,32256,6270,1695,27,1280,20.4
319,15,5350263.02,CT,Toronto,2.00598,3471,1680,1629,3.8,64896,2.3,50432,3325,450,13.5,370,11.1
320,15,5350263.03,CT,Toronto,1.56059,4906,2106,2060,3.8,58240,2.5,44544,4575,730,16,595,13
321,0,5350263.04,CT,Toronto,0.69962,6531,3616,3536,3.6,61184,2.4,49719,6395,1120,17.5,845,13.2
322,0,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,4.2,54336,3.2,61312,1300,170,13.1,160,12.3
323,25,5350265.0,CT,Toronto,2.6864,4756,1855,1742,4,95488,2.7,88576,4680,365,7.8,335,7.2
324,10,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,4.1,120064,2.7,62336,3205,275,8.6,280,8.7
325,10,5350267.0,CT,Toronto,2.71113,6368,2133,2062,4.1,78592,2.6,45696,6365,640,10.1,560,8.8
326,25,5350268.0,CT,Toronto,3.0571,6419,2938,2837,3.8,67072,2.4,47104,6335,765,12.1,645,10.2
327,0,5350269.01,CT,Toronto,0.75312,5056,2354,2081,3.9,46528,2.7,28800,5055,1670,33,1385,27.4
328,10,5350269.02,CT,Toronto,1.76908,2569,951,923,3.8,84224,2.7,53376,2565,230,9,210,8.2
329,0,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,4.1,53120,2.7,34752,4975,905,18.2,740,14.9
330,0,5350270.02,CT,Toronto,0.75775,4264,1636,1611,4.1,53120,2.7,38315,4255,725,17,560,13.2
331,15,5350271.01,CT,Toronto,0.8935,2429,899,893,4,85376,2.6,43648,2430,200,8.2,165,6.8
332,10,5350271.02,CT,Toronto,0.7092,4815,1765,1749,4,49792,2.7,29472,4810,1100,22.9,850,17.7
333,0,5350272.01,CT,Toronto,0.4552,5987,2408,2342,4,45184,2.8,29600,5980,1695,28.3,1350,22.6
334,10,5350272.02,CT,Toronto,0.99884,4705,1791,1763,4,66048,2.7,37547,4660,625,13.4,495,10.6
335,10,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,4.1,62720,2.9,33920,3905,475,12.2,405,10.4
336,10,5350273.02,CT,Toronto,1.28882,4160,1530,1477,3.9,57344,2.6,40128,4135,775,18.7,635,15.4
337,0,5350274.01,CT,Toronto,1.52481,4900,1788,1756,4,51520,2.6,36267,4900,820,16.7,715,14.6
338,0,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,3.9,70912,2.4,54080,4735,740,15.6,610,12.9
339,30,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,4.1,69461,2.6,55296,5785,455,7.9,355,6.1
340,10,5350276.01,CT,Toronto,1.22609,6446,2764,2642,4.1,59264,2.7,34155,6380,785,12.3,690,10.8
341,30,5350276.02,CT,Toronto,1.28263,6870,2514,2398,4.1,91904,2.6,36224,6865,515,7.5,505,7.4
342,20,5350277.0,CT,Toronto,1.02778,4084,1323,1220,4.8,71936,2.6,28736,4080,415,10.2,360,8.8
343,20,5350278.0,CT,Toronto,1.3337,7734,2944,2679,4.7,55104,2.7,25280,7720,1210,15.7,1050,13.6
344,20,5350279.01,CT,Toronto,1.21444,4028,1665,1523,4,53312,2.6,31723,4015,455,11.3,425,10.6
345,0,5350279.02,CT,Toronto,1.57835,6503,2195,2117,4.1,50944,2.7,27584,5810,920,15.8,710,12.2
346,15,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,4,44800,2.7,27952,7285,1760,24.2,1335,18.3
347,10,5350281.01,CT,Toronto,0.96206,6484,2324,2256,4.2,38560,2.8,21675,6480,1555,24,1250,19.3
348,0,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,4.4,43366,3.1,26240,3935,1060,26.9,825,21
349,0,5350282.0,CT,Toronto,2.22534,4480,1663,1607,4.1,66560,2.7,34944,4475,415,9.3,355,7.9
350,0,5350283.01,CT,Toronto,0.9285,5399,1965,1938,4.1,41024,2.9,21856,5220,1490,28.5,1120,21.5
351,0,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,4.3,32107,2.8,20592,4530,1600,35.3,1240,27.4
352,10,5350284.0,CT,Toronto,1.41266,6840,2427,2349,4,51243,2.7,27584,6600,1075,16.3,825,12.5
353,0,5350285.0,CT,Toronto,1.1118,3271,1269,1207,4.1,51584,2.7,27712,3265,420,12.9,335,10.3
354,10,5350286.0,CT,Toronto,3.24625,4273,1987,1704,4.1,48896,3,29472,4200,975,23.2,810,19.3
355,40,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,4.4,43563,2.8,27776,6270,1280,20.4,1095,17.5
356,10,5350287.03,CT,Toronto,0.48415,3432,1444,1305,5.1,36352,3.3,23328,3430,1390,40.5,1090,31.8
357,15,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,4.5,55936,2.5,26688,4465,785,17.6,665,14.9
358,65,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,4.1,51430,2.6,32432,9925,1425,14.4,1220,12.3
359,0,5350289.0,CT,Toronto,1.3028,4713,1779,1725,4.1,59392,2.6,28365,4690,680,14.5,600,12.8
360,0,5350290.01,CT,Toronto,0.94404,3620,1515,1475,4,41984,2.7,27328,3620,935,25.8,715,19.8
361,0,5350290.02,CT,Toronto,0.34585,1534,782,717,3.8,52608,2.4,39296,1530,310,20.3,240,15.7
362,0,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,4.2,50688,2.7,19776,4940,1005,20.3,845,17.1
363,0,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,4,46720,2.7,29760,2305,435,18.9,345,15
364,0,5350291.04,CT,Toronto,0.51571,1585,680,654,3.9,44416,2.6,36224,1585,300,18.9,235,14.8
365,10,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,4.2,51456,3.1,23520,6705,1300,19.4,1150,17.2
366,10,5350293.0,CT,Toronto,2.0619,6242,2197,2103,4.2,52672,2.8,33877,6240,810,13,645,10.3
367,0,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,4.1,47712,3,29355,4385,910,20.8,660,15.1
368,0,5350294.02,CT,Toronto,1.02545,4504,1453,1384,4.4,58784,3,24875,4500,620,13.8,510,11.3
369,0,5350295.0,CT,Toronto,1.0824,5180,2035,1907,4.1,47744,2.7,29472,5175,885,17.1,750,14.5
370,0,5350296.0,CT,Toronto,4.6433,64,19,19,3.5,x,3,x,x,x,x,x,x
371,15,5350297.01,CT,Toronto,1.13952,7313,3119,3027,3.9,57771,2.6,24885,7155,1395,19.5,1200,16.8
372,15,5350297.02,CT,Toronto,1.50956,6502,2716,2552,4.1,61760,2.6,25856,6495,1025,15.8,880,13.5
373,10,5350298.0,CT,Toronto,2.27223,4661,1605,1566,4.1,55040,2.6,26880,4660,515,11.1,430,9.2
374,20,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,4,61376,2.6,31808,6160,840,13.6,735,11.9
375,0,5350299.02,CT,Toronto,0.1593,5247,3019,2815,3.5,55424,2.2,41152,5240,1475,28.1,1320,25.2
376,10,5350300.0,CT,Toronto,1.03364,13667,7532,6956,3.6,55616,2.3,46581,13660,3790,27.7,3400,24.9
377,0,5350301.01,CT,Toronto,0.90166,2915,1087,1071,3.9,56000,2.6,35712,2910,410,14.1,345,11.9
378,10,5350301.03,CT,Toronto,0.2736,6949,2944,2789,3.9,48512,2.7,20624,6945,2445,35.2,2110,30.4
379,10,5350301.04,CT,Toronto,1.42622,5859,2615,2502,3.9,51776,2.7,26112,5855,1790,30.6,1530,26.1
380,20,5350302.01,CT,Toronto,1.2292100000000001,6253,2406,2358,3.9,67840,2.5,33600,6250,810,13,705,11.3
381,15,5350302.02,CT,Toronto,1.08389,6140,2092,2037,4,57152,2.6,20400,6135,1290,21,1165,19
382,0,5350302.03,CT,Toronto,0.69385,3425,1205,1124,4.1,50304,2.5,18272,3425,670,19.6,650,19
383,0,5350303.0,CT,Toronto,1.0632700000000002,5355,1893,1819,4,42624,2.7,20224,5345,1645,30.8,1400,26.2
384,0,5350304.01,CT,Toronto,0.24931,4541,1633,1610,3.9,46720,2.8,26752,4535,1370,30.2,1115,24.6
385,0,5350304.02,CT,Toronto,1.21224,4777,1885,1832,3.8,77312,2.6,50645,4590,545,11.9,465,10.1
386,0,5350304.03,CT,Toronto,0.9954700000000001,2898,994,968,4,52672,3,36224,2895,520,18,410,14.2
387,10,5350304.04,CT,Toronto,0.23444,3724,1415,1404,3.8,50304,2.6,27072,3720,1015,27.3,810,21.8
388,10,5350304.05,CT,Toronto,0.703,2847,1112,1096,4,66432,2.6,29184,2830,540,19.1,475,16.8
389,0,5350304.06,CT,Toronto,0.74893,5807,2258,2207,3.8,60480,2.5,27947,5800,1185,20.4,1015,17.5
390,10,5350305.01,CT,Toronto,2.44425,4451,1626,1564,3.9,78080,2.5,39552,4430,565,12.8,505,11.4
391,10,5350305.03,CT,Toronto,0.71145,4914,2338,2178,3.8,51584,2.4,41312,4905,1270,25.9,1070,21.8
392,10,5350305.04,CT,Toronto,1.00966,9133,5153,4822,3.4,44416,2.3,42453,8905,2660,29.9,2325,26.1
393,0,5350306.01,CT,Toronto,1.17222,4574,1586,1478,4.1,41728,3,21056,4575,1140,24.9,1005,22
394,10,5350306.02,CT,Toronto,1.1185200000000002,4793,1831,1714,4,57984,2.7,36395,4775,950,19.9,870,18.2
395,0,5350307.03,CT,Toronto,0.11010999999999999,5039,2359,2238,3.6,35115,2.4,34560,5030,2000,39.8,1720,34.2
396,10,5350307.04,CT,Toronto,0.15295,7035,3530,3360,3.6,49323,2.4,37248,7030,2270,32.3,1970,28
397,10,5350307.05,CT,Toronto,0.10463,3581,2038,1926,3.4,44672,2.3,30208,3580,1300,36.3,1155,32.3
398,0,5350307.06,CT,Toronto,0.10419,5424,2374,2266,3.7,40960,2.4,29472,5300,2020,38.1,1710,32.3
399,10,5350307.07,CT,Toronto,1.22458,6321,2651,2366,3.9,45120,2.5,25984,6300,1750,27.8,1565,24.8
400,40,5350308.02,CT,Toronto,1.42465,4310,1688,1588,4,72448,2.5,25280,4305,575,13.4,500,11.6
401,0,5350308.03,CT,Toronto,0.39669,1147,425,385,4,84736,3,27520,1145,140,12.2,135,11.8
402,15,5350308.04,CT,Toronto,1.08521,11479,5941,5576,3.7,46912,2.4,23219,11275,3820,33.9,3315,29.4
403,10,5350309.0,CT,Toronto,0.74182,6383,2354,2308,3.9,46635,2.7,22880,6200,1485,24,1260,20.3
404,0,5350310.01,CT,Toronto,1.42763,3512,1271,1204,3.9,70400,2.7,31744,3390,335,9.9,305,9
405,0,5350310.02,CT,Toronto,2.23548,5048,2028,1858,4,52480,2.6,26880,5030,925,18.4,700,13.9
