,City,GeoUID,Hour,PopulationCT,BicycleT,Area(sqKm),SumThBikes,BikesThDensity,BikesDensity,PopulationDensity,%Theft/sqKm,%PopulationBike
0,Ottawa,5050001.01,0.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
1,Ottawa,5050001.01,7.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
2,Ottawa,5050001.01,15.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
3,Ottawa,5050001.01,18.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
4,Ottawa,5050001.01,20.0,7982,45,2.00958,2,0.9952328347216831,22.39273878123787,3971.974243374237,0.044444444444444446,0.005637684790779253
5,Ottawa,5050001.01,22.0,7982,45,2.00958,1,0.49761641736084156,22.39273878123787,3971.974243374237,0.022222222222222223,0.005637684790779253
6,Ottawa,5050001.04,0.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
7,Ottawa,5050001.04,6.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
8,Ottawa,5050001.04,9.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
9,Ottawa,5050001.04,13.0,2718,15,1.36066,2,1.4698749136448488,11.024061852336366,1997.5600076433495,0.13333333333333333,0.005518763796909493
10,Ottawa,5050001.04,14.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
11,Ottawa,5050001.04,16.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
12,Ottawa,5050001.04,18.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
13,Ottawa,5050001.04,20.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
14,Ottawa,5050001.05,21.0,5984,30,2.70025,1,0.37033607999259327,11.110082399777799,2216.091102675678,0.03333333333333333,0.005013368983957219
15,Ottawa,5050001.06,10.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
16,Ottawa,5050001.06,16.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
17,Ottawa,5050001.06,18.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
18,Ottawa,5050001.06,20.0,6111,25,1.25433,1,0.7972383662991398,19.930959157478494,4871.923656454043,0.04,0.004090983472426771
