,City,GeoUID,Hour,PopulationCT,BicycleT,Area(sqKm),SumThBikes,BikesThDensity,BikesDensity,PopulationDensity,%Theft/sqKm,%PopulationBike
0,Ottawa,5050001.04,9.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
1,Ottawa,5050001.04,13.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
2,Ottawa,5050001.04,15.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
3,Ottawa,5050001.04,18.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
4,Ottawa,5050001.04,20.0,2718,15,1.36066,2,1.4698749136448488,11.024061852336366,1997.5600076433495,0.13333333333333333,0.005518763796909493
5,Ottawa,5050001.04,21.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
6,Ottawa,5050001.04,22.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
7,Ottawa,5050001.04,23.0,2718,15,1.36066,1,0.7349374568224244,11.024061852336366,1997.5600076433495,0.06666666666666667,0.005518763796909493
8,Ottawa,5050001.05,1.0,5984,30,2.70025,1,0.37033607999259327,11.110082399777799,2216.091102675678,0.03333333333333333,0.005013368983957219
9,Ottawa,5050001.06,19.0,6111,25,1.25433,2,1.5944767325982796,19.930959157478494,4871.923656454043,0.08,0.004090983472426771
10,Ottawa,5050001.07,10.0,4193,15,0.97422,1,1.0264621953973436,15.396932930960153,4303.955985301061,0.06666666666666667,0.0035773908895778677
11,Ottawa,5050001.07,11.0,4193,15,0.97422,1,1.0264621953973436,15.396932930960153,4303.955985301061,0.06666666666666667,0.0035773908895778677
12,Ottawa,5050001.08,5.0,4632,0,4.60734,1,0.21704497605993917,0.0,1005.3523291096382,inf,0.0
13,Ottawa,5050001.08,8.0,4632,0,4.60734,1,0.21704497605993917,0.0,1005.3523291096382,inf,0.0
14,Ottawa,5050002.01,18.0,2885,35,2.71663,1,0.3681031277722767,12.883609472029685,1061.9775236230182,0.028571428571428574,0.012131715771230503
15,Ottawa,5050002.05,19.0,5116,20,1.36697,1,0.7315449497794392,14.630898995588783,3742.583963071611,0.05,0.003909304143862392
16,Ottawa,5050002.05,21.0,5116,20,1.36697,1,0.7315449497794392,14.630898995588783,3742.583963071611,0.05,0.003909304143862392
17,Ottawa,5050003.0,7.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
18,Ottawa,5050003.0,13.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
19,Ottawa,5050003.0,17.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
20,Ottawa,5050003.0,18.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
21,Ottawa,5050003.0,22.0,4617,90,3.41733,1,0.2926261145397137,26.336350308574236,1351.0547708298584,0.01111111111111111,0.01949317738791423
22,Ottawa,5050004.0,7.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
23,Ottawa,5050004.0,8.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
24,Ottawa,5050004.0,13.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
25,Ottawa,5050004.0,17.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
26,Ottawa,5050004.0,19.0,3824,55,1.94789,1,0.5133760119924636,28.2356806595855,1963.149869859181,0.01818181818181818,0.014382845188284518
27,Ottawa,5050004.0,21.0,3824,55,1.94789,2,1.0267520239849273,28.2356806595855,1963.149869859181,0.03636363636363636,0.014382845188284518
28,Ottawa,5050005.0,10.0,5876,130,2.2574400000000003,1,0.44297965837408737,57.58735558863136,2602.9484726061373,0.007692307692307692,0.022123893805309738
29,Ottawa,5050005.0,12.0,5876,130,2.2574400000000003,1,0.44297965837408737,57.58735558863136,2602.9484726061373,0.007692307692307692,0.022123893805309738
30,Ottawa,5050005.0,15.0,5876,130,2.2574400000000003,1,0.44297965837408737,57.58735558863136,2602.9484726061373,0.007692307692307692,0.022123893805309738
31,Ottawa,5050005.0,16.0,5876,130,2.2574400000000003,1,0.44297965837408737,57.58735558863136,2602.9484726061373,0.007692307692307692,0.022123893805309738
32,Ottawa,5050005.0,22.0,5876,130,2.2574400000000003,1,0.44297965837408737,57.58735558863136,2602.9484726061373,0.007692307692307692,0.022123893805309738
33,Ottawa,5050006.0,7.0,4097,135,2.57261,1,0.3887102981019276,52.475890243760226,1592.5460913235975,0.007407407407407407,0.03295093971198438
34,Ottawa,5050006.0,10.0,4097,135,2.57261,1,0.3887102981019276,52.475890243760226,1592.5460913235975,0.007407407407407407,0.03295093971198438
35,Ottawa,5050007.01,15.0,2230,45,0.8350700000000001,1,1.1975044008286728,53.88769803729028,2670.4348138479404,0.022222222222222223,0.020179372197309416
36,Ottawa,5050007.02,13.0,4681,20,0.42172,1,2.3712415820923836,47.424831641847675,11099.781845774449,0.049999999999999996,0.004272591326639607
