,City,GeoUID,Occurrence_Month,Occurrence_Time,Occurrence_Day,PopulationCT,BicycleT,Area(sqKm),CountTheft
0,Ottawa,5050011.03,10.0,12:00:00,31.0,4009,45,1.38046,1
1,Ottawa,5050031.0,12.0,17:35:00,15.0,5349,20,2.1286400000000003,1
2,Ottawa,5050040.0,12.0,16:53:00,17.0,3955,245,0.38167,1
3,Ottawa,5050045.0,4.0,08:15:00,1.0,8450,355,5.167730000000001,1
4,Ottawa,5050045.0,8.0,00:00:00,1.0,8450,355,5.167730000000001,1
5,Ottawa,5050045.0,10.0,09:00:00,1.0,8450,355,5.167730000000001,1
6,Ottawa,5050051.0,12.0,00:00:00,1.0,4384,190,0.59539,1
7,Ottawa,5050138.0,7.0,10:00:00,28.0,7492,35,1.54358,1
8,Toronto,5350001.0,1.0,00:00,15.0,595,30,6.62211,1
9,Toronto,5350001.0,1.0,11:45,15.0,595,30,6.62211,1
10,Toronto,5350001.0,5.0,12:40,3.0,595,30,6.62211,1
11,Toronto,5350001.0,6.0,17:00,30.0,595,30,6.62211,1
12,Toronto,5350001.0,6.0,18:00,30.0,595,30,6.62211,1
13,Toronto,5350001.0,6.0,18:50,16.0,595,30,6.62211,1
14,Toronto,5350001.0,7.0,10:15,24.0,595,30,6.62211,1
15,Toronto,5350001.0,8.0,17:10,10.0,595,30,6.62211,1
16,Toronto,5350001.0,8.0,19:55,14.0,595,30,6.62211,1
17,Toronto,5350001.0,9.0,16:30,8.0,595,30,6.62211,1
18,Toronto,5350001.0,9.0,20:15,4.0,595,30,6.62211,1
19,Toronto,5350001.0,12.0,17:15,3.0,595,30,6.62211,1
20,Toronto,5350002.0,6.0,23:30,7.0,620,75,3.2947,1
21,Toronto,5350002.0,9.0,01:40,5.0,620,75,3.2947,1
22,Toronto,5350003.0,7.0,09:40,9.0,749,20,0.94253,1
23,Toronto,5350003.0,8.0,12:00,9.0,749,20,0.94253,1
24,Toronto,5350003.0,8.0,13:00,17.0,749,20,0.94253,1
25,Toronto,5350003.0,12.0,10:00,20.0,749,20,0.94253,2
26,Toronto,5350004.0,1.0,07:34,1.0,6686,385,0.34347,1
27,Toronto,5350004.0,4.0,12:00,3.0,6686,385,0.34347,1
28,Toronto,5350004.0,4.0,14:30,16.0,6686,385,0.34347,1
29,Toronto,5350004.0,5.0,02:00,25.0,6686,385,0.34347,1
30,Toronto,5350004.0,6.0,00:01,16.0,6686,385,0.34347,1
31,Toronto,5350004.0,9.0,12:00,5.0,6686,385,0.34347,1
32,Toronto,5350004.0,10.0,00:01,9.0,6686,385,0.34347,1
33,Toronto,5350004.0,10.0,13:05,12.0,6686,385,0.34347,1
34,Toronto,5350005.0,5.0,11:00,21.0,6424,320,0.37611999999999995,1
35,Toronto,5350005.0,7.0,00:00,16.0,6424,320,0.37611999999999995,1
36,Toronto,5350005.0,8.0,18:00,22.0,6424,320,0.37611999999999995,1
37,Toronto,5350005.0,9.0,13:00,13.0,6424,320,0.37611999999999995,1
38,Toronto,5350005.0,10.0,12:30,11.0,6424,320,0.37611999999999995,1
39,Toronto,5350005.0,12.0,15:00,4.0,6424,320,0.37611999999999995,1
40,Toronto,5350007.01,2.0,17:00,4.0,3237,185,0.19931,1
