,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2447: Median total income of economic families in 2015 ($),v_CA16_2449: Average family size of economic families,v_CA16_2451: Median total income of couple economic families without children or other relatives in 2015 ($),v_CA16_2453: Average family size of couple economic families without children or other relatives,v_CA16_2455: Median total income of couple economic families with children in 2015 ($)
50,315,5350043.0,CT,Toronto,0.55392,3965,1863,1704,135,125,80,95,85,100096,2.8,91712,2,133120
51,740,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,390,360,345,315,295,94131,2.6,94720,2,118528
52,290,5350045.0,CT,Toronto,0.29514,3453,1567,1468,110,100,110,80,70,81408,2.8,75264,2,106496
53,230,5350046.0,CT,Toronto,0.42036,3281,1404,1330,105,90,85,75,60,74240,3,73984,2,102144
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,110,115,70,75,60,56512,2.9,63936,2,68864
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,25,20,25,20,30,118784,2.7,116224,2,139264
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,80,75,65,65,55,108032,3,88064,2,143019
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,105,95,85,80,75,104576,2.9,84429,2,147456
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,85,85,80,85,60,117120,2.9,100224,2,172032
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,300,310,290,270,250,121372,2.7,109184,2,159488
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,30,40,40,40,45,122880,2.5,115072,2,156160
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,160,125,110,95,95,112640,3,107264,2,173568
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,155,155,110,100,110,127181,2.9,97963,2,203264
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,140,120,105,105,80,113664,2.9,103680,2,149760
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,195,215,190,145,135,82560,2.8,79232,2,101461
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,220,195,165,140,110,75861,2.8,67584,2,103808
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,100,75,80,75,60,102656,2.8,90112,2,135680
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,135,135,140,95,80,102315,2.8,87424,2,136704
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,80,90,70,55,45,103552,2.7,93952,2,137045
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,125,105,110,85,85,101120,2.7,88320,2,163584
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,100,95,80,70,50,105216,2.7,84224,2,148992
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,80,85,85,60,50,109056,2.5,105856,2,145920
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,30,20,15,20,10,65792,2.6,62592,2.1,89600
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,250,200,230,145,125,57600,2.4,67776,2,56256
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,270,270,220,230,195,83610,2.4,112640,2,82261
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,275,250,230,180,160,87296,2.2,100096,2,77568
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,155,130,125,105,85,79808,2.3,96256,2,70912
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,215,205,220,150,140,77875,2.2,83883,2,71680
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,335,280,225,185,150,84992,2.3,90048,2,83712
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,190,175,155,125,140,98048,2.3,101120,2,126208
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,155,125,90,90,50,61867,2.6,62720,2,73728
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,470,300,280,185,150,45972,3,44288,2,53488
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,335,315,270,215,205,81408,2.4,91776,2,91392
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,35,40,35,35,25,185856,2.6,172800,2,254464
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,55,65,45,45,40,130944,2.5,143872,2,162048
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,120,85,85,70,65,138825,3,120320,2,176128
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,135,110,90,90,80,126037,2.8,99200,2,193792
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,65,80,65,50,65,143053,3,123648,2,198912
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,95,110,80,60,55,75584,3.1,94976,2,120192
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,70,55,60,60,60,113536,3.1,128000,2,132608
90,80,5350073.0,CT,Toronto,0.35718,2605,1077,1007,65,60,60,55,50,87296,3,93440,2,110336
91,205,5350074.0,CT,Toronto,0.3998,3848,1710,1598,90,90,75,85,95,86784,3,91392,2,108288
92,125,5350075.0,CT,Toronto,0.49858,4083,1839,1760,80,105,80,90,80,106291,3.1,100352,2,134042
93,115,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,105,100,80,105,85,104149,2.9,100096,2,136590
94,160,5350077.0,CT,Toronto,0.6104,4670,1968,1907,85,95,85,70,65,126635,3.1,121003,2,153259
95,135,5350078.0,CT,Toronto,0.77495,6016,2980,2854,150,140,120,130,105,111770,2.8,115200,2,144725
96,135,5350079.0,CT,Toronto,1.01839,7327,2986,2887,130,150,120,115,135,135319,3.1,122880,2,166400
97,45,5350080.01,CT,Toronto,0.47192,3352,1496,1428,70,80,90,75,70,107691,2.9,110251,2,133120
98,50,5350080.02,CT,Toronto,0.39054,4686,2073,2011,180,130,85,80,80,53824,3.1,54976,2,63360
99,75,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,60,55,55,50,50,109483,3.1,82176,2,133376
100,95,5350082.0,CT,Toronto,0.3084,2766,1060,1027,55,60,60,40,40,126208,3.1,96768,2,156331
101,125,5350083.0,CT,Toronto,0.44642,4052,1908,1822,105,95,80,65,75,108971,3,85632,2,157901
102,120,5350084.0,CT,Toronto,0.40903,3810,1613,1498,75,60,70,50,55,143053,3.1,112384,2,200192
103,135,5350085.0,CT,Toronto,0.49901,3994,2154,2078,150,140,125,140,75,113792,2.8,92928,2,189952
104,25,5350086.0,CT,Toronto,1.1385,2661,965,921,30,10,30,15,20,339456,3.2,269824,2,484864
105,135,5350087.0,CT,Toronto,1.60971,5155,2652,2491,105,120,120,100,115,225280,2.8,181760,2,451584
106,40,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,110,95,110,100,85,114432,2.4,125824,2,128128
107,35,5350089.0,CT,Toronto,0.32969,3896,2995,2345,95,110,85,95,75,163328,2.3,182656,2,198144
108,55,5350090.0,CT,Toronto,0.39427,4144,2584,2347,140,145,135,110,75,151040,2.5,148651,2,230400
109,245,5350091.01,CT,Toronto,0.51145,6031,3639,3224,225,165,150,145,135,124928,2.4,130944,2,160768
110,230,5350091.02,CT,Toronto,0.32714,3525,2288,2009,110,110,75,65,60,105626,2.5,115328,2,153344
111,560,5350092.0,CT,Toronto,0.62885,7278,4113,3718,290,220,215,180,140,115072,2.6,103117,2,169984
112,550,5350093.0,CT,Toronto,0.61785,5652,2490,2291,140,150,135,120,120,116651,2.9,100096,2,164693
113,370,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,160,135,120,130,85,84992,2.9,73344,2,130560
114,270,5350095.0,CT,Toronto,0.31549,3095,1392,1319,95,105,70,90,65,85248,2.8,68352,2,118272
115,135,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,40,30,35,40,40,95104,3,80128,2,113280
116,240,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,130,110,85,70,80,81613,2.9,73216,2,110592
117,215,5350097.01,CT,Toronto,0.3825,4322,1758,1621,125,95,100,105,70,73370,3.2,69120,2,86272
118,45,5350097.03,CT,Toronto,0.17179,1207,783,679,35,25,15,20,15,46848,3,40960,2,66944
119,230,5350097.04,CT,Toronto,0.32489,5462,2528,2392,210,210,200,170,140,78144,2.9,73984,2,94976
120,305,5350098.0,CT,Toronto,0.71535,7099,3123,3002,220,180,165,150,165,89913,3,85120,2,106069
121,230,5350099.0,CT,Toronto,0.5813,6585,3380,3241,230,200,170,145,125,91904,2.8,87040,2,129024
122,135,5350100.0,CT,Toronto,0.28925,2956,1492,1432,120,120,100,70,90,94123,2.7,97792,2,113920
123,155,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,115,110,70,85,75,98944,2.8,85888,2,142848
124,65,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,205,180,165,160,120,76416,2.5,83328,2,90112
125,80,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,205,185,155,150,135,80128,2.5,85248,2,91328
126,15,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,15,20,25,15,10,122112,2.9,98560,2.1,192000
127,30,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,15,15,20,15,10,132352,3,96512,2.1,183808
128,145,5350103.0,CT,Toronto,0.83794,6050,2627,2527,130,125,125,145,125,146816,2.9,120115,2,195584
129,130,5350104.0,CT,Toronto,0.73732,5525,2141,2054,115,95,80,70,90,158939,3.2,114176,2,198144
130,200,5350105.0,CT,Toronto,0.55453,4509,1917,1790,105,105,100,100,85,109696,3,88832,2,147285
131,35,5350106.0,CT,Toronto,1.37076,3773,1427,1343,100,85,100,75,85,90453,3.3,85248,2,108416
132,70,5350107.0,CT,Toronto,0.71899,5085,1880,1751,120,125,110,115,115,86699,3.3,68352,2,101952
133,135,5350108.0,CT,Toronto,0.73607,6013,2679,2475,140,140,145,105,115,71083,3.2,61056,2,93099
134,170,5350109.0,CT,Toronto,0.62602,5496,2299,2203,135,145,145,130,155,90931,2.9,85248,2,110080
135,60,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,105,105,80,90,75,82432,2.9,67328,2,110336
136,25,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,75,65,50,55,55,87552,3.1,61056,2,110507
137,140,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,145,140,130,115,115,84224,3,63296,2,106155
138,130,5350113.0,CT,Toronto,0.38225,2754,1197,1118,85,60,60,40,65,102784,3,87808,2,145920
139,190,5350114.0,CT,Toronto,0.62462,5349,2471,2369,145,130,110,105,90,98765,2.9,81536,2,152576
140,240,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,125,130,100,100,85,81664,3,79104,2,102272
141,180,5350116.0,CT,Toronto,0.67913,4628,2044,1921,130,130,105,95,100,102875,2.8,90752,2,158208
