,Area(sqKm),BicycleF_x,BicycleM_x,BicycleT_x,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,Dwellings,GeoUID,Households,LandArea(skm)_x,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Population,PopulationCT_x,PopulationDensity_x,Primary_Offence,RegionName,Status,Type,Week_day,Type_x_x,Region Name_x_x,Area (sq km)_x_x,Population _x_x,Dwellings _x_x,Households _x_x,PopulationCT_y,PopulationDensity_y,LandArea(skm)_y,v_CA16_1: Age Stats_x,Type_y_x,Region Name_y_x,Area (sq km)_y_x,Population _y_x,Dwellings _y_x,Households _y_x,BicycleF_y,BicycleM_y,BicycleT_y,Type_x_y,Region Name_x_y,Area (sq km)_x_y,Population _x_y,Dwellings _x_y,Households _x_y,PopulationCT,PopulationDensity,LandArea(skm),v_CA16_1: Age Stats_y,Type_y_y,Region Name_y_y,Area (sq km)_y_y,Population _y_y,Dwellings _y_y,Households _y_y,BicycleF,BicycleM,BicycleT
0,2.00958,10.0,35.0,45.0,22.388059701492537,Red,,,12.0,MOUNTAIN,Ottawa,400.0,East,3514.0,5050001.01,3282.0,2.01,-75.65265465,OTHER COMMERCIAL / CORPORATE PLACES,45.37097971,Ledbury - Heron Gate - Ridgemont,2017-06-06 22:50:00,6.0,6.0,22:50:00,2017.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
1,1.36066,0.0,15.0,15.0,11.029411764705882,Black,SURLY,LONG HAUL TRUCK,21.0,OTHER,Ottawa,1500.0,East,1237.0,5050001.04,1163.0,1.36,-75.65140726,PARKING LOTS,45.35157369,South Keys - Greenboro West,2017-05-27 21:15:00,27.0,5.0,21:15:00,2017.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Saturday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
2,2.70025,10.0,20.0,30.0,11.111111111111109,Blue,,,18.0,MOUNTAIN,Ottawa,130.0,East,2022.0,5050001.05,1984.0,2.7,-75.63063426,"SINGLE HOME, HOUSE",45.36546448,Greenboro West,2017-06-13 00:00:00,13.0,6.0,00:00:00,2017.0,5984.0,5984.0,2216.0,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.7,5980,CT,Ottawa,2.70025,5984,2022,1984,10,20,30,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.7,5980,CT,Ottawa,2.70025,5984,2022,1984,10,20,30
3,2.70025,10.0,20.0,30.0,11.111111111111109,Black,NAKAMURA,,21.0,MOUNTAIN,Ottawa,180.0,East,2022.0,5050001.05,1984.0,2.7,-75.62579257,PARKING LOTS,45.37630241,East Industrial,2017-07-28 12:00:00,28.0,7.0,12:00:00,2017.0,5984.0,5984.0,2216.0,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.7,5980,CT,Ottawa,2.70025,5984,2022,1984,10,20,30,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.7,5980,CT,Ottawa,2.70025,5984,2022,1984,10,20,30
4,1.25433,15.0,10.0,25.0,20.0,Red,,,1.0,MOUNTAIN,Ottawa,,East,2402.0,5050001.06,2347.0,1.25,-75.64131507,PARK,45.35897621,Greenboro West,2017-06-08 21:19:00,8.0,6.0,21:19:00,2017.0,6111.0,6111.0,4872.0,THEFT<BICYCLE,Ottawa,RECOVERED,CT,Thursday,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25
5,1.25433,15.0,10.0,25.0,20.0,"Purple, lavender, mauve",NORCO,BIGFOOT,21.0,MOUNTAIN,Ottawa,800.0,East,2402.0,5050001.06,2347.0,1.25,-75.63462391,"SINGLE HOME, HOUSE",45.36123865,Greenboro West,2017-06-05 15:00:00,5.0,6.0,15:00:00,2017.0,6111.0,6111.0,4872.0,THEFT<BICYCLE,Ottawa,STOLEN,CT,Monday,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25
6,1.25433,15.0,10.0,25.0,20.0,,OZARK TRAIL,,0.0,MOUNTAIN,Ottawa,165.0,East,2402.0,5050001.06,2347.0,1.25,-75.64511726,"SINGLE HOME, HOUSE",45.35907672,Greenboro West,2017-08-03 11:50:00,3.0,8.0,11:50:00,2017.0,6111.0,6111.0,4872.0,THEFT<BICYCLE,Ottawa,STOLEN,CT,Thursday,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25
7,1.25433,15.0,10.0,25.0,20.0,"Silver, aluminum, stainless steel",SCHWINN,,7.0,HYBRID,Ottawa,400.0,East,2402.0,5050001.06,2347.0,1.25,-75.63172768,GAS STATION,45.35991159,Greenboro West,2017-09-02 07:55:00,2.0,9.0,07:55:00,2017.0,6111.0,6111.0,4872.0,THEFT<BICYCLE,Ottawa,STOLEN,CT,Saturday,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25
8,0.97422,0.0,10.0,15.0,15.463917525773196,Gray,SUPERCYCLE,,3.0,REGULAR,Ottawa,,East,1473.0,5050001.07,1444.0,0.97,-75.62058027,PARK,45.37006684,Huntclub Park,2017-05-30 10:00:00,30.0,5.0,10:00:00,2017.0,4193.0,4193.0,4303.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
9,0.97422,0.0,10.0,15.0,15.463917525773196,Turquoise,NITRO,,0.0,MOUNTAIN,Ottawa,150.0,East,1473.0,5050001.07,1444.0,0.97,-75.61795238,PRIVATE PROPERTY STRUCTURE,45.36779773,Huntclub Park,2017-07-26 19:40:00,26.0,7.0,19:40:00,2017.0,4193.0,4193.0,4303.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Wednesday,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
