,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,GeoUID,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Primary_Offence,Status,Week_day,Type,RegionName,Area(sqKm),Population,Dwellings,Households,PopulationCT,PopulationDensity,LandArea(skm),BicycleF,BicycleM,BicycleT
1444,181.8181818181818,OTH   ,CA             ,2016 CAAD8     ,16.0,RC,Toronto,1600.0,51,5350035.0,43.6613159,"Apartment (Rooming House, Condo)",-79.3833084,Church-Yonge Corridor (75),2018-08-12,12.0,8.0,19:30,2018.0,B&E,STOLEN,Sunday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1445,181.8181818181818,,UK             ,,4.0,RG,Toronto,0.0,52,5350035.0,43.654007,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3801727,Bay Street Corridor (76),2018-07-29,29.0,7.0,18:30,2018.0,THEFT UNDER - BICYCLE,STOLEN,Sunday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1446,181.8181818181818,GRY   ,GI             ,ROAM 2         ,27.0,OT,Toronto,755.97,52,5350035.0,43.6562729,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.38112640000001,Bay Street Corridor (76),2018-07-21,21.0,7.0,22:30,2018.0,THEFT UNDER - BICYCLE,STOLEN,Saturday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1447,181.8181818181818,DBL   ,SC             ,MESA 2         ,7.0,MT,Toronto,250.0,52,5350035.0,43.6556587,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3839645,Bay Street Corridor (76),2018-08-06,6.0,8.0,18:45,2018.0,THEFT UNDER - BICYCLE,STOLEN,Monday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1448,181.8181818181818,BLK   ,OT             ,MILANO         ,21.0,OT,Toronto,550.0,52,5350035.0,43.6613159,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3833084,Bay Street Corridor (76),2018-08-30,30.0,8.0,05:50,2018.0,THEFT UNDER - BICYCLE,STOLEN,Thursday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1449,181.8181818181818,BLK   ,TR             ,7.3 FX  WSD    ,27.0,RG,Toronto,749.0,52,5350035.0,43.654007,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3801727,Bay Street Corridor (76),2018-08-29,29.0,8.0,13:40,2018.0,THEFT UNDER - BICYCLE,STOLEN,Wednesday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1450,181.8181818181818,GRY   ,IN             ,,21.0,RG,Toronto,300.0,52,5350035.0,43.6581192,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",-79.3866119,Bay Street Corridor (76),2018-09-01,1.0,9.0,12:00,2018.0,THEFT UNDER - BICYCLE,STOLEN,Saturday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1451,181.8181818181818,BLK   ,KH             ,WESTWOOD       ,30.0,RG,Toronto,500.0,52,5350035.0,43.6556587,Universities / Colleges,-79.3839645,Bay Street Corridor (76),2018-09-04,4.0,9.0,08:00,2018.0,THEFT UNDER - BICYCLE,STOLEN,Tuesday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1452,181.8181818181818,BLK   ,OT             ,SPORT 3        ,27.0,RG,Toronto,626.0,51,5350035.0,43.654007,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3801727,Church-Yonge Corridor (75),2018-08-22,22.0,8.0,18:50,2018.0,THEFT UNDER - BICYCLE,STOLEN,Wednesday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
1453,181.8181818181818,GRY   ,TR             ,FX 2 WSD DISC  ,24.0,RG,Toronto,1000.0,51,5350035.0,43.6613159,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3833084,Church-Yonge Corridor (75),2018-09-02,2.0,9.0,20:35,2018.0,THEFT UNDER - BICYCLE,STOLEN,Sunday,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
