,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle,v_CA16_5807: Bicycle.1,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
56,5050041.0,CT,Ottawa,0.5707300000000001,3991,2198,2000,1420,3725,3725,915,3725,2365,3265,3265,2065,225,225,73.9,2000,6993.2,3715,860,660,660,1440,1150,2000,3235,3235,3235,2320,2000,30,60,140,130,125,105,110,80,28432,3710,980,915,24.7
57,5050042.0,CT,Ottawa,0.5775399999999999,3589,2308,1929,1330,3445,3450,1305,3450,1875,3060,3060,1675,145,145,71.3,1930,6212.6,3455,755,580,580,1460,1190,1930,3095,3095,3095,1935,1930,60,65,165,130,105,85,70,60,19191,3460,1370,1205,34.8
58,5050043.0,CT,Ottawa,0.73048,4432,2369,2212,1240,4175,4180,620,4175,2915,3610,3610,2610,220,220,76.9,2215,6068.7,4225,1075,915,910,1395,1140,2210,3670,3665,3665,2965,2215,40,40,115,170,175,160,105,115,37739,4225,575,555,13.1
59,5050044.0,CT,Ottawa,0.67904,2547,1007,994,255,2605,2605,255,2605,1395,2130,2130,1430,120,120,67.8,995,3751.7,2530,750,690,690,305,250,990,2080,2080,2080,1565,990,10,5,15,50,25,40,40,50,56192,2525,110,100,4.0
60,5050045.0,CT,Ottawa,5.167730000000001,8450,4474,4232,2090,8435,8435,1600,8435,5120,7240,7235,4675,355,355,68.6,4230,2583.2,8435,2320,2045,2045,2195,1930,4230,7240,7240,7235,5310,4235,55,45,130,250,300,265,255,215,55573,8435,780,700,8.3
61,5050046.0,CT,Ottawa,1.2719,4850,3071,2860,2035,4825,4825,1115,4825,3070,4340,4340,2775,190,190,74.1,2860,4992.8,4780,1100,870,865,2055,1770,2860,4280,4285,4280,3000,2860,75,80,190,255,235,165,165,150,30976,4775,1285,1125,23.6
62,5050047.0,CT,Ottawa,1.25779,620,478,401,275,590,590,145,590,455,575,575,450,20,20,85.5,400,738.6,615,160,145,145,270,245,400,590,585,585,495,400,10,5,10,30,40,40,30,25,68779,615,65,55,8.9
63,5050048.0,CT,Ottawa,1.51498,4876,3956,3180,2250,4865,4870,1290,4870,3325,4645,4645,3150,90,90,79.9,3180,3865.2,4845,1065,935,935,2390,2115,3180,4635,4630,4630,3465,3180,125,55,105,280,265,275,225,205,56661,4845,840,790,16.3
64,5050049.0,CT,Ottawa,0.32497,3098,2363,1947,1285,3030,3035,605,3030,1820,2850,2850,1845,140,140,73.5,1945,10316.4,3100,700,635,635,1425,1250,1945,2920,2920,2920,2140,1950,70,35,45,155,140,140,135,115,49312,3095,385,400,12.9
65,5050050.0,CT,Ottawa,0.45316999999999996,1158,519,315,285,525,525,105,525,295,510,510,330,20,20,x,F,2638.4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
66,5050051.0,CT,Ottawa,0.59539,4384,3434,2363,2340,4080,4080,675,4085,1965,3815,3815,2425,190,190,85.7,2360,7364.4,4190,690,590,590,2450,1675,2360,3930,3925,3925,3080,2360,150,130,165,160,140,110,100,75,18677,4195,1230,1480,35.3
67,5050052.0,CT,Ottawa,0.75475,4656,3128,2557,1925,4615,4615,940,4615,2340,4270,4270,2350,200,200,66.7,2560,7148.8,4510,1005,875,880,1980,1565,2555,4165,4160,4165,2845,2555,75,70,145,170,160,150,130,140,32192,4515,800,885,19.6
68,5050053.0,CT,Ottawa,0.40899,3972,3267,2588,2020,3960,3965,1080,3965,2395,3620,3620,2130,95,95,80.1,2590,9713.9,3965,720,560,560,2175,1875,2590,3640,3640,3640,2510,2590,140,165,230,160,135,150,125,120,24128,3965,1515,1390,35.1
69,5050054.0,CT,Ottawa,0.58508,3033,2217,1727,1365,2550,2555,555,2550,1700,2475,2475,1675,45,45,82.7,1725,5428.7,2555,505,440,440,1430,1225,1730,2465,2465,2465,1875,1730,105,70,85,95,120,105,95,100,37184,2555,605,595,23.3
70,5050055.0,CT,Ottawa,0.9695299999999999,1959,1223,1086,880,1760,1760,365,1760,1100,1650,1655,1120,45,45,68.4,1090,3365.4,1720,400,340,340,810,690,1085,1620,1620,1620,1215,1085,25,20,25,105,95,75,70,55,49451,1720,310,295,17.2
71,5050056.0,CT,Ottawa,0.59401,3892,1986,1785,1255,3425,3425,920,3430,2045,2965,2965,1790,65,65,74.3,1785,7622.4,3465,755,510,515,1360,1035,1785,2990,2990,2990,2090,1785,40,90,140,130,95,95,95,60,23584,3465,1110,1045,30.2
72,5050057.0,CT,Ottawa,0.31235999999999997,1817,762,709,290,1380,1375,315,1375,820,1135,1135,805,95,95,59.0,710,6841.1,1475,420,365,360,345,290,710,1235,1235,1240,945,705,20,5,15,40,50,40,45,40,52864,1475,160,165,11.2
73,5050058.0,CT,Ottawa,1.48433,3568,1851,1729,820,3530,3530,760,3530,1855,3075,3075,1935,150,150,58.5,1730,3116.2,3430,975,845,845,850,755,1725,2970,2970,2970,2025,1730,30,20,40,80,105,95,85,80,57293,3430,330,300,8.7
74,5050059.0,CT,Ottawa,2.5202,3375,1509,1464,575,3300,3300,830,3300,1950,2685,2690,1755,90,90,69.2,1465,2154.9,3375,975,770,770,620,505,1465,2745,2745,2750,2040,1465,15,10,30,125,105,90,85,110,57344,3375,420,320,9.5
75,5050060.0,CT,Ottawa,1.33925,4341,2695,2602,1560,4385,4385,1030,4380,2165,3905,3905,1670,45,45,57.8,2600,3252.9,4335,1080,800,805,1720,1525,2605,3935,3935,3940,2065,2605,35,55,160,205,195,175,135,105,31808,4335,1145,970,22.4
76,5050061.0,CT,Ottawa,1.36953,5304,2416,2306,1390,5070,5070,1155,5070,2880,4475,4480,2360,80,80,64.8,2310,3872.4,5020,1275,915,915,1510,1075,2305,4365,4360,4360,2755,2310,40,25,85,195,190,155,140,115,26386,5020,1115,900,17.9
77,5050062.01,CT,Ottawa,1.8349400000000002,5786,2660,2507,1135,5625,5625,1665,5620,2870,4785,4785,2460,65,65,63.0,2505,3153.0,5780,1580,1175,1175,1285,970,2505,4880,4880,4885,3005,2510,35,30,90,195,235,180,160,130,39275,5780,1110,915,15.8
78,5050062.02,CT,Ottawa,5.87208,1686,759,719,410,1515,1515,515,1520,830,1240,1235,670,10,10,61.1,720,353.2,1485,375,235,235,435,350,715,1215,1220,1220,750,720,15,10,55,70,55,35,30,20,34688,1480,475,430,29.1
79,5050100.0,CT,Ottawa,0.50195,2938,1820,1587,1130,3015,3015,820,3010,1845,2655,2655,1500,65,65,78.4,1585,5852.6,2935,650,470,470,1235,940,1585,2600,2600,2600,1720,1585,55,45,115,165,130,65,45,35,24224,2935,1060,990,33.7
80,5050101.0,CT,Ottawa,0.8429700000000001,3001,1903,1721,1180,2795,2790,395,2790,1560,2575,2570,1290,65,65,68.2,1720,4083.5,2865,655,510,510,1285,1075,1720,2645,2645,2645,1595,1720,45,45,120,145,150,105,95,75,32096,2860,675,660,23.1
81,5050102.0,CT,Ottawa,0.43113999999999997,3155,2012,1873,1360,3120,3120,520,3120,1810,2900,2900,1380,50,50,64.3,1875,7318.5,3125,720,545,545,1375,1160,1875,2885,2880,2885,1655,1870,35,45,105,175,150,100,65,65,26720,3130,875,785,25.1
82,5050103.0,CT,Ottawa,0.8399700000000001,4519,2507,2225,1360,4335,4335,695,4335,2750,3735,3735,2205,115,115,71.2,2225,5380.4,4325,1110,800,805,1490,1125,2225,3765,3765,3765,2560,2225,35,40,115,225,170,135,140,80,31072,4325,1065,1000,23.1
83,5050104.0,CT,Ottawa,0.39168000000000003,2996,1962,1741,1205,2990,2985,485,2985,1960,2755,2760,1610,90,90,74.8,1740,7646.8,2995,725,580,580,1250,1030,1740,2725,2725,2730,1895,1740,40,35,95,135,150,130,100,85,35917,2995,605,570,19.0
84,5050110.0,CT,Ottawa,1.85945,1932,785,674,105,2005,2000,485,2000,915,1715,1715,995,35,35,62.8,675,1094.7,1925,595,545,545,130,85,675,1655,1650,1650,1100,675,10,5,5,5,10,15,10,20,59776,1925,120,120,6.2
85,5050120.01,CT,Ottawa,1.59313,1664,482,463,90,1295,1295,410,1295,525,1110,1110,545,10,10,51.4,460,1044.5,1275,390,365,370,110,80,460,1065,1065,1065,660,465,0,0,5,5,10,15,20,10,86144,1280,50,35,2.7
86,5050120.02,CT,Ottawa,6.44329,3933,1520,1502,435,3605,3600,880,3605,1720,3140,3140,1705,30,30,60.2,1500,1070.4,3795,1160,945,950,545,365,1505,3280,3280,3280,2105,1505,5,5,15,115,115,125,125,110,53568,3795,305,250,6.6
87,5050120.03,CT,Ottawa,1.75964,5244,2085,2053,670,5415,5410,1400,5415,2605,4465,4465,2395,80,80,60.7,2055,2980.1,5230,1515,1245,1245,795,560,2055,4375,4375,4375,2805,2050,20,15,15,145,145,140,120,155,48416,5235,490,435,8.3
88,5050121.01,CT,Ottawa,1.16236,4358,1861,1803,735,4295,4295,1005,4295,2300,3660,3660,2070,45,45,63.8,1805,3749.1,4300,1205,985,985,900,620,1800,3650,3645,3645,2465,1805,10,15,30,150,155,160,125,125,43093,4300,465,420,9.8
89,5050121.02,CT,Ottawa,1.09555,2961,1442,1359,735,2960,2960,1040,2960,1690,2575,2575,1430,10,10,71.1,1360,2702.9,2960,770,580,580,830,610,1360,2595,2595,2595,1705,1360,15,25,40,145,125,90,70,70,31712,2960,630,515,17.4
90,5050122.01,CT,Ottawa,0.89094,3721,1391,1238,515,3620,3615,1780,3615,1900,2735,2730,1385,20,20,69.3,1235,4176.7,3710,890,630,630,675,390,1240,2810,2810,2810,1755,1240,105,15,30,115,105,90,55,70,31296,3710,1525,1410,38.0
91,5050122.02,CT,Ottawa,3.7098800000000005,6463,2498,2419,860,6455,6460,1490,6460,3650,5415,5415,3370,35,35,70.7,2415,1747.5,6460,1845,1435,1435,1060,630,2420,5415,5415,5415,3875,2420,25,10,40,205,235,195,200,170,37632,6455,850,765,11.9
92,5050122.03,CT,Ottawa,2.4614,4811,2230,2136,965,4830,4830,1165,4830,2705,4155,4150,2395,35,35,68.2,2135,1954.5,4705,1280,1010,1015,1130,885,2140,4075,4075,4075,2785,2135,20,30,40,150,165,155,170,130,45952,4705,680,575,12.2
93,5050123.01,CT,Ottawa,1.8234299999999999,5471,2136,2072,930,5615,5615,2195,5615,2930,4515,4515,2320,15,15,66.2,2075,3005.9,5410,1380,1075,1075,1075,735,2070,4370,4370,4370,2735,2075,85,30,60,215,155,105,125,85,31147,5410,1580,1425,26.3
94,5050123.02,CT,Ottawa,4.37245,8719,3108,3017,815,8510,8510,2485,8510,4595,6955,6955,4365,50,50,69.6,3015,1994.1,8715,2465,1980,1980,1075,645,3015,7100,7095,7100,5125,3020,25,15,40,220,230,215,220,195,39475,8710,1055,885,10.2
95,5050124.01,CT,Ottawa,3.0784,3375,1285,1267,450,3220,3220,495,3220,1770,2725,2725,1590,25,25,60.7,1270,1102.7,3130,930,760,760,510,365,1270,2665,2665,2670,1770,1270,10,10,15,70,120,100,110,105,40576,3130,255,225,7.2
96,5050124.02,CT,Ottawa,2.0592599999999996,3976,1823,1782,720,4020,4025,680,4020,2300,3505,3500,2110,10,10,67.9,1780,2541.5,3975,1205,970,970,765,600,1780,3480,3480,3480,2460,1780,5,5,10,150,155,175,135,145,50944,3975,225,215,5.4
97,5050124.03,CT,Ottawa,5.4977800000000006,4841,1866,1851,455,4675,4680,685,4680,2320,4010,4010,2165,35,35,58.0,1850,1095.9,4655,1475,1320,1315,480,390,1855,3950,3950,3950,2635,1855,10,5,5,85,105,105,120,130,49451,4655,150,145,3.1
98,5050124.04,CT,Ottawa,0.9452200000000001,3081,1136,1130,220,3055,3055,480,3055,1600,2540,2535,1490,15,15,66.9,1130,3259.3,3080,960,795,790,305,195,1130,2600,2605,2600,1850,1130,0,5,10,70,75,80,95,75,52736,3080,150,125,4.1
99,5050125.01,CT,Ottawa,1.51235,4798,1802,1787,355,4810,4810,790,4810,2340,3920,3920,2325,25,25,59.3,1790,3172.4,4710,1460,1270,1270,485,350,1790,3905,3900,3905,2615,1785,10,5,15,115,100,95,100,105,46784,4705,300,260,5.5
100,5050125.02,CT,Ottawa,0.9007,3369,1369,1327,490,3220,3220,485,3215,1765,2680,2680,1635,15,15,67.2,1330,3740.8,3320,980,705,705,535,380,1325,2700,2700,2695,1960,1330,10,5,15,140,135,115,115,100,48998,3320,425,360,10.8
101,5050125.03,CT,Ottawa,59.56795,527,210,205,75,450,455,40,450,245,395,395,235,0,0,58.5,205,8.9,480,145,130,130,90,65,205,415,415,415,275,205,5,0,5,15,10,10,15,15,42752,480,50,20,4.2
102,5050125.04,CT,Ottawa,1.73285,3924,1355,1354,190,3890,3890,670,3890,2100,3180,3180,2040,15,15,69.0,1355,2264.7,3925,1235,1130,1135,215,145,1350,3300,3295,3295,2405,1355,5,0,0,35,60,60,60,85,63680,3925,95,75,1.9
103,5050125.05,CT,Ottawa,1.98436,5229,1859,1844,330,4965,4965,720,4965,2745,4200,4200,2670,15,15,66.4,1845,2635.2,5000,1565,1370,1375,450,310,1845,4240,4240,4240,3085,1845,5,10,5,90,115,105,140,115,50112,5005,205,180,3.6
104,5050125.06,CT,Ottawa,9.90514,10308,3486,3341,635,10050,10055,2285,10055,5760,8015,8010,5725,35,35,71.3,3345,1041.1,10050,2940,2595,2600,780,485,3345,8015,8010,8010,6360,3340,15,15,5,145,150,165,200,215,55808,10050,515,395,3.9
105,5050125.07,CT,Ottawa,1.66586,4369,1620,1590,330,4640,4640,945,4640,2560,3875,3875,2340,20,20,68.9,1590,2624.0,4360,1335,1125,1120,405,280,1590,3615,3615,3615,2565,1590,10,10,15,85,85,75,85,95,48640,4360,355,300,6.9
106,5050125.08,CT,Ottawa,1.31035,4814,1833,1811,420,4760,4760,930,4755,2685,4070,4070,2600,15,15,70.5,1810,3674.5,4810,1485,1255,1255,540,355,1815,4090,4090,4090,3035,1810,10,5,10,110,130,130,115,130,50432,4810,270,245,5.1
107,5050126.03,CT,Ottawa,17.3533,8865,2785,2698,450,8850,8850,2905,8855,4835,6490,6490,4675,20,20,67.7,2695,511.1,8855,2400,2110,2110,670,400,2695,6490,6490,6490,5100,2700,20,15,10,140,140,135,185,175,57728,8855,945,620,7.0
108,5050126.04,CT,Ottawa,136.50772,5114,2006,1934,580,5085,5090,1070,5090,3020,4330,4335,2825,0,0,70.0,1935,37.7,5075,1535,1360,1355,680,445,1935,4245,4240,4245,3195,1930,25,10,20,140,140,135,150,130,47531,5075,350,205,4.0
109,5050126.05,CT,Ottawa,7.32493,6389,2093,2079,365,6380,6380,1300,6380,3470,4765,4765,3500,25,25,65.3,2080,935.3,6380,1815,1610,1610,455,300,2080,4710,4705,4710,3715,2080,5,5,5,70,90,100,120,135,67755,6385,210,175,2.7
110,5050126.06,CT,Ottawa,7.3048,5953,2129,2098,450,5955,5955,1540,5955,3330,4375,4380,3165,20,20,65.5,2100,814.9,5955,1740,1520,1520,540,400,2095,4430,4430,4430,3545,2100,5,10,10,85,105,135,145,150,65856,5955,320,215,3.6
111,5050130.01,CT,Ottawa,11.32343,3950,1613,1517,395,3800,3800,855,3800,1875,3285,3285,1880,30,30,59.6,1515,357.2,3830,1180,1055,1055,490,370,1515,3310,3310,3305,2250,1515,10,5,10,65,75,90,100,95,63104,3825,170,165,4.3
112,5050130.02,CT,Ottawa,1.5497,4247,1750,1703,820,4265,4270,1100,4270,2325,3680,3675,2215,30,30,68.7,1705,2740.5,4235,1195,935,930,900,545,1700,3650,3650,3650,2595,1700,25,10,15,160,165,165,130,115,39450,4240,470,515,12.1
113,5050131.01,CT,Ottawa,1.53735,5518,2672,2548,1305,5510,5515,1630,5515,2565,4810,4810,2460,80,80,59.5,2550,3632.4,5510,1445,1190,1190,1475,1145,2550,4810,4810,4810,2910,2550,25,25,35,210,215,170,170,145,33472,5515,815,735,13.3
114,5050131.02,CT,Ottawa,1.40059,4643,2021,1935,905,4750,4750,1405,4745,2485,4135,4135,2490,55,55,70.6,1935,3315.5,4645,1290,1045,1045,1025,670,1935,4035,4035,4030,2745,1935,70,45,45,150,135,95,105,80,26272,4645,830,810,17.4
115,5050132.0,CT,Ottawa,1.95087,6086,2596,2435,1215,6065,6065,1975,6065,3045,5085,5090,2830,55,55,68.4,2435,3119.9,6065,1595,1290,1290,1405,875,2435,5085,5090,5085,3350,2435,90,60,75,200,165,155,110,120,26219,6065,1415,1320,21.8
116,5050133.0,CT,Ottawa,2.40131,5092,2162,1938,1270,4970,4970,1115,4970,2495,4345,4345,2590,50,50,67.1,1935,2120.6,4890,1265,1080,1080,1415,710,1935,4315,4320,4320,2965,1940,55,30,50,140,155,130,120,115,20800,4890,720,900,18.4
117,5050134.0,CT,Ottawa,2.0519,3664,1452,1389,495,3570,3570,910,3570,1770,3110,3110,1745,50,50,65.3,1385,1785.7,3650,1055,880,880,660,365,1390,3135,3135,3140,2110,1390,10,5,20,100,100,110,80,85,34816,3650,330,340,9.3
118,5050135.01,CT,Ottawa,1.8317,6508,2386,2347,800,6465,6465,1730,6465,3290,5335,5335,3155,35,35,66.4,2350,3553.0,6500,1840,1495,1500,985,555,2350,5360,5360,5355,3805,2345,25,15,30,150,185,170,145,155,35200,6500,740,690,10.6
119,5050135.02,CT,Ottawa,3.75595,4771,1910,1887,545,4905,4905,1085,4905,2480,4105,4105,2380,30,30,61.7,1885,1287.2,4760,1440,1195,1195,655,470,1890,4000,4005,4000,2720,1890,15,15,15,130,120,115,125,130,45536,4760,310,275,5.8
120,5050135.03,CT,Ottawa,1.3946100000000001,1860,762,719,300,1750,1750,340,1755,905,1515,1510,835,10,10,66.7,720,1333.9,1860,545,435,435,335,195,720,1595,1595,1595,1075,720,5,5,15,50,50,65,75,40,34368,1860,220,225,12.1
121,5050136.01,CT,Ottawa,2.5683599999999998,4508,1761,1722,575,4165,4165,820,4165,2220,3680,3680,2105,15,15,59.5,1725,1755.2,4140,1250,1035,1040,675,505,1720,3590,3590,3590,2420,1725,10,5,15,120,135,145,135,135,45088,4140,290,225,5.4
122,5050136.02,CT,Ottawa,2.09092,4764,2082,2000,850,4555,4550,805,4550,2700,3785,3790,2355,30,30,68.9,2000,2278.4,4575,1300,975,970,990,730,2000,3880,3880,3880,2800,2000,20,20,55,190,190,195,165,140,40704,4580,615,525,11.5
123,5050137.02,CT,Ottawa,0.9746,3096,1373,1338,605,2920,2920,620,2920,1605,2485,2480,1525,20,20,62.7,1335,3176.4,2930,810,645,645,680,535,1335,2510,2505,2505,1780,1340,10,10,20,110,125,120,90,105,49856,2935,275,260,8.9
124,5050137.03,CT,Ottawa,1.2109,1772,655,647,130,1810,1810,320,1810,840,1475,1475,875,10,10,58.6,650,1466.3,1765,545,500,495,145,115,645,1455,1455,1455,985,645,5,0,5,25,25,30,30,25,63744,1765,50,50,2.8
125,5050137.04,CT,Ottawa,0.8885700000000001,1913,826,784,265,1920,1925,415,1920,990,1635,1635,990,40,40,62.8,780,2152.8,1910,585,520,520,280,210,785,1610,1610,1610,1145,785,10,0,5,45,50,55,65,40,44928,1910,105,100,5.2
126,5050137.05,CT,Ottawa,2.0697799999999997,7245,2706,2622,910,6910,6910,2330,6910,3780,5865,5860,3580,60,60,67.6,2625,3500.8,6910,1975,1620,1620,1080,695,2625,5860,5860,5860,4185,2625,35,35,40,115,150,150,140,130,41472,6910,800,750,10.9
127,5050138.0,CT,Ottawa,1.54358,7492,3063,2852,1260,7490,7490,3510,7485,4000,6025,6020,3395,35,35,68.6,2850,6178.5,7480,1915,1470,1470,1605,990,2850,6010,6015,6015,3905,2855,55,35,65,300,260,205,185,145,31456,7480,2175,1800,24.1
128,5050139.0,CT,Ottawa,20.49547,3962,1610,1553,420,3830,3830,920,3830,1980,3260,3260,1780,35,35,59.2,1550,701.2,3835,1220,1100,1100,460,355,1555,3265,3270,3265,2125,1550,15,10,10,85,90,110,90,100,57523,3835,215,165,4.3
129,5050140.03,CT,Ottawa,0.8107,2613,1018,990,220,2690,2685,435,2690,1445,2255,2255,1465,15,15,66.3,990,3223.9,2610,805,700,700,285,200,990,2215,2215,2215,1590,990,0,0,10,50,75,60,70,80,47808,2615,140,145,5.5
130,5050140.04,CT,Ottawa,1.25169,5174,1754,1750,250,5105,5105,670,5105,3065,4315,4315,2930,30,30,75.3,1750,4133.6,5175,1560,1365,1370,325,220,1750,4330,4330,4330,3420,1750,10,5,5,60,85,80,105,135,59136,5175,185,140,2.7
131,5050140.05,CT,Ottawa,1.12471,4564,1627,1609,370,4635,4630,695,4635,2650,3725,3730,2665,20,20,71.7,1610,4058.7,4565,1370,1160,1160,435,265,1610,3710,3710,3705,2965,1610,5,5,5,95,105,140,135,100,46592,4560,230,180,3.9
132,5050140.06,CT,Ottawa,0.71725,2196,784,781,135,2220,2225,340,2225,1200,1885,1880,1125,0,0,66.5,780,3061.5,2190,670,600,600,180,130,780,1835,1835,1835,1330,780,5,5,10,30,45,50,50,55,54336,2190,60,65,3.0
133,5050140.07,CT,Ottawa,1.34049,4453,1780,1744,510,4350,4345,585,4350,2435,3615,3620,2335,20,20,69.0,1745,3321.6,4450,1370,1090,1085,550,395,1745,3705,3705,3705,2740,1745,10,15,20,120,130,140,150,145,47104,4455,335,255,5.7
134,5050141.05,CT,Ottawa,2.62642,8490,2856,2808,600,8480,8480,2730,8480,4755,6665,6665,4735,45,45,71.7,2805,3232.6,8480,2430,1955,1960,770,460,2810,6665,6665,6665,5165,2805,20,15,30,165,180,175,210,205,48704,8475,805,650,7.7
135,5050141.08,CT,Ottawa,8.71985,8375,2646,2626,455,8360,8360,2270,8360,4520,6645,6645,4635,45,45,71.5,2625,999.5,8360,2375,2075,2075,570,335,2625,6640,6640,6640,5090,2625,20,15,20,100,120,150,125,205,54336,8360,400,355,4.2
136,5050141.09,CT,Ottawa,1.9083599999999998,6423,2174,2122,555,6190,6185,1975,6185,3440,4785,4790,3545,15,15,67.9,2125,3803.5,6315,1730,1480,1475,700,465,2120,4835,4830,4835,3705,2120,20,20,15,120,140,130,145,140,56149,6315,495,390,6.2
137,5050141.1,CT,Ottawa,1.04062,5422,1674,1659,265,5355,5355,1480,5355,2900,4205,4205,2930,25,25,70.0,1660,5213.5,5410,1500,1300,1300,390,210,1660,4235,4235,4235,3260,1660,10,5,10,75,100,75,100,95,56064,5410,265,230,4.3
138,5050141.11,CT,Ottawa,0.9432299999999999,5851,1935,1887,450,5695,5695,1950,5695,3155,4345,4350,3040,30,30,67.9,1890,6203.4,5635,1550,1285,1285,640,390,1885,4320,4320,4320,3385,1885,25,10,10,110,145,125,140,125,56192,5635,455,375,6.7
139,5050141.12,CT,Ottawa,5.02008,9778,3226,3164,815,9665,9665,4130,9665,5425,7280,7280,5125,20,20,68.1,3165,1975.8,9665,2635,2285,2290,1085,680,3165,7275,7275,7275,5680,3160,35,20,35,200,235,250,250,230,51413,9665,1005,770,8.0
140,5050141.13,CT,Ottawa,1.5316,3579,1068,1050,150,3535,3540,1425,3540,1905,2605,2600,1810,0,0,64.1,1050,2511.4,3410,955,820,825,270,145,1050,2555,2555,2555,1900,1050,5,5,10,60,60,65,95,85,56960,3410,360,260,7.6
141,5050141.14,CT,Ottawa,110.82633,2214,792,757,175,2220,2220,395,2220,1200,1875,1875,1205,0,0,67.9,755,20.1,2170,650,595,595,210,135,755,1830,1835,1830,1325,760,5,10,5,40,40,35,35,35,43136,2170,130,75,3.5
142,5050141.15,CT,Ottawa,14.05984,16747,5593,5440,1030,16855,16855,5395,16855,9525,12210,12210,8955,20,20,66.5,5440,1204.5,16745,4760,4245,4250,1380,865,5440,12145,12150,12145,9830,5440,45,20,30,255,330,350,380,390,58155,16745,1020,860,5.1
143,5050151.03,CT,Ottawa,12.283610000000001,4833,1834,1787,405,4800,4795,345,4800,2510,3820,3820,2465,25,25,62.5,1790,401.2,4800,1470,1305,1305,435,350,1785,3820,3820,3820,2825,1785,10,5,15,105,110,115,90,110,42464,4800,225,75,1.6
144,5050151.04,CT,Ottawa,3.03492,6125,2124,2111,340,5865,5865,575,5865,3090,4890,4895,3225,30,30,66.1,2115,2018.3,5960,1815,1635,1635,410,310,2110,4990,4990,4990,3695,2110,5,5,5,95,95,95,130,105,51136,5960,145,115,1.9
145,5050151.05,CT,Ottawa,1.71944,3601,1426,1418,305,3620,3620,460,3625,1630,3160,3160,1625,15,15,58.4,1420,2140.0,3600,1130,1035,1035,345,300,1420,3085,3085,3085,2030,1420,5,5,5,70,85,110,95,90,62592,3600,80,50,1.4
146,5050151.06,CT,Ottawa,3.3646,5460,1801,1783,325,5525,5525,490,5530,2910,4260,4260,3055,10,10,67.6,1780,1622.8,5455,1545,1400,1405,375,265,1785,4230,4230,4230,3300,1785,10,10,5,70,70,75,65,90,44928,5455,185,95,1.7
147,5050151.07,CT,Ottawa,4.57592,7879,2663,2627,410,7870,7870,1565,7870,4430,5860,5860,4480,45,45,67.3,2625,1721.7,7870,2315,2050,2050,530,365,2625,5860,5860,5860,4825,2630,15,5,15,95,110,145,125,170,56640,7870,350,220,2.8
148,5050151.08,CT,Ottawa,13.148,6967,2221,2199,415,6620,6620,1105,6615,3645,5020,5020,3635,20,20,64.4,2200,530.0,6620,1885,1625,1625,535,355,2195,5020,5020,5020,4060,2195,5,10,5,120,135,115,110,125,55381,6615,280,205,3.1
149,5050160.02,CT,Ottawa,2.59266,5158,2155,2134,715,5020,5020,1080,5025,2500,4215,4215,2380,35,35,61.0,2135,1989.8,5085,1505,1230,1230,835,650,2135,4285,4285,4290,2835,2135,25,25,30,140,170,140,145,135,44160,5085,500,285,5.6
