,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,GeoUID,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Primary_Offence,Status,Week_day,Type,RegionName,Area(sqKm),Population,Dwellings,Households,PopulationCT,PopulationDensity,LandArea(skm),BicycleF,BicycleM,BicycleT
0,4.918032786885246,TRQ   ,GIANT          ,LIV            ,18.0,OT,Toronto,600.0,55,5350001.0,43.6589279,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3284988,South Riverdale (70),2015-07-14,14.0,7.0,20:33,2015.0,THEFT UNDER,STOLEN,Tuesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
1,4.918032786885246,BLKGRY,SPECIALIZED    ,FECTEUR        ,27.0,BM,Toronto,1000.0,51,5350001.0,43.6430359,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3508224,South Riverdale (70),2015-07-18,18.0,7.0,19:30,2015.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
2,4.918032786885246,,UNKNOWN        ,,0.0,OT,Toronto,100.0,55,5350001.0,43.6604958,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.3292618,South Riverdale (70),2015-07-03,3.0,7.0,10:00,2015.0,THEFT UNDER,STOLEN,Friday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
3,4.918032786885246,GRYBLK,TREK           ,,0.0,MT,Toronto,700.0,51,5350001.0,43.6468277,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.35393520000002,South Riverdale (70),2015-10-01,1.0,10.0,09:30,2015.0,THEFT UNDER,STOLEN,Thursday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
4,4.918032786885246,GRY   ,GIANT          ,TRANSEND       ,0.0,OT,Toronto,100.0,55,5350001.0,43.6575661,"Private Property (Pool, Shed, Detached Garage)",-79.3426971,South Riverdale (70),2015-10-01,1.0,10.0,07:15,2015.0,THEFT UNDER,STOLEN,Thursday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
5,4.918032786885246,TAN   ,NO             ,MALAHAT        ,21.0,OT,Toronto,800.0,55,5350001.0,43.6591797,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3286362,South Riverdale (70),2015-06-19,19.0,6.0,07:30,2015.0,THEFT UNDER,STOLEN,Friday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
6,4.918032786885246,WHI   ,NO             ,VFR FORMA      ,21.0,TO,Toronto,950.0,55,5350001.0,43.66031270000001,"Open Areas (Lakes, Parks, Rivers)",-79.31261440000002,South Riverdale (70),2015-07-01,1.0,7.0,21:50,2015.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
7,4.918032786885246,YEL   ,CC             ,,7.0,MT,Toronto,300.0,55,5350001.0,43.6589279,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.3284988,South Riverdale (70),2015-11-10,10.0,11.0,16:00,2015.0,THEFT UNDER,STOLEN,Tuesday,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
8,23.659305993690854,PLE   ,GI             ,N3             ,3.0,FO,Toronto,600.0,58,5350002.0,43.6238136,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",-79.37071230000002,Waterfront Communities-The Island (77),2015-08-28,28.0,8.0,23:00,2015.0,THEFT UNDER,STOLEN,Friday,CT,Toronto,3.2947,620,279,270,620,195.4,3.17,30,45,75
9,23.659305993690854,RED   ,UK             ,,1.0,MT,Toronto,75.0,58,5350002.0,43.63134,"Open Areas (Lakes, Parks, Rivers)",-79.35796359999998,Waterfront Communities-The Island (77),2015-06-18,18.0,6.0,15:00,2015.0,THEFT UNDER,STOLEN,Thursday,CT,Toronto,3.2947,620,279,270,620,195.4,3.17,30,45,75
10,23.659305993690854,BLK   ,OT             ,THE DUKE       ,1.0,RG,Toronto,500.0,58,5350002.0,43.6278152,"Open Areas (Lakes, Parks, Rivers)",-79.3892593,Waterfront Communities-The Island (77),2015-07-06,6.0,7.0,15:00,2015.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,3.2947,620,279,270,620,195.4,3.17,30,45,75
11,21.978021978021978,WHIBLU,CCM            ,APEX           ,19.0,MT,Toronto,338.99,11,5350003.0,43.636863700000006,"Parking Lots (Apt., Commercial Or Non-Commercial)",-79.465889,South Parkdale (85),2015-08-21,21.0,8.0,16:33,2015.0,THEFT UNDER,STOLEN,Friday,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
12,21.978021978021978,SIL   ,GT             ,ZASKAR LE      ,18.0,MT,Toronto,4000.0,11,5350003.0,43.6362991,"Apartment (Rooming House, Condo)",-79.4654846,South Parkdale (85),2015-09-26,26.0,9.0,00:30,2015.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
13,21.978021978021978,LGR   ,OT             ,QUEEN ST. 700C ,7.0,TO,Toronto,400.0,11,5350003.0,43.6362991,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.4654846,South Parkdale (85),2015-06-20,20.0,6.0,21:45,2015.0,THEFT UNDER - BICYCLE,STOLEN,Saturday,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
14,1132.3529411764705,BLU   ,OTHER          ,,0.0,FO,Toronto,100.0,14,5350004.0,43.6376076,"Apartment (Rooming House, Condo)",-79.4438553,South Parkdale (85),2015-07-27,27.0,7.0,18:00,2015.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
15,1132.3529411764705,SIL   ,OT             ,AMSTERDAM      ,8.0,OT,Toronto,750.0,14,5350004.0,43.6368713,"Private Property (Pool, Shed, Detached Garage)",-79.43746949999998,South Parkdale (85),2015-06-08,8.0,6.0,20:55,2015.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
16,1132.3529411764705,SIL   ,UK             ,AMSTERDAM      ,8.0,OT,Toronto,750.0,14,5350004.0,43.6368713,"Private Property (Pool, Shed, Detached Garage)",-79.43746949999998,South Parkdale (85),2015-06-08,8.0,6.0,20:55,2015.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
17,1132.3529411764705,BLU   ,CCM            ,,0.0,MT,Toronto,150.0,14,5350004.0,43.636364,"Single Home, House (Attach Garage, Cottage, Mobile)",-79.44017029999998,South Parkdale (85),2015-05-21,21.0,5.0,23:30,2015.0,THEFT UNDER,STOLEN,Thursday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
18,1132.3529411764705,BLK   ,RA             ,,10.0,RG,Toronto,300.0,11,5350004.0,43.6394348,"Apartment (Rooming House, Condo)",-79.442421,Roncesvalles (86),2015-08-08,8.0,8.0,16:30,2015.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
19,1132.3529411764705,BLU   ,GI             ,,12.0,RG,Toronto,500.0,11,5350004.0,43.6394348,"Apartment (Rooming House, Condo)",-79.442421,Roncesvalles (86),2015-08-08,8.0,8.0,16:30,2015.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
20,1132.3529411764705,YEL   ,UK             ,,1.0,OT,Toronto,500.0,11,5350004.0,43.6394348,"Apartment (Rooming House, Condo)",-79.442421,Roncesvalles (86),2015-08-08,8.0,8.0,16:30,2015.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
21,1132.3529411764705,RED   ,RM             ,OXYGEN 10      ,27.0,RC,Toronto,900.0,11,5350004.0,43.6396828,Bar / Restaurant,-79.4411621,Roncesvalles (86),2015-08-09,9.0,8.0,23:30,2015.0,THEFT UNDER,STOLEN,Sunday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
22,1132.3529411764705,GRY   ,GT             ,MEATBALL       ,1.0,OT,Toronto,1500.0,11,5350004.0,43.6403961,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.4374771,Roncesvalles (86),2015-12-17,17.0,12.0,08:30,2015.0,THEFT UNDER,STOLEN,Thursday,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
23,842.1052631578947,,UNKNOWN MAKE   ,,0.0,OT,Toronto,900.0,14,5350005.0,43.6406631,Schools During Supervised Activity,-79.4361725,South Parkdale (85),2015-09-16,16.0,9.0,14:42,2015.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
24,842.1052631578947,,OTHER          ,,21.0,OT,Toronto,,14,5350005.0,43.6402321,"Single Home, House (Attach Garage, Cottage, Mobile)",-79.42967990000002,South Parkdale (85),2015-11-21,21.0,11.0,00:00,2015.0,B&E W'INTENT,STOLEN,Saturday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
25,842.1052631578947,,OTH            ,,18.0,OT,Toronto,,14,5350005.0,43.6402321,"Single Home, House (Attach Garage, Cottage, Mobile)",-79.42967990000002,South Parkdale (85),2015-11-21,21.0,11.0,00:00,2015.0,B&E W'INTENT,STOLEN,Saturday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
26,842.1052631578947,BLK   ,GIANT          ,ESCAPE2        ,24.0,MT,Toronto,500.0,11,5350005.0,43.6406631,"Apartment (Rooming House, Condo)",-79.4361725,Roncesvalles (86),2015-05-05,5.0,5.0,08:00,2015.0,B&E,STOLEN,Tuesday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
27,842.1052631578947,RED   ,OT             ,AQUILA         ,1.0,TO,Toronto,600.0,14,5350005.0,43.6407814,"Apartment (Rooming House, Condo)",-79.4254837,South Parkdale (85),2015-04-15,15.0,4.0,10:00,2015.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
28,842.1052631578947,DBL   ,OTHER          ,,3.0,SC,Toronto,3400.0,11,5350005.0,43.6407852,"Apartment (Rooming House, Condo)",-79.43560790000002,Roncesvalles (86),2015-01-10,10.0,1.0,23:00,2015.0,THEFT UNDER,STOLEN,Saturday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
29,842.1052631578947,PLE   ,OT             ,TRANS CANADA TR,1.0,OT,Toronto,1100.0,14,5350005.0,43.6405449,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",-79.4282074,South Parkdale (85),2015-08-05,5.0,8.0,19:00,2015.0,THEFT UNDER,STOLEN,Wednesday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
30,842.1052631578947,BLK   ,CA             ,BAD BOY 5      ,27.0,RG,Toronto,1500.0,14,5350005.0,43.6417313,"Apartment (Rooming House, Condo)",-79.4286728,South Parkdale (85),2015-09-20,20.0,9.0,20:30,2015.0,THEFT UNDER,STOLEN,Sunday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
31,842.1052631578947,BLKGRY,OT             ,,6.0,MT,Toronto,0.0,14,5350005.0,43.6417313,"Streets, Roads, Highways (Bicycle Path, Private Road)",-79.4286728,South Parkdale (85),2015-09-25,25.0,9.0,12:30,2015.0,THEFT UNDER,STOLEN,Friday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
32,842.1052631578947,DGR   ,GI             ,SEEK 0         ,8.0,RG,Toronto,1500.0,14,5350005.0,43.6407814,"Apartment (Rooming House, Condo)",-79.4254837,South Parkdale (85),2015-08-31,31.0,8.0,19:30,2015.0,THEFT UNDER,STOLEN,Monday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
33,842.1052631578947,WHI   ,OT             ,PANAMAO X2     ,24.0,RG,Toronto,625.0,14,5350005.0,43.6411705,"Apartment (Rooming House, Condo)",-79.42687990000002,South Parkdale (85),2015-12-09,9.0,12.0,06:10,2015.0,THEFT UNDER - BICYCLE,STOLEN,Wednesday,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
34,,,,,,,,,,5350006.0,,,,,,,,,,,Bicycle_No_Theft,,CT,Toronto,0.01288,0,0,0,0,0.0,0.01,0,0,0
