,Area(sqKm),BicycleF_x,BicycleM_x,BicycleT_x,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,Dwellings,GeoUID,Households,LandArea(skm)_x,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Population,PopulationCT_x,PopulationDensity_x,Primary_Offence,RegionName,Status,Type,Week_day,Type_x_x,Region Name_x_x,Area (sq km)_x_x,Population _x_x,Dwellings _x_x,Households _x_x,PopulationCT_y,PopulationDensity_y,LandArea(skm)_y,v_CA16_1: Age Stats_x,Type_y_x,Region Name_y_x,Area (sq km)_y_x,Population _y_x,Dwellings _y_x,Households _y_x,BicycleF_y,BicycleM_y,BicycleT_y,Type_x_y,Region Name_x_y,Area (sq km)_x_y,Population _x_y,Dwellings _x_y,Households _x_y,PopulationCT,PopulationDensity,LandArea(skm),v_CA16_1: Age Stats_y,Type_y_y,Region Name_y_y,Area (sq km)_y_y,Population _y_y,Dwellings _y_y,Households _y_y,BicycleF,BicycleM,BicycleT
0,,,,,,,,,,,,,,,5050001.01,,,,,,,,,,,,,,,,,Bicycle_No_Theft,,,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
1,1.36066,0.0,15.0,15.0,11.029411764705882,White,G.T.,TRANSEO 4.0,24.0,HYBRID,Ottawa,800.0,East,1237.0,5050001.04,1163.0,1.36,-75.65261020000001,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,45.35409242,South Keys - Greenboro West,2016-05-06 13:45:00,6.0,5.0,13:45:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
2,1.36066,0.0,15.0,15.0,11.029411764705882,Black,RALEIGH,,18.0,MOUNTAIN,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.64576013,"SINGLE HOME, HOUSE",45.35876658,South Keys - Greenboro West,2016-06-08 20:00:00,8.0,6.0,20:00:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Wednesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
3,1.36066,0.0,15.0,15.0,11.029411764705882,Red,,,21.0,REGULAR,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.65397347,"SINGLE HOME, HOUSE",45.3575049,South Keys - Greenboro West,2016-06-11 20:30:00,11.0,6.0,20:30:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Saturday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
4,1.36066,0.0,15.0,15.0,11.029411764705882,Gray,,,21.0,REGULAR,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.65397347,"SINGLE HOME, HOUSE",45.3575049,South Keys - Greenboro West,2016-06-12 22:00:00,12.0,6.0,22:00:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Sunday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
5,1.36066,0.0,15.0,15.0,11.029411764705882,White,,,0.0,MOUNTAIN,Ottawa,600.0,East,1237.0,5050001.04,1163.0,1.36,-75.65261020000001,OTHER COMMERCIAL / CORPORATE PLACES,45.35409242,South Keys - Greenboro West,2016-06-29 15:00:00,29.0,6.0,15:00:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Wednesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
6,1.36066,0.0,15.0,15.0,11.029411764705882,Blue,GIANT,ESCAPE,21.0,HYBRID,Ottawa,500.0,East,1237.0,5050001.04,1163.0,1.36,-75.64908154,"SINGLE HOME, HOUSE",45.35602876,South Keys - Greenboro West,2016-07-03 23:00:00,3.0,7.0,23:00:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Sunday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
7,1.36066,0.0,15.0,15.0,11.029411764705882,Blue,SUPERCYCLE,MEDALIST 6061,21.0,RACER,Ottawa,225.0,East,1237.0,5050001.04,1163.0,1.36,-75.65076482,DWELLING UNIT,45.359541799999995,South Keys - Greenboro West,2016-08-24 21:45:00,24.0,8.0,21:45:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Wednesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
8,1.36066,0.0,15.0,15.0,11.029411764705882,,,,0.0,OTHER,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.65452031,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,45.35249665,South Keys - Greenboro West,2016-09-20 09:00:00,20.0,9.0,09:00:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
9,1.36066,0.0,15.0,15.0,11.029411764705882,Orange,,,1.0,MOUNTAIN,Ottawa,1000.0,East,1237.0,5050001.04,1163.0,1.36,-75.65261020000001,OTHER COMMERCIAL / CORPORATE PLACES,45.35409242,South Keys - Greenboro West,2016-09-27 18:30:00,27.0,9.0,18:30:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
10,1.36066,0.0,15.0,15.0,11.029411764705882,,,,0.0,,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.65689186,PARKING LOTS,45.36038809,South Keys - Greenboro West,2016-07-23 14:30:00,23.0,7.0,14:30:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,UNKNOWN,CT,Saturday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
11,1.36066,0.0,15.0,15.0,11.029411764705882,,,,0.0,,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.65261020000001,OPEN AREAS,45.35409242,South Keys - Greenboro West,2016-08-04 11:36:00,4.0,8.0,11:36:00,2016.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,UNKNOWN,CT,Thursday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
