GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5807: Bicycle,v_CA16_61: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
5350078.00,CT,Toronto,0.77495,6016,2980,2854,135,4300,71.5,2855,7760.6,5945,1610,1275,1275,1450,1255,2855,5000,5005,5005,3625,2855,65,135,205,150,140,120,130,105,24043,5945,1120,980,16.5
5350079.00,CT,Toronto,1.01839,7327,2986,2887,135,4850,66.2,2885,7194.6,7170,2030,1670,1670,1050,885,2885,5670,5670,5670,4370,2885,40,40,75,130,150,120,115,135,30848,7170,745,680,9.5
5350080.01,CT,Toronto,0.47192,3352,1496,1428,45,2380,70.9,1430,7104.7,3325,930,745,740,720,520,1425,2790,2790,2790,2070,1425,40,25,35,70,80,90,75,70,29088,3325,475,430,12.9
5350080.02,CT,Toronto,0.39054,4686,2073,2011,50,3465,74.1,2015,11996.9,4570,1135,800,800,1265,930,2010,3830,3830,3830,2510,2010,65,70,140,180,130,85,80,80,21424,4570,1615,1400,30.6
5350081.00,CT,Toronto,0.36798,2848,1140,1076,75,1950,68.2,1075,7741.2,2800,775,635,640,495,325,1080,2305,2305,2305,1695,1080,20,15,40,60,55,55,50,50,24160,2800,315,295,10.5
5350082.00,CT,Toronto,0.3084,2766,1060,1027,95,1850,66.9,1025,8971.8,2750,750,635,635,495,305,1025,2195,2195,2195,1655,1030,25,5,10,55,60,60,40,40,26464,2750,280,290,10.5
5350083.00,CT,Toronto,0.44642,4052,1908,1822,125,2680,66.2,1825,9077.1,4045,1035,880,885,1040,820,1825,3450,3450,3450,2330,1820,30,45,85,105,95,80,65,75,20437,4045,765,715,17.7
5350084.00,CT,Toronto,0.40903,3810,1613,1498,120,2515,65.9,1500,9317.7,3675,980,850,850,725,535,1500,2990,2990,2995,2275,1495,35,30,45,75,60,70,50,55,28864,3670,405,385,10.5
5350085.00,CT,Toronto,0.49901,3994,2154,2078,135,2920,73.1,2075,8112.9,3970,960,820,815,1365,1140,2080,3500,3495,3495,2715,2075,55,35,85,150,140,125,140,75,34944,3970,635,585,14.7
5350086.00,CT,Toronto,1.1385,2661,965,921,25,1705,64.3,920,2337.1,2655,745,660,655,280,185,920,2130,2130,2135,1495,920,20,5,5,30,10,30,15,20,49792,2655,170,170,6.4
5350087.00,CT,Toronto,1.60971,5155,2652,2491,135,2995,58.1,2490,3218.5,5090,1415,1290,1290,1260,1090,2495,4525,4525,4525,3000,2490,60,25,35,105,120,120,100,115,65152,5090,415,385,7.6
5350088.00,CT,Toronto,0.22973,3249,1997,1821,40,2190,67.3,1820,14144.5,3105,800,700,695,1215,1020,1820,2915,2915,2915,1995,1820,80,35,65,110,95,110,100,85,48102,3100,575,555,17.9
5350089.00,CT,Toronto,0.32969,3896,2995,2345,35,2665,68.4,2345,11816.8,3670,920,815,815,1540,1440,2345,3515,3515,3515,2395,2345,215,65,75,95,110,85,95,75,56480,3670,740,685,18.7
5350090.00,CT,Toronto,0.39427,4144,2584,2347,55,2650,64.1,2345,10512.4,3925,990,865,865,1500,1365,2345,3630,3630,3630,2570,2345,85,40,65,140,145,135,110,75,51925,3925,585,505,12.9
5350091.01,CT,Toronto,0.51145,6031,3639,3224,245,4380,72.6,3225,11788.5,5320,1235,1090,1095,2405,2000,3225,5030,5035,5035,3610,3225,235,95,130,225,165,150,145,135,37664,5320,1140,1150,21.6
5350091.02,CT,Toronto,0.32714,3525,2288,2009,230,2830,80.3,2005,10773.2,3340,680,550,550,1665,1345,2010,3090,3090,3095,2290,2010,80,150,195,110,110,75,65,60,26453,3335,920,925,27.7
5350092.00,CT,Toronto,0.62885,7278,4113,3718,560,5795,79.6,3715,11576.3,7060,1540,1370,1370,3090,2205,3720,6455,6455,6455,5225,3720,175,105,125,290,220,215,180,140,30318,7060,1265,1410,20.0
5350093.00,CT,Toronto,0.61785,5652,2490,2291,550,3935,69.6,2290,9148.6,5330,1345,1115,1115,1530,970,2290,4575,4575,4575,3580,2295,60,30,65,140,150,135,120,120,29824,5330,595,735,13.8
5350094.00,CT,Toronto,0.63892,4950,2177,2048,370,3660,73.9,2050,7742.8,4940,1290,1015,1015,1350,800,2050,4335,4340,4335,3185,2050,40,30,60,160,135,120,130,85,26125,4935,720,770,15.6
5350095.00,CT,Toronto,0.31549,3095,1392,1319,270,2315,74.8,1320,9809.8,3070,785,660,660,970,560,1315,2755,2755,2755,2055,1320,30,20,35,95,105,70,90,65,25765,3070,390,460,15.0
5350096.01,CT,Toronto,0.20053,1658,694,658,135,1225,73.7,660,8265.2,1660,420,350,350,450,250,655,1450,1450,1445,995,660,20,15,15,40,30,35,40,40,24213,1660,230,245,14.8
5350096.02,CT,Toronto,0.34918,3336,1494,1398,240,2525,75.6,1395,9553.3,3295,850,690,690,1000,590,1400,2950,2945,2950,2190,1395,30,30,35,130,110,85,70,80,27349,3295,480,515,15.6
5350097.01,CT,Toronto,0.3825,4322,1758,1621,215,3170,73.5,1620,11305.3,4155,1010,800,800,1225,685,1620,3600,3605,3605,2550,1620,30,45,65,125,95,100,105,70,22176,4150,875,895,21.6
5350097.03,CT,Toronto,0.17179,1207,783,679,45,940,78.1,680,7029.7,1205,225,155,155,580,470,680,1085,1085,1085,580,680,30,40,140,35,25,15,20,15,16288,1205,535,505,41.9
5350097.04,CT,Toronto,0.32489,5462,2528,2392,230,4360,79.9,2395,16816.5,5375,1390,1165,1160,1620,1085,2395,4795,4790,4790,3735,2390,40,45,60,210,210,200,170,140,33061,5375,875,860,16.0
5350098.00,CT,Toronto,0.71535,7099,3123,3002,305,5290,74.5,3000,9924.5,7095,1895,1495,1495,1785,1200,3000,6095,6095,6095,4410,3000,50,75,145,220,180,165,150,165,23497,7095,1335,1245,17.5
5350099.00,CT,Toronto,0.5813,6585,3380,3241,230,4920,74.6,3240,11326.1,6550,1655,1375,1375,2055,1615,3240,5630,5630,5630,4305,3240,150,90,135,230,200,170,145,125,28432,6550,1360,1250,19.1
5350100.00,CT,Toronto,0.28925,2956,1492,1432,135,2255,76.3,1430,10224.8,2855,750,615,615,860,695,1435,2450,2450,2450,1995,1430,35,40,60,120,120,100,70,90,38016,2855,435,395,13.8
5350101.00,CT,Toronto,0.43014,3128,1595,1464,155,2395,76.6,1465,7272.7,3110,830,695,700,880,650,1460,2695,2695,2690,2170,1460,35,20,40,115,110,70,85,75,33621,3110,395,430,13.8
5350102.02,CT,Toronto,0.11566,4313,2688,2535,65,3330,77.3,2535,37309.7,4250,1050,840,835,1705,1495,2535,3890,3890,3890,2855,2535,75,115,150,205,180,165,160,120,35712,4250,1105,980,23.1
5350102.03,CT,Toronto,0.13087,3682,2178,2095,80,2895,78.7,2095,28128.3,3675,975,800,800,1255,1125,2095,3305,3305,3305,2625,2095,65,40,60,205,185,155,150,135,49216,3675,635,560,15.2
5350102.04,CT,Toronto,0.10129,671,309,285,15,475,70.9,285,6623.9,665,185,170,165,145,100,285,570,570,570,450,285,5,5,0,15,20,25,15,10,36480,670,55,65,9.7
5350102.05,CT,Toronto,0.11899,861,359,340,30,620,72.1,340,7235.3,855,230,215,210,175,115,340,690,690,690,570,340,5,5,5,15,15,20,15,10,32192,855,65,75,8.8
5350103.00,CT,Toronto,0.83794,6050,2627,2527,145,3875,64.1,2525,7221.3,5815,1625,1445,1445,1155,915,2525,4895,4895,4895,3670,2530,30,15,70,130,125,125,145,125,47360,5820,385,370,6.4
5350104.00,CT,Toronto,0.73732,5525,2141,2054,130,3710,67.1,2050,7491.5,5525,1550,1375,1375,730,530,2055,4370,4375,4375,3375,2055,25,20,20,115,95,80,70,90,45120,5520,355,315,5.7
5350105.00,CT,Toronto,0.55453,4509,1917,1790,200,3145,69.7,1790,8133.1,4355,1180,1010,1015,915,630,1790,3650,3650,3650,2765,1790,40,20,50,105,105,100,100,85,32853,4355,510,495,11.4
5350106.00,CT,Toronto,1.37076,3773,1427,1343,35,2875,76.2,1345,2752.4,3760,1025,760,760,730,400,1345,3215,3215,3215,2370,1345,20,30,45,100,85,100,75,85,23424,3760,560,540,14.4
5350107.00,CT,Toronto,0.71899,5085,1880,1751,70,3725,73.3,1750,7074.3,5080,1420,1080,1075,825,430,1750,4325,4325,4320,3060,1750,20,25,30,120,125,110,115,115,22997,5085,680,620,12.2
5350108.00,CT,Toronto,0.73607,6013,2679,2475,135,4375,72.7,2475,8168.7,6010,1550,1125,1125,1475,1030,2475,5100,5100,5095,3275,2475,35,175,225,140,140,145,105,115,18121,6010,1580,1435,23.9
5350109.00,CT,Toronto,0.62602,5496,2299,2203,170,4145,75.4,2200,8778.2,5495,1580,1255,1260,1140,685,2205,4760,4765,4765,3615,2205,40,30,50,135,145,145,130,155,31616,5495,765,690,12.6
5350110.00,CT,Toronto,0.54554,3577,1557,1434,60,2600,72.6,1430,6556.1,3575,1010,795,795,785,480,1435,3100,3100,3095,2215,1435,45,30,35,105,105,80,90,75,26480,3580,525,540,15.1
5350111.00,CT,Toronto,0.45581,2507,968,902,25,1730,69.1,905,5499.0,2505,755,590,590,335,190,900,2130,2135,2135,1470,905,10,10,15,75,65,50,55,55,26304,2500,260,250,10.0
5350112.00,CT,Toronto,0.50172,5295,2181,2035,140,3835,72.4,2035,10556.2,5265,1500,1195,1190,1000,605,2035,4580,4575,4575,3195,2035,45,20,50,145,140,130,115,115,24704,5265,710,675,12.8
5350113.00,CT,Toronto,0.38225,2754,1197,1118,130,2045,74.4,1120,7203.8,2735,730,590,590,640,410,1115,2365,2365,2365,1810,1120,25,25,25,85,60,60,40,65,26965,2735,390,400,14.6
5350114.00,CT,Toronto,0.62462,5349,2471,2369,190,3385,63.3,2370,8561.1,5125,1305,1050,1050,1470,1105,2370,4390,4385,4385,3030,2370,50,45,70,145,130,110,105,90,23712,5120,900,825,16.1
5350115.00,CT,Toronto,0.37543,4372,1670,1597,240,2855,65.1,1600,11652.5,3985,1090,785,785,895,550,1595,3445,3440,3445,2445,1600,25,25,45,125,130,100,100,85,25536,3980,665,625,15.7
5350116.00,CT,Toronto,0.67913,4628,2044,1921,180,3110,67.2,1920,6827.0,4090,1090,895,895,1095,855,1920,3510,3510,3510,2680,1925,45,50,70,130,130,105,95,100,31456,4090,635,605,14.8
5350117.00,CT,Toronto,0.39107,2211,1165,1106,70,1545,69.9,1105,5653.3,2210,580,505,510,680,530,1105,1925,1930,1925,1485,1105,25,20,50,50,50,45,55,45,38272,2210,290,305,13.8
5350118.00,CT,Toronto,0.69384,4127,2183,1990,100,2535,61.5,1990,5948.4,4020,1120,985,985,1080,880,1990,3595,3590,3590,2485,1990,60,25,30,85,95,110,95,110,49504,4020,460,440,10.9
5350119.00,CT,Toronto,0.8519,4630,2485,2310,45,3015,65.1,2310,5436.8,4555,1180,1070,1070,1325,1140,2310,4070,4065,4065,2970,2310,80,30,55,145,140,130,90,105,46720,4555,600,515,11.3
5350120.00,CT,Toronto,0.25722,1381,697,654,30,905,65.6,655,5367.3,1385,405,365,365,280,245,655,1180,1180,1180,900,655,15,10,10,30,25,25,10,15,51840,1380,130,115,8.3
5350121.00,CT,Toronto,0.29736,2659,1629,1448,10,1550,58.3,1450,8946.8,2515,670,590,590,870,780,1445,2285,2285,2285,1560,1450,50,20,35,85,90,75,60,65,59840,2520,285,285,11.3
5350122.00,CT,Toronto,0.53381,6220,3655,3443,90,4055,65.2,3445,11654.5,6215,1585,1400,1395,2180,1870,3445,5595,5595,5595,4110,3445,95,60,75,250,190,200,165,165,51840,6215,725,715,11.5
5350123.00,CT,Toronto,0.07501,2268,1494,1467,25,1895,83.7,1470,30240.0,2265,500,420,415,1100,970,1465,2110,2115,2115,1750,1465,55,30,65,140,140,115,105,80,44672,2260,460,385,17.0
5350124.00,CT,Toronto,0.55675,5416,3470,3278,75,3420,63.2,3275,9725.3,5325,1290,1140,1140,2180,1990,3280,4890,4890,4890,3390,3280,125,45,70,240,245,215,190,175,55893,5325,725,650,12.2
5350125.00,CT,Toronto,1.12047,4442,1618,1543,50,2855,64.1,1545,3965.7,4440,1260,1135,1135,380,280,1545,3540,3535,3535,2595,1545,20,10,10,40,40,30,35,45,53152,4445,225,235,5.3
5350126.00,CT,Toronto,1.44927,4248,1746,1693,60,2745,64.7,1690,2931.3,4245,1185,1025,1025,660,515,1690,3340,3340,3340,2640,1695,15,15,25,75,80,70,75,70,46336,4250,290,260,6.1
5350127.00,CT,Toronto,0.74046,5450,2325,2236,65,3685,67.6,2235,7358.9,5450,1505,1295,1295,900,745,2235,4360,4360,4360,3415,2235,35,20,45,125,130,120,95,80,43699,5450,375,335,6.1
5350128.02,CT,Toronto,0.51869,8705,5052,4766,70,6405,73.6,4765,16779.1,8315,2070,1780,1780,3080,2705,4765,7520,7520,7520,5710,4765,195,95,135,385,365,295,280,260,52553,8310,1360,1185,14.3
5350128.04,CT,Toronto,0.16199,4698,2994,2927,30,3390,72.0,2925,29000.0,4605,1050,850,850,2080,1880,2925,4235,4235,4235,3165,2925,75,55,95,225,200,200,190,195,49975,4605,855,740,16.1
5350128.05,CT,Toronto,0.18163,945,366,304,20,515,54.5,305,5203.7,710,205,175,180,145,105,305,605,610,605,495,305,10,0,5,20,20,15,20,5,41344,710,75,75,10.6
5350128.06,CT,Toronto,0.08584,4199,2601,2523,45,3430,81.7,2525,48882.4,4195,935,795,800,1880,1590,2520,3820,3820,3820,2950,2520,150,75,135,230,195,200,160,120,40602,4195,1020,920,21.9
5350129.00,CT,Toronto,0.92741,5770,2787,2622,75,4060,70.5,2625,6221.7,5760,1560,1340,1340,1315,1080,2625,4840,4840,4845,3745,2620,75,35,60,155,145,145,130,130,45312,5760,575,530,9.2
5350130.00,CT,Toronto,1.27901,3543,1365,1279,35,2480,70.1,1275,2769.5,3440,965,855,855,445,330,1280,2905,2910,2905,2135,1280,20,10,20,65,45,35,35,40,45653,3440,250,230,6.7
5350131.00,CT,Toronto,1.04439,5310,2505,2360,85,3485,65.5,2360,5083.3,5305,1410,1265,1260,1200,965,2360,4555,4560,4560,3430,2360,65,25,45,125,120,105,95,95,44629,5305,560,555,10.5
5350132.00,CT,Toronto,0.92464,5467,2155,2038,45,3700,67.6,2040,5912.8,5455,1460,1245,1250,890,590,2035,4425,4425,4425,3415,2040,25,30,35,130,120,100,100,80,31808,5450,610,555,10.2
5350133.00,CT,Toronto,0.66745,7339,3629,3408,50,4925,67.1,3410,10998.1,7220,1835,1470,1475,1965,1605,3405,6190,6185,6190,4540,3405,95,65,120,260,225,210,180,165,32640,7215,1350,1125,15.6
5350134.00,CT,Toronto,0.41704,2959,1076,1033,45,1915,64.8,1035,7092.5,2895,830,745,745,290,215,1035,2215,2215,2215,1750,1035,15,5,10,50,35,30,30,25,45440,2895,150,125,4.3
5350135.00,CT,Toronto,0.71622,6047,3316,3054,70,4350,71.9,3055,8442.0,6045,1505,1300,1300,1805,1565,3055,5155,5155,5155,3940,3050,130,70,85,215,230,180,145,115,41677,6045,845,785,13.0
5350136.01,CT,Toronto,0.19196,6128,4023,3779,50,5015,81.9,3775,31916.7,6120,1390,1115,1115,2760,2400,3780,5695,5695,5695,4425,3780,175,120,165,355,330,280,225,185,41165,6120,1365,1240,20.3
5350136.02,CT,Toronto,0.21013,4983,3459,3198,35,3930,78.8,3200,23706.0,4980,1095,890,895,2355,2105,3200,4675,4675,4675,3425,3200,160,110,155,255,210,195,210,145,39104,4980,1350,1220,24.5
5350137.00,CT,Toronto,0.91421,7077,3644,3509,90,4910,69.4,3510,7740.3,7060,1805,1555,1560,2015,1725,3510,6080,6080,6080,4510,3510,105,60,100,245,215,180,145,140,39915,7060,1065,945,13.4
5350138.00,CT,Toronto,0.96546,3103,1250,1181,15,2040,65.8,1180,3214.2,3105,845,750,750,405,340,1180,2590,2590,2590,1815,1180,15,30,40,35,35,40,30,30,42752,3105,285,265,8.5
5350139.01,CT,Toronto,0.7736,4167,1904,1824,30,2815,67.6,1825,5385.8,4165,1115,970,970,795,720,1825,3450,3450,3450,2585,1820,45,30,45,105,85,85,90,70,51182,4170,405,365,8.8
5350139.02,CT,Toronto,0.50952,2542,961,920,20,1670,65.6,920,4989.2,2545,685,600,600,295,235,920,2030,2030,2030,1475,920,15,15,5,30,40,30,25,30,49152,2540,155,165,6.5
5350140.00,CT,Toronto,0.57204,2408,826,791,25,1655,68.8,790,4209.8,2405,685,620,625,170,110,790,1985,1985,1985,1515,790,10,0,5,20,20,20,15,20,38016,2410,105,110,4.6
5350141.01,CT,Toronto,0.55041,4320,1685,1620,30,2785,64.5,1620,7854.5,4320,1230,1075,1070,530,410,1620,3350,3350,3350,2565,1620,20,15,25,75,70,65,60,60,49280,4320,270,245,5.7
5350141.02,CT,Toronto,0.68759,4477,1624,1561,35,2880,64.3,1560,6512.0,4475,1265,1115,1110,370,300,1560,3425,3420,3425,2565,1560,25,10,25,55,35,60,65,60,45312,4475,235,205,4.6
5350142.00,CT,Toronto,1.04392,5810,2313,2237,20,3725,64.1,2235,5565.7,5765,1560,1375,1375,805,685,2235,4505,4505,4505,3410,2235,35,30,40,65,85,80,90,90,44128,5760,475,440,7.6
5350150.00,CT,Toronto,1.10899,4201,1640,1586,65,2770,66.2,1585,3939.4,4195,1190,1055,1060,555,415,1585,3360,3355,3355,2560,1585,30,10,30,60,45,60,60,60,39552,4195,285,290,6.9
5350151.00,CT,Toronto,0.65559,3784,1577,1535,60,2490,65.7,1535,5979.8,3785,1050,670,670,645,505,1535,2920,2920,2925,1890,1535,30,55,90,110,80,70,55,50,20928,3785,1190,915,24.2
5350152.00,CT,Toronto,0.85463,4545,1846,1764,135,3065,67.5,1765,5317.7,4545,1335,1120,1120,620,455,1765,3650,3645,3650,2815,1765,20,10,25,80,95,115,100,80,40000,4545,335,265,5.8
5350153.00,CT,Toronto,0.92761,4462,1783,1685,55,3220,72.3,1685,4811.3,4465,1265,965,965,790,500,1685,3830,3830,3830,2680,1685,15,40,50,115,120,110,125,95,25632,4460,690,600,13.5
5350154.00,CT,Toronto,2.15888,6157,2899,2818,10,4020,65.3,2820,2936.0,6150,1685,1250,1250,1550,1205,2815,5400,5400,5400,3550,2815,45,35,50,270,240,205,155,165,39056,6150,965,780,12.7
5350155.00,CT,Toronto,0.81296,3128,1316,1206,0,2190,70.2,1210,3848.4,3125,805,545,540,595,455,1205,2525,2525,2525,1565,1205,30,100,115,65,70,70,45,50,16427,3125,915,825,26.4
5350156.01,CT,Toronto,0.60545,5688,2365,2273,20,3720,65.4,2275,9395.4,5685,1495,945,945,1155,860,2275,4615,4610,4610,2725,2270,35,90,130,180,145,105,90,95,18534,5685,2010,1540,27.1
5350156.02,CT,Toronto,0.59201,2811,1124,1073,0,1940,68.7,1070,4747.5,2815,765,580,575,525,350,1075,2370,2375,2370,1615,1070,15,15,25,75,70,70,60,55,25813,2815,480,360,12.8
5350157.00,CT,Toronto,0.48528,2635,1107,1016,15,1890,71.7,1015,5689.9,2630,735,500,505,460,310,1015,2145,2145,2145,1525,1020,20,15,45,110,75,65,60,60,26496,2635,635,555,21.1
5350158.00,CT,Toronto,0.63989,2848,1346,1250,15,1895,66.5,1250,4451.4,2830,710,515,515,790,580,1250,2465,2465,2465,1435,1250,25,25,45,90,80,80,65,50,20272,2830,745,610,21.6
5350159.01,CT,Toronto,0.49247,3487,1386,1223,10,2485,71.3,1220,7081.6,3490,990,775,775,540,310,1225,2975,2975,2980,1990,1225,20,30,40,105,95,80,60,70,24576,3490,630,500,14.3
5350159.02,CT,Toronto,0.57532,4723,1843,1709,25,3280,69.5,1710,8209.6,4720,1345,1045,1050,735,465,1710,3990,3990,3990,2695,1710,25,25,40,135,115,115,100,105,27349,4720,640,530,11.2
5350160.00,CT,Toronto,0.73445,3116,1246,1143,15,2250,72.1,1145,4241.2,3070,875,720,720,485,310,1145,2590,2590,2590,1815,1145,15,15,30,80,75,75,65,80,26560,3070,415,350,11.4
5350161.00,CT,Toronto,0.81126,6839,2689,2537,55,4895,71.6,2535,8432.8,6835,1940,1500,1500,1210,715,2535,5830,5825,5830,4100,2540,40,50,70,215,180,175,145,155,25984,6840,990,845,12.4
5350162.00,CT,Toronto,0.57575,5119,2059,1952,50,3370,65.8,1950,8890.2,4950,1365,1010,1010,1015,660,1950,4205,4205,4205,2830,1950,30,40,50,145,130,150,110,110,24056,4950,870,715,14.4
5350163.00,CT,Toronto,0.45422,4358,1882,1762,125,3025,69.5,1760,9590.7,4335,1175,920,920,990,625,1760,3705,3705,3705,2585,1765,35,35,50,115,125,110,95,70,24512,4335,705,625,14.4
5350164.00,CT,Toronto,0.62823,6258,2629,2515,195,4330,69.1,2515,9966.6,6210,1750,1340,1335,1270,835,2515,5235,5235,5235,3780,2515,45,45,50,185,175,130,110,115,25579,6210,1000,890,14.3
5350165.00,CT,Toronto,0.48493,4370,2031,1943,135,3075,70.4,1945,9012.2,4360,1130,925,920,1100,830,1940,3650,3650,3650,2830,1945,40,40,50,135,105,100,85,65,29376,4360,630,575,13.2
5350166.00,CT,Toronto,0.78603,4180,1691,1625,35,2750,65.8,1625,5317.4,4130,1070,950,950,765,570,1625,3325,3325,3325,2605,1625,30,25,50,95,85,70,50,40,27840,4130,475,445,10.8
5350167.01,CT,Toronto,0.13411,1879,1483,1312,30,1150,61.2,1315,14001.5,1870,425,375,375,930,885,1315,1800,1795,1795,1230,1310,40,30,45,125,90,80,80,55,43104,1870,330,260,13.9
5350167.02,CT,Toronto,0.60145,5815,3143,2998,110,4435,76.3,3000,9667.5,5735,1405,1110,1115,2045,1620,2995,5090,5090,5090,3970,2995,95,65,140,280,240,190,140,135,29690,5730,1130,1045,18.2
5350168.00,CT,Toronto,0.56552,5475,2665,2458,60,3665,66.9,2455,9678.3,5470,1405,1000,1000,1505,1110,2460,4695,4690,4690,3075,2455,45,60,105,170,150,130,115,90,20621,5470,1330,1180,21.6
5350169.01,CT,Toronto,0.3781,3472,1457,1334,10,2530,73.1,1335,9182.8,3435,935,710,710,790,460,1335,2995,2995,2995,2130,1335,30,20,30,120,80,110,80,65,26944,3430,565,510,14.9
5350169.02,CT,Toronto,0.43778,7464,3318,3202,40,5420,72.6,3200,17041.1,7455,2025,1530,1530,1710,1270,3200,6460,6460,6460,4675,3200,65,100,140,250,255,235,200,170,26816,7455,1385,1190,16.0
5350170.00,CT,Toronto,1.01423,3321,1305,1201,10,2355,70.9,1205,3274.8,3325,945,745,740,600,320,1200,2905,2905,2905,1975,1200,10,15,20,100,95,70,90,80,25062,3320,460,405,12.2
5350171.00,CT,Toronto,0.6081,4055,1613,1522,10,2670,65.8,1525,6668.3,3850,1075,640,640,715,505,1525,3160,3165,3160,1915,1520,20,35,115,105,115,85,55,60,21760,3850,1140,880,22.9
5350172.00,CT,Toronto,1.21015,2522,1183,1128,10,1825,72.1,1125,2083.8,2520,670,410,410,635,480,1125,2090,2090,2090,1455,1130,30,25,45,100,85,75,55,45,28192,2520,645,515,20.4
5350173.00,CT,Toronto,0.60145,3694,1528,1438,0,2595,70.2,1440,6141.3,3690,975,560,560,820,520,1440,2960,2960,2965,1925,1440,40,65,100,90,100,80,90,70,19392,3690,1110,980,26.6
5350174.00,CT,Toronto,1.06328,7264,2751,2723,10,5020,69.1,2725,6928.0,6940,1920,1225,1220,1255,885,2720,5760,5755,5760,3940,2720,50,45,110,290,250,170,170,145,29136,6935,1610,1270,18.3
5350175.01,CT,Toronto,0.80126,6036,2551,2406,0,4155,68.7,2405,7676.5,5810,1490,900,900,1415,995,2405,4780,4780,4785,3070,2405,50,100,185,200,165,150,100,90,18792,5805,1835,1570,27.0
5350175.02,CT,Toronto,0.74248,7679,3813,3585,10,5285,68.9,3585,10824.6,7635,1850,1090,1090,2295,1785,3585,6235,6235,6235,3910,3585,85,145,245,300,240,175,130,120,20976,7635,2770,2335,30.6
5350176.00,CT,Toronto,1.00471,4277,1697,1609,20,3010,70.3,1605,4257.4,4245,1210,930,930,695,450,1610,3590,3585,3590,2605,1610,15,20,35,115,105,100,80,85,32576,4245,635,530,12.5
5350180.00,CT,Toronto,0.6138,6556,2875,2765,35,4755,72.5,2765,10679.3,6365,1695,1205,1205,1555,1125,2765,5285,5280,5285,3635,2765,65,110,180,255,205,165,140,120,24000,6365,1870,1545,24.3
5350181.01,CT,Toronto,0.57055,4313,1940,1858,105,3145,73.0,1860,7560.0,4305,1230,1035,1035,885,650,1860,3670,3675,3670,2805,1855,30,25,35,145,110,105,110,115,40619,4310,425,430,10.0
5350181.02,CT,Toronto,0.60182,3552,1664,1591,70,2465,69.4,1595,5901.3,3540,965,735,735,880,660,1590,3015,3015,3010,2100,1590,25,40,70,100,95,95,75,80,21760,3540,765,630,17.8
5350182.00,CT,Toronto,0.7605,5531,2297,2186,110,3770,68.2,2185,7272.8,5455,1570,1330,1330,870,655,2185,4455,4455,4455,3370,2185,25,25,35,130,130,135,120,130,42027,5460,505,420,7.7
5350183.01,CT,Toronto,0.52409,2603,1048,1007,65,1750,67.0,1005,4966.6,2595,745,635,630,420,290,1005,2160,2165,2165,1555,1010,5,15,15,80,55,50,55,65,41568,2595,290,215,8.3
5350183.02,CT,Toronto,0.42813,3938,1584,1522,130,2690,68.3,1520,9196.6,3935,1135,970,970,580,425,1520,3195,3190,3195,2380,1520,15,20,25,70,80,70,70,80,39168,3935,380,335,8.5
5350184.01,CT,Toronto,0.47406,5108,2346,2307,95,3295,64.5,2310,10767.3,5090,1400,1085,1085,1190,945,2305,4250,4245,4245,2805,2305,50,45,90,165,120,90,85,100,24512,5090,1155,940,18.5
5350184.02,CT,Toronto,0.56201,3768,1694,1642,50,2675,71.0,1640,6757.5,3760,1045,800,800,840,625,1645,3210,3215,3215,2265,1645,40,30,50,110,115,110,85,75,31770,3760,670,580,15.4
5350185.01,CT,Toronto,0.49919,6810,3507,3394,205,4915,72.2,3395,13647.3,6805,1765,1360,1360,2020,1660,3395,5900,5900,5900,4155,3395,95,65,130,345,235,190,160,125,30208,6805,1680,1380,20.3
5350185.02,CT,Toronto,1.22887,4689,2305,2269,90,3245,69.2,2270,3921.6,4520,1180,940,945,1335,1105,2270,3980,3975,3980,2815,2265,50,45,70,195,165,130,120,100,36403,4525,880,720,15.9
5350186.00,CT,Toronto,1.91076,2416,949,913,30,1535,63.6,915,1297.7,2420,660,575,575,325,255,910,1915,1915,1920,1385,910,25,10,10,40,40,40,45,25,48000,2415,200,145,6.0
