GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5807: Bicycle,v_CA16_61: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
5350017.00,CT,Toronto,1.37531,7906,5250,4663,330,6105,77.3,4660,5889.5,7875,1865,1395,1390,3250,2815,4665,7145,7140,7140,5470,4660,130,105,250,350,340,315,265,250,45084,7875,1670,1470,18.7
5350018.00,CT,Toronto,0.35178,2456,1319,1248,135,1950,79.3,1245,7081.9,2335,590,505,505,815,665,1245,2055,2055,2055,1670,1250,35,40,60,70,80,65,60,55,46464,2335,325,355,15.2
5350019.00,CT,Toronto,0.24894,3258,1410,1365,120,2280,70.0,1365,13089.6,3035,810,595,595,770,575,1365,2575,2580,2575,1805,1365,25,75,125,60,85,60,60,55,19264,3035,755,670,22.1
5350020.00,CT,Toronto,0.73862,2390,1028,1014,35,1535,64.2,1015,3236.3,2385,700,615,615,375,325,1010,1935,1935,1935,1415,1015,10,5,10,35,40,40,45,50,67968,2390,135,110,4.6
5350021.00,CT,Toronto,0.86807,5199,2830,2661,180,3670,70.7,2660,5977.9,5195,1350,1125,1125,1520,1330,2660,4490,4490,4490,3390,2660,75,55,130,175,145,145,130,120,39616,5195,700,615,11.8
5350022.00,CT,Toronto,0.55462,3883,1577,1504,85,2655,68.6,1505,6998.9,3865,1090,935,930,520,420,1505,3075,3075,3075,2380,1505,25,25,25,75,60,65,60,50,43200,3865,280,265,6.9
5350023.00,CT,Toronto,0.68635,3208,1355,1286,55,2180,67.8,1285,4673.7,3200,905,790,785,460,395,1290,2630,2635,2635,1980,1285,30,20,20,55,65,50,60,55,48896,3200,220,180,5.6
5350024.00,CT,Toronto,0.70927,6887,3136,2963,215,4755,68.9,2965,9713.7,6790,1890,1575,1575,1335,1095,2965,5485,5485,5480,4370,2965,55,45,75,170,145,145,135,130,39040,6790,675,580,8.5
5350025.00,CT,Toronto,0.52843,3456,1659,1610,105,2555,74.0,1610,6540.5,3405,940,755,760,835,680,1610,2845,2850,2845,2155,1610,20,45,95,105,95,70,60,70,30528,3405,565,510,15.0
5350026.00,CT,Toronto,0.77719,6486,2894,2695,250,4750,73.2,2695,8344.3,6470,1765,1390,1390,1400,995,2695,5325,5330,5325,3850,2695,80,70,135,170,135,155,150,130,27904,6470,1280,1160,17.9
5350027.00,CT,Toronto,0.48531,4390,1818,1724,165,3085,70.3,1725,9046.0,4305,1170,925,925,930,615,1725,3600,3605,3600,2555,1725,40,30,60,115,95,95,70,80,27712,4305,825,750,17.4
5350028.01,CT,Toronto,0.20716,1387,728,684,50,1105,79.8,680,6690.8,1350,375,325,325,375,315,685,1165,1165,1160,1010,685,15,5,15,35,40,45,40,40,57045,1355,120,105,7.7
5350028.02,CT,Toronto,0.46335,6198,3007,2836,240,4555,73.5,2835,13383.7,5965,1585,1350,1350,1715,1300,2835,5130,5130,5130,3985,2835,60,65,90,155,185,150,155,155,43072,5965,930,940,15.8
5350029.00,CT,Toronto,0.68669,6987,3099,2962,325,5190,74.2,2965,10354.2,6870,1820,1445,1445,1770,1230,2965,5890,5890,5890,4205,2960,55,65,135,195,175,145,165,120,24896,6870,1545,1385,20.2
5350030.00,CT,Toronto,0.38708,4529,2319,2195,190,3690,81.5,2195,11893.4,4405,1030,770,775,1525,1180,2195,3850,3855,3850,2865,2195,105,95,85,175,185,130,115,110,33760,4410,1380,1180,26.8
5350031.00,CT,Toronto,0.26375,6274,2864,2765,110,4750,75.7,2765,24270.8,6265,1430,970,970,1685,1370,2765,5190,5190,5190,3105,2765,75,205,275,220,175,125,105,65,17984,6265,3135,2585,41.3
5350032.00,CT,Toronto,0.4197,5363,2976,2641,225,4250,79.3,2640,12781.2,4185,750,560,560,2275,1900,2640,3870,3875,3870,2435,2645,145,305,340,115,95,60,65,55,17317,4185,1935,1825,43.6
5350033.00,CT,Toronto,0.31957,5042,3010,2733,115,4025,79.8,2735,15780.9,4550,845,545,545,2310,1905,2735,4035,4035,4035,2370,2735,130,310,510,135,100,70,70,65,15115,4555,2445,2265,49.7
