,Area(sqKm),BicycleF_x,BicycleM_x,BicycleT_x,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,Dwellings,GeoUID,Households,LandArea(skm)_x,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Population,PopulationCT_x,PopulationDensity_x,Primary_Offence,RegionName,Status,Type,Week_day,Type_x_x,Region Name_x_x,Area (sq km)_x_x,Population _x_x,Dwellings _x_x,Households _x_x,PopulationCT_y,PopulationDensity_y,LandArea(skm)_y,v_CA16_1: Age Stats_x,Type_y_x,Region Name_y_x,Area (sq km)_y_x,Population _y_x,Dwellings _y_x,Households _y_x,BicycleF_y,BicycleM_y,BicycleT_y,Type_x_y,Region Name_x_y,Area (sq km)_x_y,Population _x_y,Dwellings _x_y,Households _x_y,PopulationCT,PopulationDensity,LandArea(skm),v_CA16_1: Age Stats_y,Type_y_y,Region Name_y_y,Area (sq km)_y_y,Population _y_y,Dwellings _y_y,Households _y_y,BicycleF,BicycleM,BicycleT
0,2.00958,10.0,35.0,45.0,22.388059701492537,Black,CANNONDALE,SI,22.0,HYBRID,Ottawa,2200.0,East,3514.0,5050001.01,3282.0,2.01,-75.65715168,"SINGLE HOME, HOUSE",45.36524032,Ledbury - Heron Gate - Ridgemont,2019-04-09 01:30:00,9.0,4.0,01:30:00,2019.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
1,2.00958,10.0,35.0,45.0,22.388059701492537,Black,SCHWINN,ALUMINUM 700C,1.0,HYBRID,Ottawa,550.0,East,3514.0,5050001.01,3282.0,2.01,-75.6611733,PARKING LOTS,45.37125408,Ledbury - Heron Gate - Ridgemont,2019-08-01 15:30:00,1.0,8.0,15:30:00,2019.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Thursday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
2,1.36066,0.0,15.0,15.0,11.029411764705882,Dark blue,ROLAND,,21.0,TANDEM,Ottawa,1500.0,East,1237.0,5050001.04,1163.0,1.36,-75.65261020000001,OTHER COMMERCIAL / CORPORATE PLACES,45.35409242,South Keys - Greenboro West,2019-08-19 13:45:00,19.0,8.0,13:45:00,2019.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,RECOVERED,CT,Monday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
3,1.36066,0.0,15.0,15.0,11.029411764705882,"Silver, aluminum, stainless steel",CCM,DS-650,21.0,MOUNTAIN,Ottawa,650.0,East,1237.0,5050001.04,1163.0,1.36,-75.65689186,SUBWAY / SUBWAY STATION,45.36038809,South Keys - Greenboro West,2019-11-01 09:30:00,1.0,11.0,09:30:00,2019.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
4,1.36066,0.0,15.0,15.0,11.029411764705882,,,,0.0,,Ottawa,,East,1237.0,5050001.04,1163.0,1.36,-75.65115394,PARKING LOTS,45.35564118,South Keys - Greenboro West,2019-06-26 21:45:00,26.0,6.0,21:45:00,2019.0,2718.0,2718.0,1997.6,ASSAULT <16,Ottawa,UNKNOWN,CT,Wednesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
5,,,,,,,,,,,,,,,5050001.05,,,,,,,,,,,,,,,,,Bicycle_No_Theft,,,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.7,5980,CT,Ottawa,2.70025,5984,2022,1984,10,20,30,CT,Ottawa,2.70025,5984,2022,1984,5984,2216.0,2.7,5980,CT,Ottawa,2.70025,5984,2022,1984,10,20,30
6,,,,,,,,,,,,,,,5050001.06,,,,,,,,,,,,,,,,,Bicycle_No_Theft,,,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25,CT,Ottawa,1.25433,6111,2402,2347,6111,4872.0,1.25,6110,CT,Ottawa,1.25433,6111,2402,2347,15,10,25
7,0.97422,0.0,10.0,15.0,15.463917525773196,Gray,GIANT,RINCON,21.0,MOUNTAIN,Ottawa,450.0,East,1473.0,5050001.07,1444.0,0.97,-75.61795238,PARKING LOTS,45.36779773,Huntclub Park,2019-04-25 20:30:00,25.0,4.0,20:30:00,2019.0,4193.0,4193.0,4303.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Thursday,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
8,0.97422,0.0,10.0,15.0,15.463917525773196,Black,BANSHEE,SCRATCH,1.0,MOUNTAIN,Ottawa,1000.0,East,1473.0,5050001.07,1444.0,0.97,-75.61604185,PARKING LOTS,45.36877986,Huntclub Park,2019-07-17 15:30:00,17.0,7.0,15:30:00,2019.0,4193.0,4193.0,4303.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Wednesday,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
9,0.97422,0.0,10.0,15.0,15.463917525773196,White,CCM,,21.0,MOUNTAIN,Ottawa,500.0,East,1473.0,5050001.07,1444.0,0.97,-75.61795238,PARKING LOTS,45.36779773,Huntclub Park,2019-08-09 20:25:00,9.0,8.0,20:25:00,2019.0,4193.0,4193.0,4303.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
10,0.97422,0.0,10.0,15.0,15.463917525773196,"Silver, aluminum, stainless steel; Blue",CCM,DS-650 DUAL SUS,1.0,MOUNTAIN,Ottawa,600.0,East,1473.0,5050001.07,1444.0,0.97,-75.61795238,PARKING LOTS,45.36779773,Huntclub Park,2019-08-29 00:00:00,29.0,8.0,00:00:00,2019.0,4193.0,4193.0,4303.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Thursday,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15,CT,Ottawa,0.97422,4193,1473,1444,4193,4303.6,0.97,4195,CT,Ottawa,0.97422,4193,1473,1444,0,10,15
11,4.60734,10.0,0.0,0.0,0.0,White,CCM,SHAMANO,0.0,REGULAR,Ottawa,500.0,East,1496.0,5050001.08,1478.0,4.61,-75.62059702,"SINGLE HOME, HOUSE",45.37063388,Huntclub Park,2019-06-28 23:05:00,28.0,6.0,23:05:00,2019.0,4632.0,4632.0,1005.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,4.60734,4632,1496,1478,4632,1005.6,4.61,4630,CT,Ottawa,4.60734,4632,1496,1478,10,0,0,CT,Ottawa,4.60734,4632,1496,1478,4632,1005.6,4.61,4630,CT,Ottawa,4.60734,4632,1496,1478,10,0,0
