,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
168,30,5350139.01,CT,Toronto,0.7736,4167,1904,1824,1825,3450,3450,3450,860,2585,1820,55680,46976,159915,127360
169,20,5350139.02,CT,Toronto,0.50952,2542,961,920,920,2030,2030,2030,555,1475,920,52928,43968,226048,171264
170,25,5350140.0,CT,Toronto,0.57204,2408,826,791,790,1985,1985,1985,475,1515,790,68608,60288,330240,233387
171,30,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,1620,3350,3350,3350,780,2565,1620,55680,47488,177920,142336
172,35,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,1560,3425,3420,3425,860,2565,1560,52992,46976,190324,150244
173,20,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,2235,4505,4505,4505,1100,3410,2235,49536,43264,192455,150592
174,65,5350150.0,CT,Toronto,1.10899,4201,1640,1586,1585,3360,3355,3355,800,2560,1585,45696,39168,181589,143019
175,60,5350151.0,CT,Toronto,0.65559,3784,1577,1535,1535,2920,2920,2925,1035,1890,1535,20800,20544,65664,59947
176,135,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,1765,3650,3645,3650,835,2815,1765,46720,41003,120064,100827
177,55,5350153.0,CT,Toronto,0.92761,4462,1783,1685,1685,3830,3830,3830,1150,2680,1685,28672,26944,84267,74709
178,10,5350154.0,CT,Toronto,2.15888,6157,2899,2818,2815,5400,5400,5400,1850,3550,2815,42214,37397,79161,70254
179,0,5350155.0,CT,Toronto,0.81296,3128,1316,1206,1205,2525,2525,2525,965,1565,1205,14448,14448,72858,66091
180,20,5350156.01,CT,Toronto,0.60545,5688,2365,2273,2275,4615,4610,4610,1890,2725,2270,18702,18624,54059,51021
181,0,5350156.02,CT,Toronto,0.59201,2811,1124,1073,1075,2370,2375,2370,760,1615,1070,25664,24640,78677,70656
182,15,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,1015,2145,2145,2145,620,1525,1020,28288,27072,64000,57536
183,15,5350158.0,CT,Toronto,0.63989,2848,1346,1250,1250,2465,2465,2465,1030,1435,1250,20749,20747,60864,56704
184,10,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,1225,2975,2975,2980,985,1990,1225,24960,23360,76134,68800
185,25,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,1710,3990,3990,3990,1290,2695,1710,28885,27072,80768,72224
186,15,5350160.0,CT,Toronto,0.73445,3116,1246,1143,1145,2590,2590,2590,775,1815,1145,30080,27307,85146,75221
187,55,5350161.0,CT,Toronto,0.81126,6839,2689,2537,2535,5830,5825,5830,1725,4100,2540,30080,27648,77909,69748
188,50,5350162.0,CT,Toronto,0.57575,5119,2059,1952,1950,4205,4205,4205,1375,2830,1950,26816,25549,74944,67840
189,125,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,1760,3705,3705,3705,1120,2585,1765,29781,27264,83558,73472
190,195,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,2515,5235,5235,5235,1455,3780,2515,29696,27605,84181,74317
191,135,5350165.0,CT,Toronto,0.48493,4370,2031,1943,1940,3650,3650,3650,825,2830,1945,33344,30432,101595,87040
192,35,5350166.0,CT,Toronto,0.78603,4180,1691,1625,1625,3325,3325,3325,725,2605,1625,33632,31040,162304,130901
193,30,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,1315,1800,1795,1795,565,1230,1310,43264,38485,91136,81237
194,110,5350167.02,CT,Toronto,0.60145,5815,3143,2998,2995,5090,5090,5090,1120,3970,2995,33952,30869,70400,63388
195,60,5350168.0,CT,Toronto,0.56552,5475,2665,2458,2460,4695,4690,4690,1615,3075,2455,21193,21069,70713,63659
196,10,5350169.01,CT,Toronto,0.3781,3472,1457,1334,1335,2995,2995,2995,860,2130,1335,31968,29632,74394,67405
197,40,5350169.02,CT,Toronto,0.43778,7464,3318,3202,3200,6460,6460,6460,1780,4675,3200,29184,26880,74752,67174
198,10,5350170.0,CT,Toronto,1.01423,3321,1305,1201,1200,2905,2905,2905,930,1975,1200,27584,26304,82261,72619
199,10,5350171.0,CT,Toronto,0.6081,4055,1613,1522,1525,3160,3165,3160,1245,1915,1520,21696,21440,59200,54848
200,10,5350172.0,CT,Toronto,1.21015,2522,1183,1128,1125,2090,2090,2090,640,1455,1130,30549,27861,62635,56747
201,0,5350173.0,CT,Toronto,0.60145,3694,1528,1438,1440,2960,2960,2965,1035,1925,1440,19680,19418,61261,55776
202,10,5350174.0,CT,Toronto,1.06328,7264,2751,2723,2720,5760,5755,5760,1820,3940,2720,31520,28928,62624,57483
203,0,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,2405,4780,4780,4785,1710,3070,2405,19893,19802,59936,55322
204,10,5350175.02,CT,Toronto,0.74248,7679,3813,3585,3585,6235,6235,6235,2325,3910,3585,22027,21536,51968,49280
205,20,5350176.0,CT,Toronto,1.00471,4277,1697,1609,1610,3590,3585,3590,985,2605,1610,44288,38784,97664,85184
206,35,5350180.0,CT,Toronto,0.6138,6556,2875,2765,2765,5285,5280,5285,1645,3635,2765,27200,25536,62234,56363
207,105,5350181.01,CT,Toronto,0.57055,4313,1940,1858,1860,3670,3675,3670,865,2805,1855,46976,40533,106715,89771
208,70,5350181.02,CT,Toronto,0.60182,3552,1664,1591,1590,3015,3015,3010,915,2100,1590,22848,22624,89088,77227
209,110,5350182.0,CT,Toronto,0.7605,5531,2297,2186,2185,4455,4455,4455,1085,3370,2185,46624,40730,112256,95269
210,65,5350183.01,CT,Toronto,0.52409,2603,1048,1007,1005,2160,2165,2165,600,1555,1010,43168,38560,108032,91136
211,130,5350183.02,CT,Toronto,0.42813,3938,1584,1522,1520,3195,3190,3195,815,2380,1520,43110,37803,119706,100864
212,95,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,2305,4250,4245,4245,1440,2805,2305,25536,24213,84224,74624
213,50,5350184.02,CT,Toronto,0.56201,3768,1694,1642,1645,3210,3215,3215,945,2265,1645,34880,31136,83904,73326
214,205,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,3395,5900,5900,5900,1745,4155,3395,33459,30496,65835,59930
215,90,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,2270,3980,3975,3980,1160,2815,2265,39648,35014,81152,70997
216,30,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,910,1915,1915,1920,530,1385,910,52992,44928,207360,161536
217,55,5350187.0,CT,Toronto,1.21045,3448,1424,1351,1350,2850,2850,2850,770,2080,1350,41344,36608,114432,96819
218,40,5350188.0,CT,Toronto,0.55199,2017,842,797,795,1680,1680,1680,490,1190,795,38272,34752,117888,99669
219,25,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,2180,4445,4440,4440,1530,2910,2180,38848,34637,72960,65301
220,20,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,3505,7250,7250,7250,2715,4535,3505,32224,29376,51172,48410
221,20,5350190.02,CT,Toronto,0.5813,4765,2102,2026,2030,3920,3920,3920,1440,2480,2025,25792,24256,58016,53952
222,40,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,1780,3570,3570,3570,975,2595,1780,36160,32448,93355,81152
223,0,5350192.0,CT,Toronto,0.92037,905,462,440,440,790,790,790,305,485,440,23104,22720,73728,67328
224,10,5350193.0,CT,Toronto,1.41592,3314,1070,1043,1045,2675,2675,2675,870,1805,1045,39808,34816,106560,92608
225,25,5350194.01,CT,Toronto,0.2315,5498,1482,1463,1465,3565,3570,3565,1760,1805,1465,30528,27456,43264,42715
226,10,5350194.02,CT,Toronto,0.34635,6240,1934,1923,1925,4380,4380,4380,1990,2390,1925,44587,39552,48589,46958
227,0,5350194.03,CT,Toronto,0.25016,2933,1238,1229,1230,2325,2325,2325,960,1360,1230,19776,19584,49382,46362
228,20,5350194.04,CT,Toronto,2.29209,6437,2571,2508,2510,4980,4975,4980,1870,3105,2510,44757,39744,59600,55328
229,60,5350195.01,CT,Toronto,0.9462,4483,1656,1604,1600,3430,3425,3425,795,2630,1600,40960,36864,169984,138240
230,45,5350195.02,CT,Toronto,0.37813,2317,920,894,890,1810,1815,1810,415,1390,895,58496,48341,175616,137728
231,25,5350196.01,CT,Toronto,0.3774,1977,811,775,775,1640,1640,1635,455,1185,775,53760,47104,189824,144768
232,75,5350196.02,CT,Toronto,1.10548,5635,2376,2250,2250,4565,4565,4565,1165,3400,2250,49638,42475,199607,152704
233,70,5350200.01,CT,Toronto,0.6408,5614,3143,3055,3055,5000,5000,5000,1615,3380,3055,39680,35584,62912,57911
234,15,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,650,910,910,910,195,715,650,34592,30630,75008,65707
235,50,5350201.0,CT,Toronto,0.75952,5371,2989,2776,2775,4700,4705,4700,1285,3415,2775,27648,25301,94354,81335
236,25,5350202.0,CT,Toronto,0.33589,1647,653,631,635,1340,1340,1340,310,1030,630,42880,37184,120064,101120
237,25,5350203.0,CT,Toronto,0.58927,3160,1507,1431,1435,2685,2685,2685,605,2080,1430,40704,35840,92960,80469
238,105,5350204.0,CT,Toronto,0.74088,4537,2310,2210,2210,3860,3865,3865,1020,2840,2210,30891,27776,99200,84864
239,x,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,F,F,F,F,F,F,F,F,F,F,F
240,45,5350206.01,CT,Toronto,1.13878,4217,2151,2041,2040,3670,3670,3665,940,2730,2040,40917,36224,84309,73984
241,65,5350206.02,CT,Toronto,1.08513,5867,2994,2774,2775,5055,5055,5055,1280,3775,2775,38766,34475,78464,69559
242,25,5350207.0,CT,Toronto,0.67366,2605,1285,1181,1180,2295,2295,2295,565,1730,1180,37973,34133,76373,67456
243,25,5350208.0,CT,Toronto,1.29403,4172,2062,1981,1980,3515,3520,3520,1225,2295,1980,20309,20224,56128,51520
244,20,5350209.0,CT,Toronto,0.69308,2718,1338,1252,1250,2330,2330,2335,815,1520,1255,19680,19536,83200,72277
245,20,5350210.01,CT,Toronto,2.96012,3083,1008,971,970,2175,2175,2175,465,1705,970,51584,43584,128512,106155
246,85,5350210.02,CT,Toronto,0.94935,11390,9168,7016,7015,10690,10690,10690,2210,8480,7015,62357,51569,99435,84389
247,40,5350211.0,CT,Toronto,3.27116,6350,2512,2447,2450,5490,5490,5490,1585,3910,2450,39083,34406,97888,84192
248,25,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,2165,4775,4775,4775,1255,3515,2170,41664,36928,110848,93952
249,15,5350213.01,CT,Toronto,0.94226,2666,1021,990,990,2265,2265,2265,665,1605,990,44800,39339,120832,101205
250,0,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,3135,5315,5310,5315,1090,4220,3135,60672,50637,92113,79799
251,15,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,2390,4450,4455,4455,1025,3425,2390,58464,48939,105574,90240
252,55,5350215.0,CT,Toronto,2.60049,6748,2991,2789,2790,5680,5685,5685,1500,4185,2785,39808,35520,111744,94752
253,50,5350216.0,CT,Toronto,1.9993,5532,2238,2163,2165,4525,4530,4525,1170,3355,2160,53018,44736,149914,121429
254,50,5350217.0,CT,Toronto,1.33055,5692,2917,2756,2755,4840,4840,4840,1375,3470,2755,35029,31680,58496,53568
255,30,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,1025,2130,2130,2130,560,1570,1025,69376,56576,182784,145715
256,50,5350219.0,CT,Toronto,1.36063,4427,1690,1644,1645,3655,3660,3660,1045,2610,1645,43136,38240,134592,111287
257,20,5350220.0,CT,Toronto,1.32212,4177,1597,1584,1585,3495,3490,3490,945,2545,1580,41856,37056,104000,88704
258,20,5350221.01,CT,Toronto,1.64542,6377,2751,2725,2725,5620,5620,5620,1955,3660,2725,51200,44501,114375,95974
259,50,5350221.02,CT,Toronto,0.80501,5202,2167,2064,2065,4255,4260,4255,1125,3130,2060,41515,36704,72832,65894
260,0,5350222.01,CT,Toronto,1.28483,6699,2626,2557,2560,5655,5650,5650,1525,4130,2560,49664,42368,97493,84242
261,15,5350222.02,CT,Toronto,1.2002,5141,1830,1782,1785,3880,3880,3880,1260,2620,1780,31040,29264,79829,70605
262,10,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,530,1280,1280,1280,365,915,530,48384,42240,148992,122880
263,0,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,770,1805,1810,1810,480,1325,770,40704,36480,139520,117312
264,0,5350224.0,CT,Toronto,1.04417,1696,578,573,575,1400,1400,1405,360,1045,575,65472,55168,196096,154112
265,10,5350225.01,CT,Toronto,0.93466,4981,2387,2316,2320,4460,4460,4455,1490,2970,2315,54221,45696,93842,81280
266,25,5350225.02,CT,Toronto,0.3048,9706,5006,4859,4860,8300,8300,8295,2340,5960,4860,36459,32676,68164,60644
267,0,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,1215,2605,2605,2605,745,1865,1210,55979,47488,181453,144043
268,0,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,625,1440,1445,1440,410,1035,625,71296,56448,227840,175360
269,30,5350228.0,CT,Toronto,0.883,3131,1418,1362,1360,2675,2675,2675,855,1820,1365,68813,56768,172544,135987
270,0,5350229.0,CT,Toronto,0.32031,1223,393,384,385,870,865,870,220,650,385,56448,46080,234496,180736
271,10,5350230.01,CT,Toronto,1.50655,2537,1109,1082,1085,2115,2115,2115,635,1480,1080,53056,45013,126400,104192
272,10,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,2605,5450,5450,5450,1720,3735,2605,41301,36250,81536,72533
273,20,5350231.0,CT,Toronto,3.02848,6461,2722,2566,2570,5505,5505,5505,1500,4010,2565,45312,39680,159744,128512
274,0,5350232.0,CT,Toronto,2.04605,3825,1348,1306,1310,3235,3235,3240,895,2340,1305,83200,64128,203776,158976
275,0,5350233.0,CT,Toronto,2.0806,5530,2032,1982,1980,4635,4630,4630,1400,3230,1980,50560,42752,123136,104192
276,0,5350234.0,CT,Toronto,2.11718,4524,1645,1600,1600,3745,3745,3745,1160,2585,1600,41643,36949,113920,96597
277,10,5350235.01,CT,Toronto,1.40707,2841,1009,997,1000,2440,2445,2440,645,1795,1000,43328,38016,116736,98611
278,15,5350235.02,CT,Toronto,1.07805,5277,2039,2010,2010,4575,4575,4575,1490,3090,2010,39979,35310,91168,79835
279,15,5350236.01,CT,Toronto,0.98685,6646,2560,2519,2520,5515,5515,5515,1790,3725,2520,38976,35360,81408,72491
280,10,5350236.02,CT,Toronto,4.07421,5946,2284,2256,2255,5135,5135,5130,1550,3585,2255,46656,41280,102656,90135
281,0,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,2410,5370,5370,5370,1975,3395,2410,28160,27008,67840,62171
282,0,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,1060,2465,2470,2465,820,1640,1065,35328,32128,93483,82278
283,10,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,2545,4940,4940,4940,1925,3010,2545,38272,34560,81715,72192
284,0,5350238.01,CT,Toronto,1.03807,3350,1259,1231,1235,2910,2905,2905,870,2035,1230,49664,43264,129451,107584
285,10,5350238.02,CT,Toronto,0.98177,5244,2070,1953,1955,4290,4290,4290,1370,2925,1950,40384,35872,75904,68153
286,25,5350239.0,CT,Toronto,2.55782,6481,2511,2383,2380,5235,5235,5240,1730,3510,2385,39808,35840,73748,66784
287,10,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,1260,2900,2900,2900,990,1910,1260,42240,38144,128768,107264
288,0,5350240.02,CT,Toronto,1.04495,6043,2621,2558,2555,4970,4970,4970,1800,3170,2555,39552,35917,81184,71570
289,10,5350241.0,CT,Toronto,1.0982,3231,1030,1003,1005,2390,2390,2390,695,1700,1000,37696,34261,116480,99200
290,0,5350242.0,CT,Toronto,0.67084,1674,610,575,575,1300,1305,1305,485,820,575,23680,22592,61141,56896
291,10,5350243.01,CT,Toronto,0.31518,6658,2236,2142,2140,5120,5120,5120,2495,2625,2140,38496,34603,56090,53734
292,0,5350243.02,CT,Toronto,1.2154,3617,1342,1304,1305,3095,3095,3095,1090,2010,1305,35200,31520,73685,66688
293,10,5350244.01,CT,Toronto,1.45046,5677,2009,1945,1945,4710,4710,4710,1615,3095,1945,37803,33170,73824,66798
294,10,5350244.02,CT,Toronto,1.46584,3779,1335,1274,1270,2935,2935,2930,1095,1840,1270,21568,21280,60117,56346
295,25,5350245.0,CT,Toronto,1.42111,6934,2672,2567,2570,5795,5795,5795,1920,3875,2565,31840,29728,70997,64370
296,0,5350246.0,CT,Toronto,1.0727,3595,1317,1279,1275,2925,2925,2930,965,1960,1280,20651,20512,94144,83168
297,10,5350247.01,CT,Toronto,17.35024,8727,2931,2748,2750,7275,7275,7275,2155,5115,2750,42197,37152,82236,73952
298,20,5350247.02,CT,Toronto,3.22582,7167,2537,2385,2385,6055,6060,6055,1990,4070,2385,36864,33536,84224,75613
299,0,5350248.02,CT,Toronto,1.23696,5671,1864,1784,1785,4270,4270,4270,1855,2415,1785,16032,16032,56960,54571
300,0,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,755,2225,2220,2225,670,1555,755,33024,30464,77897,70315
301,30,5350248.04,CT,Toronto,1.51177,4771,1671,1496,1500,3940,3940,3935,1195,2745,1495,28096,26432,73421,66958
302,0,5350248.05,CT,Toronto,1.15519,4332,1413,1310,1310,3630,3630,3630,1305,2325,1310,22336,22080,76928,69888
303,0,5350249.01,CT,Toronto,0.82975,4650,1428,1341,1340,3995,3995,3995,1350,2645,1345,31872,29397,84160,76763
304,0,5350249.03,CT,Toronto,2.96801,5696,1704,1592,1595,4725,4725,4725,1475,3245,1590,36736,33600,78208,71840
305,15,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,950,2710,2710,2715,1000,1710,955,31488,29440,72704,67072
306,0,5350249.05,CT,Toronto,0.64364,5476,1584,1534,1535,4230,4225,4225,1595,2635,1535,25280,24000,55168,52073
307,0,5350250.01,CT,Toronto,1.40913,5432,1618,1545,1545,4290,4295,4290,1555,2735,1545,33664,29760,70246,65280
308,15,5350250.02,CT,Toronto,1.99197,4928,1854,1735,1735,4105,4105,4105,1420,2685,1735,29248,27797,80128,72021
309,10,5350250.04,CT,Toronto,0.50556,6206,2057,1994,1995,4585,4585,4590,1470,3120,1995,29952,27008,56283,52663
310,10,5350250.05,CT,Toronto,0.70576,7607,2288,2270,2270,5950,5945,5945,2470,3480,2270,34048,30656,57088,54109
311,10,5350260.01,CT,Toronto,0.7288,6748,2431,2398,2400,5690,5695,5695,2085,3610,2395,33888,31648,65685,60506
312,10,5350260.04,CT,Toronto,0.1881,4147,1498,1480,1480,3210,3215,3210,1430,1780,1480,18464,18453,47392,45952
313,10,5350260.05,CT,Toronto,0.2543,4020,1369,1332,1330,2845,2845,2845,1460,1380,1330,20198,20160,36896,36181
314,0,5350260.06,CT,Toronto,0.95204,3348,1132,1116,1115,2615,2620,2615,835,1780,1115,39040,35328,58368,54443
315,20,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,1505,3175,3175,3175,1175,2000,1500,44416,39040,72000,66048
316,0,5350261.0,CT,Toronto,1.92395,5501,2284,2194,2195,4465,4465,4465,1955,2505,2195,18285,18221,66020,62007
317,0,5350262.01,CT,Toronto,0.67091,5736,2752,2728,2725,4890,4890,4890,1560,3335,2730,40416,35904,65646,59725
318,20,5350262.02,CT,Toronto,2.16555,6273,2526,2490,2490,5195,5195,5200,1870,3330,2490,36462,32640,68901,62669
319,15,5350263.02,CT,Toronto,2.00598,3471,1680,1629,1630,2925,2920,2920,930,1990,1625,52544,44672,102720,87360
320,15,5350263.03,CT,Toronto,1.56059,4906,2106,2060,2060,3940,3935,3935,1095,2835,2060,47445,40960,82091,72576
321,0,5350263.04,CT,Toronto,0.69962,6531,3616,3536,3535,5770,5770,5770,2095,3675,3535,52544,44826,79509,69797
322,0,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,435,1145,1140,1145,430,715,435,158720,107776,243200,178005
323,25,5350265.0,CT,Toronto,2.6864,4756,1855,1742,1745,3825,3830,3830,1230,2595,1740,97344,76203,257877,193024
324,10,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,1065,2775,2775,2775,945,1825,1065,86016,67840,275456,209920
325,10,5350267.0,CT,Toronto,2.71113,6368,2133,2062,2060,5275,5270,5270,1735,3535,2060,64981,53888,173568,139008
326,25,5350268.0,CT,Toronto,3.0571,6419,2938,2837,2840,5500,5495,5495,1985,3510,2835,51755,44096,112640,95232
327,0,5350269.01,CT,Toronto,0.75312,5056,2354,2081,2080,4290,4290,4285,1525,2765,2080,33067,30240,56627,52267
328,10,5350269.02,CT,Toronto,1.76908,2569,951,923,925,2180,2175,2175,615,1565,920,61312,52992,136119,113600
329,0,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,1950,4155,4155,4155,1320,2835,1955,43435,38485,78490,69981
330,0,5350270.02,CT,Toronto,0.75775,4264,1636,1611,1610,3420,3420,3420,1050,2370,1615,43072,37280,83029,72844
331,15,5350271.01,CT,Toronto,0.8935,2429,899,893,890,2060,2055,2060,625,1435,895,44416,38528,115840,100608
332,10,5350271.02,CT,Toronto,0.7092,4815,1765,1749,1750,3890,3895,3890,1360,2535,1750,35104,31552,76698,68198
333,0,5350272.01,CT,Toronto,0.4552,5987,2408,2342,2345,4895,4900,4895,1600,3300,2340,33323,30112,58816,54502
334,10,5350272.02,CT,Toronto,0.99884,4705,1791,1763,1765,4010,4010,4010,1295,2720,1765,39765,36011,89242,79177
335,10,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,1230,3275,3270,3275,1090,2180,1230,57728,50304,150016,124224
336,10,5350273.02,CT,Toronto,1.28882,4160,1530,1477,1475,3535,3540,3535,1290,2245,1475,63360,52736,122112,104192
337,0,5350274.01,CT,Toronto,1.52481,4900,1788,1756,1755,4090,4095,4090,1225,2865,1755,48512,39808,97573,85248
338,0,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,1960,4140,4140,4140,1345,2790,1965,60416,50944,114859,97792
339,30,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,2345,4890,4895,4890,1535,3355,2350,61824,50528,178176,142950
340,10,5350276.01,CT,Toronto,1.22609,6446,2764,2642,2640,5150,5150,5150,1565,3585,2640,39424,35712,133803,111104
341,30,5350276.02,CT,Toronto,1.28263,6870,2514,2398,2400,5415,5415,5415,1420,3990,2400,50688,43520,193536,150187
342,20,5350277.0,CT,Toronto,1.02778,4084,1323,1220,1220,3105,3105,3105,830,2275,1220,39808,35136,182101,149931
343,20,5350278.0,CT,Toronto,1.3337,7734,2944,2679,2680,5930,5930,5930,1905,4020,2680,27456,26496,99584,88363
344,20,5350279.01,CT,Toronto,1.21444,4028,1665,1523,1525,3455,3455,3450,1110,2340,1520,35680,31552,89600,79019
345,0,5350279.02,CT,Toronto,1.57835,6503,2195,2117,2115,4955,4955,4955,1800,3155,2115,30357,27744,72909,66487
346,15,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,2920,6030,6035,6035,2005,4030,2920,29811,27456,61483,56363
347,10,5350281.01,CT,Toronto,0.96206,6484,2324,2256,2255,5260,5255,5260,1745,3510,2260,24128,23232,66176,60096
348,0,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,1305,3060,3060,3060,1025,2035,1305,31616,28544,61984,57293
349,0,5350282.0,CT,Toronto,2.22534,4480,1663,1607,1610,3835,3835,3835,1125,2710,1610,40576,35776,96563,84699
350,0,5350283.01,CT,Toronto,0.9285,5399,1965,1938,1940,4200,4195,4200,1550,2645,1935,22720,22229,58931,54720
351,0,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,1710,3625,3625,3625,1625,2000,1710,20560,20373,52937,50656
352,10,5350284.0,CT,Toronto,1.41266,6840,2427,2349,2350,5540,5540,5540,1855,3685,2350,29888,28096,71424,64896
353,0,5350285.0,CT,Toronto,1.1118,3271,1269,1207,1205,2830,2825,2825,975,1850,1205,30400,27968,81664,72550
354,10,5350286.0,CT,Toronto,3.24625,4273,1987,1704,1705,3655,3655,3655,1285,2365,1705,34496,31680,74496,67218
355,40,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,2245,4935,4935,4935,1495,3440,2250,30880,28736,67477,62285
356,10,5350287.03,CT,Toronto,0.48415,3432,1444,1305,1305,2610,2610,2610,1035,1570,1305,23232,22336,51328,48981
357,15,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,2015,3610,3615,3615,1165,2445,2020,27840,25552,85504,76493
358,65,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,4005,8220,8220,8220,1980,6240,4000,39918,35627,84256,75247
359,0,5350289.0,CT,Toronto,1.3028,4713,1779,1725,1725,4020,4020,4020,1305,2715,1725,32288,29675,78629,70528
360,0,5350290.01,CT,Toronto,0.94404,3620,1515,1475,1475,3025,3030,3025,975,2050,1475,30368,27968,57664,53184
361,0,5350290.02,CT,Toronto,0.34585,1534,782,717,715,1315,1310,1310,315,995,715,43712,38443,70997,62592
362,0,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,1930,4160,4160,4160,1640,2515,1930,19232,18928,74560,67868
363,0,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,905,1980,1985,1980,715,1260,905,33749,31296,66867,60544
364,0,5350291.04,CT,Toronto,0.51571,1585,680,654,650,1355,1350,1350,460,890,655,37696,32992,67712,61653
365,10,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,2250,5435,5435,5435,1735,3705,2245,25429,24064,73920,67726
366,10,5350293.0,CT,Toronto,2.0619,6242,2197,2103,2105,5140,5140,5140,1585,3555,2105,38059,34918,88243,77647
367,0,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,1550,3565,3560,3565,1205,2360,1545,34880,31424,68096,61824
368,0,5350294.02,CT,Toronto,1.02545,4504,1453,1384,1385,3835,3835,3840,1425,2415,1385,28352,27840,81510,74069
369,0,5350295.0,CT,Toronto,1.0824,5180,2035,1907,1905,4365,4370,4370,1485,2885,1910,32725,30123,70624,64352
370,0,5350296.0,CT,Toronto,4.6433,64,19,19,15,55,x,x,x,x,x,x,x,x,x
371,15,5350297.01,CT,Toronto,1.13952,7313,3119,3027,3025,6185,6185,6185,1935,4250,3030,24576,23680,81591,72903
372,15,5350297.02,CT,Toronto,1.50956,6502,2716,2552,2555,5440,5435,5440,1695,3740,2550,29184,27584,95744,83968
373,10,5350298.0,CT,Toronto,2.27223,4661,1605,1566,1565,3715,3715,3715,845,2865,1570,33728,30912,123648,104533
374,20,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,2210,5105,5105,5110,1390,3715,2205,41344,36736,124992,104704
375,0,5350299.02,CT,Toronto,0.1593,5247,3019,2815,2815,4825,4825,4825,1625,3205,2815,52736,45397,73643,64845
376,10,5350300.0,CT,Toronto,1.03364,13667,7532,6956,6955,12170,12170,12170,3595,8575,6955,56704,48414,77632,68224
