,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
43,210,5350036.0,CT,Toronto,0.38343,5487,3641,3272,3275,5160,5160,5160,1530,3630,3270,32896,30368,74667,67029
44,290,5350037.0,CT,Toronto,0.45102,4494,2463,2116,2115,4030,4025,4025,1425,2600,2115,22933,22549,59616,55595
45,275,5350038.0,CT,Toronto,0.36616,3772,1820,1638,1640,3355,3355,3355,1165,2190,1640,18896,18864,62336,57344
46,165,5350039.0,CT,Toronto,0.31773,4192,1821,1709,1710,3605,3610,3605,1500,2110,1705,17781,17780,54464,51680
47,305,5350040.0,CT,Toronto,0.36873,4568,1961,1788,1790,4060,4060,4060,1185,2875,1785,27840,26048,84544,76772
48,310,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,1450,3050,3045,3050,790,2260,1455,42069,36480,93461,81459
49,450,5350042.0,CT,Toronto,0.48994,4570,2150,1965,1965,4025,4025,4025,1000,3025,1965,35243,32427,92480,79915
50,315,5350043.0,CT,Toronto,0.55392,3965,1863,1704,1705,3355,3355,3355,820,2540,1705,44416,39040,98176,85065
51,740,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,4630,7905,7905,7905,1215,6690,4630,49664,42650,89267,77844
52,290,5350045.0,CT,Toronto,0.29514,3453,1567,1468,1470,2915,2910,2910,690,2220,1470,33984,30635,80896,71851
53,230,5350046.0,CT,Toronto,0.42036,3281,1404,1330,1330,2840,2840,2840,885,1955,1330,25792,24640,74624,67328
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,1950,3285,3285,3285,1265,2020,1945,18936,18906,57792,53291
