,Area(sqKm),BicycleF_x,BicycleM_x,BicycleT_x,BikeDensity,Bike_Colour,Bike_Make,Bike_Model,Bike_Speed,Bike_Type,City,Cost_of_Bike,Division,Dwellings,GeoUID,Households,LandArea(skm)_x,Lat,Location_Type,Long,Neighbourhood,Occurrence_Date,Occurrence_Day,Occurrence_Month,Occurrence_Time,Occurrence_Year,Population,PopulationCT_x,PopulationDensity_x,Primary_Offence,RegionName,Status,Type,Week_day,Type_x_x,Region Name_x_x,Area (sq km)_x_x,Population _x_x,Dwellings _x_x,Households _x_x,PopulationCT_y,PopulationDensity_y,LandArea(skm)_y,v_CA16_1: Age Stats_x,Type_y_x,Region Name_y_x,Area (sq km)_y_x,Population _y_x,Dwellings _y_x,Households _y_x,BicycleF_y,BicycleM_y,BicycleT_y,Type_x_y,Region Name_x_y,Area (sq km)_x_y,Population _x_y,Dwellings _x_y,Households _x_y,PopulationCT,PopulationDensity,LandArea(skm),v_CA16_1: Age Stats_y,Type_y_y,Region Name_y_y,Area (sq km)_y_y,Population _y_y,Dwellings _y_y,Households _y_y,BicycleF,BicycleM,BicycleT
0,2.00958,10.0,35.0,45.0,22.388059701492537,Black,SCHWINN,,0.0,HYBRID,Ottawa,600.0,East,3514.0,5050001.01,3282.0,2.01,-75.64920449,PRIVATE PROPERTY STRUCTURE,45.37522595,Ledbury - Heron Gate - Ridgemont,2015-05-18 20:00:00,18.0,5.0,20:00:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Monday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
1,2.00958,10.0,35.0,45.0,22.388059701492537,Red,CCM,,0.0,REGULAR,Ottawa,300.0,East,3514.0,5050001.01,3282.0,2.01,-75.64198297,"SINGLE HOME, HOUSE",45.37390112,Ledbury - Heron Gate - Ridgemont,2015-06-03 00:00:00,3.0,6.0,00:00:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Wednesday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
2,2.00958,10.0,35.0,45.0,22.388059701492537,Blue,,,1.0,MOUNTAIN,Ottawa,299.0,East,3514.0,5050001.01,3282.0,2.01,-75.64198297,"SINGLE HOME, HOUSE",45.37390112,Ledbury - Heron Gate - Ridgemont,2015-06-01 18:00:00,1.0,6.0,18:00:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Monday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
3,2.00958,10.0,35.0,45.0,22.388059701492537,Red,,,16.0,MOUNTAIN,Ottawa,300.0,East,3514.0,5050001.01,3282.0,2.01,-75.64317016,OPEN AREAS,45.37858612,Ledbury - Heron Gate - Ridgemont,2015-06-30 07:00:00,30.0,6.0,07:00:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
4,2.00958,10.0,35.0,45.0,22.388059701492537,Orange,SUPERCYCLE,,6.0,TOURING,Ottawa,300.0,East,3514.0,5050001.01,3282.0,2.01,-75.65352724,"SINGLE HOME, HOUSE",45.37252916,Ledbury - Heron Gate - Ridgemont,2015-08-22 20:00:00,22.0,8.0,20:00:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Saturday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
5,2.00958,10.0,35.0,45.0,22.388059701492537,Gray,RALEIGH,,21.0,MOUNTAIN,Ottawa,270.0,East,3514.0,5050001.01,3282.0,2.01,-75.65715168,"SINGLE HOME, HOUSE",45.36524032,Ledbury - Heron Gate - Ridgemont,2015-10-09 22:00:00,9.0,10.0,22:00:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
6,2.00958,10.0,35.0,45.0,22.388059701492537,Blue,BMX,,1.0,BMX,Ottawa,,East,3514.0,5050001.01,3282.0,2.01,-75.65842334,OPEN AREAS,45.36729241,Ledbury - Heron Gate - Ridgemont,2015-11-15 15:30:00,15.0,11.0,15:30:00,2015.0,7982.0,7982.0,3972.3,THEFT<BICYCLE,Ottawa,STOLEN,CT,Sunday,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45,CT,Ottawa,2.00958,7982,3514,3282,7982,3972.3,2.01,7980,CT,Ottawa,2.00958,7982,3514,3282,10,35,45
7,1.36066,0.0,15.0,15.0,11.029411764705882,Black,MEC,CHINOOK,24.0,MOUNTAIN,Ottawa,2200.0,East,1237.0,5050001.04,1163.0,1.36,-75.65452031,PARKING LOTS,45.35249665,South Keys - Greenboro West,2015-05-08 13:46:00,8.0,5.0,13:46:00,2015.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Friday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
8,1.36066,0.0,15.0,15.0,11.029411764705882,Blue; White,SCHWINN,,21.0,HYBRID,Ottawa,250.0,East,1237.0,5050001.04,1163.0,1.36,-75.65452031,TRANSIT BUS / BUS SHELTER,45.35249665,South Keys - Greenboro West,2015-05-25 06:30:00,25.0,5.0,06:30:00,2015.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Monday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
9,1.36066,0.0,15.0,15.0,11.029411764705882,Red,SPECIALIZED,,7.0,MOUNTAIN,Ottawa,650.0,East,1237.0,5050001.04,1163.0,1.36,-75.64805618,BAR OR RESTAURANT,45.35376243,South Keys - Greenboro West,2015-07-07 00:06:00,7.0,7.0,00:06:00,2015.0,2718.0,2718.0,1997.6,THEFT<BICYCLE,Ottawa,STOLEN,CT,Tuesday,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15,CT,Ottawa,1.36066,2718,1237,1163,2718,1997.6,1.36,2715,CT,Ottawa,1.36066,2718,1237,1163,0,15,15
