,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_394: 85 years and over,v_CA16_396: 85 years and over,v_CA16_407: Land area in square kilometres,v_CA16_406: Population density per square kilometre,"v_CA16_401: Population, 2016",v_CA16_418: Private households by household size,v_CA16_424: Number of persons in private households,v_CA16_425: Average household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_483: Average size of census families,v_CA16_485: Total couple families
249,15,5350213.01,CT,Toronto,0.94226,2666,1021,990,3.7,4.5,0.94,2829.5,2666,990,2665,2.7,780,2.9,660
250,0,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,2.7,3.8,6.99,864.7,6045,3130,5845,1.9,1615,2.5,1365
251,15,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,2.5,3.5,2.82,1794.9,5069,2385,5070,2.1,1440,2.7,1205
252,55,5350215.0,CT,Toronto,2.60049,6748,2991,2789,3.1,4,2.6,2600.0,6748,2790,6680,2.4,1940,2.8,1620
253,50,5350216.0,CT,Toronto,1.9993,5532,2238,2163,3.7,4.6,1.98,2793.5,5532,2160,5440,2.5,1600,2.9,1435
254,50,5350217.0,CT,Toronto,1.33055,5692,2917,2756,1.3,1.8,1.21,4704.5,5692,2755,5685,2.1,1530,2.7,1110
255,30,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,2.6,3.7,0.68,3882.3,2652,1025,2655,2.6,770,3,695
256,50,5350219.0,CT,Toronto,1.36063,4427,1690,1644,4.3,5.2,1.36,3254.0,4427,1645,4425,2.7,1270,3,1075
257,20,5350220.0,CT,Toronto,1.32212,4177,1597,1584,4.4,5.6,1.3,3219.5,4177,1580,4080,2.6,1175,2.9,975
258,20,5350221.01,CT,Toronto,1.64542,6377,2751,2725,5.5,6.6,1.62,3925.8,6377,2725,6370,2.3,1880,2.8,1595
259,50,5350221.02,CT,Toronto,0.80501,5202,2167,2064,3.9,5.8,0.81,6461.3,5202,2065,5010,2.4,1365,2.9,1040
260,0,5350222.01,CT,Toronto,1.28483,6699,2626,2557,2.2,2.6,1.29,5213.2,6699,2560,6690,2.6,1900,3,1545
261,15,5350222.02,CT,Toronto,1.2002,5141,1830,1782,4.8,5.8,1.2,4283.1,5141,1780,4900,2.8,1390,3,1035
262,10,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,3.9,5.2,0.87,1744.6,1522,530,1520,2.9,460,3,395
263,0,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,3.7,4.6,0.87,2449.0,2136,770,2120,2.8,610,3,525
264,0,5350224.0,CT,Toronto,1.04417,1696,578,573,1.8,1.7,1.04,1624.1,1696,575,1695,3,505,3.2,460
265,10,5350225.01,CT,Toronto,0.93466,4981,2387,2316,4.7,5.7,0.93,5330.1,4981,2315,4980,2.1,1430,2.7,1155
266,25,5350225.02,CT,Toronto,0.3048,9706,5006,4859,3.3,4.8,0.3,31843.8,9706,4860,9445,1.9,2415,2.6,1845
267,0,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,3.2,3.6,0.95,3321.8,3167,1210,3165,2.6,930,3,850
268,0,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,1.4,1.6,0.49,3558.4,1750,625,1750,2.8,515,3.1,460
269,30,5350228.0,CT,Toronto,0.883,3131,1418,1362,3.3,3.8,0.82,3829.5,3131,1360,3130,2.3,915,2.9,810
270,0,5350229.0,CT,Toronto,0.32031,1223,393,384,7.8,9.3,0.32,3819.5,1223,385,1120,2.9,320,3.3,285
271,10,5350230.01,CT,Toronto,1.50655,2537,1109,1082,6.3,7,1.45,1752.3,2537,1085,2400,2.2,710,2.8,585
272,10,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,5.5,7.3,0.99,6631.2,6537,2605,6330,2.4,1840,2.8,1380
273,20,5350231.0,CT,Toronto,3.02848,6461,2722,2566,2.2,2.4,3.03,2133.5,6461,2570,6460,2.5,1840,3,1580
274,0,5350232.0,CT,Toronto,2.04605,3825,1348,1306,2.9,3.6,2.05,1869.5,3825,1305,3825,2.9,1140,3.1,1030
275,0,5350233.0,CT,Toronto,2.0806,5530,2032,1982,3.3,3.8,2.08,2658.3,5530,1985,5525,2.8,1670,3,1415
276,0,5350234.0,CT,Toronto,2.11718,4524,1645,1600,3.1,3.4,2.12,2136.7,4524,1600,4515,2.8,1325,3.1,1080
277,10,5350235.01,CT,Toronto,1.40707,2841,1009,997,3.2,3.5,1.41,2019.3,2841,995,2840,2.8,845,3,695
278,15,5350235.02,CT,Toronto,1.07805,5277,2039,2010,2.9,3.7,1.08,4894.7,5277,2010,5270,2.6,1550,2.9,1180
279,15,5350236.01,CT,Toronto,0.98685,6646,2560,2519,4.5,5.9,0.99,6734.9,6646,2520,6455,2.6,1845,2.9,1355
280,10,5350236.02,CT,Toronto,4.07421,5946,2284,2256,3,3.5,3.95,1504.1,5946,2255,5900,2.6,1745,2.9,1435
281,0,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,1.5,1.8,1.19,5750.4,6816,2410,6815,2.8,1845,3.1,1270
282,0,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,3.9,4.4,0.96,3126.0,2986,1060,2980,2.8,865,3,715
283,10,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,6.6,8.2,1.07,5274.1,5638,2545,5640,2.2,1580,2.8,1220
284,0,5350238.01,CT,Toronto,1.03807,3350,1259,1231,4,4.7,1.04,3227.0,3350,1230,3345,2.7,995,3,855
285,10,5350238.02,CT,Toronto,0.98177,5244,2070,1953,2.6,2.8,0.98,5342.3,5244,1955,5240,2.7,1505,3,1135
286,25,5350239.0,CT,Toronto,2.55782,6481,2511,2383,1.9,2.2,2.53,2561.6,6481,2380,6475,2.7,1860,3,1245
287,10,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,4.8,5.7,1.27,2644.8,3366,1265,3365,2.7,1030,2.9,890
288,0,5350240.02,CT,Toronto,1.04495,6043,2621,2558,9.3,12,1.05,5782.8,6043,2560,5640,2.2,1635,2.7,1265
289,10,5350241.0,CT,Toronto,1.0982,3231,1030,1003,11.6,16.1,1.09,2967.2,3231,1000,2805,2.8,825,3,700
290,0,5350242.0,CT,Toronto,0.67084,1674,610,575,0.9,0.5,0.61,2759.2,1674,575,1670,2.9,460,3.2,245
291,10,5350243.01,CT,Toronto,0.31518,6658,2236,2142,3,3.7,0.32,21129.8,6658,2145,6655,3.1,1560,3.5,1045
292,0,5350243.02,CT,Toronto,1.2154,3617,1342,1304,3.3,3.8,1.22,2975.7,3617,1305,3610,2.8,1015,3,735
293,10,5350244.01,CT,Toronto,1.45046,5677,2009,1945,1.7,2.3,1.43,3957.2,5677,1945,5675,2.9,1560,3.1,1105
294,10,5350244.02,CT,Toronto,1.46584,3779,1335,1274,1.3,1,1.43,2640.3,3779,1275,3770,3,1010,3.2,585
295,25,5350245.0,CT,Toronto,1.42111,6934,2672,2567,1.8,2.1,1.42,4879.7,6934,2565,6930,2.7,1930,3,1335
296,0,5350246.0,CT,Toronto,1.0727,3595,1317,1279,4.9,6.5,1.07,3351.0,3595,1280,3425,2.7,955,3,765
297,10,5350247.01,CT,Toronto,17.35024,8727,2931,2748,1,1.1,17.29,504.8,8727,2745,8630,3.1,2305,3.1,1830
298,20,5350247.02,CT,Toronto,3.22582,7167,2537,2385,2.6,3,3.23,2221.5,7167,2385,7165,3,2050,3,1690
299,0,5350248.02,CT,Toronto,1.23696,5671,1864,1784,1.1,1.3,1.21,4688.3,5671,1785,5595,3.1,1325,3.6,680
300,0,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,1,0.8,3.73,701.7,2619,755,2620,3.5,715,3.2,550
301,30,5350248.04,CT,Toronto,1.51177,4771,1671,1496,3,4.1,1.48,3220.0,4771,1495,4610,3.1,1175,3,845
302,0,5350248.05,CT,Toronto,1.15519,4332,1413,1310,2.7,3.2,1.12,3859.9,4332,1310,4170,3.2,1050,3.1,810
