,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_394: 85 years and over,v_CA16_396: 85 years and over,v_CA16_407: Land area in square kilometres,v_CA16_406: Population density per square kilometre,"v_CA16_401: Population, 2016",v_CA16_418: Private households by household size,v_CA16_424: Number of persons in private households,v_CA16_425: Average household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_483: Average size of census families,v_CA16_485: Total couple families
362,0,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,3.9,4.5,1.15,4315.6,4947,1925,4945,2.6,1335,2.9,1015
363,0,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,3.5,3.8,0.42,5516.4,2302,905,2300,2.5,655,2.8,465
364,0,5350291.04,CT,Toronto,0.51571,1585,680,654,2.5,3.1,0.52,3073.5,1585,655,1585,2.4,445,2.9,300
365,10,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,1.7,1.9,3.74,1796.3,6721,2250,6705,3,1795,3.1,1220
366,10,5350293.0,CT,Toronto,2.0619,6242,2197,2103,1.7,1.7,1.99,3132.4,6242,2105,6240,3,1780,3,1345
367,0,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,2.3,2.2,0.86,5104.2,4386,1545,4385,2.8,1255,3,855
368,0,5350294.02,CT,Toronto,1.02545,4504,1453,1384,2.7,3,1.03,4392.0,4504,1385,4500,3.2,1270,3,885
369,0,5350295.0,CT,Toronto,1.0824,5180,2035,1907,2.4,3,1.08,4785.7,5180,1905,5175,2.7,1450,2.9,1060
370,0,5350296.0,CT,Toronto,4.6433,64,19,19,0,0,4.64,13.8,64,20,60,3,20,2.8,10
371,15,5350297.01,CT,Toronto,1.13952,7313,3119,3027,4.8,6.5,1.14,6417.7,7313,3030,7160,2.4,1950,2.8,1530
372,15,5350297.02,CT,Toronto,1.50956,6502,2716,2552,3.3,4,1.51,4306.5,6502,2555,6495,2.5,1740,3,1475
373,10,5350298.0,CT,Toronto,2.27223,4661,1605,1566,1.6,1.6,2.27,2051.1,4661,1565,4660,3,1240,3.3,1045
374,20,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,2.6,3.5,2.89,2162.5,6256,2210,6160,2.8,1720,3,1455
375,0,5350299.02,CT,Toronto,0.1593,5247,3019,2815,2.3,2.3,0.16,32937.9,5247,2815,5245,1.9,1415,2.4,1195
376,10,5350300.0,CT,Toronto,1.03364,13667,7532,6956,0.6,0.6,1.03,13220.2,13667,6955,13660,2,3705,2.6,3155
377,0,5350301.01,CT,Toronto,0.90166,2915,1087,1071,1.7,1.6,0.9,3253.3,2915,1070,2905,2.7,845,2.9,700
378,10,5350301.03,CT,Toronto,0.2736,6949,2944,2789,0.6,0.7,0.27,25398.4,6949,2790,6945,2.5,1810,2.9,1505
379,10,5350301.04,CT,Toronto,1.42622,5859,2615,2502,0.8,1.1,1.43,4107.8,5859,2500,5860,2.3,1500,2.9,1180
380,20,5350302.01,CT,Toronto,1.2292100000000001,6253,2406,2358,2.6,2.8,1.23,5088.3,6253,2360,6250,2.6,1840,2.9,1525
381,15,5350302.02,CT,Toronto,1.08389,6140,2092,2037,2.2,2.1,1.08,5663.7,6140,2035,6130,3,1770,3,1410
382,0,5350302.03,CT,Toronto,0.69385,3425,1205,1124,1.8,2,0.69,4935.9,3425,1125,3425,3.1,955,2.9,780
383,0,5350303.0,CT,Toronto,1.0632700000000002,5355,1893,1819,0.8,0.7,1.06,5035.7,5355,1820,5350,2.9,1470,3.1,1120
384,0,5350304.01,CT,Toronto,0.24931,4541,1633,1610,0.8,0.9,0.25,18215.0,4541,1610,4540,2.8,1255,3.1,940
385,0,5350304.02,CT,Toronto,1.21224,4777,1885,1832,5,6.6,1.21,3941.1,4777,1830,4590,2.5,1420,2.8,1205
386,0,5350304.03,CT,Toronto,0.9954700000000001,2898,994,968,1.6,1.6,0.97,2998.1,2898,970,2895,3,860,3,635
387,10,5350304.04,CT,Toronto,0.23444,3724,1415,1404,1.2,1.3,0.23,15887.4,3724,1405,3720,2.7,1040,3,835
388,10,5350304.05,CT,Toronto,0.703,2847,1112,1096,6.3,7.5,0.7,4050.4,2847,1095,2835,2.6,810,2.8,685
389,0,5350304.06,CT,Toronto,0.74893,5807,2258,2207,2.1,2.6,0.75,7754.0,5807,2205,5800,2.6,1640,2.9,1370
390,10,5350305.01,CT,Toronto,2.44425,4451,1626,1564,3.9,3.9,2.42,1842.0,4451,1565,4430,2.8,1355,2.9,1195
391,10,5350305.03,CT,Toronto,0.71145,4914,2338,2178,2.5,2.5,0.71,6907.5,4914,2175,4900,2.2,1435,2.8,1155
392,10,5350305.04,CT,Toronto,1.00966,9133,5153,4822,2.9,3.8,1.0,9093.0,9133,4820,8905,1.8,2420,2.5,2055
393,0,5350306.01,CT,Toronto,1.17222,4574,1586,1478,2.3,2.5,1.17,3902.4,4574,1475,4575,3.1,1290,3.1,1015
394,10,5350306.02,CT,Toronto,1.1185200000000002,4793,1831,1714,1.9,2.2,1.12,4283.3,4793,1715,4775,2.8,1335,3,1150
395,0,5350307.03,CT,Toronto,0.11010999999999999,5039,2359,2238,2,2.2,0.11,45726.0,5039,2240,5030,2.3,1415,2.8,1085
396,10,5350307.04,CT,Toronto,0.15295,7035,3530,3360,2.2,2.4,0.15,45980.4,7035,3360,7030,2.1,1900,2.7,1550
397,10,5350307.05,CT,Toronto,0.10463,3581,2038,1926,0.8,0.8,0.1,34235.2,3581,1925,3575,1.9,925,2.5,775
398,0,5350307.06,CT,Toronto,0.10419,5424,2374,2266,2.6,3,0.1,52053.7,5424,2270,5300,2.3,1495,2.8,1260
399,10,5350307.07,CT,Toronto,1.22458,6321,2651,2366,2.1,2.7,1.22,5160.8,6321,2365,6300,2.7,1705,3,1435
400,40,5350308.02,CT,Toronto,1.42465,4310,1688,1588,3.7,4.6,1.42,3025.0,4310,1585,4305,2.7,1210,3,1055
401,0,5350308.03,CT,Toronto,0.39669,1147,425,385,2.6,2.7,0.4,2891.4,1147,385,1150,3,325,3,290
402,15,5350308.04,CT,Toronto,1.08521,11479,5941,5576,4.1,4.8,1.09,10577.8,11479,5575,11275,2,2925,2.6,2475
403,10,5350309.0,CT,Toronto,0.74182,6383,2354,2308,3.2,4,0.74,8605.9,6383,2310,6200,2.7,1695,2.9,1200
404,0,5350310.01,CT,Toronto,1.42763,3512,1271,1204,5.4,7.1,1.42,2470.3,3512,1205,3395,2.8,975,3,815
405,0,5350310.02,CT,Toronto,2.23548,5048,2028,1858,3.4,4.1,2.14,2357.4,5048,1860,5030,2.7,1390,3,1085
406,25,5350311.02,CT,Toronto,0.89054,5823,2308,2141,2.2,2.3,0.89,6536.8,5823,2140,5820,2.7,1565,3,1085
407,10,5350311.03,CT,Toronto,0.79713,2651,923,863,3.2,2.6,0.8,3326.2,2651,865,2640,3.1,755,3,550
408,25,5350311.04,CT,Toronto,0.95755,6552,2436,2247,1.7,1.6,0.96,6845.7,6552,2245,6550,2.9,1845,3,1305
409,35,5350311.05,CT,Toronto,0.34549,6823,2681,2593,0.9,1.1,0.35,19748.2,6823,2590,6815,2.6,1670,2.9,1130
410,20,5350311.06,CT,Toronto,10.24442,5744,2703,2326,0.3,0.2,10.23,561.4,5744,2325,5735,2.5,1170,2.8,850
411,10,5350312.02,CT,Toronto,0.524,3448,1185,1077,1.3,1.4,0.52,6580.2,3448,1080,3445,3.2,920,3.1,565
412,10,5350312.03,CT,Toronto,1.48726,6420,2219,2164,2.3,2,1.49,4316.5,6420,2165,6400,3,1800,3,1090
413,15,5350312.04,CT,Toronto,0.72554,5763,1820,1718,2.6,3.3,0.73,7942.4,5763,1720,5525,3.2,1480,3.2,795
414,10,5350312.05,CT,Toronto,0.34586999999999996,3836,1348,1295,0.8,0.7,0.35,11089.9,3836,1295,3830,3,1020,3.1,425
415,10,5350312.06,CT,Toronto,0.45843999999999996,3444,1086,1058,2.5,2.7,0.46,7513.1,3444,1060,3440,3.3,935,3.1,575
416,0,5350312.07,CT,Toronto,0.6247,3076,1312,1221,3.9,4,0.62,4929.5,3076,1220,3075,2.5,835,2.9,580
417,10,5350313.0,CT,Toronto,2.89834,5554,1945,1808,2.2,2.1,2.86,1938.6,5554,1810,5550,3.1,1545,3.1,1080
418,0,5350314.01,CT,Toronto,0.4281,5036,1741,1676,1,1.1,0.43,11766.4,5036,1675,5035,3,1375,3.1,865
419,10,5350314.02,CT,Toronto,1.12467,4955,1704,1568,1.8,2.1,1.07,4610.6,4955,1570,4950,3.2,1355,3.1,1010
420,10,5350315.01,CT,Toronto,1.51758,3368,1223,1122,2.8,3.2,1.47,2285.1,3368,1125,3360,3,990,3,795
421,0,5350315.02,CT,Toronto,0.42796000000000006,3543,1170,1076,1.7,1.4,0.43,8283.8,3543,1075,3545,3.3,970,3.2,745
422,0,5350315.03,CT,Toronto,6.01015,5505,1895,1699,1.9,1.8,6.01,915.9,5505,1700,5505,3.2,1505,3.2,1095
423,25,5350316.01,CT,Toronto,1.7746,3910,1301,1224,5.6,6.6,1.77,2203.2,3910,1225,3745,3.1,1065,3,800
424,20,5350316.03,CT,Toronto,0.40066,5888,2039,1948,0.6,0.8,0.4,14694.3,5888,1950,5885,3,1535,3.2,885
425,10,5350316.04,CT,Toronto,0.46506000000000003,4275,1760,1679,0.9,1.1,0.47,9193.5,4275,1680,4270,2.5,1035,3.2,490
426,15,5350316.05,CT,Toronto,0.40614,3992,1373,1309,1,1.2,0.41,9827.7,3992,1310,3985,3,1040,3.2,595
427,15,5350316.06,CT,Toronto,0.40499,3672,1198,1164,1,1.2,0.41,9064.4,3672,1165,3670,3.2,975,3.2,495
428,25,5350317.02,CT,Toronto,0.43231,7347,3408,3336,5.9,7.5,0.43,16999.1,7347,3335,7335,2.2,2000,2.7,1535
429,10,5350317.03,CT,Toronto,1.19309,3688,1264,1245,1.6,1.9,1.19,3090.8,3688,1245,3685,3,1110,2.9,925
430,15,5350317.04,CT,Toronto,0.72206,6627,2594,2534,3.5,4.1,0.72,9179.9,6627,2535,6615,2.6,1880,2.9,1410
431,0,5350317.05,CT,Toronto,0.54133,2229,834,811,3.4,3.4,0.5,4499.4,2229,810,2230,2.8,615,2.8,505
432,15,5350318.0,CT,Toronto,1.9063700000000001,8574,3568,3330,1.9,2.1,1.91,4497.7,8574,3330,8550,2.6,2300,2.8,1840
433,10,5350319.0,CT,Toronto,1.20157,4191,1616,1527,2.7,3.3,1.2,3487.8,4191,1525,4185,2.7,1185,2.9,975
434,20,5350320.01,CT,Toronto,0.73678,5197,2103,2036,4.7,6.2,0.74,7054.4,5197,2035,5030,2.5,1395,2.8,1070
435,10,5350320.02,CT,Toronto,0.8527600000000001,5869,2129,2067,2.7,3,0.85,6883.7,5869,2070,5870,2.8,1640,2.9,1285
436,0,5350321.01,CT,Toronto,1.25768,3830,1340,1258,2.9,3.1,1.26,3046.0,3830,1260,3825,3,1120,3,970
437,10,5350321.02,CT,Toronto,1.2172,4030,1497,1429,2.7,3.4,1.22,3310.6,4030,1430,4000,2.8,1130,2.9,965
438,15,5350322.01,CT,Toronto,0.20805,4737,2371,2242,1.4,1.4,0.21,22774.0,4737,2240,4735,2.1,1245,2.6,950
439,10,5350322.02,CT,Toronto,1.40695,3500,1262,1185,11,14.8,1.41,2487.4,3500,1185,2970,2.5,770,2.9,675
440,0,5350323.01,CT,Toronto,1.04061,4289,1746,1706,3.9,4.5,1.03,4148.4,4289,1705,4290,2.5,1250,2.9,1025
441,10,5350323.02,CT,Toronto,1.8599900000000003,5367,1935,1849,9.5,12.1,1.85,2895.3,5367,1850,4885,2.6,1510,2.8,1315
442,0,5350324.01,CT,Toronto,1.1954,3498,1214,1143,1.9,2.2,1.18,2958.9,3498,1140,3485,3,1035,3,765
443,0,5350324.02,CT,Toronto,1.89369,6123,2256,2133,2.4,2.6,1.89,3233.9,6123,2130,6115,2.9,1820,2.9,1355
444,0,5350324.03,CT,Toronto,2.16991,3862,1762,1701,8.3,9.1,2.17,1781.9,3862,1705,3855,2.3,1140,2.6,1000
445,10,5350324.05,CT,Toronto,0.65612,3388,1405,1382,3.5,4.3,0.66,5163.1,3388,1385,3380,2.4,950,2.8,790
446,0,5350324.06,CT,Toronto,0.65762,3561,1219,1182,1.1,1.1,0.66,5433.3,3561,1180,3560,3,1050,3.1,880
447,10,5350330.0,CT,Toronto,2.19348,4288,1757,1730,5,5.4,2.19,1954.7,4288,1730,4210,2.4,1265,2.8,1075
448,0,5350331.01,CT,Toronto,1.52013,5629,2287,2261,5.8,7.5,1.52,3703.0,5629,2260,5440,2.4,1585,2.8,1245
449,0,5350331.03,CT,Toronto,0.51039,6162,1931,1877,0.6,0.6,0.51,12072.9,6162,1880,6155,3.3,1590,3.4,1095
450,0,5350331.04,CT,Toronto,1.06015,3212,1288,1261,6.5,7.7,1.06,3029.9,3212,1260,3060,2.4,850,2.9,670
451,0,5350332.0,CT,Toronto,1.52621,7350,2914,2785,2.4,3,1.53,4815.6,7350,2785,7225,2.6,1925,3.1,1270
452,10,5350333.0,CT,Toronto,2.39935,4695,1710,1644,2.2,2.9,2.4,1956.9,4695,1645,4690,2.9,1355,3,1065
453,10,5350334.0,CT,Toronto,2.38519,3500,1358,1274,2.7,3.4,2.38,1470.2,3500,1275,3450,2.7,1000,3,850
454,15,5350335.0,CT,Toronto,2.2315099999999997,7740,3026,2984,2.2,2.6,2.23,3468.1,7740,2985,7660,2.6,2065,3,1615
455,30,5350336.0,CT,Toronto,1.63381,6772,2553,2393,2.8,3.6,1.63,4144.2,6772,2395,6600,2.8,1890,3,1510
456,0,5350337.01,CT,Toronto,0.20168,721,357,316,0.7,1.4,0.2,3574.6,721,315,720,2.3,185,2.9,115
457,10,5350337.02,CT,Toronto,0.61933,2155,888,862,7.7,9.9,0.62,3480.3,2155,865,1865,2.2,540,2.7,365
458,30,5350338.0,CT,Toronto,1.6501299999999999,5956,2729,2627,2.3,3.2,1.65,3609.5,5956,2625,5815,2.2,1575,2.9,1265
459,70,5350339.0,CT,Toronto,1.8385099999999999,6687,3110,3000,2,2.7,1.82,3664.7,6687,3000,6685,2.2,1885,2.8,1555
460,15,5350340.0,CT,Toronto,1.27488,6771,2557,2457,1.3,1.3,1.28,5310.6,6771,2455,6765,2.8,1845,3.1,1490
461,10,5350341.02,CT,Toronto,0.77866,4379,1860,1777,4.1,6.3,0.78,5624.9,4379,1775,4160,2.3,1040,2.9,855
462,0,5350341.03,CT,Toronto,0.40538,3436,1465,1334,0.3,0.6,0.41,8475.6,3436,1335,3430,2.6,840,3.4,565
463,25,5350341.04,CT,Toronto,0.67099,6030,2261,2171,1.1,1.6,0.67,8986.6,6030,2175,6015,2.8,1500,3.3,1115
464,25,5350342.0,CT,Toronto,1.2329700000000001,7561,2414,2376,2,3,1.23,6133.2,7561,2375,7430,3.1,2075,3.1,1590
465,0,5350343.0,CT,Toronto,1.09816,4218,1620,1517,1.8,2.2,1.1,3841.5,4218,1515,4155,2.7,1150,3,855
466,10,5350344.01,CT,Toronto,1.06274,5186,1990,1880,2.7,2.9,1.06,4879.1,5186,1880,5180,2.8,1405,3,1055
467,0,5350344.02,CT,Toronto,0.22083000000000003,3365,1850,1829,1.5,1.9,0.22,15240.0,3365,1830,3365,1.8,845,2.7,520
468,15,5350345.0,CT,Toronto,0.78754,3938,1328,1258,2.3,2.5,0.79,5000.6,3938,1255,3930,3.1,1075,3.1,825
469,20,5350346.01,CT,Toronto,1.5199799999999999,4634,1717,1609,1.1,1.3,1.52,3048.9,4634,1605,4625,2.9,1250,3.1,865
470,10,5350346.02,CT,Toronto,0.40049,5388,2066,2029,1.4,1.7,0.4,13449.8,5388,2030,5385,2.7,1490,3,1030
471,10,5350347.0,CT,Toronto,1.50409,2833,931,924,1.1,1.1,1.5,1883.4,2833,925,2635,2.9,750,3,600
472,40,5350348.0,CT,Toronto,2.31904,5601,2007,1972,5.7,7.3,2.32,2417.9,5601,1975,5315,2.7,1530,3,1200
473,25,5350349.0,CT,Toronto,0.8761700000000001,5720,2335,2309,1.7,2,0.88,6528.9,5720,2310,5720,2.5,1525,3,1055
474,20,5350350.0,CT,Toronto,3.3616599999999996,5419,2063,1986,3.7,4.6,3.36,1612.0,5419,1990,5350,2.7,1450,3,1115
475,10,5350351.01,CT,Toronto,0.9748600000000001,5497,2130,2051,2,2.6,0.97,5639.1,5497,2055,5480,2.7,1520,3,1115
476,10,5350351.02,CT,Toronto,0.56565,2756,1116,1088,2.2,2.8,0.57,4871.8,2756,1085,2740,2.5,765,2.8,540
477,15,5350352.0,CT,Toronto,1.1271200000000001,5309,1945,1892,3.5,5,1.13,4709.5,5309,1890,5185,2.7,1405,3,1095
478,0,5350353.02,CT,Toronto,1.21341,5305,1697,1649,2,2.4,1.21,4372.4,5305,1650,5300,3.2,1445,3.2,1120
479,0,5350353.03,CT,Toronto,0.40919,3107,1100,1075,2.1,2.4,0.41,7596.6,3107,1075,3105,2.9,860,3.1,660
480,10,5350353.04,CT,Toronto,0.62956,4509,1650,1590,2.1,2.7,0.63,7162.8,4509,1590,4510,2.8,1210,3.2,845
481,25,5350354.0,CT,Toronto,1.33283,5403,1826,1695,3.9,5.3,1.33,4053.3,5403,1695,5200,3.1,1450,3.1,1155
482,0,5350355.02,CT,Toronto,1.105,5214,1980,1919,1.9,2.5,1.11,4718.1,5214,1920,5205,2.7,1475,2.9,1045
483,0,5350355.04,CT,Toronto,0.5770000000000001,5270,1810,1776,4.5,6.1,0.58,9131.9,5270,1775,4935,2.8,1345,3.1,930
484,0,5350355.05,CT,Toronto,0.31432,3033,1056,993,1.8,2.2,0.31,9650.0,3033,995,2855,2.9,760,3.1,475
485,0,5350355.06,CT,Toronto,0.1923,1643,603,559,0.6,0.6,0.19,8543.9,1643,560,1640,2.9,455,3.2,235
486,15,5350356.0,CT,Toronto,1.55598,4833,1633,1555,4.3,5.6,1.55,3109.4,4833,1555,4625,3,1270,3.1,1035
487,0,5350357.01,CT,Toronto,1.05106,7123,2490,2404,2,2.3,1.05,6776.7,7123,2405,7120,3,1805,3.3,1390
488,0,5350357.02,CT,Toronto,1.10589,4940,1774,1693,1,1.1,1.11,4467.0,4940,1695,4930,2.9,1375,3.1,765
489,10,5350358.01,CT,Toronto,1.1101299999999998,3397,1180,1129,1.3,1.8,1.11,3060.4,3397,1130,3400,3,985,3,730
490,0,5350358.02,CT,Toronto,0.6179100000000001,4732,2021,1955,2.9,3.7,0.62,7657.0,4732,1955,4720,2.4,1200,3,760
491,10,5350358.03,CT,Toronto,1.09741,5598,2304,2217,1.2,1.6,1.1,5101.1,5598,2220,5445,2.5,1355,3.1,875
492,0,5350359.0,CT,Toronto,2.23634,7558,2773,2687,3,4.1,2.24,3380.0,7558,2685,7405,2.8,2010,3.1,1225
493,10,5350360.0,CT,Toronto,4.55616,6107,2040,1998,2.5,2.7,4.52,1352.0,6107,1995,5985,3,1745,3.1,1365
494,0,5350361.01,CT,Toronto,2.95729,5804,1963,1928,1.4,1.5,2.93,1981.7,5804,1925,5790,3,1740,3.1,1505
495,0,5350361.02,CT,Toronto,2.46272,7558,2476,2451,1.1,1.1,2.46,3075.6,7558,2450,7550,3.1,2270,3.1,1925
496,0,5350362.01,CT,Toronto,2.5287900000000003,6300,2153,2083,1.4,1.8,2.48,2540.7,6300,2085,6260,3,1780,3.1,1310
497,15,5350362.02,CT,Toronto,1.9434900000000002,5628,1731,1626,1.2,1.4,1.94,2895.8,5628,1625,5620,3.5,1565,3.2,1345
498,10,5350362.03,CT,Toronto,3.3025800000000003,6866,2176,2074,1.7,2.2,3.26,2107.9,6866,2075,6855,3.3,1945,3.1,1650
499,0,5350362.04,CT,Toronto,1.3530799999999998,5019,1796,1756,3.6,5.1,1.35,3709.5,5019,1755,4825,2.7,1340,3,985
500,0,5350363.02,CT,Toronto,1.19757,3253,1115,1106,2,1.5,1.2,2716.5,3253,1105,3250,2.9,930,3,740
501,0,5350363.04,CT,Toronto,1.12713,3668,1119,1106,1.4,1.9,1.13,3254.1,3668,1105,3665,3.3,1015,3.2,800
502,0,5350363.05,CT,Toronto,0.50329,4538,1776,1694,0.3,0.4,0.5,9018.3,4538,1695,4530,2.7,1150,3.1,700
503,0,5350363.06,CT,Toronto,0.82891,7307,3439,3326,1.6,1.8,0.83,8815.3,7307,3325,7300,2.2,2085,2.6,1590
504,0,5350363.07,CT,Toronto,2.2765400000000002,5338,1971,1925,1.8,2.6,2.28,2344.6,5338,1925,5230,2.7,1300,3.2,975
505,10,5350364.01,CT,Toronto,2.90673,5996,2034,1973,3.8,5,2.91,2062.7,5996,1975,5710,2.9,1575,3.1,1235
506,0,5350364.02,CT,Toronto,0.74379,3053,1004,957,3.1,4.2,0.74,4104.6,3053,960,2930,3.1,820,3.1,670
507,0,5350365.0,CT,Toronto,1.5674,6497,2028,1946,1.8,2,1.57,4145.3,6497,1945,6500,3.3,1745,3.2,1410
508,10,5350366.0,CT,Toronto,1.44064,6136,2143,2069,2.2,2.4,1.44,4260.2,6136,2070,6125,3,1740,3,1285
509,0,5350367.01,CT,Toronto,0.71324,4710,1398,1375,1.1,1.3,0.71,6605.9,4710,1375,4705,3.4,1235,3.3,1010
510,20,5350367.02,CT,Toronto,1.0306799999999998,3548,1218,1186,3.1,3.1,1.03,3442.7,3548,1190,3545,3,1020,3,820
511,10,5350368.01,CT,Toronto,0.8884700000000001,6843,3786,3582,1.2,1.2,0.89,7702.6,6843,3580,6845,1.9,1760,2.5,1415
512,0,5350368.02,CT,Toronto,1.57328,4315,1464,1399,8.3,10.8,1.57,2742.5,4315,1395,3780,2.7,1065,2.9,880
513,10,5350369.0,CT,Toronto,2.4665,8094,2520,2441,1.8,1.8,2.47,3281.6,8094,2440,7975,3.3,2140,3.3,1680
514,10,5350370.01,CT,Toronto,1.76665,9977,3792,3725,2.6,3.1,1.77,5648.2,9977,3725,9740,2.6,2705,3,2005
515,20,5350370.02,CT,Toronto,2.27382,5580,1849,1803,4.7,6.2,2.27,2454.0,5580,1805,5325,3,1480,3.1,1155
516,10,5350370.03,CT,Toronto,0.8572299999999999,4137,1409,1357,2.2,2.6,0.86,4826.2,4137,1360,4130,3,1140,3.1,850
517,20,5350371.0,CT,Toronto,3.7152300000000005,7626,2691,2570,4.6,6.5,3.72,2052.7,7626,2570,7345,2.9,2060,3,1635
518,0,5350372.0,CT,Toronto,1.33184,4346,1504,1440,3,3.8,1.33,3263.0,4346,1440,4335,3,1225,3,1005
519,15,5350373.0,CT,Toronto,0.9606899999999999,4806,1869,1801,2.7,3.1,0.96,5002.1,4806,1800,4805,2.7,1315,2.9,980
520,15,5350374.01,CT,Toronto,1.18795,4848,1717,1656,2.1,2.6,1.19,4081.8,4848,1660,4850,2.9,1415,3,1125
521,10,5350374.02,CT,Toronto,0.80225,3215,1084,1053,3.1,3.6,0.8,4007.7,3215,1050,3210,3.1,955,2.9,770
522,0,5350374.03,CT,Toronto,0.80821,4184,1718,1655,4.7,5.8,0.81,5176.9,4184,1655,4180,2.5,1140,2.8,865
523,15,5350375.01,CT,Toronto,0.95309,6324,2817,2733,3.6,4,0.95,6633.1,6324,2730,6315,2.3,1780,2.8,1300
524,0,5350375.02,CT,Toronto,0.61463,1959,702,694,3.6,3.9,0.61,3214.1,1959,695,1955,2.8,570,3,480
525,0,5350375.03,CT,Toronto,0.81361,5318,1917,1866,1.9,2.3,0.81,6537.2,5318,1865,5315,2.8,1485,3,1085
526,0,5350375.04,CT,Toronto,0.9242799999999999,5300,1667,1633,1.8,2.2,0.92,5733.4,5300,1630,5295,3.2,1500,3,1160
527,10,5350375.05,CT,Toronto,1.13069,7208,2484,2449,5.3,6.7,1.13,6374.8,7208,2450,6765,2.8,1955,3,1570
528,10,5350376.01,CT,Toronto,1.04665,5094,1697,1584,1.9,2,1.05,4866.3,5094,1580,5080,3.2,1405,3.1,995
529,15,5350376.02,CT,Toronto,0.8583,5176,1656,1614,1.7,1.9,0.85,6067.3,5176,1615,5175,3.2,1470,3,1115
530,0,5350376.04,CT,Toronto,1.1940600000000001,5460,1866,1804,7.2,9.4,1.19,4572.9,5460,1805,5125,2.8,1535,2.9,1250
531,10,5350376.05,CT,Toronto,1.30767,6860,2045,1998,2.8,3.3,1.29,5328.2,6860,1995,6850,3.4,1940,2.9,1575
532,0,5350376.06,CT,Toronto,2.19192,484,229,219,43.3,43.9,2.19,220.8,484,220,320,1.5,80,2,65
533,15,5350376.08,CT,Toronto,0.87879,6157,2176,2123,3.8,4.3,0.88,7006.1,6157,2125,6145,2.9,1785,2.9,1435
534,10,5350376.09,CT,Toronto,0.80105,4638,1644,1602,3.3,3.8,0.8,5790.3,4638,1600,4640,2.9,1415,2.8,1125
535,10,5350376.11,CT,Toronto,0.47043999999999997,3416,1067,1014,1.3,1.4,0.47,7257.3,3416,1015,3410,3.4,925,3.3,650
536,10,5350376.12,CT,Toronto,0.91215,5318,1922,1887,3.4,3.7,0.91,5829.2,5318,1890,5315,2.8,1565,2.9,1300
537,0,5350376.13,CT,Toronto,0.51098,3902,1386,1362,4.4,4.8,0.51,7636.0,3902,1365,3895,2.9,1190,2.8,980
538,0,5350376.14,CT,Toronto,0.7362,3763,1091,1053,1.2,1.6,0.74,5110.7,3763,1050,3765,3.6,1115,3,925
539,0,5350376.15,CT,Toronto,0.92289,3696,1574,1518,4.9,4.4,0.92,4016.5,3696,1515,3680,2.4,1165,2.6,960
540,10,5350376.16,CT,Toronto,0.27148,4226,1672,1621,11.2,15.1,0.27,15565.4,4226,1620,3840,2.4,985,3,790
541,25,5350377.01,CT,Toronto,2.06027,8996,3752,3574,1.7,2,2.06,4366.1,8996,3570,8985,2.5,2535,2.8,2010
542,10,5350377.02,CT,Toronto,1.9059599999999999,4405,1493,1407,2.8,3.5,1.91,2311.2,4405,1410,4395,3.1,1300,2.9,1075
543,10,5350377.03,CT,Toronto,0.65012,2815,892,868,2.3,2.5,0.65,4329.4,2815,870,2815,3.3,820,2.9,670
544,20,5350377.04,CT,Toronto,0.8833200000000001,5939,1746,1682,1.5,1.6,0.88,6722.1,5939,1685,5935,3.5,1740,3,1415
545,0,5350377.06,CT,Toronto,0.51169,3809,1001,980,1.8,2.1,0.51,7442.4,3809,980,3810,3.9,1070,3,840
546,20,5350377.07,CT,Toronto,0.76461,4857,1321,1282,5.4,6.7,0.76,6351.5,4857,1280,4535,3.5,1325,3,1055
547,0,5350378.02,CT,Toronto,1.05954,3257,979,929,1.7,1.9,1.06,3073.8,3257,930,3260,3.5,870,3.1,705
548,10,5350378.03,CT,Toronto,2.2069099999999997,7363,2503,2434,0.8,1,2.21,3336.5,7363,2435,7360,3,2055,3,1510
549,10,5350378.04,CT,Toronto,1.27906,6148,1826,1753,0.7,0.8,1.28,4806.5,6148,1750,6150,3.5,1625,3.3,1260
550,0,5350378.05,CT,Toronto,0.7275699999999999,3907,1235,1201,0.9,1,0.73,5369.7,3907,1200,3905,3.3,1090,3.1,745
551,10,5350378.06,CT,Toronto,1.7906,6063,1754,1671,0.9,1,1.79,3386.2,6063,1670,6050,3.6,1635,3.3,1225
552,0,5350378.07,CT,Toronto,2.80032,7099,2311,2226,3.2,3.6,2.8,2535.2,7099,2230,6840,3.1,1945,3,1485
553,10,5350378.08,CT,Toronto,0.88574,6263,1997,1953,1.8,2.3,0.89,7071.2,6263,1955,6250,3.2,1845,3,1460
554,0,5350378.11,CT,Toronto,0.9633700000000001,5693,1748,1713,1,1.2,0.96,5910.5,5693,1715,5690,3.3,1530,3.2,1175
555,10,5350378.12,CT,Toronto,0.78391,5181,1904,1828,1.9,2.1,0.78,6609.3,5181,1830,5180,2.8,1410,3.1,895
