,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999"
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,35,25,50,55,60,55,55,70,45,50
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,45,45,60,75,75,75,85,80,95,60
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,30,30,40,25,40,45,45,55,55,30
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,35,30,75,150,90,80,85,60,60,60
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,40,30,55,60,70,55,55,55,80,35
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,150,70,55,60,75,45,50,60,40,60
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,40,45,55,60,30,30,20,25,15,15
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,460,135,130,155,155,140,140,135,110,130
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,1095,295,255,245,210,190,170,155,135,130
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,230,140,135,180,150,105,130,135,155,140
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,110,95,225,230,120,90,90,95,90,85
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,345,135,105,145,135,110,105,120,105,140
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,175,115,250,210,185,145,160,170,145,150
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,130,85,145,195,110,105,110,110,95,110
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,85,40,80,100,70,80,75,75,75,90
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,225,325,540,630,390,370,355,335,300,290
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,130,120,265,415,275,190,195,185,190,205
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,25,10,15,15,15,15,15,15,20,20
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,20,30,50,80,40,60,35,40,25,30
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,45,20,45,50,50,60,45,55,60,60
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,30,20,45,65,80,65,75,60,85,80
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,30,25,40,55,45,35,45,40,40,35
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,40,70,100,200,95,90,75,70,85,65
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,15,20,45,70,40,50,55,45,30,35
90,80,5350073.0,CT,Toronto,0.35718,2605,1077,1007,25,30,25,50,30,35,50,50,40,40
91,205,5350074.0,CT,Toronto,0.3998,3848,1710,1598,40,35,75,85,85,65,90,60,65,70
92,125,5350075.0,CT,Toronto,0.49858,4083,1839,1760,30,35,60,135,135,70,50,75,55,50
93,115,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,20,45,75,145,115,75,70,60,70,65
94,160,5350077.0,CT,Toronto,0.6104,4670,1968,1907,25,35,95,95,80,55,80,55,60,55
95,135,5350078.0,CT,Toronto,0.77495,6016,2980,2854,65,135,205,160,110,120,105,95,110,70
96,135,5350079.0,CT,Toronto,1.01839,7327,2986,2887,40,40,75,160,120,70,70,75,70,55
97,45,5350080.01,CT,Toronto,0.47192,3352,1496,1428,40,25,35,70,60,50,60,45,45,60
98,50,5350080.02,CT,Toronto,0.39054,4686,2073,2011,65,70,140,160,155,135,140,115,95,110
99,75,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,20,15,40,35,40,40,40,40,40,30
100,95,5350082.0,CT,Toronto,0.3084,2766,1060,1027,25,5,10,30,40,25,30,35,35,35
101,125,5350083.0,CT,Toronto,0.44642,4052,1908,1822,30,45,85,225,110,70,70,55,50,55
102,120,5350084.0,CT,Toronto,0.40903,3810,1613,1498,35,30,45,65,55,50,55,55,45,35
103,135,5350085.0,CT,Toronto,0.49901,3994,2154,2078,55,35,85,155,105,70,80,65,90,85
104,25,5350086.0,CT,Toronto,1.1385,2661,965,921,20,5,5,5,15,10,5,15,15,10
105,135,5350087.0,CT,Toronto,1.60971,5155,2652,2491,60,25,35,50,50,60,40,45,50,50
106,40,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,80,35,65,80,65,45,45,45,75,50
107,35,5350089.0,CT,Toronto,0.32969,3896,2995,2345,215,65,75,75,75,55,55,60,70,55
108,55,5350090.0,CT,Toronto,0.39427,4144,2584,2347,85,40,65,130,95,60,55,80,60,65
109,245,5350091.01,CT,Toronto,0.51145,6031,3639,3224,235,95,130,145,120,110,105,120,110,95
110,230,5350091.02,CT,Toronto,0.32714,3525,2288,2009,80,150,195,130,85,90,75,75,70,85
111,560,5350092.0,CT,Toronto,0.62885,7278,4113,3718,175,105,125,190,170,135,155,135,155,120
112,550,5350093.0,CT,Toronto,0.61785,5652,2490,2291,60,30,65,70,75,80,80,85,75,85
113,370,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,40,30,60,85,100,100,75,90,80,95
114,270,5350095.0,CT,Toronto,0.31549,3095,1392,1319,30,20,35,50,65,60,60,65,60,55
115,135,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,20,15,15,25,30,30,30,25,25,25
116,240,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,30,30,35,60,55,60,65,65,65,45
117,215,5350097.01,CT,Toronto,0.3825,4322,1758,1621,30,45,65,85,95,65,85,80,85,70
118,45,5350097.03,CT,Toronto,0.17179,1207,783,679,30,40,140,95,50,40,40,40,25,25
119,230,5350097.04,CT,Toronto,0.32489,5462,2528,2392,40,45,60,95,100,95,100,120,105,130
120,305,5350098.0,CT,Toronto,0.71535,7099,3123,3002,50,75,145,235,130,125,110,110,105,105
121,230,5350099.0,CT,Toronto,0.5813,6585,3380,3241,150,90,135,210,185,140,140,145,135,145
122,135,5350100.0,CT,Toronto,0.28925,2956,1492,1432,35,40,60,60,50,65,45,50,50,55
123,155,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,35,20,40,65,60,45,50,80,65,80
124,65,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,75,115,150,200,110,110,105,100,125,95
125,80,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,65,40,60,75,80,100,90,85,85,90
126,15,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,5,5,0,10,10,10,0,10,10,5
127,30,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,5,5,5,10,5,5,15,10,10,15
128,145,5350103.0,CT,Toronto,0.83794,6050,2627,2527,30,15,70,35,70,60,60,70,55,70
129,130,5350104.0,CT,Toronto,0.73732,5525,2141,2054,25,20,20,40,45,40,45,45,45,50
130,200,5350105.0,CT,Toronto,0.55453,4509,1917,1790,40,20,50,55,60,65,60,65,70,55
131,35,5350106.0,CT,Toronto,1.37076,3773,1427,1343,20,30,45,55,50,50,55,40,35,45
132,70,5350107.0,CT,Toronto,0.71899,5085,1880,1751,20,25,30,75,70,65,75,70,60,65
133,135,5350108.0,CT,Toronto,0.73607,6013,2679,2475,35,175,225,160,155,110,100,110,115,115
134,170,5350109.0,CT,Toronto,0.62602,5496,2299,2203,40,30,50,55,90,85,75,100,100,75
135,60,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,45,30,35,55,55,55,70,60,75,55
136,25,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,10,10,15,30,35,30,35,40,45,35
137,140,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,45,20,50,75,115,75,95,90,90,80
138,130,5350113.0,CT,Toronto,0.38225,2754,1197,1118,25,25,25,35,45,45,60,40,50,45
139,190,5350114.0,CT,Toronto,0.62462,5349,2471,2369,50,45,70,225,155,135,95,90,90,90
140,240,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,25,25,45,85,80,60,65,70,75,65
141,180,5350116.0,CT,Toronto,0.67913,4628,2044,1921,45,50,70,85,90,75,65,65,60,70
142,70,5350117.0,CT,Toronto,0.39107,2211,1165,1106,25,20,50,50,35,35,35,30,25,35
143,100,5350118.0,CT,Toronto,0.69384,4127,2183,1990,60,25,30,55,40,70,55,65,55,55
144,45,5350119.0,CT,Toronto,0.8519,4630,2485,2310,80,30,55,75,85,80,80,75,60,70
145,30,5350120.0,CT,Toronto,0.25722,1381,697,654,15,10,10,20,15,25,15,15,10,10
146,10,5350121.0,CT,Toronto,0.29736,2659,1629,1448,50,20,35,40,40,35,35,40,35,40
147,90,5350122.0,CT,Toronto,0.53381,6220,3655,3443,95,60,75,105,110,90,95,110,130,115
148,25,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,55,30,65,55,60,70,70,70,85,95
149,75,5350124.0,CT,Toronto,0.55675,5416,3470,3278,125,45,70,100,110,120,110,100,120,125
150,50,5350125.0,CT,Toronto,1.12047,4442,1618,1543,20,10,10,15,15,25,15,20,15,20
151,60,5350126.0,CT,Toronto,1.44927,4248,1746,1693,15,15,25,35,35,40,35,55,40,40
152,65,5350127.0,CT,Toronto,0.74046,5450,2325,2236,35,20,45,40,45,60,75,60,55,60
153,70,5350128.02,CT,Toronto,0.51869,8705,5052,4766,195,95,135,160,150,135,140,185,180,185
154,30,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,75,55,95,225,155,110,75,80,90,95
155,20,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,10,0,5,5,5,5,5,5,10,10
156,45,5350128.06,CT,Toronto,0.08584,4199,2601,2523,150,75,135,105,120,95,115,120,135,125
157,75,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,75,35,60,65,75,70,85,75,80,70
158,35,5350130.0,CT,Toronto,1.27901,3543,1365,1279,20,10,20,25,10,20,20,20,20,35
159,85,5350131.0,CT,Toronto,1.04439,5310,2505,2360,65,25,45,65,65,70,75,60,65,80
160,45,5350132.0,CT,Toronto,0.92464,5467,2155,2038,25,30,35,65,60,60,65,55,70,75
161,50,5350133.0,CT,Toronto,0.66745,7339,3629,3408,95,65,120,195,180,160,150,155,160,130
162,45,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,15,5,10,25,15,15,10,20,15,20
163,70,5350135.0,CT,Toronto,0.71622,6047,3316,3054,130,70,85,110,100,100,105,135,115,110
164,50,5350136.01,CT,Toronto,0.19196,6128,4023,3779,175,120,165,185,170,160,170,190,175,190
165,35,5350136.02,CT,Toronto,0.21013,4983,3459,3198,160,110,155,295,150,140,105,110,145,130
166,90,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,105,60,100,240,150,120,100,105,125,115
167,15,5350138.0,CT,Toronto,0.96546,3103,1250,1181,15,30,40,25,25,30,20,20,15,25
168,30,5350139.01,CT,Toronto,0.7736,4167,1904,1824,45,30,45,45,55,40,40,65,45,40
169,20,5350139.02,CT,Toronto,0.50952,2542,961,920,15,15,5,20,25,25,15,20,10,20
170,25,5350140.0,CT,Toronto,0.57204,2408,826,791,10,0,5,10,5,10,15,10,10,5
171,30,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,20,15,25,25,30,20,35,40,30,30
172,35,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,25,10,25,30,25,20,20,25,25,25
173,20,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,35,30,40,90,50,55,35,55,50,50
174,65,5350150.0,CT,Toronto,1.10899,4201,1640,1586,30,10,30,25,45,35,35,20,15,30
175,60,5350151.0,CT,Toronto,0.65559,3784,1577,1535,30,55,90,135,100,95,95,80,55,70
176,135,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,20,10,25,30,50,45,50,65,50,50
177,55,5350153.0,CT,Toronto,0.92761,4462,1783,1685,15,40,50,70,70,80,80,70,80,60
178,10,5350154.0,CT,Toronto,2.15888,6157,2899,2818,45,35,50,95,175,115,145,150,150,140
179,0,5350155.0,CT,Toronto,0.81296,3128,1316,1206,30,100,115,95,65,55,50,55,35,35
180,20,5350156.01,CT,Toronto,0.60545,5688,2365,2273,35,90,130,330,135,165,115,140,115,115
181,0,5350156.02,CT,Toronto,0.59201,2811,1124,1073,15,15,25,75,65,60,60,60,45,45
182,15,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,20,15,45,45,55,65,60,65,40,55
183,15,5350158.0,CT,Toronto,0.63989,2848,1346,1250,25,25,45,170,105,85,70,60,55,65
184,10,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,20,30,40,50,55,60,60,50,50,45
185,25,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,25,25,40,55,85,75,75,85,95,75
186,15,5350160.0,CT,Toronto,0.73445,3116,1246,1143,15,15,30,35,60,50,55,45,50,55
187,55,5350161.0,CT,Toronto,0.81126,6839,2689,2537,40,50,70,80,115,105,135,135,120,125
188,50,5350162.0,CT,Toronto,0.57575,5119,2059,1952,30,40,50,100,120,110,115,95,95,85
189,125,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,35,35,50,90,75,70,95,100,90,70
190,195,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,45,45,50,120,130,105,130,120,130,100
191,135,5350165.0,CT,Toronto,0.48493,4370,2031,1943,40,40,50,140,75,90,80,75,85,80
192,35,5350166.0,CT,Toronto,0.78603,4180,1691,1625,30,25,50,70,65,50,50,60,55,45
193,30,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,40,30,45,65,90,75,55,65,60,60
194,110,5350167.02,CT,Toronto,0.60145,5815,3143,2998,95,65,140,200,170,150,160,150,155,175
195,60,5350168.0,CT,Toronto,0.56552,5475,2665,2458,45,60,105,310,180,125,130,120,125,100
196,10,5350169.01,CT,Toronto,0.3781,3472,1457,1334,30,20,30,60,55,65,70,85,85,55
197,40,5350169.02,CT,Toronto,0.43778,7464,3318,3202,65,100,140,185,170,145,125,155,140,145
198,10,5350170.0,CT,Toronto,1.01423,3321,1305,1201,10,15,20,45,55,55,55,55,60,40
199,10,5350171.0,CT,Toronto,0.6081,4055,1613,1522,20,35,115,115,110,90,105,95,85,75
200,10,5350172.0,CT,Toronto,1.21015,2522,1183,1128,30,25,45,75,75,80,85,75,70,50
201,0,5350173.0,CT,Toronto,0.60145,3694,1528,1438,40,65,100,120,85,70,80,85,50,70
202,10,5350174.0,CT,Toronto,1.06328,7264,2751,2723,50,45,110,145,145,155,170,145,150,155
203,0,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,50,100,185,215,145,150,135,120,120,105
204,10,5350175.02,CT,Toronto,0.74248,7679,3813,3585,85,145,245,395,260,270,235,225,205,200
205,20,5350176.0,CT,Toronto,1.00471,4277,1697,1609,15,20,35,60,50,70,70,60,50,65
206,35,5350180.0,CT,Toronto,0.6138,6556,2875,2765,65,110,180,180,135,140,145,140,155,165
207,105,5350181.01,CT,Toronto,0.57055,4313,1940,1858,30,25,35,50,50,65,55,55,60,60
208,70,5350181.02,CT,Toronto,0.60182,3552,1664,1591,25,40,70,145,100,70,55,75,55,55
209,110,5350182.0,CT,Toronto,0.7605,5531,2297,2186,25,25,35,45,75,55,55,75,70,80
210,65,5350183.01,CT,Toronto,0.52409,2603,1048,1007,5,15,15,25,35,25,35,25,50,30
211,130,5350183.02,CT,Toronto,0.42813,3938,1584,1522,15,20,25,35,50,40,70,50,55,55
212,95,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,50,45,90,225,150,140,115,110,80,90
213,50,5350184.02,CT,Toronto,0.56201,3768,1694,1642,40,30,50,95,70,70,65,100,75,85
214,205,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,95,65,130,240,185,215,205,200,175,175
215,90,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,50,45,70,120,105,130,130,105,135,95
216,30,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,25,10,10,15,25,15,25,15,20,15
217,55,5350187.0,CT,Toronto,1.21045,3448,1424,1351,25,25,25,35,50,40,40,45,35,35
218,40,5350188.0,CT,Toronto,0.55199,2017,842,797,10,5,10,30,30,25,25,25,20,35
219,25,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,50,40,60,90,100,100,100,125,120,95
220,20,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,120,70,150,205,240,245,240,250,230,220
221,20,5350190.02,CT,Toronto,0.5813,4765,2102,2026,55,55,105,155,145,125,135,130,110,90
222,40,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,40,35,55,70,70,80,70,80,75,65
223,0,5350192.0,CT,Toronto,0.92037,905,462,440,10,5,15,55,45,35,30,20,15,15
224,10,5350193.0,CT,Toronto,1.41592,3314,1070,1043,35,15,30,25,35,35,35,20,30,30
225,25,5350194.01,CT,Toronto,0.2315,5498,1482,1463,60,25,65,65,75,110,140,130,135,110
226,10,5350194.02,CT,Toronto,0.34635,6240,1934,1923,80,45,65,100,85,120,135,115,135,135
227,0,5350194.03,CT,Toronto,0.25016,2933,1238,1229,25,30,60,190,100,105,95,80,55,55
228,20,5350194.04,CT,Toronto,2.29209,6437,2571,2508,85,60,65,120,115,155,120,140,145,115
229,60,5350195.01,CT,Toronto,0.9462,4483,1656,1604,25,10,20,35,45,50,45,45,50,40
230,45,5350195.02,CT,Toronto,0.37813,2317,920,894,15,10,10,15,15,25,20,15,20,25
231,25,5350196.01,CT,Toronto,0.3774,1977,811,775,10,5,5,15,20,25,15,20,10,15
232,75,5350196.02,CT,Toronto,1.10548,5635,2376,2250,45,30,35,50,45,45,45,60,40,70
233,70,5350200.01,CT,Toronto,0.6408,5614,3143,3055,95,80,150,205,175,160,175,155,150,160
234,15,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,30,15,45,40,40,45,35,35,40,45
235,50,5350201.0,CT,Toronto,0.75952,5371,2989,2776,100,65,125,285,155,115,95,90,80,90
236,25,5350202.0,CT,Toronto,0.33589,1647,653,631,5,5,10,15,15,20,25,20,20,15
237,25,5350203.0,CT,Toronto,0.58927,3160,1507,1431,25,25,50,50,50,55,65,65,70,60
238,105,5350204.0,CT,Toronto,0.74088,4537,2310,2210,50,45,95,165,140,100,105,90,80,70
239,x,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,F,F,F,F,F,F,F,F,F,F
240,45,5350206.01,CT,Toronto,1.13878,4217,2151,2041,30,35,65,85,90,95,90,95,100,90
241,65,5350206.02,CT,Toronto,1.08513,5867,2994,2774,90,60,110,135,150,130,105,130,115,140
242,25,5350207.0,CT,Toronto,0.67366,2605,1285,1181,35,40,35,60,60,50,80,55,55,55
243,25,5350208.0,CT,Toronto,1.29403,4172,2062,1981,55,65,170,225,150,140,110,95,90,85
244,20,5350209.0,CT,Toronto,0.69308,2718,1338,1252,30,40,70,175,75,50,50,45,65,40
245,20,5350210.01,CT,Toronto,2.96012,3083,1008,971,10,5,10,10,20,20,30,30,30,15
246,85,5350210.02,CT,Toronto,0.94935,11390,9168,7016,275,135,175,210,220,200,185,205,250,250
247,40,5350211.0,CT,Toronto,3.27116,6350,2512,2447,20,25,45,45,75,85,75,105,90,95
248,25,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,35,20,35,45,70,65,80,65,70,70
249,15,5350213.01,CT,Toronto,0.94226,2666,1021,990,10,10,5,10,35,25,35,35,30,35
