,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
27,85,5350022.0,CT,Toronto,0.55462,3883,1577,1504,420,790,370,1300,2655,1360,200,435,235,37.6,38.5,39.4,21.9,20.4,18.8,67.6,68.6,69.5,10.4,11.2,12,0.8
28,55,5350023.0,CT,Toronto,0.68635,3208,1355,1286,275,565,290,1035,2180,1145,215,470,255,40.4,40.8,41.1,18,17.6,17,67.5,67.8,68.2,14.1,14.6,15.2,1
29,215,5350024.0,CT,Toronto,0.70927,6887,3136,2963,655,1305,650,2255,4755,2500,375,825,455,38.1,38.9,39.7,19.9,19,18.1,68.8,68.9,69.3,11.4,12,12.5,0.8
30,105,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,315,560,250,1250,2555,1305,160,340,180,38.8,39.7,40.7,18,16.2,14.4,72.5,74,75.2,9.3,9.7,10.4,0.3
31,250,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,590,1145,555,2330,4750,2420,275,590,315,37.2,37.8,38.4,18.4,17.7,16.9,72.8,73.2,73.6,8.6,9.1,9.4,0.9
32,165,5350027.0,CT,Toronto,0.48531,4390,1818,1724,395,705,310,1515,3085,1570,265,600,335,38.5,40,41.4,18.2,16.1,14,69.8,70.3,70.7,12.2,13.7,15.3,1.6
33,50,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,85,195,110,550,1105,555,40,90,50,38.1,37.6,37.2,12.7,14.1,14.7,81.3,79.8,77.6,6,6.5,7,0.7
34,240,5350028.02,CT,Toronto,0.46335,6198,3007,2836,425,840,415,2260,4555,2295,390,805,415,39.7,39.9,40,13.8,13.5,13.1,73.6,73.5,73.4,12.5,13,13.3,1.8
35,325,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,510,995,485,2630,5190,2560,385,805,420,39.1,39.4,39.8,14.5,14.2,14,74.7,74.2,73.9,10.9,11.5,12.1,1
36,190,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,285,560,270,1960,3690,1725,155,285,130,35.6,35.1,34.5,11.9,12.3,12.9,81.7,81.5,81,6.3,6.3,6.3,0.4
37,110,5350031.0,CT,Toronto,0.26375,6274,2864,2765,520,1080,560,2385,4750,2360,220,445,220,36,35.6,35.2,16.6,17.2,17.8,76.2,75.7,75.2,7.2,7.1,7,0.3
38,225,5350032.0,CT,Toronto,0.4197,5363,2976,2641,175,370,190,2815,4250,1435,465,740,280,45.1,43.6,40.9,5.2,6.9,10.2,81.5,79.3,75.6,13.5,13.8,14.4,0.9
39,115,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,280,520,240,2455,4025,1575,270,500,230,41.4,40.6,39.4,9.3,10.4,11.8,81.8,79.8,77,8.8,9.9,11.3,0.3
40,70,5350034.01,CT,Toronto,0.12455,4554,2884,2268,100,205,105,2115,3975,1855,185,375,190,36.3,35.6,34.9,4,4.5,4.9,88.1,87.3,86.3,7.7,8.2,8.8,0.8
41,95,5350034.02,CT,Toronto,0.39824,5147,3409,3055,150,290,140,2425,4465,2040,195,395,195,39.3,38.3,37.1,5.4,5.6,5.9,87.5,86.8,85.7,7,7.7,8.4,0.4
42,120,5350035.0,CT,Toronto,0.66273,9876,6772,5707,375,715,340,4060,8640,4575,220,525,310,32,32.6,33.2,8.1,7.2,6.5,87.2,87.5,87.6,4.7,5.3,5.8,0.3
