,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
115,135,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,105,205,105,620,1225,605,100,225,120,39.9,40.7,41.4,12.1,12.7,12.6,74.5,73.7,72.5,12.7,13.9,15,1.2
116,240,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,185,350,165,1275,2525,1250,210,460,250,39.9,40.5,41.2,11.1,10.5,9.9,76.3,75.6,74.9,12.3,13.8,15.3,1.5
117,215,5350097.01,CT,Toronto,0.3825,4322,1758,1621,300,550,250,1595,3170,1580,265,600,330,38.7,39.7,40.7,14.1,12.8,11.6,73.7,73.5,73.1,12.2,13.8,15.5,1.6
118,45,5350097.03,CT,Toronto,0.17179,1207,783,679,65,125,60,540,940,400,85,140,55,43.2,41.7,39.7,9.4,10.3,11.5,78.3,78.1,77.9,12.3,11.6,10.6,0.7
119,230,5350097.04,CT,Toronto,0.32489,5462,2528,2392,295,585,295,2195,4360,2165,235,510,280,37.3,37.5,37.7,10.8,10.8,10.8,80.9,79.9,79,8.5,9.4,10.2,0.9
120,305,5350098.0,CT,Toronto,0.71535,7099,3123,3002,510,1000,490,2580,5290,2710,320,810,490,37.9,38.7,39.5,15,14.1,13.3,75.8,74.5,73.3,9.4,11.4,13.3,1
121,230,5350099.0,CT,Toronto,0.5813,6585,3380,3241,465,930,465,2420,4920,2495,320,740,415,38.5,38.7,38.9,14.5,14.1,13.8,75.5,74.6,73.8,10.1,11.2,12.3,1.4
122,135,5350100.0,CT,Toronto,0.28925,2956,1492,1432,205,405,205,1060,2255,1195,130,295,165,38.1,39.1,40.1,14.3,13.7,12.8,76,76.3,76.4,9.3,10.2,10.5,0.4
123,155,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,215,420,205,1165,2395,1230,150,315,160,38,37.8,37.6,13.7,13.3,12.9,76.5,76.6,77.1,10.1,9.9,10,0.7
124,65,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,175,365,185,1545,3330,1785,220,620,395,40.1,41.4,42.4,9.3,8.3,7.8,79.4,77.3,75.5,11.3,14.3,16.9,1.8
125,80,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,195,370,180,1365,2895,1530,165,415,250,38,39.3,40.4,11.3,10.1,9.2,79.1,78.7,78.3,9.6,11.3,12.5,0.6
126,15,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,50,100,50,235,475,240,45,95,55,38.9,39.6,40.1,15.4,14.9,14.5,70.8,70.9,69.6,12.3,14.2,15.9,0
127,30,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,75,170,95,295,620,330,30,70,40,36.1,35.3,34.6,19,19.8,20.4,74.7,72.1,71,7.6,8.1,8.6,1.3
128,145,5350103.0,CT,Toronto,0.83794,6050,2627,2527,480,925,445,1840,3875,2040,495,1250,750,42,43.9,45.5,17.1,15.2,13.6,65.4,64.1,63.1,17.8,20.7,23.3,2.5
129,130,5350104.0,CT,Toronto,0.73732,5525,2141,2054,545,1150,600,1775,3710,1935,300,670,365,38.2,38.5,38.7,20.8,20.8,20.8,67.7,67.1,66.7,11.5,12,12.5,1.5
130,200,5350105.0,CT,Toronto,0.55453,4509,1917,1790,410,815,410,1565,3145,1580,240,550,300,38.1,38.5,38.8,18.3,18.1,17.9,70.7,69.7,68.8,10.8,12.1,13.3,1.1
131,35,5350106.0,CT,Toronto,1.37076,3773,1427,1343,300,555,255,1415,2875,1460,165,350,180,38.1,38.9,39.7,16,14.7,13.2,75.3,76.2,77,9,9.1,9.5,0.5
132,70,5350107.0,CT,Toronto,0.71899,5085,1880,1751,390,760,370,1865,3725,1865,265,600,335,38,39,40,15.3,14.9,14.4,73.8,73.3,72.5,10.5,11.8,13.1,1
133,135,5350108.0,CT,Toronto,0.73607,6013,2679,2475,490,915,420,2250,4375,2125,315,725,410,38.4,39.1,39.7,16,15.2,14.2,73.6,72.7,71.9,10.3,12.1,13.7,0.8
134,170,5350109.0,CT,Toronto,0.62602,5496,2299,2203,385,730,350,2050,4145,2095,270,620,350,37.6,38.4,39.1,14.1,13.3,12.5,75.9,75.4,74.8,10,11.3,12.5,0.9
135,60,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,255,480,225,1290,2600,1315,220,500,275,39.5,40.4,41.2,14.4,13.4,12.4,73.1,72.6,72.5,12.5,14,15.2,1.7
136,25,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,185,370,185,860,1730,875,170,405,235,40.2,41.3,42.4,15.6,14.8,14.3,70.1,69.1,67.8,13.9,16.2,18.2,2
137,140,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,370,685,320,1945,3835,1885,340,775,440,39.5,40.8,42.2,14,13,11.9,73.4,72.4,71.3,12.6,14.6,16.4,1.7
138,130,5350113.0,CT,Toronto,0.38225,2754,1197,1118,200,370,170,970,2045,1075,160,340,180,39,39.3,39.6,15,13.4,12,72.9,74.4,75.7,12,12.2,12.3,1.1
139,190,5350114.0,CT,Toronto,0.62462,5349,2471,2369,390,735,345,1595,3385,1795,490,1225,740,41.9,44,45.8,15.8,13.8,12,64.6,63.3,62.3,19.6,22.9,25.6,3.4
140,240,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,280,540,255,1355,2855,1490,340,980,645,41,44.9,48.2,14.4,12.3,10.6,68.7,65.1,62.2,16.9,22.4,26.9,4
141,180,5350116.0,CT,Toronto,0.67913,4628,2044,1921,305,580,270,1510,3110,1595,375,940,565,42,44,45.7,13.9,12.5,11.1,69.2,67.2,65.5,17.1,20.4,23.4,3.4
142,70,5350117.0,CT,Toronto,0.39107,2211,1165,1106,155,285,130,750,1545,790,170,380,210,40.2,41.2,42.1,14.4,12.9,11.5,69.4,69.9,69.6,15.7,17.4,18.5,1.4
143,100,5350118.0,CT,Toronto,0.69384,4127,2183,1990,225,430,205,1195,2535,1340,490,1155,670,46,47.4,48.6,12,10.4,9.3,62.3,61.5,60.5,25.7,28.1,30.2,3.4
144,45,5350119.0,CT,Toronto,0.8519,4630,2485,2310,235,485,255,1355,3015,1655,505,1130,625,45,45.8,46.5,11.2,10.5,9.9,64.5,65.1,65.4,24,24.4,24.7,3.3
145,30,5350120.0,CT,Toronto,0.25722,1381,697,654,110,205,95,420,905,490,135,275,140,42.9,43.2,43.3,16.7,14.9,13.2,62.9,65.6,68.1,20.5,19.6,18.8,1.5
146,10,5350121.0,CT,Toronto,0.29736,2659,1629,1448,115,230,115,700,1550,860,350,875,525,48.4,50.3,51.7,9.9,8.6,8,59.9,58.3,57.2,30.2,32.9,35.1,6
147,90,5350122.0,CT,Toronto,0.53381,6220,3655,3443,325,625,300,1765,4055,2290,630,1545,910,44.6,46.3,47.5,11.8,10,8.6,65,65.2,65.3,23.2,24.8,26.1,2.4
148,25,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,80,150,75,930,1895,965,75,220,145,37.1,38.5,39.8,7.4,6.8,6.3,86.1,83.7,81.4,6.9,9.7,12.2,0.5
149,75,5350124.0,CT,Toronto,0.55675,5416,3470,3278,205,435,230,1515,3420,1905,605,1560,955,47.4,48.8,49.9,8.8,8,7.3,65.2,63.2,61.7,26,28.8,31.1,4.1
150,50,5350125.0,CT,Toronto,1.12047,4442,1618,1543,470,910,440,1360,2855,1490,340,685,345,39,39.7,40.3,21.7,20.5,19.2,62.7,64.1,65.6,15.7,15.4,15.2,0.9
151,60,5350126.0,CT,Toronto,1.44927,4248,1746,1693,465,910,445,1240,2745,1505,250,595,345,37.8,39.1,40.2,23.8,21.3,19.3,63.6,64.7,65.4,12.8,13.9,15,1.3
152,65,5350127.0,CT,Toronto,0.74046,5450,2325,2236,565,1095,525,1735,3685,1950,295,670,375,37.7,38.9,39.9,21.8,20.1,18.4,67.1,67.6,68.3,11.4,12.4,13.1,0.8
153,70,5350128.02,CT,Toronto,0.51869,8705,5052,4766,425,795,365,2965,6405,3440,550,1510,960,40.3,42.7,44.7,10.8,9.1,7.8,75.3,73.6,72.1,13.9,17.3,20.1,2.9
154,30,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,170,370,200,1545,3390,1840,310,940,635,42,44.5,46.4,8.4,7.9,7.5,76.1,72,68.8,15.3,20,23.6,2
155,20,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,60,100,50,240,515,270,105,325,220,45.3,51.2,55.6,13.6,11.1,8.3,60.5,54.5,50,25.9,34.4,40.7,6.2
156,45,5350128.06,CT,Toronto,0.08584,4199,2601,2523,185,375,190,1655,3430,1775,140,395,250,36.8,37.9,38.8,9.6,8.9,8.6,83.4,81.7,80.1,7.1,9.4,11.5,0.5
157,75,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,430,915,490,1910,4060,2150,345,790,440,38.8,39,39.2,16,15.9,15.9,71,70.5,70,13,13.7,14.3,0.9
158,35,5350130.0,CT,Toronto,1.27901,3543,1365,1279,250,535,285,1180,2480,1300,265,530,265,41,40.8,40.7,14.5,15.1,15.6,70,70.1,70.1,15.7,15,14.3,1.8
159,85,5350131.0,CT,Toronto,1.04439,5310,2505,2360,375,750,370,1580,3485,1905,470,1075,610,42.3,43.2,43.9,15.6,14.1,12.8,65,65.5,66,19.3,20.3,21.1,2.5
160,45,5350132.0,CT,Toronto,0.92464,5467,2155,2038,545,1030,480,1650,3700,2045,340,740,400,37.6,38.9,40,21.5,18.8,16.6,65,67.6,69.8,13.6,13.6,13.7,0.8
161,50,5350133.0,CT,Toronto,0.66745,7339,3629,3408,540,1035,495,2190,4925,2730,515,1385,870,40.3,42.9,45,16.5,14,12.1,67.6,67.1,66.7,15.9,18.9,21.2,2.2
162,45,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,335,680,350,895,1915,1020,170,360,185,37.4,37.7,37.9,23.8,23,22.2,63.7,64.8,65.6,12.1,12.2,11.9,2.1
163,70,5350135.0,CT,Toronto,0.71622,6047,3316,3054,450,885,435,2045,4350,2305,335,810,475,38,39.3,40.4,15.9,14.6,13.5,72.4,71.9,71.5,11.7,13.4,14.8,1.1
164,50,5350136.01,CT,Toronto,0.19196,6128,4023,3779,235,430,190,2280,5015,2730,255,685,430,38.5,39.9,41.1,8.6,7,5.7,82.2,81.9,81.3,9.2,11.2,12.8,0.7
165,35,5350136.02,CT,Toronto,0.21013,4983,3459,3198,140,310,165,1810,3930,2120,260,745,490,39.7,41.6,43.2,6.3,6.1,6.1,81.9,78.8,76.4,11.5,15,17.7,0.9
166,90,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,480,980,500,2295,4910,2615,475,1190,715,39.6,41.2,42.5,14.8,13.9,13,70.6,69.4,68.2,14.6,16.8,18.6,0.9
167,15,5350138.0,CT,Toronto,0.96546,3103,1250,1181,245,515,270,935,2040,1105,250,550,295,41.6,41.8,41.9,17.1,16.6,16.1,65.4,65.8,66,17.5,17.7,17.9,2.1
168,30,5350139.01,CT,Toronto,0.7736,4167,1904,1824,355,720,365,1310,2815,1505,275,635,360,39.6,40.5,41.3,18.3,17.3,16.4,67.7,67.6,67.5,14,15.2,16.1,2.1
169,20,5350139.02,CT,Toronto,0.50952,2542,961,920,280,510,230,795,1670,880,155,355,205,37.7,39.3,40.7,22.8,20,17.5,64.6,65.6,66.9,12.6,14.1,15.6,0.8
170,25,5350140.0,CT,Toronto,0.57204,2408,826,791,220,420,200,795,1655,860,170,330,160,39.1,39.8,40.4,18.5,17.5,16.4,66.8,68.8,70.5,14.7,13.7,13.5,0.8
171,30,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,505,970,465,1300,2785,1480,265,565,300,37.3,38.3,39.1,24.2,22.5,20.9,63,64.5,65.8,12.6,13.1,13.3,1.2
172,35,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,555,1050,500,1390,2880,1495,255,540,285,36.5,37.4,38.2,25.2,23.5,21.8,63,64.3,65.7,11.6,12.1,12.5,1.1
173,20,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,670,1255,585,1780,3725,1945,340,825,490,37.3,39.1,40.8,23.9,21.6,19.3,63.9,64.1,64.3,12,14.3,16.2,1.8
174,65,5350150.0,CT,Toronto,1.10899,4201,1640,1586,420,840,420,1370,2770,1400,260,585,325,38.5,39.6,40.7,20.5,19.9,19.3,66.8,66.2,65.5,12.7,13.9,15.2,1.2
175,60,5350151.0,CT,Toronto,0.65559,3784,1577,1535,435,860,430,1095,2490,1390,170,440,275,35.1,37,38.6,25.3,22.7,20.3,64.4,65.7,66.5,9.7,11.6,12.9,0.9
176,135,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,465,900,430,1440,3065,1625,265,580,315,38.2,39,39.7,21.4,19.8,18.1,66.6,67.5,68.6,12.2,12.8,13.3,1.6
177,55,5350153.0,CT,Toronto,0.92761,4462,1783,1685,320,630,315,1605,3220,1615,260,605,350,39.6,40.7,41.7,14.7,14.2,13.8,73.6,72.3,71.1,11.9,13.6,15.4,1.1
178,10,5350154.0,CT,Toronto,2.15888,6157,2899,2818,390,755,360,1935,4020,2080,540,1385,850,43.3,45.5,47.5,13.8,12.3,10.9,67.8,65.3,63.1,18.7,22.5,25.8,2.1
179,0,5350155.0,CT,Toronto,0.81296,3128,1316,1206,305,600,295,1095,2190,1095,145,335,190,36.7,37.2,37.6,19.7,19.2,18.6,70.9,70.2,69.1,9.4,10.7,12,1
180,20,5350156.01,CT,Toronto,0.60545,5688,2365,2273,545,1070,520,1825,3720,1900,405,895,490,37.8,38.9,39.9,19.6,18.8,17.8,65.6,65.4,65.2,14.4,15.7,17,1.3
181,0,5350156.02,CT,Toronto,0.59201,2811,1124,1073,225,440,220,970,1940,965,195,430,240,40.4,40.9,41.3,15.8,15.8,15.1,69.8,68.7,68,14,15.5,16.9,1.1
182,15,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,235,490,255,915,1890,980,115,255,140,37.4,37.5,37.6,18.7,18.6,18.2,72.2,71.7,71.6,8.7,9.7,10.5,0.4
183,15,5350158.0,CT,Toronto,0.63989,2848,1346,1250,170,365,200,885,1895,1010,230,585,355,42.4,43.4,44.2,13.2,12.8,12.8,68.9,66.5,64.7,17.9,20.5,22.8,1.6
184,10,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,290,510,220,1260,2485,1225,200,490,285,38.5,40.4,42.2,16.5,14.6,12.7,71.8,71.3,70.6,11.7,14.1,16.4,1.4
185,25,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,360,730,375,1625,3280,1655,325,710,385,39.8,40.5,41.1,15.6,15.6,15.3,70.1,69.5,68.7,14.1,15,15.9,1.5
186,15,5350160.0,CT,Toronto,0.73445,3116,1246,1143,240,480,240,1145,2250,1100,175,385,215,38.7,39.7,40.7,15.4,15.4,15.4,73.6,72.1,70.7,11.3,12.5,13.5,1
187,55,5350161.0,CT,Toronto,0.81126,6839,2689,2537,510,1010,500,2420,4895,2475,430,935,500,39.4,40.2,41.1,15.2,14.8,14.2,71.8,71.6,71.2,12.9,13.7,14.4,1.6
188,50,5350162.0,CT,Toronto,0.57575,5119,2059,1952,370,740,375,1655,3370,1720,415,1010,595,41,42.8,44.5,15.2,14.5,14,67.8,65.8,64,17,19.7,22,2.5
189,125,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,315,635,315,1485,3025,1540,310,700,395,40.6,41.1,41.5,14.9,14.6,14,70.4,69.5,68.4,14.7,16.1,17.6,1.7
190,195,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,515,970,455,2085,4330,2240,420,960,535,39.3,40.5,41.6,17.2,15.6,14.1,68.9,69.1,69.2,13.9,15.3,16.5,1.7
191,135,5350165.0,CT,Toronto,0.48493,4370,2031,1943,375,710,340,1425,3075,1655,255,585,325,38,39,39.8,18,16.2,14.7,69.1,70.4,71.3,12.4,13.3,13.8,1.5
192,35,5350166.0,CT,Toronto,0.78603,4180,1691,1625,425,800,375,1270,2750,1485,280,630,345,38,39.4,40.7,21.6,19.3,17.2,64.5,65.8,67.3,14.2,15.1,15.9,1.5
193,30,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,45,75,35,500,1150,650,230,655,420,48.4,51,52.9,5.2,4.3,2.7,64.5,61.2,58.4,29.7,34.6,38,5.8
194,110,5350167.02,CT,Toronto,0.60145,5815,3143,2998,330,650,315,1990,4435,2445,265,730,460,38.1,39.5,40.6,12.7,11.2,9.8,77,76.3,75.9,10.4,12.6,14.3,1
195,60,5350168.0,CT,Toronto,0.56552,5475,2665,2458,405,780,380,1705,3665,1965,410,1030,620,40.5,42.5,44.2,16.1,14.2,12.7,67.6,66.9,66.5,16.3,18.8,20.8,1.8
196,10,5350169.01,CT,Toronto,0.3781,3472,1457,1334,225,435,215,1180,2530,1355,205,500,300,39.8,41.6,43.2,14,12.5,11.3,73.3,73.1,72.7,12.7,14.4,16.1,1.6
197,40,5350169.02,CT,Toronto,0.43778,7464,3318,3202,515,1000,485,2495,5420,2925,390,1040,655,38.7,40.9,42.7,15.2,13.4,11.9,73.5,72.6,72.1,11.5,14,16,1.3
198,10,5350170.0,CT,Toronto,1.01423,3321,1305,1201,225,415,195,1165,2355,1190,240,550,310,41,42.3,43.5,13.9,12.7,11.5,71.9,70.9,70,14.8,16.7,18.2,2.2
199,10,5350171.0,CT,Toronto,0.6081,4055,1613,1522,330,690,360,1230,2670,1445,310,700,385,40.2,41,41.6,17.6,16.9,16.4,65.5,65.8,65.8,16.6,17.2,17.8,1.6
200,10,5350172.0,CT,Toronto,1.21015,2522,1183,1128,220,430,215,890,1825,935,130,270,140,37.9,38.2,38.4,17.9,17.2,16.7,72.4,72.1,72.8,10.2,10.5,10.5,0.8
201,0,5350173.0,CT,Toronto,0.60145,3694,1528,1438,375,725,355,1250,2595,1345,165,375,210,36.5,37,37.4,21,19.6,18.6,70,70.2,70.6,9.2,10,11,0.8
202,10,5350174.0,CT,Toronto,1.06328,7264,2751,2723,615,1180,565,2360,5020,2660,405,1065,660,37.8,39.9,41.7,18.2,16.2,14.6,69.8,69.1,68.6,12,14.6,17,1.8
203,0,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,520,1025,505,1930,4155,2225,315,860,545,37.9,39.9,41.6,18.8,17,15.3,69.7,68.7,68,11.4,14.2,16.5,2
204,10,5350175.02,CT,Toronto,0.74248,7679,3813,3585,735,1420,685,2560,5285,2725,390,975,590,37,38.2,39.3,19.9,18.4,17.2,69.4,68.9,68.2,10.6,12.7,14.8,1.1
205,20,5350176.0,CT,Toronto,1.00471,4277,1697,1609,325,660,335,1490,3010,1520,270,610,340,40.2,40.9,41.5,15.6,15.4,15.3,71.5,70.3,69.2,12.9,14.3,15.5,1.4
206,35,5350180.0,CT,Toronto,0.6138,6556,2875,2765,565,1085,515,2255,4755,2505,275,720,445,36.9,38.5,39.8,18.3,16.5,15,72.7,72.5,72.2,8.9,11,12.8,1.3
207,105,5350181.01,CT,Toronto,0.57055,4313,1940,1858,300,640,335,1505,3145,1635,240,535,290,40.5,41,41.4,14.9,14.7,14.6,73.4,73,72.2,11.7,12.4,12.8,1.5
208,70,5350181.02,CT,Toronto,0.60182,3552,1664,1591,275,530,255,1230,2465,1235,265,555,290,41.2,41.8,42.5,15.5,14.9,14.3,69.3,69.4,69.4,15.2,15.8,16.3,1.4
209,110,5350182.0,CT,Toronto,0.7605,5531,2297,2186,510,1000,495,1870,3770,1910,330,755,425,39.4,40.3,41.2,18.9,18.2,17.5,69.1,68.2,67.4,12.2,13.6,15,1.7
210,65,5350183.01,CT,Toronto,0.52409,2603,1048,1007,235,435,200,850,1750,900,185,420,235,39.8,41.4,42.8,18.5,16.5,15,66.9,67,67.7,14.6,16.3,17.7,1.6
211,130,5350183.02,CT,Toronto,0.42813,3938,1584,1522,375,745,375,1295,2690,1390,225,505,280,38.4,39.3,40.2,19.8,18.9,18.1,68.6,68.3,68.1,12.1,12.8,13.7,1.6
212,95,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,415,845,425,1545,3295,1750,425,970,545,40.9,42.1,43.2,17.4,16.4,15.8,64.9,64.5,64.4,17.9,19,20,1.9
213,50,5350184.02,CT,Toronto,0.56201,3768,1694,1642,290,545,255,1300,2675,1380,240,540,305,40,41.4,42.7,15.9,14.5,13.1,71,71,71.1,13.2,14.5,15.5,1.6
214,205,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,460,905,450,2350,4915,2570,450,985,535,40.3,40.9,41.6,14.1,13.3,12.7,72.2,72.2,72.2,13.8,14.5,15,1.5
215,90,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,305,565,260,1535,3245,1715,370,875,510,42.1,43.8,45.3,13.8,12,10.5,69.4,69.2,69,16.6,18.8,20.5,2
216,30,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,260,500,245,730,1535,805,170,380,210,39.3,40.4,41.4,22.1,20.7,19.4,63.2,63.6,63.9,14.7,15.7,16.7,1.3
217,55,5350187.0,CT,Toronto,1.21045,3448,1424,1351,330,600,270,1150,2290,1135,255,560,310,40.6,41.9,43.3,18.8,17.4,15.7,66.5,66.3,66.5,14.7,16.4,17.8,1.4
218,40,5350188.0,CT,Toronto,0.55199,2017,842,797,175,325,150,635,1280,645,185,410,225,42.2,43.8,45.3,17.7,16.1,15.1,64.1,63.5,62.9,18.7,20.3,22,2.5
219,25,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,440,850,415,1710,3635,1925,395,975,575,40.2,42.2,44,17.3,15.6,14.3,67.1,66.5,66.2,15.7,17.8,19.8,2
220,20,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,980,1870,895,3205,6265,3060,435,985,555,36.2,36.7,37.1,21.2,20.5,19.7,69.4,68.7,68,9.3,10.8,12.3,1
221,20,5350190.02,CT,Toronto,0.5813,4765,2102,2026,445,845,400,1595,3355,1760,240,565,325,37.6,39,40.3,19.5,17.7,16.1,70,70.3,70.8,10.5,11.9,13.1,1.1
222,40,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,345,655,315,1495,2995,1495,260,575,315,40.3,41,41.7,16.4,15.6,14.6,71,70.8,70.2,12.4,13.6,15,1.2
223,0,5350192.0,CT,Toronto,0.92037,905,462,440,60,115,60,295,590,295,95,200,100,45.9,45.7,45.5,12.5,12.7,13,67,65.2,64.1,21.6,22.1,22.8,4.5
224,10,5350193.0,CT,Toronto,1.41592,3314,1070,1043,320,640,320,1145,2300,1155,175,380,200,36.5,37,37.5,19.5,19.3,19.1,69.5,69.2,69,10.7,11.3,12.2,1.2
225,25,5350194.01,CT,Toronto,0.2315,5498,1482,1463,960,1930,970,1705,3290,1585,130,285,150,28.5,28.1,27.7,34.3,35.1,35.9,61,59.8,58.6,4.7,5.1,5.5,0.2
226,10,5350194.02,CT,Toronto,0.34635,6240,1934,1923,825,1610,780,1940,3790,1845,345,845,505,34.2,35.4,36.7,26.7,25.7,24.9,62.4,60.7,58.9,11.1,13.5,16.1,2.3
227,0,5350194.03,CT,Toronto,0.25016,2933,1238,1229,315,610,295,820,1795,975,185,535,350,36.3,39.5,42.1,23.9,20.8,18.3,62.1,61.2,60.4,14,18.2,21.7,2.7
228,20,5350194.04,CT,Toronto,2.29209,6437,2571,2508,765,1455,690,2045,4275,2230,270,705,435,34.2,35.8,37.2,24.8,22.6,20.6,66.4,66.5,66.6,8.8,11,13,0.5
229,60,5350195.01,CT,Toronto,0.9462,4483,1656,1604,455,925,470,1440,2975,1545,240,585,345,37.8,39.1,40.2,21.4,20.6,20,67.4,66.4,65.6,11.3,12.9,14.4,1.9
230,45,5350195.02,CT,Toronto,0.37813,2317,920,894,280,505,225,685,1490,810,135,320,175,36.9,38.8,40.6,25.2,21.8,18.6,61.7,64.6,66.9,12.6,13.8,14.9,1.4
231,25,5350196.01,CT,Toronto,0.3774,1977,811,775,155,335,180,615,1305,690,140,335,195,41.2,42,42.7,17,17,16.8,67.6,66.1,64.5,15.4,17,18.2,1.1
232,75,5350196.02,CT,Toronto,1.10548,5635,2376,2250,555,1020,460,1755,3675,1925,405,940,530,40,41.8,43.5,20.6,18.1,16,64.8,65.2,65.9,15.1,16.6,18.2,1.7
233,70,5350200.01,CT,Toronto,0.6408,5614,3143,3055,315,595,280,1865,3960,2095,505,1060,560,44.6,45,45.4,11.8,10.6,9.6,69.6,70.7,71.5,18.8,18.9,18.9,1.3
234,15,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,30,65,35,385,770,385,70,145,75,43.3,43.2,43.2,6.2,6.6,7.1,79.4,78.6,77.8,14.4,14.8,15.2,0
235,50,5350201.0,CT,Toronto,0.75952,5371,2989,2776,295,635,345,1915,3890,1970,390,850,455,41.1,41.5,41.9,11.3,11.8,12.3,73.7,72.3,71.1,15.2,15.8,16.6,0.8
236,25,5350202.0,CT,Toronto,0.33589,1647,653,631,160,305,145,545,1140,590,95,205,110,39,39.6,40.2,20.6,18.5,17.2,68.1,69,69.8,11.9,12.5,13,1.9
237,25,5350203.0,CT,Toronto,0.58927,3160,1507,1431,225,435,210,1090,2295,1205,165,430,270,40.1,41.5,42.7,15.2,13.8,12.5,73.6,72.6,71.4,11.1,13.6,16.1,1.4
238,105,5350204.0,CT,Toronto,0.74088,4537,2310,2210,355,675,310,1535,3145,1610,320,720,400,40.8,42.1,43.3,16.3,14.8,13.4,69.5,69.3,69.4,14.4,15.7,17,0.9
239,x,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
240,45,5350206.01,CT,Toronto,1.13878,4217,2151,2041,260,540,275,1485,2990,1505,305,685,385,42.3,43,43.6,12.9,12.7,12.7,72.5,70.9,69.7,14.8,16.2,17.6,1.5
241,65,5350206.02,CT,Toronto,1.08513,5867,2994,2774,420,800,380,2195,4350,2155,345,715,375,39.5,39.8,40.2,14.2,13.6,13.1,74.3,74.2,73.9,11.7,12.3,12.9,0.7
242,25,5350207.0,CT,Toronto,0.67366,2605,1285,1181,155,300,145,1060,2040,975,130,265,135,38.3,38.7,39.2,11.5,11.7,11.6,78.5,78.1,78.1,10,10.2,10.4,0.4
243,25,5350208.0,CT,Toronto,1.29403,4172,2062,1981,340,635,295,1440,2990,1555,225,545,320,37.8,39.2,40.5,16.8,15.2,13.6,71.9,71.7,71.5,11.3,13.1,14.7,0.8
244,20,5350209.0,CT,Toronto,0.69308,2718,1338,1252,165,335,170,885,1840,955,255,535,280,43.4,43.6,43.7,12.6,12.3,12.1,67.6,67.8,68.3,19.5,19.7,19.6,2.3
245,20,5350210.01,CT,Toronto,2.96012,3083,1008,971,225,440,215,1375,2320,950,150,320,170,38,38.7,39.7,12.9,14.3,16.5,78.8,75.3,71.2,8.9,10.6,12.7,1.1
246,85,5350210.02,CT,Toronto,0.94935,11390,9168,7016,360,695,335,4310,9090,4775,755,1615,855,41.7,42,42.3,6.6,6.1,5.6,79.4,79.7,80,13.9,14.1,14.3,1.6
