,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,185,640,180,855,1480,625,765,25,1150
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,25,150,25,135,245,110,165,5,195
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,115,620,115,340,705,365,705,15,460
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,120,770,120,450,950,505,880,10,675
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,125,710,125,395,810,420,805,15,605
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,320,2110,320,855,2215,1365,2375,25,1935
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,35,275,35,130,330,195,310,0,280
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,305,1035,310,425,1040,620,1295,25,895
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,180,1190,180,630,1365,735,1310,25,975
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,170,900,170,455,1055,600,1035,15,790
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,250,1300,245,950,1845,900,1410,70,1235
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,245,1145,245,955,2015,1060,1305,40,1380
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,90,540,95,520,1075,555,605,15,700
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,195,950,190,750,1695,950,1030,55,935
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,80,430,80,455,960,500,475,15,615
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,120,795,120,755,1585,830,855,25,1005
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,115,595,115,665,1370,705,675,20,755
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,80,480,80,695,1310,615,540,10,925
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,20,115,25,165,415,245,130,5,340
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,145,1120,145,1030,2495,1465,1260,5,2040
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,270,1390,270,2345,5045,2700,1620,20,3735
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,115,905,115,1540,2820,1280,1000,10,2395
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,75,500,75,1220,1970,745,570,0,1685
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,90,720,95,1300,2535,1235,800,5,2135
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,75,795,75,1965,3175,1215,860,5,2655
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,85,760,85,1380,2225,845,835,5,1840
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,60,400,60,750,1245,500,450,5,940
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,795,1855,800,2160,3980,1820,2535,55,2890
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,220,1210,220,2140,3600,1455,1400,15,3010
83,125,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,50,450,45,235,420,190,485,5,320
84,260,5350068.0,CT,Toronto,0.43058,2367,1296,1203,110,555,110,350,695,345,655,5,545
85,305,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,205,1160,205,425,890,470,1280,40,575
86,125,5350070.0,CT,Toronto,0.44642,3512,1774,1712,105,700,105,465,1080,610,790,10,910
87,185,5350071.0,CT,Toronto,0.46398,3481,1521,1402,180,785,180,240,590,350,940,10,450
88,160,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,395,840,390,405,920,515,1125,55,690
89,145,5350072.02,CT,Toronto,0.5369,3141,1320,1261,140,725,135,300,600,295,800,30,435
90,80,5350073.0,CT,Toronto,0.35718,2605,1077,1007,155,555,155,295,575,275,625,45,340
91,205,5350074.0,CT,Toronto,0.3998,3848,1710,1598,275,765,275,445,870,420,960,40,595
92,125,5350075.0,CT,Toronto,0.49858,4083,1839,1760,180,890,180,385,975,585,990,40,730
