,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
215,90,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,240,945,240,570,1335,765,1145,15,1105
216,30,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,85,575,85,105,325,220,650,5,255
217,55,5350187.0,CT,Toronto,1.21045,3448,1424,1351,160,820,160,250,545,290,925,25,395
218,40,5350188.0,CT,Toronto,0.55199,2017,842,797,80,465,80,170,375,205,510,20,270
219,25,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,420,1050,420,485,1100,615,1385,45,755
220,20,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,400,1960,405,1000,1800,795,2220,65,1225
221,20,5350190.02,CT,Toronto,0.5813,4765,2102,2026,395,875,400,510,1080,570,1210,35,790
222,40,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,255,935,255,445,845,400,1110,40,630
223,0,5350192.0,CT,Toronto,0.92037,905,462,440,40,165,45,165,295,130,190,5,240
224,10,5350193.0,CT,Toronto,1.41592,3314,1070,1043,125,735,130,180,385,200,785,35,220
225,25,5350194.01,CT,Toronto,0.2315,5498,1482,1463,150,1115,150,265,465,195,1130,70,265
226,10,5350194.02,CT,Toronto,0.34635,6240,1934,1923,195,1225,200,430,805,385,1305,55,565
227,0,5350194.03,CT,Toronto,0.25016,2933,1238,1229,220,495,215,235,690,450,680,20,535
228,20,5350194.04,CT,Toronto,2.29209,6437,2571,2508,305,1345,305,470,1155,685,1525,60,925
229,60,5350195.01,CT,Toronto,0.9462,4483,1656,1604,160,1025,155,215,530,315,1165,5,430
230,45,5350195.02,CT,Toronto,0.37813,2317,920,894,100,535,100,95,300,205,625,5,265
231,25,5350196.01,CT,Toronto,0.3774,1977,811,775,65,475,65,80,280,200,535,5,235
232,75,5350196.02,CT,Toronto,1.10548,5635,2376,2250,195,1345,195,315,820,505,1525,5,720
233,70,5350200.01,CT,Toronto,0.6408,5614,3143,3055,400,1065,400,920,1885,965,1440,15,1605
234,15,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,40,155,35,265,500,235,195,0,455
235,50,5350201.0,CT,Toronto,0.75952,5371,2989,2776,245,1165,245,815,1650,835,1355,30,1400
236,25,5350202.0,CT,Toronto,0.33589,1647,653,631,75,390,75,105,250,145,440,10,175
237,25,5350203.0,CT,Toronto,0.58927,3160,1507,1431,175,680,180,345,780,435,805,25,600
238,105,5350204.0,CT,Toronto,0.74088,4537,2310,2210,230,945,230,590,1265,675,1150,15,1050
239,x,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,F,F,F,F,F,F,F,F,F
240,45,5350206.01,CT,Toronto,1.13878,4217,2151,2041,270,885,270,575,1135,565,1115,25,910
241,65,5350206.02,CT,Toronto,1.08513,5867,2994,2774,325,1215,325,910,1655,745,1465,35,1275
242,25,5350207.0,CT,Toronto,0.67366,2605,1285,1181,155,515,155,435,780,345,615,30,540
243,25,5350208.0,CT,Toronto,1.29403,4172,2062,1981,395,650,395,600,1205,600,985,25,965
244,20,5350209.0,CT,Toronto,0.69308,2718,1338,1252,175,500,170,400,795,390,615,30,610
245,20,5350210.01,CT,Toronto,2.96012,3083,1008,971,125,670,125,150,325,170,725,35,210
246,85,5350210.02,CT,Toronto,0.94935,11390,9168,7016,380,2625,380,2040,4450,2410,2965,20,4030
247,40,5350211.0,CT,Toronto,3.27116,6350,2512,2447,375,1470,380,520,1035,515,1670,85,690
248,25,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,290,1350,290,400,895,495,1510,65,600
249,15,5350213.01,CT,Toronto,0.94226,2666,1021,990,115,665,120,175,380,195,705,40,250
250,0,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,255,1365,250,895,1820,930,1575,20,1535
251,15,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,230,1205,230,565,1205,635,1375,30,985
252,55,5350215.0,CT,Toronto,2.60049,6748,2991,2789,315,1620,315,500,1200,695,1830,50,905
253,50,5350216.0,CT,Toronto,1.9993,5532,2238,2163,170,1435,165,310,735,420,1545,25,585
254,50,5350217.0,CT,Toronto,1.33055,5692,2917,2756,425,1105,425,815,1505,685,1495,20,1245
255,30,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,75,695,75,110,320,210,760,0,260
256,50,5350219.0,CT,Toronto,1.36063,4427,1690,1644,195,1075,195,235,585,355,1195,35,410
257,20,5350220.0,CT,Toronto,1.32212,4177,1597,1584,205,975,205,265,615,350,1125,30,435
258,20,5350221.01,CT,Toronto,1.64542,6377,2751,2725,285,1595,290,315,1070,755,1825,25,875
259,50,5350221.02,CT,Toronto,0.80501,5202,2167,2064,325,1040,325,505,1020,515,1265,50,750
260,0,5350222.01,CT,Toronto,1.28483,6699,2626,2557,350,1550,350,465,1065,605,1745,75,735
261,15,5350222.02,CT,Toronto,1.2002,5141,1830,1782,350,1040,355,295,645,350,1305,40,435
262,10,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,65,390,65,50,140,90,425,20,90
263,0,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,85,530,85,115,245,135,590,10,170
264,0,5350224.0,CT,Toronto,1.04417,1696,578,573,45,455,45,40,115,70,490,5,80
265,10,5350225.01,CT,Toronto,0.93466,4981,2387,2316,280,1155,275,445,1145,695,1385,25,910
266,25,5350225.02,CT,Toronto,0.3048,9706,5006,4859,570,1840,575,1385,3065,1680,2320,45,2490
267,0,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,80,850,75,120,360,245,910,10,295
268,0,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,50,465,50,50,155,105,505,5,120
269,30,5350228.0,CT,Toronto,0.883,3131,1418,1362,105,810,105,150,515,365,900,5,455
270,0,5350229.0,CT,Toronto,0.32031,1223,393,384,35,285,35,40,90,50,315,0,70
271,10,5350230.01,CT,Toronto,1.50655,2537,1109,1082,120,585,120,170,455,285,675,15,395
272,10,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,460,1380,460,425,1105,680,1740,50,815
273,20,5350231.0,CT,Toronto,3.02848,6461,2722,2566,255,1580,255,395,955,555,1755,40,770
274,0,5350232.0,CT,Toronto,2.04605,3825,1348,1306,110,1030,110,90,275,185,1095,25,190
275,0,5350233.0,CT,Toronto,2.0806,5530,2032,1982,250,1415,250,205,510,305,1575,45,360
276,0,5350234.0,CT,Toronto,2.11718,4524,1645,1600,245,1080,245,160,440,280,1255,40,310
277,10,5350235.01,CT,Toronto,1.40707,2841,1009,997,145,700,145,155,340,185,760,40,195
278,15,5350235.02,CT,Toronto,1.07805,5277,2039,2010,365,1180,365,295,770,475,1425,60,525
279,15,5350236.01,CT,Toronto,0.98685,6646,2560,2519,495,1350,495,435,1060,620,1700,70,750
280,10,5350236.02,CT,Toronto,4.07421,5946,2284,2256,305,1440,305,265,785,520,1615,65,580
281,0,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,575,1275,575,455,1040,585,1640,100,670
282,0,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,150,715,150,170,360,190,805,25,225
283,10,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,360,1220,360,475,1280,800,1465,55,1020
284,0,5350238.01,CT,Toronto,1.03807,3350,1259,1231,140,855,135,120,350,225,945,25,260
285,10,5350238.02,CT,Toronto,0.98177,5244,2070,1953,375,1135,370,365,780,420,1360,75,520
286,25,5350239.0,CT,Toronto,2.55782,6481,2511,2383,615,1250,615,430,925,490,1730,60,590
287,10,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,145,890,145,130,360,230,965,30,265
288,0,5350240.02,CT,Toronto,1.04495,6043,2621,2558,375,1265,370,415,1170,755,1545,50,970
289,10,5350241.0,CT,Toronto,1.0982,3231,1030,1003,125,700,125,145,340,190,740,45,220
290,0,5350242.0,CT,Toronto,0.67084,1674,610,575,215,245,215,90,205,115,415,20,135
291,10,5350243.01,CT,Toronto,0.31518,6658,2236,2142,510,1045,510,660,1225,555,1395,80,665
292,0,5350243.02,CT,Toronto,1.2154,3617,1342,1304,275,740,275,260,590,330,860,75,370
293,10,5350244.01,CT,Toronto,1.45046,5677,2009,1945,455,1105,455,410,830,420,1400,80,465
294,10,5350244.02,CT,Toronto,1.46584,3779,1335,1274,430,580,430,270,550,280,895,60,325
295,25,5350245.0,CT,Toronto,1.42111,6934,2672,2567,595,1335,595,595,1175,585,1695,115,755
296,0,5350246.0,CT,Toronto,1.0727,3595,1317,1279,185,765,190,275,590,320,825,60,395
297,10,5350247.01,CT,Toronto,17.35024,8727,2931,2748,475,1830,475,690,1385,700,1775,255,720
298,20,5350247.02,CT,Toronto,3.22582,7167,2537,2385,355,1695,355,505,960,455,1645,195,545
299,0,5350248.02,CT,Toronto,1.23696,5671,1864,1784,640,685,640,445,870,420,1120,100,565
300,0,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,160,550,160,210,355,150,550,75,125
301,30,5350248.04,CT,Toronto,1.51177,4771,1671,1496,335,845,330,575,1040,465,930,115,450
302,0,5350248.05,CT,Toronto,1.15519,4332,1413,1310,240,810,240,520,925,400,775,130,405
303,0,5350249.01,CT,Toronto,0.82975,4650,1428,1341,240,1115,240,230,535,300,945,190,205
304,0,5350249.03,CT,Toronto,2.96801,5696,1704,1592,400,1165,400,335,670,335,1130,215,255
305,15,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,170,715,170,220,435,215,710,85,155
306,0,5350249.05,CT,Toronto,0.64364,5476,1584,1534,335,1130,335,285,530,245,1220,115,195
307,0,5350250.01,CT,Toronto,1.40913,5432,1618,1545,325,1100,325,425,715,290,1125,145,275
308,15,5350250.02,CT,Toronto,1.99197,4928,1854,1735,370,1010,370,360,770,405,1200,90,445
309,10,5350250.04,CT,Toronto,0.50556,6206,2057,1994,595,1030,595,570,975,405,1440,90,460
310,10,5350250.05,CT,Toronto,0.70576,7607,2288,2270,555,1410,555,465,880,420,1720,125,425
311,10,5350260.01,CT,Toronto,0.7288,6748,2431,2398,310,1435,315,450,1110,660,1555,95,745
312,10,5350260.04,CT,Toronto,0.1881,4147,1498,1480,215,820,215,355,720,365,965,35,480
313,10,5350260.05,CT,Toronto,0.2543,4020,1369,1332,365,665,365,260,485,225,970,30,335
314,0,5350260.06,CT,Toronto,0.95204,3348,1132,1116,270,605,270,260,520,260,760,50,300
315,20,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,200,830,200,230,680,450,930,50,520
316,0,5350261.0,CT,Toronto,1.92395,5501,2284,2194,480,885,480,430,1150,715,1200,85,915
317,0,5350262.01,CT,Toronto,0.67091,5736,2752,2728,410,1155,405,615,1465,850,1515,25,1190
318,20,5350262.02,CT,Toronto,2.16555,6273,2526,2490,405,1290,405,520,1120,600,1580,60,850
319,15,5350263.02,CT,Toronto,2.00598,3471,1680,1629,165,760,165,295,825,530,880,20,725
320,15,5350263.03,CT,Toronto,1.56059,4906,2106,2060,275,995,280,400,990,590,1200,35,825
321,0,5350263.04,CT,Toronto,0.69962,6531,3616,3536,330,1435,335,780,2040,1260,1715,30,1800
322,0,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,50,325,50,45,150,105,335,15,80
323,25,5350265.0,CT,Toronto,2.6864,4756,1855,1742,135,1210,135,150,505,350,1315,15,415
324,10,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,105,825,100,80,260,175,865,30,170
325,10,5350267.0,CT,Toronto,2.71113,6368,2133,2062,190,1650,190,180,525,350,1700,65,295
326,25,5350268.0,CT,Toronto,3.0571,6419,2938,2837,285,1515,285,430,1310,880,1695,50,1085
327,0,5350269.01,CT,Toronto,0.75312,5056,2354,2081,455,895,455,520,1120,595,1265,40,775
328,10,5350269.02,CT,Toronto,1.76908,2569,951,923,115,665,115,100,250,150,725,25,175
329,0,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,365,995,360,435,945,515,1265,45,640
330,0,5350270.02,CT,Toronto,0.75775,4264,1636,1611,335,870,330,280,615,340,1115,40,450
331,15,5350271.01,CT,Toronto,0.8935,2429,899,893,130,590,135,115,300,185,670,25,200
332,10,5350271.02,CT,Toronto,0.7092,4815,1765,1749,340,1010,340,275,625,350,1270,40,445
333,0,5350272.01,CT,Toronto,0.4552,5987,2408,2342,535,1065,540,495,1155,660,1480,65,805
334,10,5350272.02,CT,Toronto,0.99884,4705,1791,1763,285,1030,285,260,745,480,1175,65,520
335,10,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,160,970,155,115,310,195,1025,50,160
336,10,5350273.02,CT,Toronto,1.28882,4160,1530,1477,220,1020,220,155,465,315,1135,50,290
337,0,5350274.01,CT,Toronto,1.52481,4900,1788,1756,265,1115,265,285,665,385,1280,50,425
338,0,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,230,1145,230,290,770,485,1285,45,635
339,30,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,180,1425,185,300,900,605,1575,15,755
340,10,5350276.01,CT,Toronto,1.22609,6446,2764,2642,260,1355,255,375,1295,920,1575,20,1045
341,30,5350276.02,CT,Toronto,1.28263,6870,2514,2398,245,1645,245,260,790,525,1835,25,535
342,20,5350277.0,CT,Toronto,1.02778,4084,1323,1220,110,870,105,135,425,285,945,15,265
343,20,5350278.0,CT,Toronto,1.3337,7734,2944,2679,290,1550,290,435,1285,855,1740,50,890
344,20,5350279.01,CT,Toronto,1.21444,4028,1665,1523,230,930,230,245,665,415,1045,55,420
345,0,5350279.02,CT,Toronto,1.57835,6503,2195,2117,405,1225,405,405,970,565,1415,105,600
346,15,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,615,1415,615,610,1355,750,1865,80,975
347,10,5350281.01,CT,Toronto,0.96206,6484,2324,2256,645,1175,645,425,960,540,1585,120,560
348,0,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,470,585,470,295,600,305,940,60,310
349,0,5350282.0,CT,Toronto,2.22534,4480,1663,1607,230,1040,235,290,630,345,1135,65,405
350,0,5350283.01,CT,Toronto,0.9285,5399,1965,1938,610,850,610,360,830,475,1335,65,540
351,0,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,540,735,545,250,690,435,1195,40,475
352,10,5350284.0,CT,Toronto,1.41266,6840,2427,2349,430,1450,430,440,1005,565,1655,110,585
353,0,5350285.0,CT,Toronto,1.1118,3271,1269,1207,210,710,210,250,570,320,805,55,345
354,10,5350286.0,CT,Toronto,3.24625,4273,1987,1704,370,780,365,395,900,505,1050,45,605
355,40,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,460,1130,465,370,1200,830,1415,85,750
356,10,5350287.03,CT,Toronto,0.48415,3432,1444,1305,445,365,445,275,665,390,750,25,530
357,15,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,235,775,230,390,1235,845,965,20,1030
358,65,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,550,2065,550,860,2090,1230,2465,70,1465
359,0,5350289.0,CT,Toronto,1.3028,4713,1779,1725,300,1030,300,345,790,445,1185,75,470
360,0,5350290.01,CT,Toronto,0.94404,3620,1515,1475,340,655,340,395,770,380,875,55,540
361,0,5350290.02,CT,Toronto,0.34585,1534,782,717,105,295,105,190,410,220,375,15,325
362,0,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,325,1010,325,425,1010,585,1165,80,680
363,0,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,185,465,185,230,450,225,585,35,285
364,0,5350291.04,CT,Toronto,0.51571,1585,680,654,140,300,140,160,320,165,395,25,235
365,10,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,575,1220,570,635,1190,555,1490,150,610
366,10,5350293.0,CT,Toronto,2.0619,6242,2197,2103,440,1340,440,375,815,445,1520,125,455
367,0,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,400,855,400,295,650,350,1125,70,360
368,0,5350294.02,CT,Toronto,1.02545,4504,1453,1384,390,880,385,290,655,365,1005,125,255
369,0,5350295.0,CT,Toronto,1.0824,5180,2035,1907,395,1060,395,450,915,460,1280,90,545
370,0,5350296.0,CT,Toronto,4.6433,64,19,19,10,15,5,5,5,5,15,0,0
371,15,5350297.01,CT,Toronto,1.13952,7313,3119,3027,415,1530,420,595,1650,1050,1765,85,1170
372,15,5350297.02,CT,Toronto,1.50956,6502,2716,2552,260,1480,265,480,1230,745,1605,65,880
373,10,5350298.0,CT,Toronto,2.27223,4661,1605,1566,200,1045,195,215,600,385,1200,15,345
374,20,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,270,1450,270,405,920,515,1600,60,545
375,0,5350299.02,CT,Toronto,0.1593,5247,3019,2815,215,1195,215,820,1780,960,1380,15,1420
376,10,5350300.0,CT,Toronto,1.03364,13667,7532,6956,545,3160,550,1895,4065,2175,3580,60,3315
377,0,5350301.01,CT,Toronto,0.90166,2915,1087,1071,145,695,150,155,420,260,770,35,265
378,10,5350301.03,CT,Toronto,0.2736,6949,2944,2789,310,1500,310,910,1610,700,1695,55,1035
379,10,5350301.04,CT,Toronto,1.42622,5859,2615,2502,320,1180,320,770,1555,785,1395,50,1060
380,20,5350302.01,CT,Toronto,1.2292100000000001,6253,2406,2358,315,1525,320,370,1005,640,1605,115,640
381,15,5350302.02,CT,Toronto,1.08389,6140,2092,2037,360,1405,360,400,915,510,1520,120,400
382,0,5350302.03,CT,Toronto,0.69385,3425,1205,1124,170,780,175,310,630,320,785,85,260
383,0,5350303.0,CT,Toronto,1.0632700000000002,5355,1893,1819,345,1120,345,430,840,410,1350,55,415
384,0,5350304.01,CT,Toronto,0.24931,4541,1633,1610,315,940,315,340,680,345,1165,45,400
385,0,5350304.02,CT,Toronto,1.21224,4777,1885,1832,215,1205,215,255,670,415,1310,55,470
386,0,5350304.03,CT,Toronto,0.9954700000000001,2898,994,968,225,635,225,100,300,205,770,40,150
387,10,5350304.04,CT,Toronto,0.23444,3724,1415,1404,200,835,205,275,635,365,970,35,400
388,10,5350304.05,CT,Toronto,0.703,2847,1112,1096,125,690,120,200,600,400,720,45,335
389,0,5350304.06,CT,Toronto,0.74893,5807,2258,2207,270,1375,270,425,1110,680,1445,95,670
390,10,5350305.01,CT,Toronto,2.44425,4451,1626,1564,155,1200,155,195,510,310,1225,65,275
391,10,5350305.03,CT,Toronto,0.71145,4914,2338,2178,275,1155,275,390,970,575,1370,30,775
392,10,5350305.04,CT,Toronto,1.00966,9133,5153,4822,365,2050,365,1250,2855,1600,2370,25,2430
393,0,5350306.01,CT,Toronto,1.17222,4574,1586,1478,275,1015,275,230,580,345,1105,85,285
394,10,5350306.02,CT,Toronto,1.1185200000000002,4793,1831,1714,185,1145,185,290,710,420,1190,70,455
395,0,5350307.03,CT,Toronto,0.11010999999999999,5039,2359,2238,320,1090,325,455,1120,665,1355,25,855
396,10,5350307.04,CT,Toronto,0.15295,7035,3530,3360,350,1550,350,850,1945,1095,1830,35,1500
397,10,5350307.05,CT,Toronto,0.10463,3581,2038,1926,155,775,155,535,1290,755,895,15,1015
398,0,5350307.06,CT,Toronto,0.10419,5424,2374,2266,240,1260,235,455,1070,615,1425,35,810
399,10,5350307.07,CT,Toronto,1.22458,6321,2651,2366,270,1435,270,515,1225,715,1575,60,730
400,40,5350308.02,CT,Toronto,1.42465,4310,1688,1588,160,1050,160,310,660,345,1110,50,430
401,0,5350308.03,CT,Toronto,0.39669,1147,425,385,30,290,30,80,170,85,290,15,80
402,15,5350308.04,CT,Toronto,1.08521,11479,5941,5576,450,2475,450,1495,3600,2110,2765,80,2730
403,10,5350309.0,CT,Toronto,0.74182,6383,2354,2308,495,1200,500,470,1225,755,1550,70,690
404,0,5350310.01,CT,Toronto,1.42763,3512,1271,1204,160,815,160,230,460,230,910,30,265
405,0,5350310.02,CT,Toronto,2.23548,5048,2028,1858,300,1090,300,355,850,490,1290,50,525
406,25,5350311.02,CT,Toronto,0.89054,5823,2308,2141,480,1085,480,535,1160,625,1335,110,695
407,10,5350311.03,CT,Toronto,0.79713,2651,923,863,200,550,200,185,385,195,620,65,185
408,25,5350311.04,CT,Toronto,0.95755,6552,2436,2247,535,1305,540,420,1025,610,1545,145,555
409,35,5350311.05,CT,Toronto,0.34549,6823,2681,2593,540,1130,540,1170,1910,745,1500,85,1010
410,20,5350311.06,CT,Toronto,10.24442,5744,2703,2326,320,855,320,1425,2400,980,1090,40,1195
411,10,5350312.02,CT,Toronto,0.524,3448,1185,1077,350,565,350,310,610,300,740,85,250
412,10,5350312.03,CT,Toronto,1.48726,6420,2219,2164,705,1090,705,470,970,500,1485,150,530
413,15,5350312.04,CT,Toronto,0.72554,5763,1820,1718,685,790,690,430,855,420,1210,130,380
414,10,5350312.05,CT,Toronto,0.34586999999999996,3836,1348,1295,600,425,600,340,655,315,915,55,325
415,10,5350312.06,CT,Toronto,0.45843999999999996,3444,1086,1058,355,575,360,210,495,290,730,100,230
416,0,5350312.07,CT,Toronto,0.6247,3076,1312,1221,255,580,260,280,650,375,660,85,475
417,10,5350313.0,CT,Toronto,2.89834,5554,1945,1808,460,1085,460,425,820,395,1270,135,400
418,0,5350314.01,CT,Toronto,0.4281,5036,1741,1676,510,865,510,400,745,345,1210,80,390
419,10,5350314.02,CT,Toronto,1.12467,4955,1704,1568,350,1010,350,310,680,375,1130,110,330
420,10,5350315.01,CT,Toronto,1.51758,3368,1223,1122,190,795,195,195,420,225,815,85,225
421,0,5350315.02,CT,Toronto,0.42796000000000006,3543,1170,1076,225,745,225,180,400,225,765,100,215
422,0,5350315.03,CT,Toronto,6.01015,5505,1895,1699,405,1100,405,330,730,395,1225,130,340
423,25,5350316.01,CT,Toronto,1.7746,3910,1301,1224,260,800,265,240,550,315,840,105,275
424,20,5350316.03,CT,Toronto,0.40066,5888,2039,1948,650,890,650,485,960,475,1345,95,510
425,10,5350316.04,CT,Toronto,0.46506000000000003,4275,1760,1679,540,495,545,465,955,490,950,45,690
426,15,5350316.05,CT,Toronto,0.40614,3992,1373,1309,440,600,440,360,675,310,915,60,340
427,15,5350316.06,CT,Toronto,0.40499,3672,1198,1164,480,495,480,225,505,280,825,75,265
428,25,5350317.02,CT,Toronto,0.43231,7347,3408,3336,465,1535,465,625,1960,1335,1850,75,1415
429,10,5350317.03,CT,Toronto,1.19309,3688,1264,1245,180,930,180,200,455,260,960,70,215
430,15,5350317.04,CT,Toronto,0.72206,6627,2594,2534,475,1415,475,455,1155,705,1725,80,730
431,0,5350317.05,CT,Toronto,0.54133,2229,834,811,115,505,115,185,475,295,535,40,235
432,15,5350318.0,CT,Toronto,1.9063700000000001,8574,3568,3330,455,1840,455,850,2025,1180,2035,130,1165
433,10,5350319.0,CT,Toronto,1.20157,4191,1616,1527,210,975,215,350,745,395,1075,55,395
434,20,5350320.01,CT,Toronto,0.73678,5197,2103,2036,325,1070,325,405,1140,735,1245,75,715
435,10,5350320.02,CT,Toronto,0.8527600000000001,5869,2129,2067,360,1280,360,425,1125,700,1410,115,550
436,0,5350321.01,CT,Toronto,1.25768,3830,1340,1258,150,970,150,230,510,280,955,80,225
437,10,5350321.02,CT,Toronto,1.2172,4030,1497,1429,160,960,160,315,690,375,1005,60,365
438,15,5350322.01,CT,Toronto,0.20805,4737,2371,2242,295,950,300,605,1440,840,1195,25,1020
439,10,5350322.02,CT,Toronto,1.40695,3500,1262,1185,95,675,95,310,720,415,690,45,455
440,0,5350323.01,CT,Toronto,1.04061,4289,1746,1706,225,1030,225,215,715,495,1150,50,510
441,10,5350323.02,CT,Toronto,1.8599900000000003,5367,1935,1849,190,1315,195,195,670,475,1325,90,435
442,0,5350324.01,CT,Toronto,1.1954,3498,1214,1143,275,765,275,175,410,240,895,70,180
443,0,5350324.02,CT,Toronto,1.89369,6123,2256,2133,465,1350,465,365,870,500,1630,90,410
444,0,5350324.03,CT,Toronto,2.16991,3862,1762,1701,140,1005,140,290,875,585,1040,50,610
445,10,5350324.05,CT,Toronto,0.65612,3388,1405,1382,160,790,160,215,675,460,835,55,490
446,0,5350324.06,CT,Toronto,0.65762,3561,1219,1182,170,880,175,110,340,230,945,55,185
447,10,5350330.0,CT,Toronto,2.19348,4288,1757,1730,190,1070,190,270,670,405,1175,45,510
448,0,5350331.01,CT,Toronto,1.52013,5629,2287,2261,340,1250,345,325,940,620,1505,40,715
449,0,5350331.03,CT,Toronto,0.51039,6162,1931,1877,495,1095,490,385,700,315,1455,65,360
450,0,5350331.04,CT,Toronto,1.06015,3212,1288,1261,180,675,175,225,560,335,775,35,450
451,0,5350332.0,CT,Toronto,1.52621,7350,2914,2785,650,1270,650,660,1345,685,1740,90,960
452,10,5350333.0,CT,Toronto,2.39935,4695,1710,1644,285,1065,285,270,590,320,1225,60,360
453,10,5350334.0,CT,Toronto,2.38519,3500,1358,1274,150,850,145,210,435,225,950,25,305
454,15,5350335.0,CT,Toronto,2.2315099999999997,7740,3026,2984,450,1620,450,615,1365,755,1870,95,1020
455,30,5350336.0,CT,Toronto,1.63381,6772,2553,2393,380,1510,380,490,1020,530,1675,100,615
456,0,5350337.01,CT,Toronto,0.20168,721,357,316,70,115,75,105,185,80,175,5,135
457,10,5350337.02,CT,Toronto,0.61933,2155,888,862,175,365,175,225,425,200,515,10,335
458,30,5350338.0,CT,Toronto,1.6501299999999999,5956,2729,2627,310,1265,310,690,1310,625,1530,25,1075
459,70,5350339.0,CT,Toronto,1.8385099999999999,6687,3110,3000,330,1555,330,515,1330,810,1815,35,1150
460,15,5350340.0,CT,Toronto,1.27488,6771,2557,2457,355,1490,355,550,1085,535,1700,70,685
461,10,5350341.02,CT,Toronto,0.77866,4379,1860,1777,190,850,185,565,1120,550,905,70,805
462,0,5350341.03,CT,Toronto,0.40538,3436,1465,1334,275,565,275,360,610,250,810,15,510
463,25,5350341.04,CT,Toronto,0.67099,6030,2261,2171,385,1115,385,605,1105,495,1350,75,750
464,25,5350342.0,CT,Toronto,1.2329700000000001,7561,2414,2376,490,1590,485,425,925,500,1730,165,480
465,0,5350343.0,CT,Toronto,1.09816,4218,1620,1517,295,855,295,380,720,345,1000,70,445
466,10,5350344.01,CT,Toronto,1.06274,5186,1990,1880,345,1055,350,540,1005,465,1170,115,600
467,0,5350344.02,CT,Toronto,0.22083000000000003,3365,1850,1829,325,525,325,470,1100,630,810,15,1000
468,15,5350345.0,CT,Toronto,0.78754,3938,1328,1258,250,830,250,305,610,305,895,85,275
469,20,5350346.01,CT,Toronto,1.5199799999999999,4634,1717,1609,385,865,385,355,695,335,1110,70,430
470,10,5350346.02,CT,Toronto,0.40049,5388,2066,2029,455,1030,455,435,920,495,1375,60,600
471,10,5350347.0,CT,Toronto,1.50409,2833,931,924,150,600,150,155,370,215,670,40,215
472,40,5350348.0,CT,Toronto,2.31904,5601,2007,1972,325,1205,325,305,805,500,1380,75,520
473,25,5350349.0,CT,Toronto,0.8761700000000001,5720,2335,2309,465,1055,465,595,1230,635,1390,65,855
474,20,5350350.0,CT,Toronto,3.3616599999999996,5419,2063,1986,335,1115,335,435,970,535,1275,85,630
475,10,5350351.01,CT,Toronto,0.9748600000000001,5497,2130,2051,405,1115,405,465,995,530,1310,100,645
476,10,5350351.02,CT,Toronto,0.56565,2756,1116,1088,230,540,225,280,580,300,670,45,375
