,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle
47,5350040.0,CT,Toronto,0.36873,4568,1961,1788,1250,4545,4545,1820,4545,2900,4015,4010,2410,305
48,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,1065,3430,3430,1300,3430,2280,3090,3090,2095,310
49,5350042.0,CT,Toronto,0.48994,4570,2150,1965,1430,4455,4455,1370,4450,2935,4015,4015,2695,450
50,5350043.0,CT,Toronto,0.55392,3965,1863,1704,1130,3805,3800,1315,3805,2530,3365,3365,2240,315
51,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,3645,8400,8400,2295,8400,6280,7785,7785,6170,740
52,5350045.0,CT,Toronto,0.29514,3453,1567,1468,865,3210,3215,1160,3210,2260,2895,2895,1965,290
53,5350046.0,CT,Toronto,0.42036,3281,1404,1330,790,3445,3445,1385,3445,2055,2975,2975,1825,230
54,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,1395,3710,3705,1665,3705,2290,3245,3245,1800,215
55,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,205,795,800,160,800,585,675,675,505,85
56,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,605,2890,2885,805,2890,1845,2375,2380,1725,215
57,5350048.0,CT,Toronto,0.3349,3557,1660,1560,930,3480,3480,720,3475,2275,2915,2915,2045,265
58,5350049.0,CT,Toronto,0.46479,3663,1506,1426,680,3090,3090,610,3090,1955,2570,2575,1940,230
59,5350050.01,CT,Toronto,1.46504,8746,4553,4336,2030,8765,8770,2955,8770,5405,7580,7575,5040,140
60,5350050.03,CT,Toronto,1.92412,1109,606,590,245,1045,1045,320,1045,730,925,920,700,10
61,5350050.04,CT,Toronto,0.77861,5008,2291,2212,995,4985,4980,1445,4985,2845,4070,4070,2610,105
62,5350051.0,CT,Toronto,0.69119,5399,2570,2313,1350,5460,5465,1230,5460,3460,4670,4670,3370,325
63,5350052.0,CT,Toronto,0.50129,4077,1933,1839,915,4000,4000,1045,4000,2625,3355,3355,2345,295
64,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,1635,5855,5855,2180,5855,4010,5195,5195,3525,355
65,5350054.0,CT,Toronto,0.70239,5803,2975,2724,1840,5850,5855,2215,5855,3850,5235,5240,3475,420
66,5350055.0,CT,Toronto,0.27636,2763,1403,1320,1000,2610,2615,730,2610,1795,2325,2325,1710,320
67,5350056.0,CT,Toronto,0.50948,4772,2170,2018,1550,4845,4845,1650,4845,3100,4365,4365,2935,495
68,5350057.0,CT,Toronto,0.26644,2311,1226,1108,915,2225,2230,560,2225,1535,2085,2085,1460,210
69,5350058.0,CT,Toronto,0.38414,3980,2063,1888,1555,4075,4075,1165,4075,2640,3715,3715,2540,445
70,5350059.0,CT,Toronto,0.36663,3837,1621,1447,1305,3185,3185,880,3180,1870,2940,2940,1980,390
71,5350060.0,CT,Toronto,0.27159,2685,1669,1471,1265,2750,2750,775,2755,1690,2540,2540,1720,150
72,5350061.0,CT,Toronto,0.76722,1085,536,475,370,740,740,355,740,400,690,690,340,15
73,5350062.01,CT,Toronto,0.10685,5595,3852,3302,2335,5515,5510,2080,5510,3190,5045,5045,2705,90
74,5350062.02,CT,Toronto,0.58534,9084,6837,5374,4620,9060,9060,3790,9060,4715,8635,8635,4530,105
75,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,2620,4975,4970,1885,4975,3725,4820,4820,3525,135
76,5350063.04,CT,Toronto,0.14093,3370,2409,2264,1980,3080,3080,985,3080,2205,3015,3015,2010,115
77,5350063.05,CT,Toronto,0.12992,4331,3429,2943,2460,4435,4440,1635,4435,3070,4315,4320,3030,120
78,5350063.06,CT,Toronto,0.19221,5171,3761,3519,2950,5165,5165,1665,5165,3800,4985,4985,3320,130
79,5350064.0,CT,Toronto,0.19472,4311,2898,2683,2085,4110,4110,1420,4105,3205,3955,3950,2915,175
80,5350065.01,CT,Toronto,0.08613,2483,1496,1394,1210,2435,2430,1140,2435,1775,2235,2235,1605,70
81,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,3575,11810,11815,6920,11815,7250,9885,9885,5200,230
82,5350066.0,CT,Toronto,0.32848,7608,4597,4425,3370,6940,6945,2635,6945,4680,6575,6575,4240,325
83,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,385,1685,1685,500,1690,995,1475,1475,995,125
84,5350068.0,CT,Toronto,0.43058,2367,1296,1203,665,2360,2360,645,2360,1515,2135,2135,1450,260
85,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,775,4910,4910,1345,4910,2950,4045,4045,2805,305
86,5350070.0,CT,Toronto,0.44642,3512,1774,1712,970,3345,3345,795,3345,2105,2910,2905,2035,125
87,5350071.0,CT,Toronto,0.46398,3481,1521,1402,490,3420,3420,785,3415,1930,2780,2780,1945,185
88,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,755,4470,4465,1470,4465,2570,3650,3655,2050,160
89,5350072.02,CT,Toronto,0.5369,3141,1320,1261,555,3220,3220,950,3220,1945,2625,2630,1690,145
90,5350073.0,CT,Toronto,0.35718,2605,1077,1007,495,2620,2620,935,2620,1575,2260,2260,1355,80
91,5350074.0,CT,Toronto,0.3998,3848,1710,1598,840,3925,3925,1225,3925,2490,3245,3245,2015,205
92,5350075.0,CT,Toronto,0.49858,4083,1839,1760,815,3985,3985,1320,3985,2345,3350,3350,2115,125
93,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,870,4620,4620,1290,4615,2735,3755,3755,2405,115
94,5350077.0,CT,Toronto,0.6104,4670,1968,1907,765,4435,4430,995,4435,2775,3555,3555,2425,160
95,5350078.0,CT,Toronto,0.77495,6016,2980,2854,1305,5915,5915,1340,5910,3650,4980,4980,3190,135
96,5350079.0,CT,Toronto,1.01839,7327,2986,2887,1000,7145,7145,1485,7145,4095,5665,5665,3900,135
97,5350080.01,CT,Toronto,0.47192,3352,1496,1428,680,3360,3360,755,3360,2135,2815,2810,1905,45
98,5350080.02,CT,Toronto,0.39054,4686,2073,2011,1060,4590,4595,2345,4595,2745,3835,3835,2135,50
99,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,435,2850,2850,770,2850,1645,2305,2305,1595,75
100,5350082.0,CT,Toronto,0.3084,2766,1060,1027,480,2740,2740,790,2740,1635,2225,2225,1470,95
101,5350083.0,CT,Toronto,0.44642,4052,1908,1822,875,4005,4010,1290,4005,2255,3420,3425,2040,125
102,5350084.0,CT,Toronto,0.40903,3810,1613,1498,685,3665,3665,855,3670,2030,2970,2965,1975,120
103,5350085.0,CT,Toronto,0.49901,3994,2154,2078,1285,3975,3980,940,3975,2615,3520,3520,2405,135
104,5350086.0,CT,Toronto,1.1385,2661,965,921,300,2505,2505,425,2505,1255,2050,2050,1300,25
105,5350087.0,CT,Toronto,1.60971,5155,2652,2491,1185,5185,5180,1255,5180,2555,4555,4555,2505,135
106,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,1095,3160,3160,1510,3165,1845,2970,2970,1775,40
107,5350089.0,CT,Toronto,0.32969,3896,2995,2345,1485,3665,3665,1315,3665,2160,3505,3510,2090,35
108,5350090.0,CT,Toronto,0.39427,4144,2584,2347,1430,3930,3925,1235,3930,2375,3635,3635,2275,55
109,5350091.01,CT,Toronto,0.51145,6031,3639,3224,2275,5165,5165,1480,5165,3060,4915,4915,3055,245
110,5350091.02,CT,Toronto,0.32714,3525,2288,2009,1605,3495,3490,1015,3490,2370,3210,3210,2140,230
111,5350092.0,CT,Toronto,0.62885,7278,4113,3718,2895,6990,6985,1830,6990,4695,6345,6350,4595,560
112,5350093.0,CT,Toronto,0.61785,5652,2490,2291,1420,5400,5405,1395,5405,3255,4680,4685,3150,550
113,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,1090,4825,4830,1750,4830,3015,4220,4220,2755,370
114,5350095.0,CT,Toronto,0.31549,3095,1392,1319,1030,3180,3180,1100,3175,2075,2875,2875,1950,270
