,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle
210,5350183.01,CT,Toronto,0.52409,2603,1048,1007,355,2650,2650,885,2650,1465,2230,2230,1355,65
211,5350183.02,CT,Toronto,0.42813,3938,1584,1522,495,4050,4050,1035,4050,2400,3245,3245,2115,130
212,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,1050,5030,5035,2035,5030,2895,4180,4175,2435,95
213,5350184.02,CT,Toronto,0.56201,3768,1694,1642,775,3690,3685,1390,3685,2275,3180,3185,1905,50
214,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,1855,6845,6850,2945,6845,4310,5925,5925,3595,205
215,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,1260,4480,4480,1850,4480,2760,3950,3950,2440,90
216,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,305,2390,2390,530,2390,1220,1935,1935,1165,30
217,5350187.0,CT,Toronto,1.21045,3448,1424,1351,455,3525,3525,1025,3525,2025,2910,2910,1900,55
218,5350188.0,CT,Toronto,0.55199,2017,842,797,300,2005,2000,610,2000,1070,1645,1645,1060,40
219,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,960,5370,5375,1970,5370,2925,4535,4535,2430,25
220,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,1525,9120,9120,6060,9120,5315,7250,7250,3820,20
221,5350190.02,CT,Toronto,0.5813,4765,2102,2026,925,4705,4705,1980,4705,2690,3835,3835,2060,20
222,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,780,4280,4280,1430,4275,2630,3675,3670,2270,40
223,5350192.0,CT,Toronto,0.92037,905,462,440,270,915,915,390,915,495,770,770,395,0
224,5350193.0,CT,Toronto,1.41592,3314,1070,1043,245,3230,3230,1120,3230,1680,2580,2580,1460,10
225,5350194.01,CT,Toronto,0.2315,5498,1482,1463,415,5725,5725,3900,5720,2715,3765,3765,1600,25
226,5350194.02,CT,Toronto,0.34635,6240,1934,1923,615,5760,5760,3585,5760,2920,4180,4185,1915,10
227,5350194.03,CT,Toronto,0.25016,2933,1238,1229,610,2805,2805,1970,2805,1400,2250,2250,1130,0
228,5350194.04,CT,Toronto,2.29209,6437,2571,2508,920,6550,6550,3820,6555,3610,5050,5050,2765,20
229,5350195.01,CT,Toronto,0.9462,4483,1656,1604,475,4455,4455,960,4455,2405,3510,3510,2340,60
230,5350195.02,CT,Toronto,0.37813,2317,920,894,300,2380,2380,525,2380,1240,1860,1860,1215,45
231,5350196.01,CT,Toronto,0.3774,1977,811,775,235,1870,1865,410,1870,965,1555,1555,935,25
232,5350196.02,CT,Toronto,1.10548,5635,2376,2250,750,5550,5545,945,5550,2945,4505,4505,2840,75
233,5350200.01,CT,Toronto,0.6408,5614,3143,3055,1720,5570,5565,2790,5570,3440,5025,5025,2870,70
234,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,480,1035,1035,365,1035,720,975,975,685,15
235,5350201.0,CT,Toronto,0.75952,5371,2989,2776,1565,5435,5435,2200,5435,3345,4755,4755,3000,50
236,5350202.0,CT,Toronto,0.33589,1647,653,631,240,1655,1655,455,1660,1015,1345,1340,935,25
237,5350203.0,CT,Toronto,0.58927,3160,1507,1431,690,2935,2935,955,2935,1940,2565,2565,1710,25
238,5350204.0,CT,Toronto,0.74088,4537,2310,2210,1085,4615,4610,1205,4615,2710,3820,3815,2510,105
239,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,x,x,x,x,x,x,x,x,x,x
240,5350206.01,CT,Toronto,1.13878,4217,2151,2041,1095,4145,4140,1510,4140,2565,3595,3590,2350,45
241,5350206.02,CT,Toronto,1.08513,5867,2994,2774,1490,5920,5925,1935,5925,3640,5135,5135,3375,65
242,5350207.0,CT,Toronto,0.67366,2605,1285,1181,780,2550,2545,865,2545,1655,2310,2310,1470,25
243,5350208.0,CT,Toronto,1.29403,4172,2062,1981,1105,4125,4125,1895,4125,2395,3550,3550,1920,25
244,5350209.0,CT,Toronto,0.69308,2718,1338,1252,740,2610,2610,945,2610,1480,2285,2285,1310,20
245,5350210.01,CT,Toronto,2.96012,3083,1008,971,230,2670,2670,1170,2670,1680,2225,2225,1515,20
246,5350210.02,CT,Toronto,0.94935,11390,9168,7016,4185,11410,11405,4565,11405,8250,10665,10665,7815,85
247,5350211.0,CT,Toronto,3.27116,6350,2512,2447,815,6345,6340,2315,6340,3620,5490,5490,3330,40
248,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,740,5685,5685,1655,5690,3350,4775,4775,3080,25
249,5350213.01,CT,Toronto,0.94226,2666,1021,990,290,2660,2660,985,2660,1510,2290,2290,1370,15
250,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,1625,5805,5800,2830,5805,4120,5275,5280,3840,0
251,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,1075,5110,5110,1935,5105,3295,4485,4490,3140,15
252,5350215.0,CT,Toronto,2.60049,6748,2991,2789,1050,6625,6625,2510,6625,3960,5710,5710,3750,55
253,5350216.0,CT,Toronto,1.9993,5532,2238,2163,610,5440,5440,1320,5440,3040,4545,4540,2960,50
254,5350217.0,CT,Toronto,1.33055,5692,2917,2756,1415,5690,5690,2910,5690,3555,4825,4825,2915,50
255,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,240,2640,2635,535,2640,1340,2100,2100,1335,30
256,5350219.0,CT,Toronto,1.36063,4427,1690,1644,485,4500,4500,1370,4500,2365,3660,3660,2155,50
257,5350220.0,CT,Toronto,1.32212,4177,1597,1584,485,4250,4245,1705,4250,2350,3575,3575,2245,20
258,5350221.01,CT,Toronto,1.64542,6377,2751,2725,915,6205,6205,2185,6200,2985,5535,5535,2870,20
259,5350221.02,CT,Toronto,0.80501,5202,2167,2064,870,4855,4855,2440,4855,3005,4145,4150,2730,50
260,5350222.01,CT,Toronto,1.28483,6699,2626,2557,850,6695,6700,3140,6700,3695,5630,5625,3545,0
261,5350222.02,CT,Toronto,1.2002,5141,1830,1782,475,4910,4910,2155,4910,2665,3890,3890,2230,15
262,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,95,1510,1510,540,1505,785,1265,1270,790,10
263,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,185,2115,2115,615,2120,1140,1835,1830,1135,0
264,5350224.0,CT,Toronto,1.04417,1696,578,573,75,1695,1695,450,1695,915,1400,1405,875,0
265,5350225.01,CT,Toronto,0.93466,4981,2387,2316,995,4980,4980,2280,4985,2680,4435,4435,2485,10
266,5350225.02,CT,Toronto,0.3048,9706,5006,4859,2695,9445,9440,5095,9440,6165,8300,8300,5270,25
267,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,300,3030,3030,660,3025,1550,2495,2495,1435,0
268,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,135,1850,1855,315,1850,965,1525,1525,995,0
269,5350228.0,CT,Toronto,0.883,3131,1418,1362,510,3050,3050,725,3050,1485,2665,2665,1430,30
270,5350229.0,CT,Toronto,0.32031,1223,393,384,65,1235,1235,255,1235,615,895,900,570,0
271,5350230.01,CT,Toronto,1.50655,2537,1109,1082,395,2340,2340,765,2335,1290,2020,2020,1210,10
272,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,910,6395,6395,3355,6395,3510,5550,5545,3330,10
273,5350231.0,CT,Toronto,3.02848,6461,2722,2566,845,6460,6460,1820,6460,3485,5505,5505,3365,20
274,5350232.0,CT,Toronto,2.04605,3825,1348,1306,210,3740,3745,1000,3740,1805,3175,3170,1795,0
275,5350233.0,CT,Toronto,2.0806,5530,2032,1982,370,5610,5610,1915,5605,2925,4695,4695,2855,0
276,5350234.0,CT,Toronto,2.11718,4524,1645,1600,325,4445,4445,1700,4445,2225,3660,3660,2160,0
277,5350235.01,CT,Toronto,1.40707,2841,1009,997,240,2830,2835,1085,2835,1510,2420,2420,1500,10
278,5350235.02,CT,Toronto,1.07805,5277,2039,2010,565,5340,5335,2535,5335,2900,4655,4660,2700,15
279,5350236.01,CT,Toronto,0.98685,6646,2560,2519,845,6615,6615,3365,6615,3615,5625,5625,3185,15
280,5350236.02,CT,Toronto,4.07421,5946,2284,2256,635,5905,5905,2880,5905,3120,5155,5160,3005,10
281,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,750,6815,6810,3995,6815,3325,5370,5370,2745,0
282,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,240,3035,3035,1245,3035,1555,2505,2500,1385,0
283,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,1100,5580,5585,2500,5580,2850,4905,4905,2500,10
284,5350238.01,CT,Toronto,1.03807,3350,1259,1231,295,3425,3420,1110,3425,1795,2960,2960,1725,0
285,5350238.02,CT,Toronto,0.98177,5244,2070,1953,615,5285,5285,2570,5285,2890,4335,4335,2515,10
286,5350239.0,CT,Toronto,2.55782,6481,2511,2383,695,6430,6430,2875,6430,3310,5190,5195,2845,25
287,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,285,3285,3285,1185,3290,1580,2845,2845,1580,10
288,5350240.02,CT,Toronto,1.04495,6043,2621,2558,975,5745,5740,2855,5745,2960,5005,5000,2620,0
289,5350241.0,CT,Toronto,1.0982,3231,1030,1003,270,2790,2790,1070,2790,1510,2365,2365,1450,10
290,5350242.0,CT,Toronto,0.67084,1674,610,575,155,1580,1580,725,1575,810,1290,1295,670,0
291,5350243.01,CT,Toronto,0.31518,6658,2236,2142,985,6570,6570,3980,6570,2985,5035,5040,2040,10
292,5350243.02,CT,Toronto,1.2154,3617,1342,1304,440,3695,3700,2005,3695,1935,3175,3180,1845,0
293,5350244.01,CT,Toronto,1.45046,5677,2009,1945,650,5705,5700,2790,5700,3060,4730,4730,2695,10
294,5350244.02,CT,Toronto,1.46584,3779,1335,1274,460,3745,3745,1940,3745,1865,2910,2910,1480,10
295,5350245.0,CT,Toronto,1.42111,6934,2672,2567,885,6845,6845,3410,6845,3860,5690,5685,3220,25
296,5350246.0,CT,Toronto,1.0727,3595,1317,1279,505,3515,3515,1560,3510,1895,3035,3035,1660,0
297,5350247.01,CT,Toronto,17.35024,8727,2931,2748,930,8630,8630,5065,8630,4790,7275,7275,4400,10
298,5350247.02,CT,Toronto,3.22582,7167,2537,2385,745,7165,7165,3830,7165,3865,6055,6055,3530,20
299,5350248.02,CT,Toronto,1.23696,5671,1864,1784,635,5595,5595,3135,5595,2570,4270,4270,1830,0
300,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,295,2600,2600,1630,2600,1365,2160,2160,1315,0
301,5350248.04,CT,Toronto,1.51177,4771,1671,1496,900,4715,4715,2700,4715,2430,4050,4050,2345,30
302,5350248.05,CT,Toronto,1.15519,4332,1413,1310,610,4085,4085,2535,4085,2180,3585,3585,1865,0
303,5350249.01,CT,Toronto,0.82975,4650,1428,1341,300,4515,4515,2915,4515,2305,3835,3830,2035,0
304,5350249.03,CT,Toronto,2.96801,5696,1704,1592,375,5695,5690,3470,5690,3065,4720,4725,2685,0
305,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,265,3480,3480,2220,3480,1860,2870,2870,1530,15
306,5350249.05,CT,Toronto,0.64364,5476,1584,1534,315,5430,5430,3905,5430,2920,4225,4230,2115,0
307,5350250.01,CT,Toronto,1.40913,5432,1618,1545,510,5100,5100,3005,5100,2745,4295,4295,2215,0
308,5350250.02,CT,Toronto,1.99197,4928,1854,1735,550,5020,5020,2455,5025,2620,4100,4100,2320,15
309,5350250.04,CT,Toronto,0.50556,6206,2057,1994,655,6275,6270,3960,6275,3350,4605,4605,2600,10
310,5350250.05,CT,Toronto,0.70576,7607,2288,2270,675,7535,7535,5360,7535,4020,5925,5930,2860,10
311,5350260.01,CT,Toronto,0.7288,6748,2431,2398,885,6600,6600,4465,6600,3530,5555,5555,2995,10
312,5350260.04,CT,Toronto,0.1881,4147,1498,1480,530,4170,4175,2775,4175,2170,3185,3180,1525,10
313,5350260.05,CT,Toronto,0.2543,4020,1369,1332,370,4035,4035,2170,4035,1870,2835,2840,1065,10
314,5350260.06,CT,Toronto,0.95204,3348,1132,1116,415,3295,3295,2105,3295,1965,2650,2650,1580,0
315,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,550,3810,3810,2510,3810,2005,3310,3310,1695,20
316,5350261.0,CT,Toronto,1.92395,5501,2284,2194,960,5180,5180,3040,5180,2640,4465,4465,2025,0
317,5350262.01,CT,Toronto,0.67091,5736,2752,2728,1270,5845,5845,2850,5845,3395,4890,4890,2910,0
318,5350262.02,CT,Toronto,2.16555,6273,2526,2490,965,6160,6155,3290,6160,3405,5195,5195,2810,20
319,5350263.02,CT,Toronto,2.00598,3471,1680,1629,735,3445,3445,1675,3445,1775,3035,3030,1640,15
320,5350263.03,CT,Toronto,1.56059,4906,2106,2060,920,4475,4475,2190,4475,2710,3825,3825,2465,15
321,5350263.04,CT,Toronto,0.69962,6531,3616,3536,1805,6380,6375,3485,6380,3610,5765,5770,3070,0
322,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,85,1305,1305,625,1305,600,1135,1140,595,0
323,5350265.0,CT,Toronto,2.6864,4756,1855,1742,470,4650,4650,1355,4645,2315,3820,3820,2070,25
324,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,205,3235,3235,1165,3235,1625,2790,2790,1495,10
325,5350267.0,CT,Toronto,2.71113,6368,2133,2062,410,6415,6415,3120,6415,3165,5270,5270,3065,10
326,5350268.0,CT,Toronto,3.0571,6419,2938,2837,1185,6285,6285,2735,6285,3065,5495,5490,2765,25
327,5350269.01,CT,Toronto,0.75312,5056,2354,2081,955,5010,5010,3035,5010,2885,4280,4280,2330,0
328,5350269.02,CT,Toronto,1.76908,2569,951,923,185,2610,2605,1010,2605,1375,2185,2190,1345,10
329,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,755,5030,5030,2440,5035,2865,4240,4240,2525,0
330,5350270.02,CT,Toronto,0.75775,4264,1636,1611,460,4200,4200,1435,4200,2205,3330,3335,2000,0
331,5350271.01,CT,Toronto,0.8935,2429,899,893,230,2550,2550,930,2550,1365,2155,2155,1305,15
332,5350271.02,CT,Toronto,0.7092,4815,1765,1749,540,4685,4685,2105,4685,2410,3795,3795,2010,10
333,5350272.01,CT,Toronto,0.4552,5987,2408,2342,975,5925,5925,3495,5925,3340,4845,4845,2730,0
334,5350272.02,CT,Toronto,0.99884,4705,1791,1763,555,4710,4710,2755,4715,2565,4060,4060,2325,10
335,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,215,3865,3860,1745,3860,1930,3245,3250,1850,10
336,5350273.02,CT,Toronto,1.28882,4160,1530,1477,400,4180,4180,2230,4185,2090,3565,3565,1910,10
337,5350274.01,CT,Toronto,1.52481,4900,1788,1756,550,4820,4815,2420,4820,2665,4005,4010,2465,0
338,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,665,4815,4815,2435,4815,2645,4225,4225,2255,0
339,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,890,5900,5905,1570,5900,2800,5035,5035,2825,30
340,5350276.01,CT,Toronto,1.22609,6446,2764,2642,1140,6260,6260,1950,6260,3160,5010,5010,3045,10
341,5350276.02,CT,Toronto,1.28263,6870,2514,2398,720,6720,6720,2045,6725,3490,5370,5375,3370,30
342,5350277.0,CT,Toronto,1.02778,4084,1323,1220,375,4225,4225,1240,4225,1910,3145,3145,1945,20
343,5350278.0,CT,Toronto,1.3337,7734,2944,2679,1135,7355,7355,2640,7355,3530,5790,5790,3290,20
344,5350279.01,CT,Toronto,1.21444,4028,1665,1523,560,4060,4055,2105,4060,2205,3515,3510,1970,20
345,5350279.02,CT,Toronto,1.57835,6503,2195,2117,735,5815,5810,3185,5810,3115,4955,4960,2705,0
346,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,1065,7290,7290,3985,7285,4015,6030,6035,3535,15
347,5350281.01,CT,Toronto,0.96206,6484,2324,2256,690,6475,6475,3680,6475,3625,5280,5280,3040,10
348,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,430,3945,3940,2065,3945,2075,3030,3035,1615,0
349,5350282.0,CT,Toronto,2.22534,4480,1663,1607,445,4380,4375,1730,4375,2545,3795,3795,2390,0
350,5350283.01,CT,Toronto,0.9285,5399,1965,1938,710,5080,5080,2855,5080,2635,4100,4105,2080,0
351,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,480,4675,4675,2250,4675,2080,3720,3720,1650,0
352,5350284.0,CT,Toronto,1.41266,6840,2427,2349,760,6610,6610,3605,6610,3670,5550,5550,3225,10
353,5350285.0,CT,Toronto,1.1118,3271,1269,1207,410,3255,3250,1645,3255,1710,2820,2815,1500,0
354,5350286.0,CT,Toronto,3.24625,4273,1987,1704,690,4155,4155,1985,4155,2235,3595,3595,1995,10
355,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,985,6340,6345,3585,6345,3235,4940,4940,2980,40
356,5350287.03,CT,Toronto,0.48415,3432,1444,1305,575,3355,3355,1390,3355,1620,2600,2605,1195,10
357,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,1030,4830,4825,2165,4825,2365,3750,3750,2330,15
358,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,1835,9925,9930,4515,9925,5875,8220,8215,5545,65
359,5350289.0,CT,Toronto,1.3028,4713,1779,1725,675,4465,4460,2395,4465,2460,3835,3835,2180,0
360,5350290.01,CT,Toronto,0.94404,3620,1515,1475,590,3755,3755,2235,3755,2115,3115,3120,1895,0
361,5350290.02,CT,Toronto,0.34585,1534,782,717,295,1715,1715,870,1715,1070,1440,1440,1000,0
362,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,860,4795,4790,2650,4795,2545,4025,4030,2040,0
363,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,340,2320,2315,1235,2315,1220,2025,2020,1010,0
364,5350291.04,CT,Toronto,0.51571,1585,680,654,255,1620,1620,980,1620,895,1390,1390,755,0
365,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,840,6700,6700,3890,6705,3795,5435,5435,3180,10
366,5350293.0,CT,Toronto,2.0619,6242,2197,2103,585,6335,6335,3200,6335,3470,5180,5180,3125,10
367,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,410,4510,4505,2360,4505,2350,3610,3610,2000,0
368,5350294.02,CT,Toronto,1.02545,4504,1453,1384,480,4450,4450,2605,4450,2355,3810,3810,2000,0
369,5350295.0,CT,Toronto,1.0824,5180,2035,1907,700,5055,5055,2880,5050,2840,4325,4325,2530,0
370,5350296.0,CT,Toronto,4.6433,64,19,19,x,70,75,30,70,45,70,70,40,0
371,5350297.01,CT,Toronto,1.13952,7313,3119,3027,1385,7160,7155,4360,7155,4080,6185,6185,3710,15
372,5350297.02,CT,Toronto,1.50956,6502,2716,2552,1075,6495,6495,2965,6495,3485,5435,5435,3165,15
373,5350298.0,CT,Toronto,2.27223,4661,1605,1566,465,4745,4750,1690,4750,2625,3760,3760,2470,10
374,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,770,6075,6075,2360,6080,3450,5025,5025,3185,20
375,5350299.02,CT,Toronto,0.1593,5247,3019,2815,1510,5240,5240,3025,5240,3400,4865,4865,2875,0
376,5350300.0,CT,Toronto,1.03364,13667,7532,6956,3685,13660,13660,7535,13660,9455,12170,12170,7940,10
377,5350301.01,CT,Toronto,0.90166,2915,1087,1071,275,2950,2950,1475,2950,1660,2435,2435,1460,0
378,5350301.03,CT,Toronto,0.2736,6949,2944,2789,1430,6760,6755,4225,6755,4060,5610,5610,3190,10
379,5350301.04,CT,Toronto,1.42622,5859,2615,2502,1265,5995,6000,3820,6000,3705,5165,5165,3065,10
380,5350302.01,CT,Toronto,1.2292100000000001,6253,2406,2358,760,6250,6250,3690,6250,3330,5515,5515,2950,20
381,5350302.02,CT,Toronto,1.08389,6140,2092,2037,715,6155,6155,3885,6155,3240,5280,5280,2790,15
382,5350302.03,CT,Toronto,0.69385,3425,1205,1124,435,3400,3395,2200,3400,1890,2965,2965,1565,0
383,5350303.0,CT,Toronto,1.0632700000000002,5355,1893,1819,605,5270,5275,3730,5270,3005,4375,4375,2430,0
384,5350304.01,CT,Toronto,0.24931,4541,1633,1610,510,4625,4625,3090,4625,2650,3720,3715,2180,0
385,5350304.02,CT,Toronto,1.21224,4777,1885,1832,580,4465,4460,2540,4465,2535,3950,3950,2205,0
386,5350304.03,CT,Toronto,0.9954700000000001,2898,994,968,170,2930,2925,1745,2930,1630,2475,2475,1420,0
387,5350304.04,CT,Toronto,0.23444,3724,1415,1404,435,3760,3760,2580,3755,2230,3055,3050,1825,10
388,5350304.05,CT,Toronto,0.703,2847,1112,1096,555,2910,2910,1955,2910,1350,2625,2625,1135,10
389,5350304.06,CT,Toronto,0.74893,5807,2258,2207,910,5800,5800,3980,5795,3235,5045,5045,2770,0
390,5350305.01,CT,Toronto,2.44425,4451,1626,1564,355,4345,4345,2580,4345,2260,3860,3865,1990,10
391,5350305.03,CT,Toronto,0.71145,4914,2338,2178,875,4955,4960,2895,4955,2765,4340,4340,2450,10
392,5350305.04,CT,Toronto,1.00966,9133,5153,4822,2585,8905,8905,5405,8905,6175,8050,8050,5110,10
393,5350306.01,CT,Toronto,1.17222,4574,1586,1478,295,4685,4680,2745,4685,2485,3995,3995,2085,0
394,5350306.02,CT,Toronto,1.1185200000000002,4793,1831,1714,700,4670,4670,2915,4675,2630,4030,4030,2265,10
395,5350307.03,CT,Toronto,0.11010999999999999,5039,2359,2238,1045,5105,5105,3640,5100,2920,4520,4515,1985,0
396,5350307.04,CT,Toronto,0.15295,7035,3530,3360,1610,6960,6960,4445,6960,4395,6240,6240,3360,10
397,5350307.05,CT,Toronto,0.10463,3581,2038,1926,1080,3550,3550,2205,3555,2445,3265,3265,1945,10
398,5350307.06,CT,Toronto,0.10419,5424,2374,2266,935,5325,5325,3795,5325,3355,4630,4635,2445,0
399,5350307.07,CT,Toronto,1.22458,6321,2651,2366,1035,6305,6300,3755,6300,3585,5480,5480,2730,10
400,5350308.02,CT,Toronto,1.42465,4310,1688,1588,500,4305,4305,1880,4305,2370,3645,3645,2075,40
401,5350308.03,CT,Toronto,0.39669,1147,425,385,155,1095,1095,470,1095,570,925,925,530,0
402,5350308.04,CT,Toronto,1.08521,11479,5941,5576,3070,11270,11270,7040,11270,6560,10290,10290,5160,15
403,5350309.0,CT,Toronto,0.74182,6383,2354,2308,970,6255,6255,4385,6255,3580,5365,5365,3220,10
404,5350310.01,CT,Toronto,1.42763,3512,1271,1204,365,3395,3395,1175,3395,1790,2850,2855,1740,0
405,5350310.02,CT,Toronto,2.23548,5048,2028,1858,720,5025,5030,2480,5030,2840,4230,4230,2550,0
406,5350311.02,CT,Toronto,0.89054,5823,2308,2141,865,5780,5780,3405,5780,3055,4865,4865,2525,25
407,5350311.03,CT,Toronto,0.79713,2651,923,863,285,2685,2690,1410,2685,1365,2360,2360,1305,10
408,5350311.04,CT,Toronto,0.95755,6552,2436,2247,665,6550,6550,4065,6550,3520,5520,5520,3105,25
409,5350311.05,CT,Toronto,0.34549,6823,2681,2593,1580,6605,6610,3900,6605,3715,5585,5585,3200,35
410,5350311.06,CT,Toronto,10.24442,5744,2703,2326,2135,5945,5945,2805,5945,3535,5190,5195,3100,20
411,5350312.02,CT,Toronto,0.524,3448,1185,1077,445,3230,3230,2005,3230,1725,2630,2625,1375,10
412,5350312.03,CT,Toronto,1.48726,6420,2219,2164,695,6240,6235,3555,6235,3195,5125,5125,2660,10
413,5350312.04,CT,Toronto,0.72554,5763,1820,1718,550,5685,5685,3380,5685,2795,4355,4355,1995,15
414,5350312.05,CT,Toronto,0.34586999999999996,3836,1348,1295,455,4045,4040,2275,4040,1975,2980,2975,1360,10
415,5350312.06,CT,Toronto,0.45843999999999996,3444,1086,1058,325,3495,3495,2025,3495,1710,2785,2785,1310,10
416,5350312.07,CT,Toronto,0.6247,3076,1312,1221,515,3070,3070,1955,3070,1320,2740,2740,1190,0
417,5350313.0,CT,Toronto,2.89834,5554,1945,1808,580,5550,5550,2900,5550,2870,4585,4580,2700,10
418,5350314.01,CT,Toronto,0.4281,5036,1741,1676,575,5050,5050,3345,5050,2660,3855,3855,1980,0
419,5350314.02,CT,Toronto,1.12467,4955,1704,1568,440,4930,4930,3185,4935,2610,4145,4145,2180,10
420,5350315.01,CT,Toronto,1.51758,3368,1223,1122,295,3250,3245,1860,3245,1580,2880,2880,1445,10
421,5350315.02,CT,Toronto,0.42796000000000006,3543,1170,1076,320,3485,3490,2220,3490,1675,2860,2865,1375,0
422,5350315.03,CT,Toronto,6.01015,5505,1895,1699,470,5680,5675,3200,5675,2945,4515,4515,2385,0
423,5350316.01,CT,Toronto,1.7746,3910,1301,1224,325,3750,3750,2270,3755,1915,3265,3260,1615,25
424,5350316.03,CT,Toronto,0.40066,5888,2039,1948,655,5990,5990,3750,5990,3260,4635,4635,2210,20
425,5350316.04,CT,Toronto,0.46506000000000003,4275,1760,1679,795,4160,4160,2365,4155,1960,3215,3215,1400,10
426,5350316.05,CT,Toronto,0.40614,3992,1373,1309,505,4015,4015,2345,4010,2055,3110,3110,1530,15
427,5350316.06,CT,Toronto,0.40499,3672,1198,1164,300,3645,3645,1970,3645,1835,2740,2740,1360,15
428,5350317.02,CT,Toronto,0.43231,7347,3408,3336,1725,7400,7400,5370,7400,3905,6595,6590,3335,25
429,5350317.03,CT,Toronto,1.19309,3688,1264,1245,345,3620,3620,2155,3620,2015,3165,3165,1790,10
430,5350317.04,CT,Toronto,0.72206,6627,2594,2534,910,6580,6580,4640,6580,3605,5590,5590,3295,15
431,5350317.05,CT,Toronto,0.54133,2229,834,811,405,2270,2275,1600,2270,1235,2005,2010,1130,0
432,5350318.0,CT,Toronto,1.9063700000000001,8574,3568,3330,1675,8550,8550,5305,8550,4995,7635,7630,4165,15
433,5350319.0,CT,Toronto,1.20157,4191,1616,1527,575,4045,4045,2480,4045,2355,3575,3580,1850,10
434,5350320.01,CT,Toronto,0.73678,5197,2103,2036,875,5050,5055,3620,5055,2685,4345,4345,2340,20
435,5350320.02,CT,Toronto,0.8527600000000001,5869,2129,2067,975,5985,5985,4265,5980,3440,5275,5270,3035,10
436,5350321.01,CT,Toronto,1.25768,3830,1340,1258,455,3860,3860,2385,3860,2215,3410,3410,1840,0
437,5350321.02,CT,Toronto,1.2172,4030,1497,1429,475,3965,3965,2545,3965,2280,3510,3510,1840,10
438,5350322.01,CT,Toronto,0.20805,4737,2371,2242,1175,4695,4695,3055,4695,2920,4305,4305,2405,15
439,5350322.02,CT,Toronto,1.40695,3500,1262,1185,610,3010,3010,1965,3015,1525,2725,2725,1285,10
440,5350323.01,CT,Toronto,1.04061,4289,1746,1706,570,4320,4320,2485,4320,2210,3775,3775,1965,0
441,5350323.02,CT,Toronto,1.8599900000000003,5367,1935,1849,505,4620,4615,2755,4620,2150,4185,4185,2130,10
