,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1: Age Stats,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_404: Total private dwellings,v_CA16_404: Total private dwellings.1,v_CA16_407: Land area in square kilometres,"v_CA16_401: Population, 2016","v_CA16_403: Population percentage change, 2011 to 2016",v_CA16_406: Population density per square kilometre,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6754: Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,v_CA16_6757: Median employment income in 2015 for full-year full-time workers ($),v_CA16_6760: Average employment income in 2015 for full-year full-time workers ($),v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5627: Worked,"v_CA16_5630: Worked full year, full time",v_CA16_5633: Worked part year and/or part time,"v_TX2016_349: Taxfilers and dependents by single year of age, 2016 - Total","v_TX2017_349: Taxfilers and dependents by single year of age, 2017 - Total","v_TX2018_349: Taxfilers and dependents by single year of age, 2018 - Total"
98,5050124.03,CT,Ottawa,5.4977800000000006,4841,1866,1851,4840,3950,3950,3950,3950,1866,1866,4.42,4841,0.4,1095.9,4010,1285,78940,83838,4010,2480,1330,1155,4770,4780,4730
99,5050124.04,CT,Ottawa,0.9452200000000001,3081,1136,1130,3080,2600,2605,2600,2600,1136,1136,0.95,3081,-2.0,3259.3,2540,935,69901,73013,2535,1675,955,720,3010,3050,3010
100,5050125.01,CT,Ottawa,1.51235,4798,1802,1787,4800,3905,3900,3905,3905,1802,1802,1.51,4798,-1.3,3172.4,3920,1380,75911,80370,3920,2620,1405,1215,3940,3900,3900
101,5050125.02,CT,Ottawa,0.9007,3369,1369,1327,3370,2700,2700,2695,2695,1369,1369,0.9,3369,-0.3,3740.8,2680,1030,51132,53417,2680,1775,1055,725,2930,2960,2980
102,5050125.03,CT,Ottawa,59.56795,527,210,205,530,415,415,415,420,210,210,59.36,527,-0.8,8.9,395,150,59673,63303,395,245,155,85,x,x,x
103,5050125.04,CT,Ottawa,1.73285,3924,1355,1354,3925,3300,3295,3295,3300,1355,1355,1.73,3924,-2.1,2264.7,3180,1250,88420,95031,3180,2235,1275,960,3980,3990,3960
104,5050125.05,CT,Ottawa,1.98436,5229,1859,1844,5225,4240,4240,4240,4235,1859,1859,1.98,5229,0.7,2635.2,4200,1680,70720,73044,4200,2905,1720,1185,5190,5240,5270
105,5050125.06,CT,Ottawa,9.90514,10308,3486,3341,10310,8015,8010,8010,8015,3486,3486,9.9,10308,39.4,1041.1,8010,3550,72608,79325,8010,6095,3615,2480,10370,10980,11310
106,5050125.07,CT,Ottawa,1.66586,4369,1620,1590,4370,3615,3615,3615,3615,1620,1620,1.67,4369,-3.2,2624.0,3875,1305,63453,84806,3875,2595,1330,1265,4370,4390,4410
107,5050125.08,CT,Ottawa,1.31035,4814,1833,1811,4815,4090,4090,4090,4090,1833,1833,1.31,4814,-5.1,3674.5,4070,1640,61414,67091,4070,2845,1660,1185,4870,4820,4850
108,5050125.09,CT,Ottawa,0.7409100000000001,3593,1396,1381,3595,2955,2950,2955,2950,1396,1396,0.74,3593,2.5,4848.2,2815,965,56928,64637,2810,1925,980,945,3680,3680,3700
109,5050126.03,CT,Ottawa,17.3533,8865,2785,2698,8865,6490,6490,6490,6490,2785,2785,17.35,8865,97.6,511.1,6490,2865,67317,70121,6490,4990,2900,2095,9490,10140,10640
110,5050126.04,CT,Ottawa,136.50772,5114,2006,1934,5115,4245,4240,4245,4245,2006,2006,135.71,5114,48.4,37.7,4335,1770,60308,68618,4335,3015,1825,1185,5090,6170,6810
111,5050126.05,CT,Ottawa,7.32493,6389,2093,2079,6385,4710,4705,4710,4705,2093,2093,6.83,6389,5.9,935.3,4765,2265,80973,84674,4765,3685,2355,1330,6410,6340,6410
112,5050126.06,CT,Ottawa,7.3048,5953,2129,2098,5955,4430,4430,4430,4430,2129,2129,7.3,5953,22.1,814.9,4380,2110,74009,80187,4380,3480,2170,1310,5970,6080,6190
113,5050127.0,CT,Ottawa,19.69407,3410,1556,1300,3410,2775,2775,2775,2775,1556,1556,19.69,3410,-12.6,173.2,2675,1040,61836,70097,2675,1975,1055,920,4510,4600,4700
114,5050130.01,CT,Ottawa,11.32343,3950,1613,1517,3950,3310,3310,3305,3305,1613,1613,11.06,3950,1.5,357.2,3285,995,81969,90506,3285,2140,1040,1095,3980,4000,4040
115,5050130.02,CT,Ottawa,1.5497,4247,1750,1703,4245,3650,3650,3650,3655,1750,1750,1.55,4247,-3.1,2740.5,3680,1305,53142,57202,3675,2480,1325,1155,4230,4280,4320
116,5050131.01,CT,Ottawa,1.53735,5518,2672,2548,5515,4810,4810,4810,4810,2672,2672,1.52,5518,3.0,3632.4,4810,1325,55435,63246,4810,2725,1335,1385,5240,5390,5530
117,5050131.02,CT,Ottawa,1.40059,4643,2021,1935,4645,4035,4035,4030,4035,2021,2021,1.4,4643,-1.1,3315.5,4135,1310,55692,65119,4135,2725,1355,1370,4510,4570,4690
118,5050132.0,CT,Ottawa,1.95087,6086,2596,2435,6090,5085,5090,5085,5085,2596,2596,1.95,6086,-0.1,3119.9,5085,1500,51878,61683,5090,3175,1555,1620,5580,5750,6040
119,5050133.0,CT,Ottawa,2.40131,5092,2162,1938,5090,4315,4320,4320,4315,2162,2162,2.4,5092,3.6,2120.6,4345,1360,54543,62193,4345,2880,1420,1455,4540,4760,5140
120,5050134.0,CT,Ottawa,2.0519,3664,1452,1389,3660,3135,3135,3140,3140,1452,1452,2.05,3664,-0.2,1785.7,3110,1020,54796,64030,3110,1945,1050,895,3800,3860,4000
121,5050135.01,CT,Ottawa,1.8317,6508,2386,2347,6505,5360,5360,5355,5355,2386,2386,1.83,6508,-1.3,3553.0,5335,1915,57017,65966,5335,3560,1935,1625,6580,6550,6690
122,5050135.02,CT,Ottawa,3.75595,4771,1910,1887,4770,4000,4005,4000,4000,1910,1910,3.71,4771,-1.0,1287.2,4105,1415,71108,80400,4105,2745,1465,1285,4750,4810,4820
123,5050135.03,CT,Ottawa,1.3946100000000001,1860,762,719,1860,1595,1595,1595,1595,762,762,1.39,1860,-4.5,1333.9,1510,470,53140,59057,1510,925,485,440,1890,1790,1890
124,5050136.01,CT,Ottawa,2.5683599999999998,4508,1761,1722,4505,3590,3590,3590,3590,1761,1761,2.57,4508,-4.3,1755.2,3685,1220,64253,70331,3680,2350,1235,1115,4330,4300,4270
125,5050136.02,CT,Ottawa,2.09092,4764,2082,2000,4765,3880,3880,3880,3880,2082,2082,2.09,4764,0.1,2278.4,3785,1515,48874,55154,3790,2630,1535,1095,4700,4740,4890
126,5050137.02,CT,Ottawa,0.9746,3096,1373,1338,3095,2510,2505,2505,2505,1373,1373,0.97,3096,-1.2,3176.4,2485,935,62977,65646,2480,1680,945,735,2850,2840,2790
127,5050137.03,CT,Ottawa,1.2109,1772,655,647,1775,1455,1455,1455,1455,655,655,1.21,1772,3.3,1466.3,1475,490,99134,111080,1475,990,500,490,1780,1790,1770
128,5050137.04,CT,Ottawa,0.8885700000000001,1913,826,784,1915,1610,1610,1610,1610,826,826,0.89,1913,-6.4,2152.8,1635,635,68172,76271,1635,1070,645,430,1910,1980,1950
129,5050137.05,CT,Ottawa,2.0697799999999997,7245,2706,2622,7245,5860,5860,5860,5860,2706,2706,2.07,7245,-3.7,3500.8,5860,2085,81711,89348,5860,3990,2160,1820,7010,6940,7010
130,5050138.0,CT,Ottawa,1.54358,7492,3063,2852,7495,6010,6015,6015,6010,3063,3063,1.21,7492,-1.9,6178.5,6020,1555,40059,49319,6020,3700,1605,2100,7130,7330,7600
131,5050139.0,CT,Ottawa,20.49547,3962,1610,1553,3960,3265,3270,3265,3265,1610,1610,5.65,3962,1.0,701.2,3255,1080,86902,90788,3260,1985,1130,855,3850,3880,3900
132,5050140.01,CT,Ottawa,16.98216,5,1,1,x,x,x,x,x,1,1,16.98,5,0.0,0.3,x,x,x,x,x,x,x,x,x,x,x
133,5050140.03,CT,Ottawa,0.8107,2613,1018,990,2615,2215,2215,2215,2215,1018,1018,0.81,2613,-2.0,3223.9,2255,900,62533,65951,2255,1570,915,655,2610,2660,2690
134,5050140.04,CT,Ottawa,1.25169,5174,1754,1750,5175,4330,4330,4330,4335,1754,1754,1.25,5174,-5.6,4133.6,4315,1800,79995,85351,4315,3290,1830,1455,5270,5220,5220
135,5050140.05,CT,Ottawa,1.12471,4564,1627,1609,4565,3710,3710,3705,3705,1627,1627,1.12,4564,-4.6,4058.7,3725,1690,62182,67247,3730,2935,1715,1225,4770,4740,4800
136,5050140.06,CT,Ottawa,0.71725,2196,784,781,2195,1835,1835,1835,1835,784,784,0.72,2196,-6.8,3061.5,1880,700,72396,82526,1880,1300,705,595,2280,2250,2260
137,5050140.07,CT,Ottawa,1.34049,4453,1780,1744,4455,3705,3705,3705,3705,1780,1780,1.34,4453,-3.9,3321.6,3615,1395,60032,64433,3620,2550,1420,1135,4360,4380,4420
138,5050141.04,CT,Ottawa,2.84111,3569,1256,1228,3570,2780,2785,2780,2780,1256,1256,2.73,3569,10.5,1309.5,2715,1245,94992,121483,2720,2050,1255,795,3690,3850,3910
139,5050141.05,CT,Ottawa,2.62642,8490,2856,2808,8490,6665,6665,6665,6665,2856,2856,2.63,8490,31.9,3232.6,6665,2765,64032,69956,6665,4975,2805,2170,9090,9780,10080
140,5050141.08,CT,Ottawa,8.71985,8375,2646,2626,8375,6640,6640,6640,6640,2646,2646,8.38,8375,-3.0,999.5,6640,2795,75248,83457,6645,5055,2855,2195,8280,8150,8120
141,5050141.09,CT,Ottawa,1.9083599999999998,6423,2174,2122,6420,4835,4830,4835,4830,2174,2174,1.69,6423,3.0,3803.5,4785,2145,69168,77720,4790,3690,2215,1470,6050,6120,6210
142,5050141.1,CT,Ottawa,1.04062,5422,1674,1659,5420,4235,4235,4235,4235,1674,1674,1.04,5422,-2.2,5213.5,4205,1780,73407,77276,4205,3160,1810,1345,5570,5610,5630
143,5050141.11,CT,Ottawa,0.9432299999999999,5851,1935,1887,5855,4320,4320,4320,4320,1935,1935,0.94,5851,11.2,6203.4,4350,1755,65982,70168,4350,3230,1785,1450,5550,5590,5700
144,5050141.12,CT,Ottawa,5.02008,9778,3226,3164,9775,7275,7275,7275,7280,3226,3226,4.95,9778,71.3,1975.8,7275,3095,62034,65692,7280,5515,3140,2380,10010,10150,10510
145,5050141.13,CT,Ottawa,1.5316,3579,1068,1050,3575,2555,2555,2555,2555,1068,1068,1.43,3579,7.2,2511.4,2605,1050,65477,74595,2600,1910,1080,830,3570,3560,3680
146,5050141.14,CT,Ottawa,110.82633,2214,792,757,2210,1830,1835,1830,1835,792,792,110.11,2214,2.5,20.1,1875,685,69189,119528,1875,1320,700,615,10060,10170,3590
147,5050141.15,CT,Ottawa,14.05984,16747,5593,5440,16745,12145,12150,12145,12150,5593,5593,13.9,16747,108.9,1204.5,12210,5835,68708,74962,12210,9520,5940,3575,18370,20450,21470
148,5050151.03,CT,Ottawa,12.283610000000001,4833,1834,1787,4840,3820,3820,3820,3820,1834,1834,12.05,4833,7.8,401.2,3820,1565,70374,76280,3820,2725,1585,1135,x,x,6730
149,5050151.04,CT,Ottawa,3.03492,6125,2124,2111,6125,4990,4990,4990,4995,2124,2124,3.03,6125,-2.9,2018.3,4890,1895,82072,94639,4895,3585,1960,1625,5990,6000,6070
150,5050151.05,CT,Ottawa,1.71944,3601,1426,1418,3600,3085,3085,3085,3090,1426,1426,1.68,3601,-3.4,2140.0,3155,995,85782,91799,3160,1900,1025,865,3340,3370,3330
151,5050151.06,CT,Ottawa,3.3646,5460,1801,1783,5460,4230,4230,4230,4225,1801,1801,3.36,5460,14.4,1622.8,4255,1840,86087,87702,4260,3415,1890,1525,5690,5770,5840
152,5050151.07,CT,Ottawa,4.57592,7879,2663,2627,7875,5860,5860,5860,5860,2663,2663,4.58,7879,22.5,1721.7,5860,2840,74741,78259,5860,4760,2910,1845,8940,9630,10120
153,5050151.08,CT,Ottawa,13.148,6967,2221,2199,6965,5020,5020,5020,5020,2221,2221,13.14,6967,25.1,530.0,5020,2245,75762,84000,5020,3950,2255,1695,6120,7010,7820
154,5050151.09,CT,Ottawa,236.70307999999997,5145,1862,1824,5140,4235,4235,4235,4235,1862,1862,236.07,5145,2.3,21.8,4195,1725,66536,78439,4195,3100,1775,1325,5730,5850,5890
155,5050160.02,CT,Ottawa,2.59266,5158,2155,2134,5155,4285,4285,4290,4285,2155,2155,2.59,5158,-0.5,1989.8,4215,1380,66166,77437,4215,2640,1405,1235,4940,4950,5030
156,5050160.03,CT,Ottawa,11.35105,8562,2756,2719,8565,6485,6485,6490,6485,2756,2756,11.35,8562,75.8,754.3,6375,2750,85040,93770,6375,4655,2805,1845,9720,10110,10330
157,5050160.04,CT,Ottawa,2.06135,6239,2421,2389,6240,5095,5095,5095,5095,2421,2421,2.06,6239,-2.7,3026.9,5085,1910,60237,71460,5080,3585,1950,1635,6040,6170,6230
158,5050160.05,CT,Ottawa,1.128,3176,1264,1248,3180,2730,2730,2730,2730,1264,1264,1.13,3176,-7.9,2817.6,2740,1065,66716,80019,2745,1990,1070,920,3160,3120,3140
159,5050160.06,CT,Ottawa,2.49782,5355,2497,2143,5355,4100,4105,4105,4100,2497,2497,2.5,5355,14.1,2143.7,4175,1500,63816,71897,4175,2580,1545,1040,5070,5200,5180
160,5050160.07,CT,Ottawa,3.41629,6762,2411,2397,6760,5690,5685,5685,5685,2411,2411,3.33,6762,-4.1,2032.2,5805,2080,94968,116118,5800,4000,2145,1855,6870,6840,6830
161,5050160.09,CT,Ottawa,102.44904,3578,1194,1166,3575,2860,2860,2860,2860,1194,1194,88.41,3578,2.1,40.5,2930,1130,87180,111767,2930,2025,1160,860,2600,2590,2600
162,5050160.1,CT,Ottawa,4.4223300000000005,9825,2990,2970,9825,7235,7235,7235,7235,2990,2990,4.42,9825,3.4,2223.4,7320,3225,79888,81758,7320,5540,3295,2240,9860,9850,9960
163,5050160.11,CT,Ottawa,5.6636,5915,1955,1947,5915,4365,4365,4365,4370,1955,1955,5.66,5915,8.3,1045.2,4285,1930,68930,74129,4280,3290,1955,1335,6440,6490,6510
164,5050161.03,CT,Ottawa,1.21846,4960,1729,1723,4960,4095,4095,4100,4095,1729,1729,1.22,4960,-0.8,4070.6,4080,1570,71031,78420,4080,2890,1595,1300,5010,4950,5020
165,5050161.04,CT,Ottawa,1.6713099999999999,5320,1800,1793,5320,4250,4245,4250,4245,1800,1800,1.67,5320,2.4,3182.8,4270,1660,86763,94150,4265,2970,1685,1285,5270,5210,5190
166,5050161.05,CT,Ottawa,1.56782,6778,2232,2224,6775,5270,5270,5270,5270,2232,2232,1.57,6778,7.7,4323.3,5180,2510,73263,80244,5185,3975,2555,1425,6680,6720,6710
167,5050161.06,CT,Ottawa,1.9453599999999998,7342,2617,2559,7345,5630,5630,5635,5630,2617,2617,1.95,7342,54.4,3773.6,5720,2795,69732,73361,5715,4590,2830,1755,8250,8910,9180
168,5050162.01,CT,Ottawa,4.20801,7511,2892,2829,7515,6050,6050,6050,6050,2892,2892,4.21,7511,53.4,1785.3,6045,2640,60967,64473,6045,4465,2680,1780,8730,9400,9850
169,5050162.02,CT,Ottawa,2.23139,4325,1584,1576,4325,3480,3475,3475,3480,1584,1584,2.23,4325,-4.1,1938.3,3485,1490,54363,58514,3485,2540,1520,1020,4210,4140,4400
170,5050170.01,CT,Ottawa,2.7309400000000004,4206,1708,1661,4210,3455,3455,3455,3455,1708,1708,2.64,4206,2.2,1590.8,3430,1280,58973,63800,3435,2380,1315,1070,4030,4120,4150
171,5050170.03,CT,Ottawa,1.37425,3943,1412,1401,3945,3285,3285,3285,3285,1412,1412,1.37,3943,-4.0,2869.5,3265,1180,67616,70267,3265,2235,1210,1020,3980,3900,3950
172,5050170.04,CT,Ottawa,1.34269,3582,1409,1405,3585,3100,3100,3100,3105,1409,1409,1.34,3582,-6.4,2667.8,3065,930,66845,70040,3065,1900,975,925,3570,3540,3580
173,5050170.05,CT,Ottawa,0.99279,3506,1330,1325,3505,3025,3030,3030,3030,1330,1330,0.99,3506,-6.5,3531.8,3085,1295,59256,73819,3085,2250,1320,930,3460,3480,3440
174,5050170.08,CT,Ottawa,0.73461,2653,866,864,2655,2210,2210,2210,2210,866,866,0.73,2653,-4.2,3611.0,2220,870,73268,74333,2215,1710,865,845,2640,2620,2610
175,5050170.09,CT,Ottawa,1.27007,4793,1783,1776,4790,4005,4005,4000,4005,1783,1783,1.27,4793,-4.9,3773.7,3995,1515,63478,70069,3995,2770,1530,1235,4780,4730,4720
176,5050170.1,CT,Ottawa,1.8118900000000002,4197,1731,1693,4195,3590,3590,3590,3590,1731,1731,1.81,4197,-1.4,2316.6,3640,1340,69489,78336,3635,2425,1365,1060,4040,4120,4150
177,5050170.11,CT,Ottawa,1.3270600000000001,3242,1077,1076,3245,2700,2695,2700,2695,1077,1077,1.33,3242,-2.0,2443.1,2650,1030,74005,84229,2650,1915,1065,850,3230,3180,3230
178,5050170.12,CT,Ottawa,1.0826200000000001,4819,1596,1589,4820,3685,3685,3685,3690,1596,1596,1.08,4819,-0.5,4449.7,3720,1750,69413,72455,3720,2900,1760,1140,4780,4810,4810
179,5050170.13,CT,Ottawa,1.2374399999999999,5174,1757,1736,5175,4180,4180,4180,4180,1757,1757,1.24,5174,-0.1,4181.7,4230,1830,68104,72703,4225,3290,1840,1445,5070,5200,5350
180,5050171.03,CT,Ottawa,154.13028,5620,2049,2006,5615,4605,4610,4610,4605,2049,2049,153.82,5620,-0.1,36.5,4610,1890,68242,72971,4615,3315,1955,1360,5990,6040,6060
181,5050171.05,CT,Ottawa,7.0409,5604,1891,1871,5605,4320,4315,4315,4320,1891,1891,3.67,5604,12.0,1525.7,4320,2050,73117,77695,4320,3300,2085,1225,5660,5840,6010
182,5050171.06,CT,Ottawa,139.95103999999998,6259,2300,2226,6260,5095,5090,5095,5095,2300,2300,133.8,6259,3.1,46.8,5110,1910,67405,79258,5110,3640,1970,1675,6630,7530,7940
183,5050171.07,CT,Ottawa,1.71081,4742,1551,1550,4740,3775,3775,3775,3775,1551,1551,1.71,4742,1.2,2771.5,3695,1565,76219,81461,3700,2750,1585,1160,4800,5010,5200
184,5050171.09,CT,Ottawa,6.99255,9933,3345,3326,9935,7385,7390,7390,7390,3345,3345,6.99,9933,79.9,1420.6,7455,3500,66133,69322,7450,5800,3565,2235,10830,11450,11880
185,5050171.1,CT,Ottawa,4.24571,8784,2974,2964,8785,6555,6555,6560,6555,2974,2974,4.25,8784,35.6,2068.9,6490,2935,69507,73507,6490,5035,2985,2050,8760,8660,8800
186,5050180.01,CT,Clarence-Rockland,5.43244,7581,2918,2872,7580,5955,5955,5960,5955,2918,2918,5.24,7581,18.0,1446.2,6025,2385,58460,62787,6025,4255,2420,1830,8390,8610,8850
187,5050180.02,CT,Clarence-Rockland,22.22179,5148,2215,2164,5150,4275,4275,4275,4275,2215,2215,17.31,5148,3.6,297.5,4210,1505,60918,64923,4210,2590,1535,1060,6700,6760,6840
188,5050181.01,CT,Clarence-Rockland,129.47118,6137,2244,2176,6135,4910,4905,4905,4905,2244,2244,123.04,6137,-1.1,49.9,4905,2075,59945,62368,4905,3700,2155,1545,6780,3870,6020
189,5050181.02,CT,Clarence-Rockland,152.45275,5646,2160,2117,5645,4540,4540,4540,4540,2160,2160,152.13,5646,1.0,37.1,4540,1975,58720,59169,4540,3425,2035,1390,x,5440,5460
190,5050182.0,CT,Russell,170.39938,3955,1449,1418,3955,3240,3240,3240,3240,1449,1449,169.83,3955,-2.4,23.3,3260,1475,60198,66745,3260,2525,1500,1025,2060,2080,2070
191,5050183.0,CT,Russell,16.9008,5501,1968,1938,5505,4290,4290,4295,4290,1968,1968,16.74,5501,17.5,328.5,4270,1890,66080,72744,4270,3170,1910,1265,5550,5750,5810
192,5050184.0,CT,Russell,12.77552,7064,2591,2517,7065,5425,5430,5430,5425,2591,2591,12.53,7064,8.4,563.7,5430,2525,65644,68621,5430,4140,2560,1585,9170,9440,9590
193,5050190.01,CT,Ottawa,193.60111,6494,2354,2308,6495,5220,5215,5215,5220,2354,2354,193.14,6494,0.3,33.6,5165,2300,64463,68734,5160,3900,2350,1545,5950,5970,5980
194,5050190.02,CT,Ottawa,49.54465,7145,2506,2467,7140,5715,5720,5715,5720,2506,2506,49.17,7145,13.2,145.3,5700,2305,73432,82437,5700,4315,2395,1915,6900,7070,7120
195,5050191.01,CT,Ottawa,39.22898,4824,1633,1572,4825,3825,3825,3825,3825,1633,1633,38.73,4824,2.6,124.6,3840,1400,93073,119581,3840,2780,1465,1315,5930,5990,6020
196,5050191.02,CT,Ottawa,103.26971999999999,4822,1783,1738,4820,3970,3970,3975,3975,1783,1783,102.21,4822,1.5,47.2,3940,1670,70745,77779,3935,3020,1715,1305,4460,4480,4480
197,5050200.01,CT,Ottawa,265.96975,2204,875,841,2200,1840,1840,1840,1840,875,875,263.44,2204,-5.9,8.4,1935,820,60551,64364,1935,1475,865,605,x,x,x
198,5050200.02,CT,Ottawa,144.97507,6485,2506,2420,6485,5340,5345,5345,5345,2506,2506,141.45,6485,2.8,45.8,5245,2140,67314,76057,5250,3845,2210,1635,5620,5740,5800
199,5050201.0,CT,Ottawa,7.320639999999999,4486,1678,1631,4485,3705,3700,3705,3705,1678,1678,6.7,4486,-0.8,669.4,3705,1185,88260,104757,3705,2350,1215,1130,4680,4800,4890
200,5050300.0,CT,Ottawa,261.1029,10160,3771,3725,10160,8195,8195,8195,8195,3771,3771,260.82,10160,14.9,39.0,8120,3500,72457,89791,8125,6250,3590,2665,9650,9820,9920
201,5050301.0,CT,Ottawa,272.06702,4413,1823,1710,4405,3710,3705,3705,3710,1823,1823,257.8,4413,-2.3,17.1,3795,1635,61201,68308,3795,2885,1680,1205,4050,3240,3300
202,5050302.0,CT,Ottawa,129.56089,6974,3002,2687,6975,5915,5915,5915,5915,3002,3002,112.33,6974,0.8,62.1,5830,2245,70160,80862,5830,4245,2345,1900,7530,7550,7560
203,5050400.0,CT,North Grenville,358.2208,16451,6658,6439,16455,13570,13565,13570,13570,6658,6658,352.18,16451,9.1,46.7,13570,5360,60264,67237,13565,9565,5530,4030,16270,16730,13450
204,5350001.0,CT,Toronto,6.62211,595,274,247,595,510,510,510,510,274,274,6.1,595,-1.5,97.6,505,265,60594,69491,505,405,275,130,650,640,660
205,5350002.0,CT,Toronto,3.2947,620,279,270,620,530,530,530,530,279,279,3.17,620,-5.6,195.4,605,155,71105,66210,600,450,165,285,520,510,530
206,5350003.0,CT,Toronto,0.94253,749,267,258,755,425,430,430,430,267,267,0.91,749,11.3,820.5,425,200,78608,83058,425,335,200,140,420,430,450
207,5350004.0,CT,Toronto,0.34347,6686,3609,3455,6685,5705,5700,5700,5700,3609,3609,0.34,6686,-1.4,19453.0,5710,1545,42110,47072,5705,3900,1595,2305,5460,5410,5590
208,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,6420,5530,5530,5525,5530,3729,3729,0.38,6424,16.6,17076.0,5530,1975,52760,60307,5530,4000,2030,1965,5570,5560,5670
209,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,0,0,0.01,0,...,0.0,x,x,x,x,x,x,x,x,x,x,x
210,5350007.01,CT,Toronto,0.19931,3237,1827,1747,3235,2820,2820,2820,2815,1827,1827,0.2,3237,-2.6,16233.7,2840,985,41468,52010,2840,2155,1010,1150,2720,2720,2860
211,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,4750,4115,4110,4110,4115,2653,2653,0.44,4753,-4.2,10891.4,4090,1215,40801,46507,4090,2775,1260,1505,4040,4000,4050
212,5350008.01,CT,Toronto,0.29723,7503,5192,4954,7500,7200,7205,7205,7205,5192,5192,0.3,7503,174.9,25262.6,7335,4575,68926,77372,7335,6895,4670,2225,5350,5530,5730
213,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,9940,9235,9235,9235,9235,6390,6390,1.86,9942,51.7,5345.7,9235,4745,66157,76555,9235,7890,4855,3035,9220,9510,9930
214,5350009.0,CT,Toronto,0.10317,567,169,166,565,260,260,260,260,169,169,0.1,567,109.2,5499.5,265,65,47505,47441,265,150,60,90,310,320,340
215,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,5425,4865,4860,4865,4865,3281,3281,0.26,5428,17.8,20670.2,4730,2535,75345,101221,4730,4190,2590,1605,3590,3650,3740
216,5350010.02,CT,Toronto,0.54735,7740,4628,4447,7745,6830,6830,6830,6825,4628,4628,0.55,7740,8.8,14144.7,6825,3450,73322,117070,6830,5780,3520,2265,5730,5750,5830
217,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,17555,16935,16940,16935,16940,15207,15207,0.98,17549,103.0,17903.5,16935,9420,72246,93452,16935,15035,9730,5305,14140,14540,15770
218,5350012.01,CT,Toronto,0.41877,11658,7449,6881,11655,10840,10840,10840,10845,7449,7449,0.42,11658,97.2,27843.3,10840,4995,62828,74337,10840,9020,5160,3860,8710,9060,9830
219,5350012.03,CT,Toronto,0.46643,8865,5997,5311,8865,8405,8405,8405,8405,5997,5997,0.47,8865,50.5,19003.2,8280,4375,70867,80636,8275,7080,4500,2580,6380,6780,7090
220,5350012.04,CT,Toronto,0.233,4899,3258,2956,4900,4610,4615,4615,4610,3258,3258,0.23,4899,2.7,21272.3,4670,2305,75750,98187,4670,3915,2405,1510,3260,3700,4100
221,5350013.01,CT,Toronto,0.34314,6290,4499,4059,6290,5980,5980,5980,5980,4499,4499,0.34,6290,32.7,18332.8,5985,3135,78721,94947,5985,4955,3210,1745,5540,5870,6260
222,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,8125,7540,7540,7540,7540,5270,5270,0.42,8126,38.6,19449.5,7535,3405,78516,112416,7535,5790,3555,2235,7560,8140,8610
223,5350014.0,CT,Toronto,0.47266,1242,975,691,1240,1120,1115,1115,1120,975,975,0.47,1242,92.9,2628.0,1115,490,94979,177862,1115,860,520,335,3790,4140,4820
224,5350015.0,CT,Toronto,0.28599,3663,2451,2226,3665,3400,3400,3400,3400,2451,2451,0.29,3663,7.4,12807.7,3495,1590,79084,110972,3490,2735,1660,1075,4050,4150,4250
225,5350016.0,CT,Toronto,0.65971,10101,6527,6180,10105,9120,9120,9120,9120,6527,6527,0.65,10101,66.6,15430.8,9120,4635,74599,99804,9120,7770,4760,3015,8390,8570,9150
226,5350017.0,CT,Toronto,1.37531,7906,5250,4663,7905,7145,7140,7140,7145,5250,5250,1.34,7906,14.9,5889.5,7140,2875,66743,76254,7145,5255,2945,2310,7780,8250,8680
227,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,2455,2055,2055,2055,2055,1319,1319,0.35,2456,17.6,7081.9,2080,975,83298,101344,2080,1685,995,685,2040,2020,2070
228,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,3255,2575,2580,2575,2575,1410,1410,0.25,3258,4.2,13089.6,2665,970,60981,75991,2670,1795,985,810,2910,3000,2980
229,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,2390,1935,1935,1935,1935,1028,1028,0.74,2390,1.6,3236.3,2005,740,107618,166405,2005,1430,750,680,2330,2340,2350
230,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,5200,4490,4490,4490,4490,2830,2830,0.87,5199,2.3,5977.9,4420,1510,71972,109534,4425,3365,1555,1805,4810,4840,4970
