,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1: Age Stats,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_404: Total private dwellings,v_CA16_404: Total private dwellings.1,v_CA16_407: Land area in square kilometres,"v_CA16_401: Population, 2016","v_CA16_403: Population percentage change, 2011 to 2016",v_CA16_406: Population density per square kilometre,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6754: Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,v_CA16_6757: Median employment income in 2015 for full-year full-time workers ($),v_CA16_6760: Average employment income in 2015 for full-year full-time workers ($),v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5627: Worked,"v_CA16_5630: Worked full year, full time",v_CA16_5633: Worked part year and/or part time,"v_TX2016_349: Taxfilers and dependents by single year of age, 2016 - Total","v_TX2017_349: Taxfilers and dependents by single year of age, 2017 - Total","v_TX2018_349: Taxfilers and dependents by single year of age, 2018 - Total"
21,5050011.01,CT,Ottawa,7.83925,6948,3313,3040,6950,5765,5765,5765,5770,3313,3313,7.81,6948,3.9,889.4,5770,1860,56271,60319,5765,3620,1880,1740,9130,9220,7120
22,5050011.03,CT,Ottawa,1.38046,4009,2540,2256,4010,3835,3835,3835,3835,2540,2540,1.23,4009,-1.6,3264.1,3790,815,56039,64208,3795,1985,855,1130,150,160,2790
23,5050011.04,CT,Ottawa,2.03098,4607,1914,1776,4605,3305,3305,3305,3305,1914,1914,2.03,4607,-3.6,2268.3,3350,1115,66134,68487,3350,2340,1135,1205,3590,3570,3770
24,5050012.0,CT,Ottawa,1.5227899999999999,4367,1695,1618,4370,3355,3350,3355,3355,1695,1695,1.52,4367,-3.6,2868.7,3435,720,43463,48380,3430,1795,730,1065,4330,4320,4400
25,5050013.0,CT,Ottawa,1.6093600000000001,4922,2680,2463,4920,4190,4195,4195,4190,2680,2680,1.52,4922,-3.8,3240.7,4115,1270,62445,71790,4115,2505,1310,1200,4860,5200,5410
26,5050014.0,CT,Ottawa,0.42748,1872,935,842,1870,1425,1425,1420,1425,935,935,0.38,1872,-0.1,4905.7,1420,180,50143,62337,1420,665,195,470,1710,1660,1700
27,5050015.0,CT,Ottawa,1.20146,5190,3085,2544,5195,4625,4620,4625,4625,3085,3085,1.11,5190,1.6,4680.3,4620,1460,63344,82931,4625,3265,1510,1760,3690,3870,4360
28,5050016.0,CT,Ottawa,1.2683799999999998,4596,1878,1799,4600,3735,3735,3740,3735,1878,1878,1.09,4596,2.8,4198.8,3715,1285,90564,105253,3715,2685,1300,1385,4550,4680,4700
29,5050017.0,CT,Ottawa,1.04462,4042,1654,1502,4045,3155,3150,3150,3155,1654,1654,0.94,4042,1.3,4308.2,3175,1160,99394,110365,3175,2445,1190,1255,4240,4310,4410
30,5050018.0,CT,Ottawa,0.7856,4263,2096,1874,4260,3320,3325,3325,3325,2096,2096,0.74,4263,9.0,5785.8,3260,1255,72043,84880,3260,2440,1310,1130,3760,3800,3870
31,5050019.0,CT,Ottawa,1.2602200000000001,3966,1885,1710,3965,3335,3335,3335,3335,1885,1885,1.03,3966,1.5,3858.7,3460,1120,94787,119804,3465,2465,1150,1320,3580,3580,3600
32,5050020.01,CT,Ottawa,5.95529,5008,2868,2384,5010,4405,4410,4410,4405,2868,2868,5.75,5008,-9.0,870.4,4465,1285,47548,53352,4465,2885,1310,1570,3610,3550,3720
33,5050020.02,CT,Ottawa,1.82335,2888,1139,1050,2885,2445,2445,2440,2440,1139,1139,1.51,2888,0.6,1915.4,2340,740,73910,90156,2340,1480,770,710,3720,3790,3870
34,5050021.0,CT,Ottawa,2.1398099999999998,6076,2915,2711,6080,4900,4900,4905,4900,2915,2915,2.14,6076,-3.0,2839.5,4845,1765,55095,59037,4845,3370,1835,1535,5430,5550,5720
35,5050022.0,CT,Ottawa,1.7619200000000002,5562,2932,2626,5565,4430,4435,4435,4435,2932,2932,1.74,5562,-1.0,3195.8,4335,1180,40684,47496,4330,2545,1220,1325,5190,5290,5560
36,5050023.01,CT,Ottawa,1.28555,5772,2853,2638,5775,5070,5065,5070,5070,2853,2853,1.29,5772,-1.0,4488.7,5070,1630,59037,65558,5075,3190,1670,1520,5040,5120,5370
37,5050023.02,CT,Ottawa,0.91115,3888,1688,1615,3890,3140,3145,3140,3140,1688,1688,0.91,3888,1.5,4267.8,3240,1545,77406,74753,3240,2530,1565,960,3670,3710,3820
38,5050024.0,CT,Ottawa,1.37142,3196,1343,1292,3195,2560,2560,2555,2560,1343,1343,1.37,3196,1.8,2330.6,2555,960,61474,68279,2550,1715,985,730,2950,3050,3110
