,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2: Age Stats,v_CA16_3: Age Stats,v_CA16_418: Private households by household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_478: Total - Census families in private households by family size - 100% data.1,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2399: Total - Income statistics in 2015 for one-person private households - 100% data,v_CA16_2402: Total - Income statistics in 2015 for two-or-more-person private households - 100% data,v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data,v_CA16_2446: Total - Income statistics in 2015 for economic families in private households - 100% data,v_CA16_2450: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,v_CA16_2454: Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,v_CA16_2462: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,v_CA16_5807: Bicycle
59,5350050.01,CT,Toronto,1.46504,8746,4553,4336,4030,4720,4340,2425,2425,7575,7575,7575,4335,1790,2540,4335,2445,1110,955,2065,140
60,5350050.03,CT,Toronto,1.92412,1109,606,590,515,595,590,310,310,990,985,985,590,260,335,590,315,175,100,305,10
61,5350050.04,CT,Toronto,0.77861,5008,2291,2212,2315,2695,2210,1340,1340,4070,4070,4070,2210,815,1395,2215,1330,425,590,985,105
62,5350051.0,CT,Toronto,0.69119,5399,2570,2313,2625,2775,2315,1370,1370,4490,4490,4490,2315,830,1480,2315,1365,555,605,1260,325
63,5350052.0,CT,Toronto,0.50129,4077,1933,1839,1935,2145,1840,1065,1065,3390,3395,3395,1840,660,1180,1840,1080,405,470,965,295
64,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,2980,3000,2710,1550,1550,5320,5325,5325,2715,950,1765,2710,1520,640,580,1685,355
65,5350054.0,CT,Toronto,0.70239,5803,2975,2724,2845,2955,2725,1385,1385,5110,5105,5105,2720,1065,1660,2720,1390,605,495,1860,420
66,5350055.0,CT,Toronto,0.27636,2763,1403,1320,1345,1420,1320,635,635,2480,2480,2485,1320,515,805,1320,640,295,235,995,320
67,5350056.0,CT,Toronto,0.50948,4772,2170,2018,2270,2500,2020,1145,1145,4295,4295,4295,2020,565,1450,2015,1130,455,430,1545,495
68,5350057.0,CT,Toronto,0.26644,2311,1226,1108,1105,1205,1105,510,510,2105,2100,2100,1110,430,680,1110,505,240,170,910,210
69,5350058.0,CT,Toronto,0.38414,3980,2063,1888,1955,2020,1885,915,915,3615,3620,3620,1890,720,1165,1885,915,465,300,1500,445
70,5350059.0,CT,Toronto,0.36663,3837,1621,1447,1875,1960,1450,710,710,2945,2945,2945,1445,445,1000,1450,715,320,250,1290,390
71,5350060.0,CT,Toronto,0.27159,2685,1669,1471,1390,1295,1470,560,560,2515,2515,2515,1470,695,780,1470,580,310,150,1235,150
72,5350061.0,CT,Toronto,0.76722,1085,536,475,520,565,475,135,135,710,710,710,475,300,175,475,140,60,50,400,15
73,5350062.01,CT,Toronto,0.10685,5595,3852,3302,2550,3045,3305,1265,1265,5085,5085,5090,3305,1665,1635,3300,1335,750,365,2335,90
74,5350062.02,CT,Toronto,0.58534,9084,6837,5374,4330,4760,5375,1655,1655,8595,8595,8595,5375,2735,2640,5370,1825,975,385,4635,105
75,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,2735,2365,3405,1015,1015,4920,4925,4920,3405,2025,1380,3405,1095,725,165,2615,135
76,5350063.04,CT,Toronto,0.14093,3370,2409,2264,2035,1330,2260,575,575,3160,3165,3165,2265,1470,795,2265,605,420,80,1900,115
77,5350063.05,CT,Toronto,0.12992,4331,3429,2943,2225,2105,2940,815,815,4215,4215,4215,2945,1785,1155,2940,855,595,115,2430,120
78,5350063.06,CT,Toronto,0.19221,5171,3761,3519,3150,2020,3520,875,875,4960,4965,4965,3520,2240,1285,3520,915,640,140,3055,130
79,5350064.0,CT,Toronto,0.19472,4311,2898,2683,2535,1775,2685,845,845,3970,3975,3970,2685,1550,1135,2685,895,610,130,2095,175
80,5350065.01,CT,Toronto,0.08613,2483,1496,1394,1410,1075,1390,460,460,2220,2215,2220,1395,710,680,1395,490,240,160,1165,70
81,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,5935,5885,5485,2650,2650,9885,9885,9885,5480,2260,3220,5480,2715,620,1170,3560,230
82,5350066.0,CT,Toronto,0.32848,7608,4597,4425,4405,3200,4425,1430,1430,6610,6610,6610,4425,2585,1840,4425,1480,905,285,3430,325
83,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,905,785,810,495,495,1485,1490,1490,815,275,540,815,500,290,155,400,125
84,5350068.0,CT,Toronto,0.43058,2367,1296,1203,1255,1115,1200,665,665,2100,2100,2100,1205,460,740,1200,675,360,180,655,260
85,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,2440,2480,1890,1365,1365,4025,4025,4020,1895,460,1435,1895,1355,460,670,770,305
86,5350070.0,CT,Toronto,0.44642,3512,1774,1712,1685,1825,1715,810,810,2905,2905,2900,1710,805,900,1710,815,350,345,1025,125
87,5350071.0,CT,Toronto,0.46398,3481,1521,1402,1690,1790,1405,965,965,2810,2810,2805,1400,385,1015,1400,970,310,470,520,185
88,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,2175,2410,1865,1235,1235,3675,3675,3675,1865,600,1265,1865,1210,330,480,790,160
89,5350072.02,CT,Toronto,0.5369,3141,1320,1261,1580,1560,1265,865,865,2605,2605,2605,1260,365,895,1260,850,290,400,530,145
90,5350073.0,CT,Toronto,0.35718,2605,1077,1007,1315,1290,1005,715,715,2215,2215,2215,1010,260,745,1005,695,230,295,485,80
91,5350074.0,CT,Toronto,0.3998,3848,1710,1598,1900,1950,1600,1045,1045,3175,3175,3175,1600,490,1105,1600,1025,310,420,760,205
92,5350075.0,CT,Toronto,0.49858,4083,1839,1760,1905,2175,1760,1070,1070,3415,3420,3415,1760,625,1130,1760,1055,335,510,870,125
93,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,2055,2360,1935,1210,1210,3605,3600,3600,1935,670,1265,1935,1205,390,530,870,115
94,5350077.0,CT,Toronto,0.6104,4670,1968,1907,2280,2385,1905,1285,1285,3660,3660,3655,1905,580,1325,1910,1270,355,665,760,160
95,5350078.0,CT,Toronto,0.77495,6016,2980,2854,2950,3065,2855,1610,1610,5000,5005,5005,2855,1165,1690,2855,1615,580,675,1380,135
96,5350079.0,CT,Toronto,1.01839,7327,2986,2887,3425,3900,2885,2030,2030,5670,5670,5670,2885,810,2085,2885,2030,575,1070,955,135
97,5350080.01,CT,Toronto,0.47192,3352,1496,1428,1595,1760,1430,930,930,2790,2790,2790,1425,430,995,1425,930,310,415,625,45
98,5350080.02,CT,Toronto,0.39054,4686,2073,2011,2300,2380,2015,1135,1135,3830,3830,3830,2010,770,1235,2010,1140,275,490,1090,50
99,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,1385,1465,1075,775,775,2305,2305,2305,1080,250,825,1075,770,210,410,425,75
100,5350082.0,CT,Toronto,0.3084,2766,1060,1027,1360,1405,1025,750,750,2195,2195,2195,1030,225,800,1030,745,210,395,410,95
101,5350083.0,CT,Toronto,0.44642,4052,1908,1822,2045,2005,1825,1035,1035,3450,3450,3450,1820,715,1105,1825,1030,355,490,965,125
102,5350084.0,CT,Toronto,0.40903,3810,1613,1498,1850,1965,1500,980,980,2990,2990,2995,1495,455,1045,1500,980,325,505,650,120
103,5350085.0,CT,Toronto,0.49901,3994,2154,2078,2015,1980,2075,960,960,3500,3495,3500,2075,1000,1080,2080,965,425,370,1295,135
104,5350086.0,CT,Toronto,1.1385,2661,965,921,1280,1385,920,745,745,2130,2130,2135,920,145,780,920,745,240,405,260,25
105,5350087.0,CT,Toronto,1.60971,5155,2652,2491,2360,2800,2490,1415,1415,4525,4525,4525,2490,1020,1475,2490,1415,770,495,1195,135
106,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,1525,1725,1820,800,800,2915,2915,2915,1820,885,940,1825,830,500,190,1125,40
107,5350089.0,CT,Toronto,0.32969,3896,2995,2345,1785,2105,2345,920,920,3515,3515,3515,2345,1360,985,2345,935,615,180,1480,35
108,5350090.0,CT,Toronto,0.39427,4144,2584,2347,1785,2355,2345,990,990,3630,3630,3625,2345,1260,1085,2350,1000,600,260,1460,55
109,5350091.01,CT,Toronto,0.51145,6031,3639,3224,2905,3125,3225,1235,1235,5030,5035,5030,3225,1740,1485,3225,1265,815,265,2315,245
110,5350091.02,CT,Toronto,0.32714,3525,2288,2009,1695,1825,2005,680,680,3090,3090,3090,2010,1145,865,2010,690,370,170,1605,230
111,5350092.0,CT,Toronto,0.62885,7278,4113,3718,3530,3750,3715,1540,1540,6455,6455,6455,3720,1695,2020,3715,1595,830,510,2910,560
112,5350093.0,CT,Toronto,0.61785,5652,2490,2291,2655,2995,2290,1345,1345,4575,4575,4575,2295,685,1605,2290,1370,495,590,1395,550
113,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,2365,2585,2050,1290,1290,4335,4340,4335,2050,555,1495,2045,1285,455,525,1210,370
114,5350095.0,CT,Toronto,0.31549,3095,1392,1319,1535,1555,1320,785,785,2755,2755,2755,1320,385,935,1320,780,330,300,880,270
115,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,825,835,660,420,420,1450,1450,1450,660,175,480,660,420,135,195,385,135
116,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,1670,1670,1395,850,850,2950,2945,2950,1395,385,1015,1400,850,330,315,860,240
117,5350097.01,CT,Toronto,0.3825,4322,1758,1621,2165,2155,1620,1010,1010,3600,3605,3605,1620,470,1150,1625,975,300,445,1080,215
118,5350097.03,CT,Toronto,0.17179,1207,783,679,690,515,680,225,225,1085,1085,1085,680,415,265,675,220,50,90,535,45
119,5350097.04,CT,Toronto,0.32489,5462,2528,2392,2725,2740,2395,1390,1390,4795,4790,4790,2390,835,1555,2395,1355,565,530,1460,230
120,5350098.0,CT,Toronto,0.71535,7099,3123,3002,3410,3690,3000,1895,1895,6095,6095,6095,3000,960,2045,3000,1860,630,810,1580,305
121,5350099.0,CT,Toronto,0.5813,6585,3380,3241,3210,3375,3240,1655,1655,5630,5630,5630,3240,1385,1855,3240,1665,665,685,1915,230
122,5350100.0,CT,Toronto,0.28925,2956,1492,1432,1390,1565,1430,750,750,2450,2450,2450,1430,635,795,1435,750,320,280,795,135
123,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,1530,1595,1465,830,830,2695,2695,2690,1460,530,935,1465,830,365,320,830,155
124,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,1940,2370,2535,1050,1050,3890,3890,3885,2535,1350,1185,2535,1060,575,255,1635,65
125,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,1725,1955,2095,975,975,3305,3305,3305,2095,1025,1070,2095,1000,520,280,1190,80
126,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,330,345,285,185,185,570,570,570,285,85,200,285,185,80,80,125,15
127,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,395,465,340,230,230,690,690,685,340,95,250,340,230,85,125,160,30
128,5350103.0,CT,Toronto,0.83794,6050,2627,2527,2815,3235,2525,1625,1625,4895,4895,4895,2530,810,1720,2530,1635,660,765,1060,145
129,5350104.0,CT,Toronto,0.73732,5525,2141,2054,2620,2910,2050,1550,1550,4370,4375,4375,2055,455,1600,2055,1540,430,915,645,130
130,5350105.0,CT,Toronto,0.55453,4509,1917,1790,2215,2295,1790,1180,1180,3650,3650,3650,1790,525,1265,1790,1185,395,585,795,200
131,5350106.0,CT,Toronto,1.37076,3773,1427,1343,1880,1895,1345,1025,1025,3215,3215,3210,1345,300,1045,1345,970,215,485,590,35
132,5350107.0,CT,Toronto,0.71899,5085,1880,1751,2520,2570,1750,1420,1420,4325,4325,4325,1750,320,1430,1750,1365,320,695,610,70
133,5350108.0,CT,Toronto,0.73607,6013,2679,2475,3060,2955,2475,1550,1550,5100,5100,5100,2475,880,1595,2475,1490,400,655,1285,135
134,5350109.0,CT,Toronto,0.62602,5496,2299,2203,2700,2800,2200,1580,1580,4760,4765,4760,2205,485,1715,2205,1565,525,675,960,170
135,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,1765,1810,1430,1010,1010,3100,3100,3095,1435,360,1075,1435,980,330,430,700,60
136,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,1220,1290,905,755,755,2130,2135,2135,905,165,740,900,720,200,355,260,25
137,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,2650,2650,2035,1500,1500,4580,4575,4575,2035,460,1575,2035,1470,450,700,850,140
138,5350113.0,CT,Toronto,0.38225,2754,1197,1118,1330,1425,1120,730,730,2365,2365,2365,1120,300,815,1120,725,240,330,570,130
139,5350114.0,CT,Toronto,0.62462,5349,2471,2369,2475,2875,2370,1305,1305,4390,4385,4390,2370,930,1440,2370,1295,470,545,1360,190
140,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,1980,2390,1600,1090,1090,3445,3440,3440,1600,420,1180,1595,1070,305,445,770,240
141,5350116.0,CT,Toronto,0.67913,4628,2044,1921,2190,2435,1920,1090,1090,3510,3510,3510,1925,730,1195,1920,1095,450,425,1025,180
142,5350117.0,CT,Toronto,0.39107,2211,1165,1106,1075,1135,1105,580,580,1925,1930,1925,1105,450,660,1105,585,295,205,650,70
143,5350118.0,CT,Toronto,0.69384,4127,2183,1990,1910,2220,1990,1120,1120,3595,3590,3595,1990,775,1215,1990,1125,595,375,1025,100
144,5350119.0,CT,Toronto,0.8519,4630,2485,2310,2100,2530,2310,1180,1180,4070,4065,4070,2310,1045,1265,2310,1185,630,425,1265,45
145,5350120.0,CT,Toronto,0.25722,1381,697,654,660,720,655,405,405,1180,1180,1175,655,225,425,655,410,200,165,270,30
146,5350121.0,CT,Toronto,0.29736,2659,1629,1448,1165,1495,1450,670,670,2285,2285,2285,1450,730,720,1450,680,410,180,835,10
147,5350122.0,CT,Toronto,0.53381,6220,3655,3443,2720,3505,3445,1585,1585,5595,5595,5595,3445,1655,1790,3440,1615,910,475,2085,90
148,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,1085,1185,1470,500,500,2110,2115,2110,1465,865,600,1470,520,305,105,1040,25
149,5350124.0,CT,Toronto,0.55675,5416,3470,3278,2325,3090,3275,1290,1290,4890,4890,4890,3280,1865,1410,3275,1310,820,310,2110,75
150,5350125.0,CT,Toronto,1.12047,4442,1618,1543,2175,2275,1545,1260,1260,3540,3535,3540,1545,255,1290,1545,1265,400,730,345,50
151,5350126.0,CT,Toronto,1.44927,4248,1746,1693,1955,2295,1690,1185,1185,3340,3340,3340,1695,445,1245,1695,1205,345,660,585,60
152,5350127.0,CT,Toronto,0.74046,5450,2325,2236,2595,2855,2235,1505,1505,4360,4360,4355,2235,665,1570,2235,1505,450,830,835,65
153,5350128.02,CT,Toronto,0.51869,8705,5052,4766,3940,4765,4765,2070,2070,7520,7520,7520,4765,2440,2330,4765,2150,1105,655,2850,70
154,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,2025,2675,2925,1050,1050,4235,4235,4235,2925,1735,1195,2925,1085,600,245,1985,30
155,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,405,540,305,205,205,605,610,610,305,80,220,305,205,85,90,130,20
156,5350128.06,CT,Toronto,0.08584,4199,2601,2523,1985,2210,2525,935,935,3820,3820,3820,2520,1380,1140,2520,985,490,295,1745,45
157,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,2685,3080,2625,1560,1560,4840,4840,4845,2620,940,1680,2625,1580,630,690,1210,75
158,5350130.0,CT,Toronto,1.27901,3543,1365,1279,1685,1855,1275,965,965,2905,2910,2910,1280,295,985,1280,960,350,490,420,35
159,5350131.0,CT,Toronto,1.04439,5310,2505,2360,2425,2885,2360,1410,1410,4555,4560,4555,2360,865,1495,2360,1425,635,620,1120,85
160,5350132.0,CT,Toronto,0.92464,5467,2155,2038,2540,2930,2040,1460,1460,4425,4425,4425,2040,490,1550,2040,1475,430,795,770,45
161,5350133.0,CT,Toronto,0.66745,7339,3629,3408,3245,4100,3410,1835,1835,6190,6185,6185,3405,1435,1970,3410,1850,625,815,1805,50
