GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5350075.00,CT,Toronto,0.49858,4083,1839,1760,25,100,125
5350076.00,CT,Toronto,0.45744,4415,1993,1937,45,75,115
5350077.00,CT,Toronto,0.6104,4670,1968,1907,60,105,160
5350078.00,CT,Toronto,0.77495,6016,2980,2854,40,95,135
5350079.00,CT,Toronto,1.01839,7327,2986,2887,60,75,135
5350080.01,CT,Toronto,0.47192,3352,1496,1428,20,20,45
5350080.02,CT,Toronto,0.39054,4686,2073,2011,10,40,50
5350081.00,CT,Toronto,0.36798,2848,1140,1076,25,50,75
5350082.00,CT,Toronto,0.3084,2766,1060,1027,40,55,95
5350083.00,CT,Toronto,0.44642,4052,1908,1822,45,85,125
5350084.00,CT,Toronto,0.40903,3810,1613,1498,45,75,120
5350085.00,CT,Toronto,0.49901,3994,2154,2078,50,85,135
5350086.00,CT,Toronto,1.1385,2661,965,921,10,15,25
5350087.00,CT,Toronto,1.60971,5155,2652,2491,40,95,135
5350088.00,CT,Toronto,0.22973,3249,1997,1821,20,25,40
5350089.00,CT,Toronto,0.32969,3896,2995,2345,10,30,35
5350090.00,CT,Toronto,0.39427,4144,2584,2347,20,35,55
5350091.01,CT,Toronto,0.51145,6031,3639,3224,105,140,245
5350091.02,CT,Toronto,0.32714,3525,2288,2009,100,125,230
5350092.00,CT,Toronto,0.62885,7278,4113,3718,260,305,560
5350093.00,CT,Toronto,0.61785,5652,2490,2291,295,255,550
5350094.00,CT,Toronto,0.63892,4950,2177,2048,195,175,370
5350095.00,CT,Toronto,0.31549,3095,1392,1319,110,160,270
5350096.01,CT,Toronto,0.20053,1658,694,658,60,75,135
5350096.02,CT,Toronto,0.34918,3336,1494,1398,130,115,240
5350097.01,CT,Toronto,0.3825,4322,1758,1621,110,105,215
5350097.03,CT,Toronto,0.17179,1207,783,679,15,35,45
