GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5050121.01,CT,Ottawa,1.16236,4358,1861,1803,20,25,45
5050121.02,CT,Ottawa,1.09555,2961,1442,1359,0,0,10
5050122.01,CT,Ottawa,0.89094,3721,1391,1238,10,15,20
5050122.02,CT,Ottawa,3.70988,6463,2498,2419,15,20,35
5050122.03,CT,Ottawa,2.4614,4811,2230,2136,10,25,35
5050123.01,CT,Ottawa,1.82343,5471,2136,2072,10,15,15
5050123.02,CT,Ottawa,4.37245,8719,3108,3017,10,45,50
5050124.01,CT,Ottawa,3.0784,3375,1285,1267,0,20,25
5050124.02,CT,Ottawa,2.05926,3976,1823,1782,0,10,10
5050124.03,CT,Ottawa,5.49778,4841,1866,1851,0,35,35
5050124.04,CT,Ottawa,0.94522,3081,1136,1130,0,15,15
5050125.01,CT,Ottawa,1.51235,4798,1802,1787,10,20,25
5050125.02,CT,Ottawa,0.9007,3369,1369,1327,10,0,15
5050125.03,CT,Ottawa,59.56795,527,210,205,0,0,0
5050125.04,CT,Ottawa,1.73285,3924,1355,1354,0,15,15
5050125.05,CT,Ottawa,1.98436,5229,1859,1844,0,10,15
5050125.06,CT,Ottawa,9.90514,10308,3486,3341,0,30,35
5050125.07,CT,Ottawa,1.66586,4369,1620,1590,0,20,20
5050125.08,CT,Ottawa,1.31035,4814,1833,1811,0,15,15
5050125.09,CT,Ottawa,0.74091,3593,1396,1381,10,0,15
5050126.03,CT,Ottawa,17.3533,8865,2785,2698,0,15,20
5050126.04,CT,Ottawa,136.50772,5114,2006,1934,0,0,0
5050126.05,CT,Ottawa,7.32493,6389,2093,2079,10,20,25
5050126.06,CT,Ottawa,7.3048,5953,2129,2098,10,15,20
5050127.00,CT,Ottawa,19.69407,3410,1556,1300,10,0,10
5050130.01,CT,Ottawa,11.32343,3950,1613,1517,10,20,30
5050130.02,CT,Ottawa,1.5497,4247,1750,1703,0,25,30
5050131.01,CT,Ottawa,1.53735,5518,2672,2548,20,55,80
5050131.02,CT,Ottawa,1.40059,4643,2021,1935,25,35,55
5050132.00,CT,Ottawa,1.95087,6086,2596,2435,10,50,55
5050133.00,CT,Ottawa,2.40131,5092,2162,1938,15,40,50
5050134.00,CT,Ottawa,2.0519,3664,1452,1389,15,35,50
5050135.01,CT,Ottawa,1.8317,6508,2386,2347,0,30,35
5050135.02,CT,Ottawa,3.75595,4771,1910,1887,10,15,30
5050135.03,CT,Ottawa,1.39461,1860,762,719,0,0,10
5050136.01,CT,Ottawa,2.56836,4508,1761,1722,0,15,15
5050136.02,CT,Ottawa,2.09092,4764,2082,2000,10,20,30
5050137.02,CT,Ottawa,0.9746,3096,1373,1338,0,15,20
5050137.03,CT,Ottawa,1.2109,1772,655,647,0,10,10
5050137.04,CT,Ottawa,0.88857,1913,826,784,20,20,40
5050137.05,CT,Ottawa,2.06978,7245,2706,2622,30,30,60
5050138.00,CT,Ottawa,1.54358,7492,3063,2852,0,30,35
5050139.00,CT,Ottawa,20.49547,3962,1610,1553,10,25,35
5050140.01,CT,Ottawa,16.98216,5,1,1,x,x,x
5050140.03,CT,Ottawa,0.8107,2613,1018,990,10,10,15
5050140.04,CT,Ottawa,1.25169,5174,1754,1750,20,10,30
5050140.05,CT,Ottawa,1.12471,4564,1627,1609,0,20,20
5050140.06,CT,Ottawa,0.71725,2196,784,781,0,10,0
5050140.07,CT,Ottawa,1.34049,4453,1780,1744,10,15,20
5050141.04,CT,Ottawa,2.84111,3569,1256,1228,0,0,0
5050141.05,CT,Ottawa,2.62642,8490,2856,2808,0,40,45
5050141.08,CT,Ottawa,8.71985,8375,2646,2626,15,30,45
5050141.09,CT,Ottawa,1.90836,6423,2174,2122,0,15,15
5050141.10,CT,Ottawa,1.04062,5422,1674,1659,10,30,25
5050141.11,CT,Ottawa,0.94323,5851,1935,1887,10,20,30
5050141.12,CT,Ottawa,5.02008,9778,3226,3164,0,15,20
5050141.13,CT,Ottawa,1.5316,3579,1068,1050,0,0,0
5050141.14,CT,Ottawa,110.82633,2214,792,757,0,0,0
5050141.15,CT,Ottawa,14.05984,16747,5593,5440,0,20,20
5050151.03,CT,Ottawa,12.28361,4833,1834,1787,10,25,25
5050151.04,CT,Ottawa,3.03492,6125,2124,2111,10,25,30
5050151.05,CT,Ottawa,1.71944,3601,1426,1418,0,0,15
5050151.06,CT,Ottawa,3.3646,5460,1801,1783,0,10,10
5050151.07,CT,Ottawa,4.57592,7879,2663,2627,15,30,45
5050151.08,CT,Ottawa,13.148,6967,2221,2199,0,20,20
5050151.09,CT,Ottawa,236.70308,5145,1862,1824,0,0,10
5050160.02,CT,Ottawa,2.59266,5158,2155,2134,0,40,35
5050160.03,CT,Ottawa,11.35105,8562,2756,2719,0,25,30
5050160.04,CT,Ottawa,2.06135,6239,2421,2389,10,35,45
5050160.05,CT,Ottawa,1.128,3176,1264,1248,10,0,10
5050160.06,CT,Ottawa,2.49782,5355,2497,2143,0,25,25
5050160.07,CT,Ottawa,3.41629,6762,2411,2397,0,20,25
5050160.09,CT,Ottawa,102.44904,3578,1194,1166,0,15,15
5050160.10,CT,Ottawa,4.42233,9825,2990,2970,0,40,45
5050160.11,CT,Ottawa,5.6636,5915,1955,1947,10,15,20
5050161.03,CT,Ottawa,1.21846,4960,1729,1723,10,20,20
5050161.04,CT,Ottawa,1.67131,5320,1800,1793,20,30,55
5050161.05,CT,Ottawa,1.56782,6778,2232,2224,0,10,15
5050161.06,CT,Ottawa,1.94536,7342,2617,2559,10,20,25
5050162.01,CT,Ottawa,4.20801,7511,2892,2829,0,15,20
5050162.02,CT,Ottawa,2.23139,4325,1584,1576,0,20,15
5050170.01,CT,Ottawa,2.73094,4206,1708,1661,0,10,10
5050170.03,CT,Ottawa,1.37425,3943,1412,1401,0,0,0
5050170.04,CT,Ottawa,1.34269,3582,1409,1405,15,0,25
5050170.05,CT,Ottawa,0.99279,3506,1330,1325,10,15,20
5050170.08,CT,Ottawa,0.73461,2653,866,864,0,0,0
5050170.09,CT,Ottawa,1.27007,4793,1783,1776,10,0,10
5050170.10,CT,Ottawa,1.81189,4197,1731,1693,10,10,10
5050170.11,CT,Ottawa,1.32706,3242,1077,1076,0,0,0
5050170.12,CT,Ottawa,1.08262,4819,1596,1589,10,25,30
5050170.13,CT,Ottawa,1.23744,5174,1757,1736,0,10,10
5050171.03,CT,Ottawa,154.13028,5620,2049,2006,0,0,10
5050171.05,CT,Ottawa,7.0409,5604,1891,1871,10,10,20
5050171.06,CT,Ottawa,139.95104,6259,2300,2226,0,10,10
5050171.07,CT,Ottawa,1.71081,4742,1551,1550,10,15,20
5050171.09,CT,Ottawa,6.99255,9933,3345,3326,10,0,15
5050171.10,CT,Ottawa,4.24571,8784,2974,2964,0,10,15
5050180.01,CT,Clarence-Rockland,5.43244,7581,2918,2872,0,20,20
5050180.02,CT,Clarence-Rockland,22.22179,5148,2215,2164,10,0,10
5050181.01,CT,Clarence-Rockland,129.47118,6137,2244,2176,0,10,0
5050181.02,CT,Clarence-Rockland,152.45275,5646,2160,2117,0,0,0
5050182.00,CT,Russell,170.39938,3955,1449,1418,10,10,10
5050183.00,CT,Russell,16.9008,5501,1968,1938,0,0,0
5050184.00,CT,Russell,12.77552,7064,2591,2517,0,10,10
5050190.01,CT,Ottawa,193.60111,6494,2354,2308,0,0,0
5050190.02,CT,Ottawa,49.54465,7145,2506,2467,15,0,20
5050191.01,CT,Ottawa,39.22898,4824,1633,1572,0,0,0
5050191.02,CT,Ottawa,103.26972,4822,1783,1738,0,0,0
5050200.01,CT,Ottawa,265.96975,2204,875,841,0,0,0
5050200.02,CT,Ottawa,144.97507,6485,2506,2420,0,10,0
5050201.00,CT,Ottawa,7.32064,4486,1678,1631,0,15,10
5050300.00,CT,Ottawa,261.1029,10160,3771,3725,0,25,25
5050301.00,CT,Ottawa,272.06702,4413,1823,1710,0,15,15
5050302.00,CT,Ottawa,129.56089,6974,3002,2687,0,15,15
5050400.00,CT,North Grenville,358.2208,16451,6658,6439,0,15,15
