GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_401: Population, 2016",v_CA16_406: Population density per square kilometre,v_CA16_407: Land area in square kilometres,v_CA16_1: Age Stats
5350001.00,CT,Toronto,6.62211,595,274,247,595,97.6,6.10,595
5350002.00,CT,Toronto,3.2947,620,279,270,620,195.4,3.17,620
5350003.00,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,755
5350004.00,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,6685
5350005.00,CT,Toronto,0.37612,6424,3729,3424,6424,17076.0,0.38,6420
5350006.00,CT,Toronto,0.01288,0,0,0,0,0.0,0.01,0
5350007.01,CT,Toronto,0.19931,3237,1827,1747,3237,16233.7,0.20,3235
5350007.02,CT,Toronto,0.43657,4753,2653,2506,4753,10891.4,0.44,4750
5350008.01,CT,Toronto,0.29723,7503,5192,4954,7503,25262.6,0.30,7500
5350008.02,CT,Toronto,1.83937,9942,6390,6060,9942,5345.7,1.86,9940
5350009.00,CT,Toronto,0.10317,567,169,166,567,5499.5,0.10,565
5350010.01,CT,Toronto,0.26263,5428,3281,3147,5428,20670.2,0.26,5425
5350010.02,CT,Toronto,0.54735,7740,4628,4447,7740,14144.7,0.55,7745
5350011.00,CT,Toronto,0.98037,17549,15207,11891,17549,17903.5,0.98,17555
5350012.01,CT,Toronto,0.41877,11658,7449,6881,11658,27843.3,0.42,11655
5350012.03,CT,Toronto,0.46643,8865,5997,5311,8865,19003.2,0.47,8865
5350012.04,CT,Toronto,0.233,4899,3258,2956,4899,21272.3,0.23,4900
5350013.01,CT,Toronto,0.34314,6290,4499,4059,6290,18332.8,0.34,6290
5350013.02,CT,Toronto,0.41796,8126,5270,4725,8126,19449.5,0.42,8125
5350014.00,CT,Toronto,0.47266,1242,975,691,1242,2628.0,0.47,1240
5350015.00,CT,Toronto,0.28599,3663,2451,2226,3663,12807.7,0.29,3665
5350016.00,CT,Toronto,0.65971,10101,6527,6180,10101,15430.8,0.65,10105
5350017.00,CT,Toronto,1.37531,7906,5250,4663,7906,5889.5,1.34,7905
5350018.00,CT,Toronto,0.35178,2456,1319,1248,2456,7081.9,0.35,2455
5350019.00,CT,Toronto,0.24894,3258,1410,1365,3258,13089.6,0.25,3255
5350020.00,CT,Toronto,0.73862,2390,1028,1014,2390,3236.3,0.74,2390
5350021.00,CT,Toronto,0.86807,5199,2830,2661,5199,5977.9,0.87,5200
5350022.00,CT,Toronto,0.55462,3883,1577,1504,3883,6998.9,0.55,3880
5350023.00,CT,Toronto,0.68635,3208,1355,1286,3208,4673.7,0.69,3205
5350024.00,CT,Toronto,0.70927,6887,3136,2963,6887,9713.7,0.71,6885
5350025.00,CT,Toronto,0.52843,3456,1659,1610,3456,6540.5,0.53,3460
5350026.00,CT,Toronto,0.77719,6486,2894,2695,6486,8344.3,0.78,6485
5350027.00,CT,Toronto,0.48531,4390,1818,1724,4390,9046.0,0.49,4390
5350028.01,CT,Toronto,0.20716,1387,728,684,1387,6690.8,0.21,1385
5350028.02,CT,Toronto,0.46335,6198,3007,2836,6198,13383.7,0.46,6200
5350029.00,CT,Toronto,0.68669,6987,3099,2962,6987,10354.2,0.67,6985
